rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 9 15,5,361527,69.08 71.69 73
2,500,0 12 12,5,360905,69.08 72.56 72
3,500,1 14 8,5,360247,69.37 73.14 71
4,500,0 15 9,5,360163,69.08 73.43 71
5,499,0 15 8,5,360163,69.08 73.43 71
6,500,1 7 15,5,360106,69.37 71.11 73
7,499,0 8 15,5,360063,69.08 71.4 73
8,500,1 10 12,5,359522,69.37 71.98 72
9,500,0 11 13,5,359461,69.08 72.27 72
10,499,0 11 12,5,359461,69.08 72.27 72
11,500,2 12 8,5,358883,69.66 72.56 71
12,500,1 13 9,5,358817,69.37 72.85 71
13,499,1 13 8,5,358817,69.37 72.85 71
14,500,0 14 10,5,358740,69.08 73.14 71
15,499,0 14 9,5,358740,69.08 73.14 71
16,498,0 14 8,5,358740,69.08 73.14 71
17,500,2 5 15,5,358661,69.66 70.53 73
18,499,1 6 15,5,358636,69.37 70.82 73
19,498,0 7 15,5,358599,69.08 71.11 73
20,500,2 8 12,5,358115,69.66 71.4 72
21,500,2 15 5,5,358074,69.66 73.43 70
22,500,1 9 13,5,358072,69.37 71.69 72
23,499,1 9 12,5,358072,69.37 71.69 72
24,500,0 10 14,5,358018,69.08 71.98 72
25,499,0 10 13,5,358018,69.08 71.98 72
26,498,0 10 12,5,358018,69.08 71.98 72
27,500,3 10 8,5,357495,69.95 71.98 71
28,500,2 11 9,5,357448,69.66 72.27 71
29,499,2 11 8,5,357448,69.66 72.27 71
30,500,1 12 10,5,357388,69.37 72.56 71
31,499,1 12 9,5,357388,69.37 72.56 71
32,498,1 12 8,5,357388,69.37 72.56 71
33,500,0 13 11,5,357316,69.08 72.85 71
34,499,0 13 10,5,357316,69.08 72.85 71
35,498,0 13 9,5,357316,69.08 72.85 71
36,497,0 13 8,5,357316,69.08 72.85 71
37,500,3 3 15,5,357191,69.95 69.95 73
38,499,2 4 15,5,357185,69.66 70.24 73
39,498,1 5 15,5,357166,69.37 70.53 73
40,497,0 6 15,5,357136,69.08 70.82 73
41,500,3 13 5,5,356724,69.95 72.85 70
42,500,3 6 12,5,356683,69.95 70.82 72
43,500,2 7 13,5,356659,69.66 71.11 72
44,499,2 7 12,5,356659,69.66 71.11 72
45,500,2 14 6,5,356659,69.66 73.14 70
46,499,2 14 5,5,356659,69.66 73.14 70
47,500,1 8 14,5,356623,69.37 71.4 72
48,499,1 8 13,5,356623,69.37 71.4 72
49,498,1 8 12,5,356623,69.37 71.4 72
50,500,1 15 7,5,356582,69.37 73.43 70
51,499,1 15 6,5,356582,69.37 73.43 70
52,498,1 15 5,5,356582,69.37 73.43 70
53,499,0 9 14,5,356574,69.08 71.69 72
54,498,0 9 13,5,356574,69.08 71.69 72
55,497,0 9 12,5,356574,69.08 71.69 72
56,500,4 8 8,5,356084,70.24 71.4 71
57,500,3 9 9,5,356054,69.95 71.69 71
58,499,3 9 8,5,356054,69.95 71.69 71
59,500,2 10 10,5,356012,69.66 71.98 71
60,499,2 10 9,5,356012,69.66 71.98 71
61,498,2 10 8,5,356012,69.66 71.98 71
62,500,1 11 11,5,355958,69.37 72.27 71
63,499,1 11 10,5,355958,69.37 72.27 71
64,498,1 11 9,5,355958,69.37 72.27 71
65,497,1 11 8,5,355958,69.37 72.27 71
66,500,4 15 1,5,355900,70.24 73.43 69
67,499,0 12 11,5,355892,69.08 72.56 71
68,498,0 12 10,5,355892,69.08 72.56 71
69,497,0 12 9,5,355892,69.08 72.56 71
70,496,0 12 8,5,355892,69.08 72.56 71
71,499,3 2 15,5,355709,69.95 69.66 73
72,498,2 3 15,5,355709,69.66 69.95 73
73,500,4 1 15,5,355697,70.24 69.37 73
74,497,1 4 15,5,355697,69.37 70.24 73
75,496,0 5 15,5,355672,69.08 70.53 73
76,500,4 11 5,5,355350,70.24 72.27 70
77,500,3 12 6,5,355303,69.95 72.56 70
78,499,3 12 5,5,355303,69.95 72.56 70
79,500,2 13 7,5,355244,69.66 72.85 70
80,499,2 13 6,5,355244,69.66 72.85 70
81,498,2 13 5,5,355244,69.66 72.85 70
82,500,4 4 12,5,355228,70.24 70.24 72
83,500,3 5 13,5,355222,69.95 70.53 72
84,499,3 5 12,5,355222,69.95 70.53 72
85,500,2 6 14,5,355203,69.66 70.82 72
86,499,2 6 13,5,355203,69.66 70.82 72
87,498,2 6 12,5,355203,69.66 70.82 72
88,499,1 7 14,5,355173,69.37 71.11 72
89,498,1 7 13,5,355173,69.37 71.11 72
90,497,1 7 12,5,355173,69.37 71.11 72
91,499,1 14 7,5,355173,69.37 73.14 70
92,498,1 14 6,5,355173,69.37 73.14 70
93,497,1 14 5,5,355173,69.37 73.14 70
94,498,0 8 14,5,355131,69.08 71.4 72
95,497,0 8 13,5,355131,69.08 71.4 72
96,496,0 8 12,5,355131,69.08 71.4 72
97,498,0 15 7,5,355090,69.08 73.43 70
98,497,0 15 6,5,355090,69.08 73.43 70
99,496,0 15 5,5,355090,69.08 73.43 70
100,500,5 6 8,5,354648,70.53 70.82 71
101,500,4 7 9,5,354636,70.24 71.11 71
102,499,4 7 8,5,354636,70.24 71.11 71
103,500,3 8 10,5,354612,69.95 71.4 71
104,499,3 8 9,5,354612,69.95 71.4 71
105,498,3 8 8,5,354612,69.95 71.4 71
106,500,2 9 11,5,354577,69.66 71.69 71
107,499,2 9 10,5,354577,69.66 71.69 71
108,498,2 9 9,5,354577,69.66 71.69 71
109,497,2 9 8,5,354577,69.66 71.69 71
110,500,5 13 1,5,354546,70.53 72.85 69
111,499,1 10 11,5,354529,69.37 71.98 71
112,498,1 10 10,5,354529,69.37 71.98 71
113,497,1 10 9,5,354529,69.37 71.98 71
114,496,1 10 8,5,354529,69.37 71.98 71
