rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 12 14,27,469257,53.45 94.4 93
2,500,0 13 13,27,467625,53.45 95.1 92
3,500,0 14 12,27,465918,53.45 95.79 91
4,500,0 11 15,27,465807,53.45 93.71 93
5,499,0 11 14,27,465807,53.45 93.71 93
6,498,0 15 15,26.5,465663,52.95 95.59 92
7,496,0 15 14,26.5,465663,52.95 95.59 92
8,499,1 13 14,26.5,464924,53.64 94.21 92
9,500,0 11 10,27.5,464232,53.94 94.57 91
10,498,0 12 13,27,464211,53.45 94.4 92
11,500,0 15 11,27,464137,53.45 96.49 90
12,498,0 15 10,27,464137,53.45 96.49 90
13,500,0 8 13,27.5,463892,53.94 92.47 93
14,500,2 15 14,26,463647,53.81 94.68 91
15,499,1 14 13,26.5,463227,53.64 94.9 91
16,498,0 13 12,27,462542,53.45 95.1 91
17,500,0 12 9,27.5,462531,53.94 95.27 90
18,500,0 9 12,27.5,462380,53.94 93.17 92
19,499,0 10 15,27,462356,53.45 93.02 93
20,497,0 10 14,27,462356,53.45 93.02 93
21,497,0 14 15,26.5,462313,52.95 94.9 92
22,495,0 14 14,26.5,462313,52.95 94.9 92
23,500,0 15 6,27.5,462229,53.94 97.38 88
24,500,0 6 15,27.5,461776,53.94 91.07 94
25,499,1 12 15,26.5,461530,53.64 93.53 92
26,497,1 12 14,26.5,461530,53.64 93.53 92
27,499,1 15 12,26.5,461456,53.64 95.59 90
28,497,1 15 11,26.5,461456,53.64 95.59 90
29,499,1 8 14,27,461370,54.14 91.63 93
30,497,0 11 13,27,460798,53.45 93.71 92
31,498,0 14 11,27,460798,53.45 95.79 90
32,496,0 14 10,27,460798,53.45 95.79 90
33,500,0 10 11,27.5,460793,53.94 93.87 91
34,498,0 10 10,27.5,460793,53.94 93.87 91
35,500,0 13 8,27.5,460755,53.94 95.97 89
36,500,2 13 11,26.5,460647,54.33 94.21 90
37,495,0 15 13,26.5,460602,52.95 95.59 91
38,500,2 10 14,26.5,460573,54.33 92.15 92
39,498,3 15 15,25.5,460485,53.97 93.77 91
40,500,0 7 14,27.5,460377,53.94 91.77 93
41,498,0 7 13,27.5,460377,53.94 91.77 93
42,500,2 14 15,26,460311,53.81 94 91
43,498,2 14 14,26,460311,53.81 94 91
44,499,1 12 10,27,460017,54.14 94.4 90
