rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 11 8,9,317097,78.71 56.74 71
2,500,0 9 11,9,317034,78.71 55.94 72
3,500,0 13 6,9,317034,78.71 57.54 70
4,499,0 7 13,9,316845,78.71 55.14 73
5,499,0 15 3,9,316845,78.71 58.34 69
6,500,1 10 8,9,316462,79.11 56.34 71
7,500,1 14 3,9,316272,79.11 57.94 69
8,500,1 6 13,9,316146,79.11 54.74 73
9,499,6 15 14,8.5,316124,78.68 56.59 71
10,500,7 14 14,8.5,315505,79.07 56.2 71
11,499,0 10 9,9,314864,78.71 56.34 71
12,498,0 10 8,9,314864,78.71 56.34 71
13,500,0 12 7,9,314832,78.71 57.14 70
14,498,0 12 6,9,314832,78.71 57.14 70
15,500,0 8 12,9,314770,78.71 55.54 72
16,498,0 8 11,9,314770,78.71 55.54 72
17,500,8 15 11,8.5,314742,79.46 56.59 70
18,499,0 14 4,9,314675,78.71 57.94 69
19,498,0 14 3,9,314675,78.71 57.94 69
20,498,5 15 15,8.5,314566,78.29 56.59 71
21,497,5 15 14,8.5,314566,78.29 56.59 71
22,500,0 6 15,9,314549,78.71 54.74 73
23,499,0 6 14,9,314549,78.71 54.74 73
24,498,0 6 13,9,314549,78.71 54.74 73
25,500,1 9 9,9,314218,79.11 55.94 71
26,499,1 9 8,9,314218,79.11 55.94 71
27,499,1 11 6,9,314218,79.11 56.74 70
28,500,1 7 12,9,314091,79.11 55.14 72
29,499,1 7 11,9,314091,79.11 55.14 72
30,500,1 13 4,9,314091,79.11 57.54 69
31,498,1 13 3,9,314091,79.11 57.54 69
32,499,6 14 15,8.5,313958,78.68 56.2 71
33,498,6 14 14,8.5,313958,78.68 56.2 71
34,500,1 5 14,9,313838,79.11 54.34 73
35,498,1 5 13,9,313838,79.11 54.34 73
36,500,1 15 2,9,313838,79.11 58.34 68
37,499,1 15 1,9,313838,79.11 58.34 68
38,500,2 10 6,9,313581,79.51 56.34 70
39,499,2 8 8,9,313549,79.51 55.54 71
40,499,2 12 3,9,313485,79.51 57.14 69
41,500,2 6 11,9,313390,79.51 54.74 72
42,500,7 13 15,8.5,313329,79.07 55.81 71
43,498,7 13 14,8.5,313329,79.07 55.81 71
