rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 13 15,18,415730,60.08 62.34 111
2,500,0 14 14,18,415730,60.08 62.91 110
3,500,0 15 12,18,415662,60.08 63.48 109
4,500,1 13 12,18,412090,60.64 62.34 109
5,500,1 11 15,18,412022,60.64 61.21 111
6,500,1 14 10,18,412022,60.64 62.91 108
7,498,0 13 14,18,411984,60.08 62.34 110
8,497,0 12 15,18,411950,60.08 61.78 111
9,499,0 14 13,18,411950,60.08 62.91 109
10,498,0 14 12,18,411950,60.08 62.91 109
11,500,0 12 7,18.5,411946,60.9 62.63 108
12,500,1 15 8,18,411884,60.64 63.48 107
13,499,0 15 11,18,411848,60.08 63.48 108
14,497,0 15 10,18,411848,60.08 63.48 108
15,499,2 15 15,17.5,411745,60.35 62.59 109
16,500,0 8 14,18.5,411526,60.9 60.33 112
17,500,0 15 2,18.5,411526,60.9 64.35 105
18,500,2 11 12,18,408379,61.21 61.21 109
19,500,2 12 10,18,408379,61.21 61.78 108
20,499,1 12 13,18,408344,60.64 61.78 109
21,498,1 12 12,18,408344,60.64 61.78 109
22,498,1 11 14,18,408310,60.64 61.21 110
23,499,1 13 11,18,408310,60.64 62.34 108
24,498,1 13 10,18,408310,60.64 62.34 108
25,500,2 13 8,18,408310,61.21 62.34 107
26,496,0 12 14,18,408239,60.08 61.78 110
27,497,0 13 13,18,408239,60.08 62.34 109
28,496,0 13 12,18,408239,60.08 62.34 109
29,497,1 10 15,18,408207,60.64 60.64 111
30,499,1 14 9,18,408207,60.64 62.91 107
31,497,1 14 8,18,408207,60.64 62.91 107
32,500,2 9 15,18,408171,61.21 60.08 111
33,495,0 11 15,18,408171,60.08 61.21 111
34,497,0 14 11,18,408171,60.08 62.91 108
35,495,0 14 10,18,408171,60.08 62.91 108
36,499,0 11 8,18.5,408167,60.9 62.05 108
37,498,0 11 7,18.5,408167,60.9 62.05 108
38,499,3 13 15,17.5,408137,60.91 61.47 109
39,500,0 10 10,18.5,408132,60.9 61.48 109
40,498,0 10 9,18.5,408132,60.9 61.48 109
41,499,0 12 6,18.5,408132,60.9 62.63 107
42,497,2 14 15,17.5,408068,60.35 62.03 109
43,500,3 14 14,17.5,408068,60.91 62.03 108
44,499,3 14 13,17.5,408068,60.91 62.03 108
45,496,0 15 9,18,408035,60.08 63.48 107
46,495,0 15 8,18,408035,60.08 63.48 107
47,498,1 15 7,18,408035,60.64 63.48 106
48,500,0 9 12,18.5,408027,60.9 60.9 110
49,499,0 9 11,18.5,408027,60.9 60.9 110
50,500,0 13 5,18.5,408027,60.9 63.2 106
51,499,0 13 4,18.5,408027,60.9 63.2 106
52,498,2 15 14,17.5,407967,60.35 62.59 108
53,497,2 15 13,17.5,407967,60.35 62.59 108
