rank,cp,ivs,maxlevel,stat-product,stats
1,500,1 15 15,11.5,336968,74.3 58.9 77
2,497,0 15 15,11.5,334913,73.85 58.9 77
3,500,2 15 13,11.5,334620,74.75 58.9 76
4,498,1 14 15,11.5,334376,74.3 58.44 77
5,499,2 13 15,11.5,333807,74.75 57.99 77
6,500,3 12 15,11.5,333206,75.21 57.54 77
7,498,1 15 14,11.5,332592,74.3 58.9 76
8,497,1 15 13,11.5,332592,74.3 58.9 76
9,495,0 14 15,11.5,332337,73.85 58.44 77
10,500,3 15 11,11.5,332218,75.21 58.9 75
11,500,2 14 14,11.5,332046,74.75 58.44 76
12,498,2 14 13,11.5,332046,74.75 58.44 76
13,496,1 13 15,11.5,331784,74.3 57.99 77
14,499,3 13 13,11.5,331469,75.21 57.99 76
15,500,0 15 3,12,331312,75.44 60.16 73
16,497,2 12 15,11.5,331199,74.75 57.54 77
17,500,4 12 13,11.5,330860,75.66 57.54 76
18,499,0 13 5,12,330683,75.44 59.24 74
19,500,0 8 12,12,330648,75.44 56.92 77
20,498,3 11 15,11.5,330583,75.21 57.09 77
21,495,0 15 14,11.5,330564,73.85 58.9 76
22,494,0 15 13,11.5,330564,73.85 58.9 76
23,499,2 15 12,11.5,330217,74.75 58.9 75
24,497,2 15 11,11.5,330217,74.75 58.9 75
25,500,1 12 5,12,330113,75.9 58.78 74
26,497,1 14 14,11.5,330033,74.3 58.44 76
27,495,1 14 13,11.5,330033,74.3 58.44 76
28,499,4 10 15,11.5,329935,75.66 56.63 77
29,500,0 11 8,12,329915,75.44 58.31 75
30,500,4 15 9,11.5,329763,75.66 58.9 74
31,493,0 13 15,11.5,329761,73.85 57.99 77
32,500,3 14 12,11.5,329663,75.21 58.44 75
33,498,3 14 11,11.5,329663,75.21 58.44 75
34,500,0 6 15,12,329496,75.44 56 78
35,499,0 6 14,12,329496,75.44 56 78
36,498,2 13 14,11.5,329472,74.75 57.99 76
37,496,2 13 13,11.5,329472,74.75 57.99 76
38,500,5 9 15,11.5,329255,76.11 56.18 77
39,494,1 12 15,11.5,329192,74.3 57.54 77
40,499,4 13 11,11.5,329078,75.66 57.99 75
41,500,0 9 11,12,329008,75.44 57.39 76
42,499,0 9 10,12,329008,75.44 57.39 76
43,499,3 12 14,11.5,328879,75.21 57.54 76
44,497,3 12 13,11.5,328879,75.21 57.54 76
45,500,1 5 14,12,328778,75.9 55.54 78
46,500,1 15 1,12,328778,75.9 60.16 72
47,499,0 14 4,12,328763,75.44 59.7 73
