rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 13 14,14.5,381860,65.62 62.57 93
2,500,0 14 12,14.5,380825,65.62 63.08 92
3,500,0 15 11,14.5,379723,65.62 63.59 91
4,499,0 15 10,14.5,379723,65.62 63.59 91
5,500,0 12 15,14.5,378755,65.62 62.06 93
6,498,0 12 14,14.5,378755,65.62 62.06 93
7,500,1 11 14,14.5,378562,66.13 61.55 93
8,500,1 15 8,14.5,378462,66.13 63.59 90
9,499,0 13 13,14.5,377754,65.62 62.57 92
10,498,0 13 12,14.5,377754,65.62 62.57 92
11,499,1 12 12,14.5,377587,66.13 62.06 92
12,498,0 14 11,14.5,376685,65.62 63.08 91
13,497,0 14 10,14.5,376685,65.62 63.08 91
14,500,1 13 11,14.5,376544,66.13 62.57 91
15,499,1 13 10,14.5,376544,66.13 62.57 91
16,500,2 12 10,14.5,376356,66.64 62.06 91
17,498,0 11 15,14.5,375650,65.62 61.55 93
18,496,0 11 14,14.5,375650,65.62 61.55 93
19,497,0 15 9,14.5,375550,65.62 63.59 90
20,496,0 15 8,14.5,375550,65.62 63.59 90
21,499,1 10 15,14.5,375434,66.13 61.04 93
22,498,1 10 14,14.5,375434,66.13 61.04 93
23,499,1 14 9,14.5,375434,66.13 63.08 90
24,498,1 14 8,14.5,375434,66.13 63.08 90
25,500,2 13 8,14.5,375271,66.64 62.57 90
26,500,2 9 14,14.5,375169,66.64 60.54 93
27,500,3 15 15,14,375162,65.98 62.48 91
28,498,3 15 14,14,375162,65.98 62.48 91
29,500,4 14 14,14,374980,66.48 61.98 91
30,500,0 8 9,15,374888,66.74 61.05 92
31,497,0 12 13,14.5,374682,65.62 62.06 92
32,496,0 12 12,14.5,374682,65.62 62.06 92
33,499,1 11 13,14.5,374492,66.13 61.55 92
34,497,1 11 12,14.5,374492,66.13 61.55 92
35,498,1 15 7,14.5,374256,66.13 63.59 89
36,497,1 15 6,14.5,374256,66.13 63.59 89
37,500,2 10 13,14.5,374254,66.64 61.04 92
38,499,2 10 12,14.5,374254,66.64 61.04 92
39,500,2 14 7,14.5,374118,66.64 63.08 89
40,499,2 14 6,14.5,374118,66.64 63.08 89
41,500,0 4 15,15,373990,66.74 58.98 95
42,499,0 9 7,15,373956,66.74 61.57 91
43,499,4 15 12,14,373850,66.48 62.48 90
44,500,0 13 2,15,373783,66.74 63.64 88
45,496,0 13 11,14.5,373648,65.62 62.57 91
46,495,0 13 10,14.5,373648,65.62 62.57 91
47,498,1 12 11,14.5,373483,66.13 62.06 91
48,497,1 12 10,14.5,373483,66.13 62.06 91
49,500,0 5 14,15,373300,66.74 59.5 94
50,499,0 5 13,15,373300,66.74 59.5 94
51,500,2 11 11,14.5,373271,66.64 61.55 91
52,498,2 11 10,14.5,373271,66.64 61.55 91
53,500,3 10 10,14.5,373012,67.15 61.04 91
54,500,0 10 6,15,372954,66.74 62.09 90
55,498,0 10 5,15,372954,66.74 62.09 90
56,499,2 15 5,14.5,372898,66.64 63.59 88
57,498,2 15 4,14.5,372898,66.64 63.59 88
58,500,3 14 4,14.5,372738,67.15 63.08 88
59,500,1 9 5,15,372713,67.26 61.57 90
60,496,0 10 15,14.5,372546,65.62 61.04 93
61,494,0 10 14,14.5,372546,65.62 61.04 93
62,495,0 14 9,14.5,372546,65.62 63.08 90
63,494,0 14 8,14.5,372546,65.62 63.08 90
64,500,0 6 12,15,372540,66.74 60.02 93
65,498,0 6 11,15,372540,66.74 60.02 93
66,499,0 14 0,15,372540,66.74 64.16 87
67,500,5 15 10,14,372476,66.98 62.48 89
68,497,1 13 9,14.5,372406,66.13 62.57 90
69,496,1 13 8,14.5,372406,66.13 62.57 90
70,496,2 15 15,14,372320,65.48 62.48 91
71,495,2 15 14,14,372320,65.48 62.48 91
72,497,1 9 15,14.5,372305,66.13 60.54 93
73,496,1 9 14,14.5,372305,66.13 60.54 93
74,499,2 12 9,14.5,372220,66.64 62.06 90
75,498,2 12 8,14.5,372220,66.64 62.06 90
76,500,1 5 11,15,372191,67.26 59.5 93
77,498,3 14 15,14,372161,65.98 61.98 91
78,496,3 14 14,14,372161,65.98 61.98 91
79,499,2 8 15,14.5,372016,66.64 60.03 93
80,498,2 8 14,14.5,372016,66.64 60.03 93
81,499,3 11 8,14.5,371987,67.15 61.55 90
82,499,4 13 15,14,371956,66.48 61.48 91
83,498,4 13 14,14,371956,66.48 61.48 91
84,499,0 11 4,15,371884,66.74 62.6 89
85,499,0 7 10,15,371711,66.74 60.54 92
86,498,0 7 9,15,371711,66.74 60.54 92
