rank,cp,ivs,maxlevel,stat-product,stats
1,500,6 15 15,7.5,298870,83.37 56.91 63
2,499,6 15 14,7.5,298870,83.37 56.91 63
3,499,7 14 14,7.5,298257,83.73 56.54 63
4,500,0 8 8,8,298049,84.05 56.29 63
5,500,8 13 14,7.5,297628,84.09 56.18 63
6,498,5 15 15,7.5,297570,83 56.91 63
7,497,5 15 14,7.5,297570,83 56.91 63
8,500,0 3 14,8,297260,84.05 54.41 65
9,500,0 10 6,8,297229,84.05 57.04 62
10,499,0 15 0,8,297102,84.05 58.91 60
11,499,6 14 15,7.5,296966,83.37 56.54 63
12,497,6 14 14,7.5,296966,83.37 56.54 63
13,500,0 5 11,8,296724,84.05 55.16 64
14,500,8 15 12,7.5,296683,84.09 56.91 62
15,500,1 14 0,8,296528,84.43 58.54 60
16,499,7 13 15,7.5,296345,83.73 56.18 63
17,498,7 13 14,7.5,296345,83.73 56.18 63
18,499,0 12 3,8,296282,84.05 57.79 61
19,496,4 15 15,7.5,296271,82.64 56.91 63
20,495,4 15 14,7.5,296271,82.64 56.91 63
21,500,0 7 9,8,296062,84.05 55.91 63
22,499,0 7 8,8,296062,84.05 55.91 63
23,500,1 4 11,8,296021,84.43 54.78 64
24,500,8 12 15,7.5,295708,84.09 55.82 63
25,498,8 12 14,7.5,295708,84.09 55.82 63
26,497,5 14 15,7.5,295675,83 56.54 63
27,495,5 14 14,7.5,295675,83 56.54 63
28,500,1 11 3,8,295673,84.43 57.41 61
29,500,7 15 13,7.5,295405,83.73 56.91 62
30,498,7 15 12,7.5,295405,83.73 56.91 62
31,499,1 6 8,8,295388,84.43 55.53 63
32,500,0 9 7,8,295273,84.05 56.66 62
33,499,0 9 6,8,295273,84.05 56.66 62
34,500,0 2 15,8,295210,84.05 54.03 65
35,499,0 2 14,8,295210,84.05 54.03 65
36,499,0 14 1,8,295210,84.05 58.54 60
37,498,0 14 0,8,295210,84.05 58.54 60
38,497,6 13 15,7.5,295063,83.37 56.18 63
39,496,6 13 14,7.5,295063,83.37 56.18 63
40,500,9 11 15,7.5,295054,84.45 55.46 63
41,499,9 11 14,7.5,295054,84.45 55.46 63
42,500,2 10 3,8,295046,84.8 57.04 61
43,494,3 15 15,7.5,294972,82.28 56.91 63
44,492,3 15 14,7.5,294972,82.28 56.91 63
45,500,8 14 13,7.5,294794,84.09 56.54 62
46,499,8 14 12,7.5,294794,84.09 56.54 62
47,499,0 4 12,8,294705,84.05 54.78 64
48,498,0 4 11,8,294705,84.05 54.78 64
49,500,2 5 8,8,294696,84.8 55.16 63
50,499,1 8 6,8,294627,84.43 56.29 62
51,500,1 13 1,8,294627,84.43 58.16 60
52,498,1 13 0,8,294627,84.43 58.16 60
53,499,1 1 14,8,294469,84.43 53.66 65
54,498,7 12 15,7.5,294434,83.73 55.82 63
55,496,7 12 14,7.5,294434,83.73 55.82 63
56,500,10 15 9,7.5,294415,84.82 56.91 61
57,499,10 10 14,7.5,294384,84.82 55.09 63
58,494,4 14 15,7.5,294384,82.64 56.54 63
59,493,4 14 14,7.5,294384,82.64 56.54 63
60,499,0 11 4,8,294359,84.05 57.41 61
61,498,0 11 3,8,294359,84.05 57.41 61
62,499,9 13 12,7.5,294167,84.45 56.18 62
63,497,6 15 13,7.5,294126,83.37 56.91 62
64,496,6 15 12,7.5,294126,83.37 56.91 62
65,500,0 6 10,8,294075,84.05 55.53 63
66,498,0 6 9,8,294075,84.05 55.53 63
67,497,0 6 8,8,294075,84.05 55.53 63
68,499,2 12 0,8,294027,84.8 57.79 60
69,500,1 3 12,8,293994,84.43 54.41 64
70,498,1 3 11,8,293994,84.43 54.41 64
71,500,3 4 8,8,293986,85.18 54.78 63
72,500,2 7 6,8,293964,84.8 55.91 62
73,498,8 11 15,7.5,293788,84.09 55.46 63
74,497,8 11 14,7.5,293788,84.09 55.46 63
75,495,5 13 15,7.5,293780,83 56.18 63
76,494,5 13 14,7.5,293780,83 56.18 63
77,500,1 10 4,8,293740,84.43 57.04 61
78,498,1 10 3,8,293740,84.43 57.04 61
79,500,2 0 14,8,293709,84.8 53.28 65
80,500,11 9 14,7.5,293697,85.18 54.73 63
81,492,2 15 15,7.5,293672,81.92 56.91 63
82,490,2 15 14,7.5,293672,81.92 56.91 63
83,500,10 12 12,7.5,293523,84.82 55.82 62
84,498,7 14 13,7.5,293523,83.73 56.54 62
85,497,7 14 12,7.5,293523,83.73 56.54 62
86,500,3 11 0,8,293411,85.18 57.41 60
87,500,1 5 10,8,293392,84.43 55.16 63
88,499,1 5 9,8,293392,84.43 55.16 63
89,497,1 5 8,8,293392,84.43 55.16 63
90,499,0 8 7,8,293318,84.05 56.29 62
91,497,0 8 6,8,293318,84.05 56.29 62
92,499,0 13 2,8,293318,84.05 58.16 60
93,498,0 13 1,8,293318,84.05 58.16 60
94,496,0 13 0,8,293318,84.05 58.16 60
95,500,3 6 6,8,293283,85.18 55.53 62
96,500,2 2 12,8,293264,84.8 54.03 64
97,499,2 2 11,8,293264,84.8 54.03 64
98,498,0 1 15,8,293160,84.05 53.66 65
99,497,0 1 14,8,293160,84.05 53.66 65
100,496,6 12 15,7.5,293159,83.37 55.82 63
101,494,6 12 14,7.5,293159,83.37 55.82 63
102,500,9 15 10,7.5,293156,84.45 56.91 61
