rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 11,10.5,352654,71 64.51 77
2,500,0 14 12,10.5,350287,71 64.07 77
3,498,0 14 11,10.5,350287,71 64.07 77
4,500,1 15 9,10.5,350196,71.43 64.51 76
5,500,1 13 11,10.5,350042,71.43 63.64 77
6,499,0 12 14,10.5,350041,71 63.21 78
7,500,1 11 14,10.5,349763,71.43 62.77 78
8,499,0 15 10,10.5,348074,71 64.51 76
9,497,0 15 9,10.5,348074,71 64.51 76
10,499,0 13 13,10.5,347920,71 63.64 77
11,498,0 13 12,10.5,347920,71 63.64 77
12,497,0 13 11,10.5,347920,71 63.64 77
13,500,1 14 10,10.5,347846,71.43 64.07 76
14,499,1 14 9,10.5,347846,71.43 64.07 76
15,500,2 15 7,10.5,347683,71.87 64.51 75
16,499,1 12 12,10.5,347660,71.43 63.21 77
17,498,1 12 11,10.5,347660,71.43 63.21 77
18,499,0 11 15,10.5,347643,71 62.77 78
19,497,0 11 14,10.5,347643,71 62.77 78
20,500,2 13 9,10.5,347589,71.87 63.64 76
21,499,2 11 11,10.5,347372,71.87 62.77 77
22,500,1 10 15,10.5,347351,71.43 62.34 78
23,499,1 10 14,10.5,347351,71.43 62.34 78
24,500,2 9 14,10.5,347029,71.87 61.91 78
25,497,0 14 10,10.5,345738,71 64.07 76
26,496,0 14 9,10.5,345738,71 64.07 76
27,499,7 15 13,10,345660,72.25 62.95 76
28,499,1 15 8,10.5,345588,71.43 64.51 75
29,497,1 15 7,10.5,345588,71.43 64.51 75
30,498,0 12 13,10.5,345553,71 63.21 77
31,496,0 12 12,10.5,345553,71 63.21 77
32,495,0 12 11,10.5,345553,71 63.21 77
33,498,1 13 10,10.5,345496,71.43 63.64 76
34,497,1 13 9,10.5,345496,71.43 63.64 76
35,500,2 14 8,10.5,345349,71.87 64.07 75
36,499,2 14 7,10.5,345349,71.87 64.07 75
37,499,1 11 13,10.5,345279,71.43 62.77 77
38,498,1 11 12,10.5,345279,71.43 62.77 77
39,496,1 11 11,10.5,345279,71.43 62.77 77
40,497,0 10 15,10.5,345246,71 62.34 78
41,496,0 10 14,10.5,345246,71 62.34 78
42,500,2 12 10,10.5,345225,71.87 63.21 76
43,498,2 12 9,10.5,345225,71.87 63.21 76
44,499,3 15 4,10.5,345114,72.3 64.51 74
45,500,3 13 7,10.5,345082,72.3 63.64 75
46,500,2 10 13,10.5,344976,71.87 62.34 77
47,499,2 10 12,10.5,344976,71.87 62.34 77
48,498,2 10 11,10.5,344976,71.87 62.34 77
49,498,1 9 15,10.5,344939,71.43 61.91 78
50,497,1 9 14,10.5,344939,71.43 61.91 78
51,500,3 11 9,10.5,344926,72.3 62.77 76
52,500,4 14 4,10.5,344850,72.73 64.07 74
53,500,3 9 12,10.5,344644,72.3 61.91 77
54,499,3 9 11,10.5,344644,72.3 61.91 77
55,500,0 5 7,11,344641,72.67 61.59 77
56,500,2 8 15,10.5,344603,71.87 61.48 78
57,498,2 8 14,10.5,344603,71.87 61.48 78
58,500,4 8 11,10.5,344283,72.73 61.48 77
59,500,3 7 14,10.5,344237,72.3 61.04 78
60,499,6 15 15,10,343638,71.83 62.95 76
61,498,6 15 14,10,343638,71.83 62.95 76
62,496,6 15 13,10,343638,71.83 62.95 76
63,496,0 15 8,10.5,343494,71 64.51 75
64,494,0 15 7,10.5,343494,71 64.51 75
65,500,0 1 12,11,343417,72.67 59.82 79
66,495,0 13 10,10.5,343402,71 63.64 76
67,494,0 13 9,10.5,343402,71 63.64 76
68,500,7 14 15,10,343340,72.25 62.53 76
69,499,7 14 14,10,343340,72.25 62.53 76
70,498,7 14 13,10,343340,72.25 62.53 76
71,497,1 14 8,10.5,343269,71.43 64.07 75
72,496,1 14 7,10.5,343269,71.43 64.07 75
73,496,0 11 13,10.5,343186,71 62.77 77
74,495,0 11 12,10.5,343186,71 62.77 77
75,493,0 11 11,10.5,343186,71 62.77 77
76,497,1 12 10,10.5,343145,71.43 63.21 76
77,495,1 12 9,10.5,343145,71.43 63.21 76
78,500,0 10 1,11,343128,72.67 63.81 74
79,500,8 15 11,10,343106,72.67 62.95 75
80,499,2 15 6,10.5,343047,71.87 64.51 74
81,498,2 15 5,10.5,343047,71.87 64.51 74
82,496,2 15 4,10.5,343047,71.87 64.51 74
83,499,2 13 8,10.5,343016,71.87 63.64 75
84,497,2 13 7,10.5,343016,71.87 63.64 75
85,500,8 13 14,10,343014,72.67 62.11 76
86,499,8 13 13,10,343014,72.67 62.11 76
87,500,0 8 3,11,342934,72.67 62.92 75
88,497,1 10 13,10.5,342898,71.43 62.34 77
89,496,1 10 12,10.5,342898,71.43 62.34 77
90,495,1 10 11,10.5,342898,71.43 62.34 77
91,498,2 11 10,10.5,342860,71.87 62.77 76
92,497,2 11 9,10.5,342860,71.87 62.77 76
93,495,0 9 15,10.5,342848,71 61.91 78
94,494,0 9 14,10.5,342848,71 61.91 78
95,500,3 14 6,10.5,342797,72.3 64.07 74
96,499,3 14 5,10.5,342797,72.3 64.07 74
97,497,3 14 4,10.5,342797,72.3 64.07 74
98,500,3 12 8,10.5,342735,72.3 63.21 75
99,498,3 12 7,10.5,342735,72.3 63.21 75
100,500,9 12 13,10,342662,73.09 61.68 76
101,499,0 6 5,11,342612,72.67 62.04 76
102,499,2 9 13,10.5,342580,71.87 61.91 77
103,497,2 9 12,10.5,342580,71.87 61.91 77
104,496,2 9 11,10.5,342580,71.87 61.91 77
105,499,3 10 10,10.5,342547,72.3 62.34 76
106,498,3 10 9,10.5,342547,72.3 62.34 76
107,497,1 8 15,10.5,342527,71.43 61.48 78
108,495,1 8 14,10.5,342527,71.43 61.48 78
109,500,4 13 5,10.5,342520,72.73 63.64 74
110,499,4 13 4,10.5,342520,72.73 63.64 74
111,499,4 15 2,10.5,342488,72.73 64.51 73
112,500,4 11 7,10.5,342425,72.73 62.77 75
113,500,1 5 5,11,342239,73.11 61.59 76
114,500,3 8 13,10.5,342234,72.3 61.48 77
115,499,3 8 12,10.5,342234,72.3 61.48 77
116,497,3 8 11,10.5,342234,72.3 61.48 77
117,500,5 12 4,10.5,342215,73.16 63.21 74
118,500,5 14 2,10.5,342215,73.16 64.07 73
119,500,4 9 10,10.5,342205,72.73 61.91 76
120,499,4 9 9,10.5,342205,72.73 61.91 76
121,498,2 7 15,10.5,342176,71.87 61.04 78
122,497,2 7 14,10.5,342176,71.87 61.04 78
123,500,0 4 8,11,342162,72.67 61.15 77
124,498,0 4 7,11,342162,72.67 61.15 77
125,500,4 7 12,10.5,341859,72.73 61.04 77
126,498,4 7 11,10.5,341859,72.73 61.04 77
127,500,5 8 9,10.5,341835,73.16 61.48 76
128,499,3 6 15,10.5,341796,72.3 60.61 78
129,498,3 6 14,10.5,341796,72.3 60.61 78
130,500,1 3 7,11,341753,73.11 60.71 77
131,496,5 15 15,10,341617,71.4 62.95 76
