rank,cp,ivs,maxlevel,stat-product,stats
1,500,4 14 13,9,354054,70.72 74.72 67
2,500,3 15 14,9,353936,70.32 75.12 67
3,499,3 15 13,9,353936,70.32 75.12 67
4,499,4 13 13,9,352160,70.72 74.32 67
5,499,3 14 14,9,352053,70.32 74.72 67
6,498,3 14 13,9,352053,70.32 74.72 67
7,500,0 15 1,9.5,351946,71.14 77.3 64
8,499,2 15 15,9,351925,69.92 75.12 67
9,498,2 15 14,9,351925,69.92 75.12 67
10,496,2 15 13,9,351925,69.92 75.12 67
11,500,0 9 6,9.5,351361,71.14 74.84 66
12,500,0 1 13,9.5,351185,71.14 71.55 69
13,499,0 6 8,9.5,350805,71.14 73.6 67
14,500,5 14 11,9,350740,71.12 74.72 66
15,500,4 15 12,9,350634,70.72 75.12 66
16,499,4 15 11,9,350634,70.72 75.12 66
17,499,5 11 13,9,350342,71.12 73.52 67
18,499,4 12 14,9,350267,70.72 73.92 67
19,498,4 12 13,9,350267,70.72 73.92 67
20,499,3 13 15,9,350171,70.32 74.32 67
21,498,3 13 14,9,350171,70.32 74.32 67
22,496,3 13 13,9,350171,70.32 74.32 67
23,499,0 3 11,9.5,350074,71.14 72.37 68
24,499,0 14 1,9.5,350074,71.14 76.89 64
25,498,2 14 15,9,350053,69.92 74.72 67
26,496,2 14 14,9,350053,69.92 74.72 67
27,495,2 14 13,9,350053,69.92 74.72 67
28,496,1 15 15,9,349914,69.52 75.12 67
29,495,1 15 14,9,349914,69.52 75.12 67
30,493,1 15 13,9,349914,69.52 75.12 67
31,500,0 11 4,9.5,349840,71.14 75.66 65
32,500,1 7 6,9.5,349508,71.55 74.01 66
33,500,0 8 7,9.5,349430,71.14 74.43 66
34,499,0 8 6,9.5,349430,71.14 74.43 66
35,500,6 15 8,9,349223,71.52 75.12 65
36,500,0 0 14,9.5,349167,71.14 71.14 69
37,498,0 0 13,9.5,349167,71.14 71.14 69
38,500,6 12 11,9,348938,71.52 73.92 66
39,499,1 4 8,9.5,348891,71.55 72.78 67
40,500,5 13 12,9,348864,71.12 74.32 66
41,499,5 13 11,9,348864,71.12 74.32 66
42,499,0 5 9,9.5,348845,71.14 73.19 67
43,498,0 5 8,9.5,348845,71.14 73.19 67
44,499,4 14 12,9,348769,70.72 74.72 66
45,497,4 14 11,9,348769,70.72 74.72 66
46,497,3 15 12,9,348653,70.32 75.12 66
47,496,3 15 11,9,348653,70.32 75.12 66
48,499,6 9 13,9,348480,71.52 72.72 67
49,499,5 10 14,9,348438,71.12 73.12 67
50,498,5 10 13,9,348438,71.12 73.12 67
51,499,4 11 15,9,348373,70.72 73.52 67
52,498,4 11 14,9,348373,70.72 73.52 67
53,496,4 11 13,9,348373,70.72 73.52 67
54,499,1 12 1,9.5,348332,71.55 76.07 64
55,498,3 12 15,9,348288,70.32 73.92 67
56,496,3 12 14,9,348288,70.32 73.92 67
57,495,3 12 13,9,348288,70.32 73.92 67
58,499,0 13 2,9.5,348202,71.14 76.48 64
59,498,0 13 1,9.5,348202,71.14 76.48 64
60,496,2 13 15,9,348181,69.92 74.32 67
61,495,2 13 14,9,348181,69.92 74.32 67
62,493,2 13 13,9,348181,69.92 74.32 67
63,500,1 1 11,9.5,348096,71.55 71.55 68
64,500,0 2 12,9.5,348085,71.14 71.96 68
65,498,0 2 11,9.5,348085,71.14 71.96 68
66,495,1 14 15,9,348053,69.52 74.72 67
67,493,1 14 14,9,348053,69.52 74.72 67
68,492,1 14 13,9,348053,69.52 74.72 67
69,500,1 9 4,9.5,348037,71.55 74.84 65
70,500,0 10 5,9.5,347939,71.14 75.25 65
71,498,0 10 4,9.5,347939,71.14 75.25 65
72,493,0 15 15,9,347903,69.13 75.12 67
73,492,0 15 14,9,347903,69.13 75.12 67
74,490,0 15 13,9,347903,69.13 75.12 67
75,500,2 5 6,9.5,347611,71.96 73.19 66
76,500,1 6 7,9.5,347567,71.55 73.6 66
77,499,1 6 6,9.5,347567,71.55 73.6 66
78,499,0 7 7,9.5,347500,71.14 74.01 66
79,497,0 7 6,9.5,347500,71.14 74.01 66
80,500,7 13 8,9,347439,71.92 74.32 65
81,500,6 14 9,9,347366,71.52 74.72 65
82,498,6 14 8,9,347366,71.52 74.72 65
83,500,5 15 10,9,347273,71.12 75.12 65
84,499,5 15 9,9,347273,71.12 75.12 65
85,497,5 15 8,9,347273,71.12 75.12 65
86,500,7 10 11,9,347094,71.92 73.12 66
