rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 1 14,7,349645,71.59 66 74
2,500,0 6 9,7,349195,71.59 67.75 72
3,500,0 3 12,7,348570,71.59 66.7 73
4,499,0 14 0,7,348445,71.59 70.54 69
5,499,0 11 3,7,348245,71.59 69.49 70
6,499,0 8 6,7,347895,71.59 68.45 71
7,500,0 0 15,7,347795,71.59 65.65 74
8,499,0 0 14,7,347795,71.59 65.65 74
9,500,0 5 10,7,347395,71.59 67.4 72
10,499,0 5 9,7,347395,71.59 67.4 72
11,500,1 4 9,7,347280,71.94 67.05 72
12,500,9 15 15,6.5,347065,71.79 68.1 71
13,499,9 15 14,6.5,347065,71.79 68.1 71
14,500,10 14 14,6.5,346969,72.12 67.76 71
15,500,0 2 13,7,346745,71.59 66.35 73
16,499,0 2 12,7,346745,71.59 66.35 73
17,499,0 13 1,7,346720,71.59 70.19 69
18,498,0 13 0,7,346720,71.59 70.19 69
19,499,1 12 0,7,346678,71.94 69.84 69
20,500,1 1 12,7,346602,71.94 66 73
21,499,0 10 4,7,346495,71.59 69.14 70
22,498,0 10 3,7,346495,71.59 69.14 70
23,499,1 9 3,7,346426,71.94 68.79 70
24,499,0 7 7,7,346120,71.59 68.1 71
25,498,0 7 6,7,346120,71.59 68.1 71
26,500,1 6 7,7,346024,71.94 67.75 71
27,499,1 6 6,7,346024,71.94 67.75 71
28,500,2 5 6,7,345912,72.29 67.4 71
29,500,0 4 11,7,345595,71.59 67.05 72
30,499,0 4 10,7,345595,71.59 67.05 72
31,498,0 4 9,7,345595,71.59 67.05 72
32,500,1 3 10,7,345472,71.94 66.7 72
33,499,1 3 9,7,345472,71.94 66.7 72
34,498,8 15 15,6.5,345443,71.45 68.1 71
35,497,8 15 14,6.5,345443,71.45 68.1 71
36,500,11 15 11,6.5,345374,72.46 68.1 70
37,499,9 14 15,6.5,345355,71.79 67.76 71
38,498,9 14 14,6.5,345355,71.79 67.76 71
39,500,2 2 9,7,345331,72.29 66.35 72
40,500,10 13 15,6.5,345251,72.12 67.42 71
41,499,10 13 14,6.5,345251,72.12 67.42 71
42,500,11 12 14,6.5,345131,72.46 67.09 71
43,499,0 12 2,7,344995,71.59 69.84 69
44,498,0 12 1,7,344995,71.59 69.84 69
45,497,0 12 0,7,344995,71.59 69.84 69
46,499,1 11 1,7,344944,71.94 69.49 69
47,498,1 11 0,7,344944,71.94 69.49 69
48,499,0 1 13,7,344920,71.59 66 73
49,498,0 1 12,7,344920,71.59 66 73
50,499,2 10 0,7,344877,72.29 69.14 69
51,500,3 9 0,7,344793,72.64 68.79 69
52,500,1 0 13,7,344768,71.94 65.65 73
53,499,1 0 12,7,344768,71.94 65.65 73
54,499,0 9 5,7,344745,71.59 68.79 70
55,498,0 9 4,7,344745,71.59 68.79 70
56,497,0 9 3,7,344745,71.59 68.79 70
57,499,1 8 4,7,344668,71.94 68.45 70
58,498,1 8 3,7,344668,71.94 68.45 70
59,499,2 7 3,7,344574,72.29 68.1 70
60,500,3 6 3,7,344463,72.64 67.75 70
61,499,0 6 8,7,344345,71.59 67.75 71
62,498,0 6 7,7,344345,71.59 67.75 71
63,497,0 6 6,7,344345,71.59 67.75 71
64,500,1 5 8,7,344241,71.94 67.4 71
65,499,1 5 7,7,344241,71.94 67.4 71
66,498,1 5 6,7,344241,71.94 67.4 71
67,500,2 4 7,7,344120,72.29 67.05 71
68,499,2 4 6,7,344120,72.29 67.05 71
69,500,3 3 6,7,343981,72.64 66.7 71
70,496,7 15 15,6.5,343821,71.11 68.1 71
71,494,7 15 14,6.5,343821,71.11 68.1 71
72,499,0 3 11,7,343795,71.59 66.7 72
73,498,0 3 10,7,343795,71.59 66.7 72
74,497,0 3 9,7,343795,71.59 66.7 72
75,500,10 15 13,6.5,343775,72.12 68.1 70
76,499,10 15 12,6.5,343775,72.12 68.1 70
77,498,10 15 11,6.5,343775,72.12 68.1 70
78,497,8 14 15,6.5,343741,71.45 67.76 71
79,495,8 14 14,6.5,343741,71.45 67.76 71
80,500,11 14 12,6.5,343673,72.46 67.76 70
81,499,11 14 11,6.5,343673,72.46 67.76 70
82,500,1 2 11,7,343663,71.94 66.35 72
83,499,1 2 10,7,343663,71.94 66.35 72
84,498,1 2 9,7,343663,71.94 66.35 72
85,498,9 13 15,6.5,343645,71.79 67.42 71
86,497,9 13 14,6.5,343645,71.79 67.42 71
87,500,12 13 11,6.5,343555,72.79 67.42 70
88,499,10 12 15,6.5,343533,72.12 67.09 71
89,498,10 12 14,6.5,343533,72.12 67.09 71
90,500,2 1 10,7,343514,72.29 66 72
91,499,2 1 9,7,343514,72.29 66 72
92,500,11 11 15,6.5,343406,72.46 66.75 71
93,499,11 11 14,6.5,343406,72.46 66.75 71
94,500,3 0 9,7,343347,72.64 65.65 72
95,498,0 11 2,7,343270,71.59 69.49 69
96,497,0 11 1,7,343270,71.59 69.49 69
97,496,0 11 0,7,343270,71.59 69.49 69
98,500,12 10 14,6.5,343262,72.79 66.42 71
99,499,1 10 2,7,343211,71.94 69.14 69
100,498,1 10 1,7,343211,71.94 69.14 69
101,497,1 10 0,7,343211,71.94 69.14 69
102,499,2 9 1,7,343135,72.29 68.79 69
103,498,2 9 0,7,343135,72.29 68.79 69
104,497,0 0 13,7,343095,71.59 65.65 73
105,496,0 0 12,7,343095,71.59 65.65 73
106,500,3 8 1,7,343042,72.64 68.45 69
107,499,3 8 0,7,343042,72.64 68.45 69
108,498,0 8 5,7,342995,71.59 68.45 70
109,497,0 8 4,7,342995,71.59 68.45 70
110,496,0 8 3,7,342995,71.59 68.45 70
111,500,4 7 0,7,342933,72.99 68.1 69
112,499,1 7 5,7,342909,71.94 68.1 70
113,498,1 7 4,7,342909,71.94 68.1 70
114,497,1 7 3,7,342909,71.94 68.1 70
115,500,2 6 5,7,342807,72.29 67.75 70
116,499,2 6 4,7,342807,72.29 67.75 70
117,498,2 6 3,7,342807,72.29 67.75 70
118,500,3 5 4,7,342687,72.64 67.4 70
119,499,3 5 3,7,342687,72.64 67.4 70
120,498,0 5 8,7,342570,71.59 67.4 71
121,497,0 5 7,7,342570,71.59 67.4 71
122,496,0 5 6,7,342570,71.59 67.4 71
123,500,4 4 3,7,342551,72.99 67.05 70
124,499,1 4 8,7,342457,71.94 67.05 71
125,498,1 4 7,7,342457,71.94 67.05 71
126,497,1 4 6,7,342457,71.94 67.05 71
127,500,2 3 8,7,342327,72.29 66.7 71
128,499,2 3 7,7,342327,72.29 66.7 71
129,498,2 3 6,7,342327,72.29 66.7 71
130,493,6 15 15,6.5,342199,70.78 68.1 71
131,492,6 15 14,6.5,342199,70.78 68.1 71
132,500,3 2 7,7,342180,72.64 66.35 71
133,499,3 2 6,7,342180,72.64 66.35 71
134,498,9 15 13,6.5,342176,71.79 68.1 70
135,497,9 15 12,6.5,342176,71.79 68.1 70
136,495,9 15 11,6.5,342176,71.79 68.1 70
137,494,7 14 15,6.5,342127,71.11 67.76 71
138,493,7 14 14,6.5,342127,71.11 67.76 71
139,499,10 14 13,6.5,342082,72.12 67.76 70
140,498,10 14 12,6.5,342082,72.12 67.76 70
141,497,10 14 11,6.5,342082,72.12 67.76 70
142,495,8 13 15,6.5,342039,71.45 67.42 71
143,494,8 13 14,6.5,342039,71.45 67.42 71
144,500,4 1 6,7,342016,72.99 66 71
145,500,12 15 9,6.5,342016,72.79 68.1 69
146,499,12 15 8,6.5,342016,72.79 68.1 69
147,498,0 2 11,7,341995,71.59 66.35 72
148,496,0 2 10,7,341995,71.59 66.35 72
149,495,0 2 9,7,341995,71.59 66.35 72
150,500,11 13 13,6.5,341972,72.46 67.42 70
151,499,11 13 12,6.5,341972,72.46 67.42 70
152,498,11 13 11,6.5,341972,72.46 67.42 70
