rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 9 4,6.5,315536,79.5 68.43 58
2,500,10 15 15,6,315511,79.31 67.43 59
3,500,0 2 10,6.5,315216,79.5 66.08 60
4,500,0 5 7,6.5,314682,79.5 67.09 59
5,500,0 12 1,6.5,314656,79.5 69.44 57
6,498,9 15 15,6,314234,78.99 67.43 59
7,499,10 14 15,6,314009,79.31 67.11 59
8,499,0 8 4,6.5,313989,79.5 68.1 58
9,500,11 13 15,6,313771,79.63 66.79 59
10,500,1 7 4,6.5,313761,79.84 67.76 58
11,500,0 1 11,6.5,313616,79.5 65.75 60
12,499,0 1 10,6.5,313616,79.5 65.75 60
13,500,1 0 10,6.5,313332,79.84 65.41 60
14,500,0 11 2,6.5,313136,79.5 69.1 57
15,499,0 11 1,6.5,313136,79.5 69.1 57
16,500,0 4 8,6.5,313109,79.5 66.75 59
17,499,0 4 7,6.5,313109,79.5 66.75 59
18,496,8 15 15,6,312956,78.67 67.43 59
19,499,1 10 1,6.5,312930,79.84 68.77 57
20,499,1 3 7,6.5,312850,79.84 66.42 59
21,497,9 14 15,6,312737,78.99 67.11 59
22,500,2 9 1,6.5,312712,80.17 68.43 57
23,500,12 15 12,6,312675,79.95 67.43 58
24,500,2 2 7,6.5,312578,80.17 66.08 59
25,498,10 13 15,6,312506,79.31 66.79 59
26,499,0 7 5,6.5,312442,79.5 67.76 58
27,498,0 7 4,6.5,312442,79.5 67.76 58
28,498,11 12 15,6,312263,79.63 66.47 59
29,500,1 6 5,6.5,312207,79.84 67.42 58
30,499,1 6 4,6.5,312207,79.84 67.42 58
31,499,0 0 11,6.5,312016,79.5 65.41 60
32,498,0 0 10,6.5,312016,79.5 65.41 60
33,499,12 11 15,6,312007,79.95 66.14 59
34,500,2 5 4,6.5,311959,80.17 67.09 58
35,500,13 10 15,6,311740,80.27 65.82 59
36,494,7 15 15,6,311679,78.35 67.43 59
37,500,0 10 3,6.5,311616,79.5 68.77 57
38,499,0 10 2,6.5,311616,79.5 68.77 57
