rank,cp,ivs,maxlevel,stat-product,stats
1,499,3 15 14,8.5,315536,79.07 55.43 72
2,500,4 14 14,8.5,314865,79.46 55.04 72
3,498,2 15 15,8.5,313989,78.68 55.43 72
4,497,2 15 14,8.5,313989,78.68 55.43 72
5,499,3 14 15,8.5,313329,79.07 55.04 72
6,498,3 14 14,8.5,313329,79.07 55.04 72
7,500,4 15 13,8.5,312679,79.46 55.43 71
8,499,4 15 12,8.5,312679,79.46 55.43 71
9,500,4 13 15,8.5,312648,79.46 54.65 72
10,498,4 13 14,8.5,312648,79.46 54.65 72
11,496,1 15 15,8.5,312442,78.29 55.43 72
12,494,1 15 14,8.5,312442,78.29 55.43 72
13,500,5 14 12,8.5,312007,79.84 55.04 71
14,500,5 12 15,8.5,311945,79.84 54.26 72
15,499,5 12 14,8.5,311945,79.84 54.26 72
16,496,2 14 15,8.5,311793,78.68 55.04 72
17,495,2 14 14,8.5,311793,78.68 55.04 72
18,500,0 5 11,9,311566,80.31 53.14 73
19,500,6 13 12,8.5,311313,80.23 54.65 71
20,500,6 15 9,8.5,311282,80.23 55.43 70
21,500,6 11 14,8.5,311220,80.23 53.88 72
22,498,3 15 13,8.5,311153,79.07 55.43 71
23,497,3 15 12,8.5,311153,79.07 55.43 71
24,497,3 13 15,8.5,311123,79.07 54.65 72
25,496,3 13 14,8.5,311123,79.07 54.65 72
26,500,0 3 14,9,311084,80.31 52.34 74
27,493,0 15 15,8.5,310895,77.91 55.43 72
28,492,0 15 14,8.5,310895,77.91 55.43 72
29,500,7 14 9,8.5,310599,80.62 55.04 70
30,499,4 14 13,8.5,310492,79.46 55.04 71
31,497,4 14 12,8.5,310492,79.46 55.04 71
32,500,7 10 14,8.5,310474,80.62 53.49 72
33,498,4 12 15,8.5,310430,79.46 54.26 72
34,496,4 12 14,8.5,310430,79.46 54.26 72
35,494,1 14 15,8.5,310257,78.29 55.04 72
36,493,1 14 14,8.5,310257,78.29 55.04 72
37,500,0 10 4,9,309993,80.31 55.14 70
38,500,0 12 2,9,309993,80.31 55.94 69
39,499,0 12 1,9,309993,80.31 55.94 69
40,500,0 8 7,9,309865,80.31 54.34 71
41,499,0 8 6,9,309865,80.31 54.34 71
42,499,5 13 13,8.5,309809,79.84 54.65 71
43,498,5 13 12,8.5,309809,79.84 54.65 71
44,500,5 15 11,8.5,309778,79.84 55.43 70
45,499,5 15 10,8.5,309778,79.84 55.43 70
46,497,5 15 9,8.5,309778,79.84 55.43 70
47,498,5 11 15,8.5,309717,79.84 53.88 72
48,497,5 11 14,8.5,309717,79.84 53.88 72
49,496,2 15 13,8.5,309628,78.68 55.43 71
50,494,2 15 12,8.5,309628,78.68 55.43 71
51,499,0 6 9,9,309608,80.31 53.54 72
52,495,2 13 15,8.5,309598,78.68 54.65 72
53,493,2 13 14,8.5,309598,78.68 54.65 72
54,500,1 11 1,9,309310,80.71 55.54 69
55,500,1 9 4,9,309278,80.71 54.74 70
56,500,0 4 12,9,309223,80.31 52.74 73
57,498,0 4 11,9,309223,80.31 52.74 73
58,499,1 7 6,9,309117,80.71 53.94 71
59,500,6 12 13,8.5,309105,80.23 54.26 71
60,499,6 12 12,8.5,309105,80.23 54.26 71
