rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 11 9,9.5,422186,59.21 83.88 85
2,500,0 6 14,9.5,421528,59.21 81.83 87
3,500,0 13 7,9.5,421309,59.21 84.71 84
4,500,0 8 12,9.5,420871,59.21 82.65 86
5,500,5 15 15,9,420579,59.54 83.11 85
6,500,0 15 5,9.5,420335,59.21 85.53 83
7,499,0 15 4,9.5,420335,59.21 85.53 83
8,500,0 10 10,9.5,420116,59.21 83.47 85
9,499,0 10 9,9.5,420116,59.21 83.47 85
10,500,0 5 15,9.5,419410,59.21 81.42 87
11,498,0 5 14,9.5,419410,59.21 81.42 87
12,500,0 12 8,9.5,419264,59.21 84.29 84
13,499,0 12 7,9.5,419264,59.21 84.29 84
14,500,1 13 4,9.5,419185,59.62 84.71 83
15,500,1 8 9,9.5,418866,59.62 82.65 85
16,500,0 7 13,9.5,418777,59.21 82.24 86
17,498,0 7 12,9.5,418777,59.21 82.24 86
18,499,5 14 15,9,418557,59.54 82.71 85
19,500,0 14 6,9.5,418315,59.21 85.12 83
20,499,0 14 5,9.5,418315,59.21 85.12 83
21,497,0 14 4,9.5,418315,59.21 85.12 83
22,500,1 15 2,9.5,418155,59.62 85.53 82
23,500,1 3 15,9.5,418057,59.62 80.59 87
24,499,1 3 14,9.5,418057,59.62 80.59 87
25,500,1 10 7,9.5,418057,59.62 83.47 84
26,500,0 9 11,9.5,418047,59.21 83.06 85
27,499,0 9 10,9.5,418047,59.21 83.06 85
28,497,0 9 9,9.5,418047,59.21 83.06 85
29,497,4 15 15,9,417757,59.14 83.11 85
30,499,1 5 12,9.5,417469,59.62 81.42 86
31,500,6 12 15,9,417295,59.94 81.91 85
32,498,0 4 15,9.5,417292,59.21 81.01 87
33,497,0 4 14,9.5,417292,59.21 81.01 87
34,499,0 11 8,9.5,417219,59.21 83.88 84
35,497,0 11 7,9.5,417219,59.21 83.88 84
36,500,1 12 5,9.5,417150,59.62 84.29 83
37,498,1 12 4,9.5,417150,59.62 84.29 83
38,500,1 7 10,9.5,416782,59.62 82.24 85
39,498,1 7 9,9.5,416782,59.62 82.24 85
40,498,0 6 13,9.5,416683,59.21 81.83 86
41,497,0 6 12,9.5,416683,59.21 81.83 86
42,500,2 1 14,9.5,416645,60.03 79.77 87
43,498,5 13 15,9,416535,59.54 82.31 85
44,500,6 14 13,9,416409,59.94 82.71 84
45,499,0 13 6,9.5,416294,59.21 84.71 83
46,497,0 13 5,9.5,416294,59.21 84.71 83
47,496,0 13 4,9.5,416294,59.21 84.71 83
48,500,1 14 3,9.5,416145,59.62 85.12 82
49,498,1 14 2,9.5,416145,59.62 85.12 82
50,500,2 3 12,9.5,416102,60.03 80.59 86
51,500,1 9 8,9.5,415998,59.62 83.06 84
52,498,1 9 7,9.5,415998,59.62 83.06 84
53,499,0 8 11,9.5,415977,59.21 82.65 85
54,497,0 8 10,9.5,415977,59.21 82.65 85
55,496,0 8 9,9.5,415977,59.21 82.65 85
56,499,2 10 4,9.5,415929,60.03 83.47 83
57,499,1 2 15,9.5,415924,59.62 80.18 87
58,498,1 2 14,9.5,415924,59.62 80.18 87
59,500,2 15 0,9.5,415904,60.03 85.53 81
60,496,4 14 15,9,415748,59.14 82.71 85
61,499,5 15 14,9,415631,59.54 83.11 84
