rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 14 15,29,434936,57.55 39.57 191
2,500,1 15 13,28.5,433726,57.77 39.94 188
3,500,0 15 10,29,433570,57.55 40.29 187
4,499,0 15 9,29,433570,57.55 40.29 187
5,499,0 14 14,29,432659,57.55 39.57 190
6,500,0 13 11,29.5,432118,58.05 39.18 190
7,499,1 15 12,28.5,431419,57.77 39.94 187
8,500,2 15 15,28,431376,57.96 39.59 188
9,498,0 15 8,29,431251,57.55 40.29 186
10,500,0 14 6,29.5,430854,58.05 39.91 186
11,500,0 12 15,29.5,430812,58.05 38.46 193
12,496,0 15 15,28.5,430650,57.05 39.94 189
13,498,0 14 13,29,430382,57.55 39.57 189
14,497,0 14 12,29,430382,57.55 39.57 189
15,500,0 13 10,29.5,429844,58.05 39.18 189
16,500,1 15 4,29,429599,58.27 40.29 183
17,500,0 15 1,29.5,429254,58.05 40.63 182
18,499,0 15 0,29.5,429254,58.05 40.63 182
19,499,1 15 11,28.5,429112,57.77 39.94 186
20,498,1 15 10,28.5,429112,57.77 39.94 186
21,499,2 15 14,28,429081,57.96 39.59 187
22,497,0 15 7,29,428933,57.55 40.29 185
23,500,1 14 8,29,428845,58.27 39.57 186
24,499,0 12 14,29.5,428580,58.05 38.46 192
25,499,0 14 5,29.5,428538,58.05 39.91 185
26,498,0 14 4,29.5,428538,58.05 39.91 185
27,495,0 15 14,28.5,428371,57.05 39.94 188
28,494,0 15 13,28.5,428371,57.05 39.94 188
29,498,1 14 15,28.5,428247,57.77 39.22 189
30,497,0 14 11,29,428105,57.55 39.57 188
31,500,0 13 2,30,427879,58.54 39.51 185
32,500,1 13 13,29,427838,58.27 38.85 189
33,499,1 13 12,29,427838,58.27 38.85 189
34,500,0 11 12,30,427622,58.54 38.05 192
35,499,0 13 9,29.5,427569,58.05 39.18 188
36,500,2 15 6,28.5,427403,58.48 39.94 183
37,499,1 15 3,29,427252,58.27 40.29 182
38,498,1 15 2,29,427252,58.27 40.29 182
39,496,0 13 15,29,427028,57.55 38.85 191
40,497,1 15 9,28.5,426805,57.77 39.94 185
41,498,2 15 13,28,426787,57.96 39.59 186
42,500,0 12 7,30,426766,58.54 38.78 188
43,499,0 12 6,30,426766,58.54 38.78 188
44,500,2 14 11,28.5,426652,58.48 39.22 186
45,499,2 14 10,28.5,426652,58.48 39.22 186
46,496,0 15 6,29,426614,57.55 40.29 184
47,495,0 15 5,29,426614,57.55 40.29 184
48,500,3 14 14,28,426558,58.67 38.88 187
49,499,1 14 7,29,426539,58.27 39.57 185
50,498,0 12 13,29.5,426348,58.05 38.46 191
51,497,0 14 3,29.5,426221,58.05 39.91 184
52,493,1 15 15,28,426115,57.26 39.59 188
53,493,0 15 12,28.5,426093,57.05 39.94 187
54,500,1 13 4,29.5,426006,58.77 39.18 185
55,497,1 14 14,28.5,425981,57.77 39.22 188
56,496,1 14 13,28.5,425981,57.77 39.22 188
57,496,0 14 10,29,425827,57.55 39.57 187
58,495,0 14 9,29,425827,57.55 39.57 187
59,500,1 11 14,29.5,425750,58.77 37.73 192
60,499,2 13 15,28.5,425651,58.48 38.51 189
61,498,1 13 11,29,425575,58.27 38.85 188
62,499,0 13 1,30,425566,58.54 39.51 184
63,499,0 11 11,30,425395,58.54 38.05 191
64,498,0 13 8,29.5,425295,58.05 39.18 187
65,497,0 13 7,29.5,425295,58.05 39.18 187
66,500,0 10 12,30.5,425095,58.78 37.47 193
67,499,2 15 5,28.5,425067,58.48 39.94 182
68,500,3 15 9,28,425024,58.67 39.59 183
69,499,3 15 8,28,425024,58.67 39.59 183
70,497,1 15 1,29,424904,58.27 40.29 181
71,500,1 12 9,29.5,424897,58.77 38.46 188
72,500,2 14 2,29,424803,58.99 39.57 182
73,495,0 13 14,29,424792,57.55 38.85 190
74,500,4 15 12,27.5,424770,58.85 39.23 184
75,496,1 15 8,28.5,424498,57.77 39.94 184
76,498,0 12 5,30,424495,58.54 38.78 187
77,497,2 15 12,28,424492,57.96 39.59 185
78,496,2 15 11,28,424492,57.96 39.59 185
79,500,0 11 7,30.5,424447,58.78 38.21 189
80,497,1 12 15,29,424359,58.27 38.13 191
81,498,2 14 9,28.5,424358,58.48 39.22 185
82,494,0 15 4,29,424295,57.55 40.29 183
83,499,3 14 13,28,424277,58.67 38.88 186
84,497,3 15 15,27.5,424276,58.15 39.23 186
85,498,1 14 6,29,424233,58.27 39.57 184
86,497,1 14 5,29,424233,58.27 39.57 184
87,500,0 10 8,31,424165,59.02 37.63 191
88,497,0 12 12,29.5,424116,58.05 38.46 190
89,496,0 12 11,29.5,424116,58.05 38.46 190
90,500,2 13 7,29,423954,58.99 38.85 185
91,496,0 14 2,29.5,423905,58.05 39.91 183
92,493,1 15 14,28,423849,57.26 39.59 187
93,492,0 15 11,28.5,423814,57.05 39.94 186
94,498,0 10 15,30,423767,58.54 37.32 194
95,495,1 14 12,28.5,423715,57.77 39.22 187
96,499,1 13 3,29.5,423703,58.77 39.18 184
97,495,2 14 15,28,423673,57.96 38.88 188
98,494,0 14 8,29,423550,57.55 39.57 186
99,499,1 11 13,29.5,423532,58.77 37.73 191
100,500,0 12 2,30.5,423453,58.78 38.94 185
101,499,0 12 1,30.5,423453,58.78 38.94 185
102,500,0 11 3,31,423424,59.02 38.36 187
103,498,2 13 14,28.5,423399,58.48 38.51 188
104,497,2 13 13,28.5,423399,58.48 38.51 188
105,497,1 13 10,29,423311,58.27 38.85 187
106,496,1 13 9,29,423311,58.27 38.85 187
107,498,0 13 0,30,423253,58.54 39.51 183
108,498,0 11 10,30,423168,58.54 38.05 190
109,498,0 11 9,30,423168,58.54 38.05 190
110,500,3 15 0,28.5,423159,59.19 39.94 179
111,496,0 13 6,29.5,423021,58.05 39.18 186
112,499,0 10 11,30.5,422892,58.78 37.47 192
113,500,2 12 11,29,422850,58.99 38.13 188
114,498,2 15 4,28.5,422732,58.48 39.94 181
115,497,2 15 3,28.5,422732,58.48 39.94 181
116,498,3 15 7,28,422701,58.67 39.59 182
117,495,0 11 15,29.5,422684,58.05 37.73 193
118,499,1 12 8,29.5,422637,58.77 38.46 187
119,498,1 12 7,29.5,422637,58.77 38.46 187
120,500,3 14 5,28.5,422568,59.19 39.22 182
121,494,0 13 13,29,422557,57.55 38.85 189
122,493,0 13 12,29,422557,57.55 38.85 189
123,496,1 15 0,29,422557,58.27 40.29 180
124,499,2 14 1,29,422469,58.99 39.57 181
125,500,4 14 8,28,422463,59.38 38.88 183
126,499,4 15 11,27.5,422462,58.85 39.23 183
127,500,0 9 13,31,422379,59.02 36.89 194
128,499,0 9 12,31,422379,59.02 36.89 194
129,497,0 12 4,30,422225,58.54 38.78 186
130,499,0 11 6,30.5,422201,58.78 38.21 188
131,498,0 11 5,30.5,422201,58.78 38.21 188
132,495,2 15 10,28,422198,57.96 39.59 184
133,495,1 15 7,28.5,422191,57.77 39.94 183
134,494,1 15 6,28.5,422191,57.77 39.94 183
135,496,1 12 14,29,422137,58.27 38.13 190
136,497,2 14 8,28.5,422065,58.48 39.22 184
137,499,5 15 15,27,422010,59 38.87 184
138,498,3 14 12,28,421996,58.67 38.88 185
139,497,3 14 11,28,421996,58.67 38.88 185
140,496,3 15 14,27.5,421994,58.15 39.23 185
141,493,0 15 3,29,421977,57.55 40.29 182
142,492,0 15 2,29,421977,57.55 40.29 182
143,499,0 10 7,31,421944,59.02 37.63 190
144,496,1 14 4,29,421928,58.27 39.57 183
145,495,0 12 10,29.5,421883,58.05 38.46 189
146,500,3 13 9,28.5,421724,59.19 38.51 185
147,498,4 14 15,27.5,421720,58.85 38.53 186
148,500,1 11 5,30,421692,59.27 38.05 187
149,499,2 13 6,29,421662,58.99 38.85 184
150,498,2 13 5,29,421662,58.99 38.85 184
151,500,0 8 14,31.5,421625,59.26 36.3 196
152,495,0 14 1,29.5,421589,58.05 39.91 182
153,494,0 14 0,29.5,421589,58.05 39.91 182
154,497,0 10 14,30,421583,58.54 37.32 193
155,496,0 10 13,30,421583,58.54 37.32 193
156,499,2 11 15,29,421492,58.99 37.41 191
157,500,0 9 9,31.5,421450,59.26 37.04 192
158,494,1 14 11,28.5,421449,57.77 39.22 186
159,493,1 14 10,28.5,421449,57.77 39.22 186
160,494,2 14 14,28,421419,57.96 38.88 187
161,498,1 13 2,29.5,421400,58.77 39.18 183
