rank,cp,ivs,maxlevel,stat-product,stats
1,499,4 15 13,9,263597,94.3 52.74 53
2,499,5 14 13,9,262709,94.7 52.34 53
3,500,3 15 15,9,262480,93.9 52.74 53
4,498,3 15 14,9,262480,93.9 52.74 53
5,497,3 15 13,9,262480,93.9 52.74 53
6,500,0 9 9,9.5,261955,95.4 51.81 53
7,499,6 13 13,9,261803,95.1 51.94 53
8,499,4 14 14,9,261600,94.3 52.34 53
9,497,4 14 13,9,261600,94.3 52.34 53
10,498,2 15 15,9,261363,93.5 52.74 53
11,496,2 15 14,9,261363,93.5 52.74 53
12,495,2 15 13,9,261363,93.5 52.74 53
13,500,0 11 7,9.5,261092,95.4 52.63 52
14,499,0 4 14,9.5,261052,95.4 49.75 55
15,500,1 8 9,9.5,260996,95.81 51.4 53
16,499,7 12 13,9,260881,95.5 51.54 53
17,499,6 15 11,9,260815,95.1 52.74 52
18,499,5 13 14,9,260703,94.7 51.94 53
19,497,5 13 13,9,260703,94.7 51.94 53
20,499,0 6 12,9.5,260543,95.4 50.58 54
21,498,3 14 15,9,260492,93.9 52.34 53
22,497,3 14 14,9,260492,93.9 52.34 53
23,495,3 14 13,9,260492,93.9 52.34 53
24,496,1 15 15,9,260246,93.1 52.74 53
25,494,1 15 14,9,260246,93.1 52.74 53
26,492,1 15 13,9,260246,93.1 52.74 53
27,500,1 10 7,9.5,260169,95.81 52.22 52
28,500,0 13 5,9.5,260072,95.4 53.46 51
29,500,2 7 9,9.5,260019,96.22 50.99 53
30,499,1 3 14,9.5,260011,95.81 49.34 55
31,499,1 15 2,9.5,260011,95.81 54.28 50
32,499,8 11 13,9,259942,95.9 51.14 53
33,499,7 14 11,9,259927,95.5 52.34 52
34,500,0 8 10,9.5,259876,95.4 51.4 53
35,498,0 8 9,9.5,259876,95.4 51.4 53
36,499,6 12 14,9,259789,95.1 51.54 53
37,497,6 12 13,9,259789,95.1 51.54 53
38,499,5 15 12,9,259720,94.7 52.74 52
39,497,5 15 11,9,259720,94.7 52.74 52
40,499,4 13 15,9,259603,94.3 51.94 53
41,497,4 13 14,9,259603,94.3 51.94 53
42,495,4 13 13,9,259603,94.3 51.94 53
43,499,1 5 12,9.5,259538,95.81 50.17 54
44,496,2 14 15,9,259383,93.5 52.34 53
45,494,2 14 14,9,259383,93.5 52.34 53
46,493,2 14 13,9,259383,93.5 52.34 53
47,500,2 9 7,9.5,259228,96.22 51.81 52
48,500,1 12 5,9.5,259184,95.81 53.04 51
49,500,2 14 2,9.5,259149,96.22 53.87 50
50,494,0 15 15,9,259129,92.7 52.74 53
51,492,0 15 14,9,259129,92.7 52.74 53
52,490,0 15 13,9,259129,92.7 52.74 53
53,500,0 10 8,9.5,259052,95.4 52.22 52
