rank,cp,ivs,maxlevel,stat-product,stats
1,498,15 15 15,5,311717,79.82 60.08 65
2,497,14 15 15,5,310583,79.53 60.08 65
3,497,15 14 15,5,310211,79.82 59.79 65
4,495,13 15 15,5,309449,79.24 60.08 65
5,495,14 14 15,5,309083,79.53 59.79 65
6,496,15 13 15,5,308705,79.82 59.5 65
7,493,12 15 15,5,308316,78.95 60.08 65
8,494,13 14 15,5,307955,79.24 59.79 65
9,494,14 13 15,5,307582,79.53 59.5 65
10,495,15 12 15,5,307199,79.82 59.21 65
11,491,11 15 15,5,307182,78.66 60.08 65
12,497,15 15 14,5,306921,79.82 60.08 64
13,496,15 15 13,5,306921,79.82 60.08 64
14,495,15 15 12,5,306921,79.82 60.08 64
15,492,12 14 15,5,306827,78.95 59.79 65
16,492,13 13 15,5,306460,79.24 59.5 65
17,493,14 12 15,5,306082,79.53 59.21 65
18,489,10 15 15,5,306049,78.37 60.08 65
19,495,14 15 14,5,305805,79.53 60.08 64
20,494,14 15 13,5,305805,79.53 60.08 64
21,493,14 15 12,5,305805,79.53 60.08 64
22,490,11 14 15,5,305698,78.66 59.79 65
23,494,15 11 15,5,305693,79.82 58.92 65
24,496,15 14 14,5,305438,79.82 59.79 64
25,495,15 14 13,5,305438,79.82 59.79 64
26,494,15 14 12,5,305438,79.82 59.79 64
27,491,12 13 15,5,305337,78.95 59.5 65
28,491,13 12 15,5,304965,79.24 59.21 65
29,494,13 15 14,5,304689,79.24 60.08 64
30,493,13 15 13,5,304689,79.24 60.08 64
31,491,13 15 12,5,304689,79.24 60.08 64
32,492,14 11 15,5,304581,79.53 58.92 65
33,488,10 14 15,5,304570,78.37 59.79 65
34,494,14 14 14,5,304327,79.53 59.79 64
35,493,14 14 13,5,304327,79.53 59.79 64
36,492,14 14 12,5,304327,79.53 59.79 64
37,489,11 13 15,5,304214,78.66 59.5 65
38,492,15 10 15,5,304187,79.82 58.63 65
39,495,15 13 14,5,303955,79.82 59.5 64
40,494,15 13 13,5,303955,79.82 59.5 64
41,493,15 13 12,5,303955,79.82 59.5 64
42,489,12 12 15,5,303848,78.95 59.21 65
43,492,12 15 14,5,303573,78.95 60.08 64
44,491,12 15 13,5,303573,78.95 60.08 64
45,490,12 15 12,5,303573,78.95 60.08 64
