rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 12,20,387634,64.52 67.51 89
2,500,0 13 15,20,385052,64.52 66.31 90
3,499,0 13 14,20,385052,64.52 66.31 90
4,499,2 15 14,19.5,384946,64.89 66.66 89
5,500,1 13 12,20,384299,65.12 66.31 89
6,499,0 14 13,20,384204,64.52 66.91 89
7,497,0 14 12,20,384204,64.52 66.91 89
8,500,1 14 11,20,383404,65.12 66.91 88
9,498,0 15 11,20,383279,64.52 67.51 88
10,500,0 12 9,20.5,382434,65.32 66.53 88
11,499,1 15 9,20,382432,65.12 67.51 87
12,500,1 11 15,20,381615,65.12 65.12 90
13,499,1 11 14,20,381615,65.12 65.12 90
14,498,0 12 15,20,381583,64.52 65.71 90
15,496,0 12 14,20,381583,64.52 65.71 90
16,500,3 13 14,19.5,381570,65.48 65.48 89
17,499,2 14 15,19.5,381539,64.89 66.07 89
18,497,2 14 14,19.5,381539,64.89 66.07 89
19,499,0 13 7,20.5,381525,65.32 67.14 87
20,500,2 15 7,20,381504,65.71 67.51 86
21,497,1 15 15,19.5,381446,64.3 66.66 89
22,495,1 15 14,19.5,381446,64.3 66.66 89
23,499,0 8 14,20.5,381090,65.32 64.11 91
24,500,2 11 12,20,380837,65.71 65.12 89
25,499,1 12 13,20,380837,65.12 65.71 89
26,498,1 12 12,20,380837,65.12 65.71 89
27,497,0 13 13,20,380773,64.52 66.31 89
28,495,0 13 12,20,380773,64.52 66.31 89
29,500,3 14 13,19.5,380682,65.48 66.07 88
30,498,2 15 13,19.5,380621,64.89 66.66 88
31,499,0 14 6,20.5,380537,65.32 67.74 86
32,500,0 9 13,20.5,380458,65.32 64.72 90
33,498,0 9 12,20.5,380458,65.32 64.72 90
34,500,2 12 11,20,380013,65.71 65.71 88
35,498,1 13 11,20,379981,65.12 66.31 88
36,496,0 14 11,20,379887,64.52 66.91 88
37,499,0 10 11,20.5,379747,65.32 65.32 89
38,499,3 15 11,19.5,379716,65.48 66.66 87
39,500,0 15 5,20.5,379471,65.32 68.35 85
40,498,0 15 4,20.5,379471,65.32 68.35 85
41,499,2 13 9,20,379110,65.71 66.31 87
42,499,1 14 10,20,379048,65.12 66.91 87
43,497,1 14 9,20,379048,65.12 66.91 87
44,500,1 10 9,20.5,378957,65.93 65.32 88
45,500,0 11 10,20.5,378957,65.32 65.93 88
46,498,0 11 9,20.5,378957,65.32 65.93 88
47,496,0 15 10,20,378923,64.52 67.51 87
48,495,0 15 9,20,378923,64.52 67.51 87
49,500,4 15 9,19.5,378733,66.07 66.66 86
50,499,1 15 2,20.5,378478,65.93 68.35 84
51,500,0 12 2,21,378408,66.11 67.34 85
52,500,3 13 7,20,378159,66.31 66.31 86
53,499,3 12 15,19.5,378133,65.48 64.89 89
54,497,3 12 14,19.5,378133,65.48 64.89 89
55,497,2 13 15,19.5,378133,64.89 65.48 89
56,495,2 13 14,19.5,378133,64.89 65.48 89
57,500,2 14 8,20,378128,65.71 66.91 86
58,498,2 14 7,20,378128,65.71 66.91 86
59,499,1 11 7,20.5,378120,65.93 65.93 87
60,498,1 10 15,20,378114,65.12 64.52 90
61,496,1 10 14,20,378114,65.12 64.52 90
62,496,0 11 15,20,378114,64.52 65.12 90
63,494,0 11 14,20,378114,64.52 65.12 90
64,498,0 12 8,20.5,378088,65.32 66.53 87
65,497,0 12 7,20.5,378088,65.32 66.53 87
66,499,4 11 14,19.5,378071,66.07 64.3 89
67,494,1 14 15,19.5,378071,64.3 66.07 89
68,493,1 14 14,19.5,378071,64.3 66.07 89
69,500,2 9 15,20,378050,65.71 63.92 90
70,499,2 9 14,20,378050,65.71 63.92 90
71,497,1 15 8,20,378036,65.12 67.51 86
72,496,1 15 7,20,378036,65.12 67.51 86
73,492,0 15 15,19.5,377947,63.71 66.66 89
74,490,0 15 14,19.5,377947,63.71 66.66 89
75,499,5 14 15,19,377608,65.8 65.22 88
76,497,4 15 15,19,377608,65.22 65.8 88
77,500,0 8 7,21,377518,66.11 64.89 88
78,499,0 7 15,20.5,377495,65.32 63.51 91
79,497,0 7 14,20.5,377495,65.32 63.51 91
80,497,1 11 13,20,377375,65.12 65.12 89
81,495,1 11 12,20,377375,65.12 65.12 89
82,499,1 6 14,20.5,377362,65.93 62.9 91
83,500,0 13 1,21,377356,66.11 67.95 84
84,499,2 10 13,20,377343,65.71 64.52 89
85,497,2 10 12,20,377343,65.71 64.52 89
86,495,0 12 13,20,377343,64.52 65.71 89
87,493,0 12 12,20,377343,64.52 65.71 89
88,498,3 13 13,19.5,377283,65.48 65.48 88
89,500,4 12 13,19.5,377252,66.07 64.89 88
90,496,2 14 13,19.5,377252,64.89 66.07 88
91,500,3 9 12,20,377248,66.31 63.92 89
92,500,1 12 6,20.5,377203,65.93 66.53 86
93,493,1 15 13,19.5,377160,64.3 66.66 88
94,497,0 13 6,20.5,377140,65.32 67.14 86
95,499,2 15 6,20,377068,65.71 67.51 85
96,498,0 8 13,20.5,376903,65.32 64.11 90
97,496,0 8 12,20.5,376903,65.32 64.11 90
98,500,1 7 13,20.5,376804,65.93 63.51 90
99,498,1 7 12,20.5,376804,65.93 63.51 90
100,500,0 9 6,21,376749,66.11 65.5 87
101,500,5 15 14,19,376650,65.8 65.8 87
102,498,5 15 13,19,376650,65.8 65.8 87
103,500,2 6 12,20.5,376639,66.53 62.9 90
104,500,6 14 13,19,376620,66.38 65.22 87
105,498,2 11 11,20,376558,65.71 65.12 88
106,496,1 12 11,20,376558,65.12 65.71 88
107,500,3 10 11,20,376495,66.31 64.52 88
108,494,0 13 11,20,376495,64.52 66.31 88
109,498,0 2 15,21,376385,66.11 61.22 93
110,499,4 13 11,19.5,376356,66.07 65.48 87
111,498,3 14 12,19.5,376356,65.48 66.07 87
