rank,cp,ivs,maxlevel,stat-product,stats
1,500,14 15 13,5,291233,85.91 66.47 51
2,500,13 15 14,5,290249,85.62 66.47 51
3,498,13 15 13,5,290249,85.62 66.47 51
4,500,14 14 14,5,289961,85.91 66.18 51
5,499,14 14 13,5,289961,85.91 66.18 51
6,500,15 13 13,5,289665,86.2 65.89 51
7,500,0 1 4,5.5,289643,86.31 65.8 51
8,500,12 15 15,5,289265,85.33 66.47 51
9,498,12 15 14,5,289265,85.33 66.47 51
10,497,12 15 13,5,289265,85.33 66.47 51
11,500,0 5 1,5.5,289247,86.31 67.03 50
12,500,13 14 15,5,288982,85.62 66.18 51
13,499,13 14 14,5,288982,85.62 66.18 51
14,497,13 14 13,5,288982,85.62 66.18 51
15,499,14 13 14,5,288690,85.91 65.89 51
16,498,14 13 13,5,288690,85.91 65.89 51
17,500,15 12 14,5,288389,86.2 65.6 51
18,499,15 12 13,5,288389,86.2 65.6 51
19,500,0 0 5,5.5,288296,86.31 65.5 51
20,499,0 0 4,5.5,288296,86.31 65.5 51
21,498,11 15 15,5,288281,85.04 66.47 51
22,496,11 15 14,5,288281,85.04 66.47 51
23,495,11 15 13,5,288281,85.04 66.47 51
24,498,12 14 15,5,288002,85.33 66.18 51
25,497,12 14 14,5,288002,85.33 66.18 51
26,496,12 14 13,5,288002,85.33 66.18 51
27,500,0 4 2,5.5,287926,86.31 66.72 50
28,499,0 4 1,5.5,287926,86.31 66.72 50
29,499,13 13 15,5,287714,85.62 65.89 51
30,498,13 13 14,5,287714,85.62 65.89 51
31,496,13 13 13,5,287714,85.62 65.89 51
32,500,1 3 1,5.5,287621,86.61 66.41 50
33,500,14 12 15,5,287418,85.91 65.6 51
34,498,14 12 14,5,287418,85.91 65.6 51
35,497,14 12 13,5,287418,85.91 65.6 51
36,500,2 2 1,5.5,287308,86.92 66.11 50
37,496,10 15 15,5,287298,84.75 66.47 51
38,495,10 15 14,5,287298,84.75 66.47 51
39,493,10 15 13,5,287298,84.75 66.47 51
40,500,15 11 15,5,287113,86.2 65.31 51
41,499,15 11 14,5,287113,86.2 65.31 51
42,497,15 11 13,5,287113,86.2 65.31 51
43,497,11 14 15,5,287023,85.04 66.18 51
44,495,11 14 14,5,287023,85.04 66.18 51
45,494,11 14 13,5,287023,85.04 66.18 51
46,497,12 13 15,5,286739,85.33 65.89 51
47,496,12 13 14,5,286739,85.33 65.89 51
48,495,12 13 13,5,286739,85.33 65.89 51
49,499,0 3 2,5.5,286605,86.31 66.41 50
50,498,0 3 1,5.5,286605,86.31 66.41 50
51,500,15 15 12,5,286487,86.2 66.47 50
52,499,15 15 11,5,286487,86.2 66.47 50
53,498,15 15 10,5,286487,86.2 66.47 50
54,498,13 12 15,5,286447,85.62 65.6 51
55,497,13 12 14,5,286447,85.62 65.6 51
56,495,13 12 13,5,286447,85.62 65.6 51
57,494,9 15 15,5,286314,84.46 66.47 51
58,493,9 15 14,5,286314,84.46 66.47 51
59,492,9 15 13,5,286314,84.46 66.47 51
60,500,1 2 2,5.5,286296,86.61 66.11 50
61,498,1 2 1,5.5,286296,86.61 66.11 50
62,499,14 11 15,5,286146,85.91 65.31 51
63,497,14 11 14,5,286146,85.91 65.31 51
64,496,14 11 13,5,286146,85.91 65.31 51
65,495,10 14 15,5,286043,84.75 66.18 51
66,494,10 14 14,5,286043,84.75 66.18 51
67,492,10 14 13,5,286043,84.75 66.18 51
68,499,2 1 1,5.5,285977,86.92 65.8 50
69,499,15 10 15,5,285837,86.2 65.02 51
70,498,15 10 14,5,285837,86.2 65.02 51
71,496,15 10 13,5,285837,86.2 65.02 51
72,496,11 13 15,5,285764,85.04 65.89 51
73,494,11 13 14,5,285764,85.04 65.89 51
74,493,11 13 13,5,285764,85.04 65.89 51
75,500,3 0 1,5.5,285650,87.23 65.5 50
76,499,14 15 12,5,285523,85.91 66.47 50
77,497,14 15 11,5,285523,85.91 66.47 50
78,496,14 15 10,5,285523,85.91 66.47 50
79,496,12 12 15,5,285476,85.33 65.6 51
80,495,12 12 14,5,285476,85.33 65.6 51
81,493,12 12 13,5,285476,85.33 65.6 51
82,493,8 15 15,5,285330,84.17 66.47 51
83,491,8 15 14,5,285330,84.17 66.47 51
84,490,8 15 13,5,285330,84.17 66.47 51
85,500,0 2 3,5.5,285284,86.31 66.11 50
86,498,0 2 2,5.5,285284,86.31 66.11 50
87,497,0 2 1,5.5,285284,86.31 66.11 50
88,499,15 14 12,5,285236,86.2 66.18 50
89,498,15 14 11,5,285236,86.2 66.18 50
90,496,15 14 10,5,285236,86.2 66.18 50
91,497,13 11 15,5,285179,85.62 65.31 51
92,495,13 11 14,5,285179,85.62 65.31 51
93,494,13 11 13,5,285179,85.62 65.31 51
94,493,9 14 15,5,285063,84.46 66.18 51
95,492,9 14 14,5,285063,84.46 66.18 51
96,491,9 14 13,5,285063,84.46 66.18 51
97,500,1 1 3,5.5,284970,86.61 65.8 50
98,499,1 1 2,5.5,284970,86.61 65.8 50
99,497,1 1 1,5.5,284970,86.61 65.8 50
100,497,14 10 15,5,284874,85.91 65.02 51
101,496,14 10 14,5,284874,85.91 65.02 51
102,495,14 10 13,5,284874,85.91 65.02 51
103,494,10 13 15,5,284788,84.75 65.89 51
104,493,10 13 14,5,284788,84.75 65.89 51
105,491,10 13 13,5,284788,84.75 65.89 51
106,500,0 6 0,5.5,284756,86.31 67.33 49
107,499,2 0 2,5.5,284647,86.92 65.5 50
108,498,2 0 1,5.5,284647,86.92 65.5 50
109,498,15 9 15,5,284561,86.2 64.73 51
110,497,15 9 14,5,284561,86.2 64.73 51
111,495,15 9 13,5,284561,86.2 64.73 51
112,497,13 15 12,5,284558,85.62 66.47 50
113,496,13 15 11,5,284558,85.62 66.47 50
114,494,13 15 10,5,284558,85.62 66.47 50
115,495,11 12 15,5,284505,85.04 65.6 51
116,493,11 12 14,5,284505,85.04 65.6 51
117,492,11 12 13,5,284505,85.04 65.6 51
118,500,1 5 0,5.5,284467,86.61 67.03 49
119,491,7 15 15,5,284346,83.88 66.47 51
120,490,7 15 14,5,284346,83.88 66.47 51
121,488,7 15 13,5,284346,83.88 66.47 51
122,498,14 14 12,5,284276,85.91 66.18 50
123,496,14 14 11,5,284276,85.91 66.18 50
124,495,14 14 10,5,284276,85.91 66.18 50
125,495,12 11 15,5,284213,85.33 65.31 51
126,494,12 11 14,5,284213,85.33 65.31 51
127,492,12 11 13,5,284213,85.33 65.31 51
128,492,8 14 15,5,284084,84.17 66.18 51
129,490,8 14 14,5,284084,84.17 66.18 51
130,489,8 14 13,5,284084,84.17 66.18 51
131,498,15 13 12,5,283985,86.2 65.89 50
132,497,15 13 11,5,283985,86.2 65.89 50
133,495,15 13 10,5,283985,86.2 65.89 50
134,499,0 1 3,5.5,283963,86.31 65.8 50
135,497,0 1 2,5.5,283963,86.31 65.8 50
136,496,0 1 1,5.5,283963,86.31 65.8 50
137,496,13 10 15,5,283912,85.62 65.02 51
138,494,13 10 14,5,283912,85.62 65.02 51
139,493,13 10 13,5,283912,85.62 65.02 51
140,492,9 13 15,5,283813,84.46 65.89 51
141,491,9 13 14,5,283813,84.46 65.89 51
142,490,9 13 13,5,283813,84.46 65.89 51
143,499,1 0 3,5.5,283645,86.61 65.5 50
144,498,1 0 2,5.5,283645,86.61 65.5 50
145,496,1 0 1,5.5,283645,86.61 65.5 50
146,496,14 9 15,5,283603,85.91 64.73 51
147,495,14 9 14,5,283603,85.91 64.73 51
148,494,14 9 13,5,283603,85.91 64.73 51
149,495,12 15 12,5,283593,85.33 66.47 50
150,494,12 15 11,5,283593,85.33 66.47 50
151,492,12 15 10,5,283593,85.33 66.47 50
152,493,10 12 15,5,283534,84.75 65.6 51
153,492,10 12 14,5,283534,84.75 65.6 51
154,490,10 12 13,5,283534,84.75 65.6 51
155,499,0 5 0,5.5,283462,86.31 67.03 49
156,489,6 15 15,5,283362,83.59 66.47 51
157,488,6 15 14,5,283362,83.59 66.47 51
158,487,6 15 13,5,283362,83.59 66.47 51
159,496,13 14 12,5,283315,85.62 66.18 50
160,495,13 14 11,5,283315,85.62 66.18 50
161,493,13 14 10,5,283315,85.62 66.18 50
162,497,15 8 15,5,283285,86.2 64.44 51
163,495,15 8 14,5,283285,86.2 64.44 51
164,494,15 8 13,5,283285,86.2 64.44 51
165,493,11 11 15,5,283246,85.04 65.31 51
166,492,11 11 14,5,283246,85.04 65.31 51
167,491,11 11 13,5,283246,85.04 65.31 51
168,499,1 4 0,5.5,283168,86.61 66.72 49
169,490,7 14 15,5,283104,83.88 66.18 51
170,489,7 14 14,5,283104,83.88 66.18 51
171,487,7 14 13,5,283104,83.88 66.18 51
172,497,14 13 12,5,283029,85.91 65.89 50
173,495,14 13 11,5,283029,85.91 65.89 50
174,494,14 13 10,5,283029,85.91 65.89 50
175,494,12 10 15,5,282949,85.33 65.02 51
176,493,12 10 14,5,282949,85.33 65.02 51
177,491,12 10 13,5,282949,85.33 65.02 51
178,500,2 3 0,5.5,282865,86.92 66.41 49
179,491,8 13 15,5,282838,84.17 65.89 51
180,489,8 13 14,5,282838,84.17 65.89 51
181,488,8 13 13,5,282838,84.17 65.89 51
182,497,15 12 12,5,282734,86.2 65.6 50
183,496,15 12 11,5,282734,86.2 65.6 50
184,494,15 12 10,5,282734,86.2 65.6 50
185,495,13 9 15,5,282644,85.62 64.73 51
186,493,13 9 14,5,282644,85.62 64.73 51
187,492,13 9 13,5,282644,85.62 64.73 51
188,497,0 0 3,5.5,282643,86.31 65.5 50
189,496,0 0 2,5.5,282643,86.31 65.5 50
190,494,0 0 1,5.5,282643,86.31 65.5 50
191,494,11 15 12,5,282629,85.04 66.47 50
192,492,11 15 11,5,282629,85.04 66.47 50
193,491,11 15 10,5,282629,85.04 66.47 50
194,491,9 12 15,5,282563,84.46 65.6 51
195,490,9 12 14,5,282563,84.46 65.6 51
196,488,9 12 13,5,282563,84.46 65.6 51
197,500,3 2 0,5.5,282553,87.23 66.11 49
198,488,5 15 15,5,282378,83.3 66.47 51
199,486,5 15 14,5,282378,83.3 66.47 51
200,485,5 15 13,5,282378,83.3 66.47 51
201,494,12 14 12,5,282355,85.33 66.18 50
202,493,12 14 11,5,282355,85.33 66.18 50
203,491,12 14 10,5,282355,85.33 66.18 50
204,495,14 8 15,5,282331,85.91 64.44 51
205,494,14 8 14,5,282331,85.91 64.44 51
206,492,14 8 13,5,282331,85.91 64.44 51
207,492,10 11 15,5,282279,84.75 65.31 51
208,490,10 11 14,5,282279,84.75 65.31 51
209,489,10 11 13,5,282279,84.75 65.31 51
210,497,0 4 0,5.5,282167,86.31 66.72 49
211,488,6 14 15,5,282125,83.59 66.18 51
212,487,6 14 14,5,282125,83.59 66.18 51
213,486,6 14 13,5,282125,83.59 66.18 51
214,495,13 13 12,5,282073,85.62 65.89 50
215,493,13 13 11,5,282073,85.62 65.89 50
216,492,13 13 10,5,282073,85.62 65.89 50
217,496,15 7 15,5,282009,86.2 64.15 51
218,494,15 7 14,5,282009,86.2 64.15 51
219,493,15 7 13,5,282009,86.2 64.15 51
220,492,11 10 15,5,281987,85.04 65.02 51
221,491,11 10 14,5,281987,85.04 65.02 51
222,490,11 10 13,5,281987,85.04 65.02 51
223,498,1 3 0,5.5,281869,86.61 66.41 49
224,489,7 13 15,5,281862,83.88 65.89 51
225,488,7 13 14,5,281862,83.88 65.89 51
226,486,7 13 13,5,281862,83.88 65.89 51
227,495,14 12 12,5,281782,85.91 65.6 50
228,494,14 12 11,5,281782,85.91 65.6 50
229,493,14 12 10,5,281782,85.91 65.6 50
230,493,12 9 15,5,281686,85.33 64.73 51
231,492,12 9 14,5,281686,85.33 64.73 51
232,490,12 9 13,5,281686,85.33 64.73 51
233,492,10 15 12,5,281664,84.75 66.47 50
234,491,10 15 11,5,281664,84.75 66.47 50
235,489,10 15 10,5,281664,84.75 66.47 50
236,490,8 12 15,5,281592,84.17 65.6 51
237,488,8 12 14,5,281592,84.17 65.6 51
238,487,8 12 13,5,281592,84.17 65.6 51
239,499,2 2 0,5.5,281561,86.92 66.11 49
240,496,15 11 12,5,281483,86.2 65.31 50
241,495,15 11 11,5,281483,86.2 65.31 50
242,493,15 11 10,5,281483,86.2 65.31 50
243,493,11 14 12,5,281395,85.04 66.18 50
244,491,11 14 11,5,281395,85.04 66.18 50
245,490,11 14 10,5,281395,85.04 66.18 50
246,486,4 15 15,5,281394,83.01 66.47 51
247,485,4 15 14,5,281394,83.01 66.47 51
248,483,4 15 13,5,281394,83.01 66.47 51
249,494,13 8 15,5,281377,85.62 64.44 51
250,492,13 8 14,5,281377,85.62 64.44 51
251,491,13 8 13,5,281377,85.62 64.44 51
252,490,9 11 15,5,281312,84.46 65.31 51
253,489,9 11 14,5,281312,84.46 65.31 51
254,487,9 11 13,5,281312,84.46 65.31 51
255,499,3 1 0,5.5,281245,87.23 65.8 49
256,487,5 14 15,5,281145,83.3 66.18 51
257,485,5 14 14,5,281145,83.3 66.18 51
258,484,5 14 13,5,281145,83.3 66.18 51
259,493,12 13 12,5,281117,85.33 65.89 50
260,492,12 13 11,5,281117,85.33 65.89 50
261,490,12 13 10,5,281117,85.33 65.89 50
262,494,14 7 15,5,281059,85.91 64.15 51
263,493,14 7 14,5,281059,85.91 64.15 51
264,491,14 7 13,5,281059,85.91 64.15 51
265,491,10 10 15,5,281025,84.75 65.02 51
266,489,10 10 14,5,281025,84.75 65.02 51
267,488,10 10 13,5,281025,84.75 65.02 51
268,500,4 0 0,5.5,280919,87.53 65.5 49
269,487,6 13 15,5,280887,83.59 65.89 51
270,486,6 13 14,5,280887,83.59 65.89 51
271,484,6 13 13,5,280887,83.59 65.89 51
272,496,0 3 0,5.5,280873,86.31 66.41 49
273,494,13 12 12,5,280830,85.62 65.6 50
274,492,13 12 11,5,280830,85.62 65.6 50
275,491,13 12 10,5,280830,85.62 65.6 50
276,496,15 15 9,5,280757,86.2 66.47 49
277,495,15 15 8,5,280757,86.2 66.47 49
278,493,15 15 7,5,280757,86.2 66.47 49
279,492,15 15 6,5,280757,86.2 66.47 49
280,495,15 6 15,5,280732,86.2 63.85 51
281,493,15 6 14,5,280732,86.2 63.85 51
282,492,15 6 13,5,280732,86.2 63.85 51
283,491,11 9 15,5,280728,85.04 64.73 51
284,490,11 9 14,5,280728,85.04 64.73 51
285,489,11 9 13,5,280728,85.04 64.73 51
286,490,9 15 12,5,280700,84.46 66.47 50
287,489,9 15 11,5,280700,84.46 66.47 50
288,487,9 15 10,5,280700,84.46 66.47 50
289,488,7 12 15,5,280621,83.88 65.6 51
290,486,7 12 14,5,280621,83.88 65.6 51
291,485,7 12 13,5,280621,83.88 65.6 51
