rank,cp,ivs,maxlevel,stat-product,stats
1,500,1 15 14,8,392435,63.41 81.43 76
2,499,1 15 13,8,392435,63.41 81.43 76
3,500,2 13 13,8,391119,63.79 80.68 76
4,500,1 14 15,8,390626,63.41 81.05 76
5,499,1 14 14,8,390626,63.41 81.05 76
6,498,1 14 13,8,390626,63.41 81.05 76
7,498,0 15 15,8,390113,63.04 81.43 76
8,497,0 15 14,8,390113,63.04 81.43 76
9,496,0 15 13,8,390113,63.04 81.43 76
10,500,3 14 10,8,390049,64.17 81.05 75
11,500,3 11 13,8,389760,64.17 79.93 76
12,499,2 15 11,8,389563,63.79 81.43 75
13,498,2 15 10,8,389563,63.79 81.43 75
14,500,2 12 14,8,389299,63.79 80.3 76
15,498,2 12 13,8,389299,63.79 80.3 76
16,499,1 13 15,8,388818,63.41 80.68 76
17,498,1 13 14,8,388818,63.41 80.68 76
18,497,1 13 13,8,388818,63.41 80.68 76
19,497,0 14 15,8,388315,63.04 81.05 76
20,496,0 14 14,8,388315,63.04 81.05 76
21,495,0 14 13,8,388315,63.04 81.05 76
22,500,3 13 11,8,388243,64.17 80.68 75
23,499,3 13 10,8,388243,64.17 80.68 75
24,500,3 10 14,8,387930,64.17 79.55 76
25,499,3 10 13,8,387930,64.17 79.55 76
26,499,2 14 12,8,387768,63.79 81.05 75
27,498,2 14 11,8,387768,63.79 81.05 75
28,497,2 14 10,8,387768,63.79 81.05 75
29,500,2 11 15,8,387480,63.79 79.93 76
30,498,2 11 14,8,387480,63.79 79.93 76
31,497,2 11 13,8,387480,63.79 79.93 76
32,498,1 15 12,8,387271,63.41 81.43 75
33,496,1 15 11,8,387271,63.41 81.43 75
34,495,1 15 10,8,387271,63.41 81.43 75
35,500,4 14 8,8,387098,64.54 81.05 74
36,498,1 12 15,8,387009,63.41 80.3 76
37,497,1 12 14,8,387009,63.41 80.3 76
38,495,1 12 13,8,387009,63.41 80.3 76
39,499,4 11 10,8,386880,64.54 79.93 75
40,500,3 15 9,8,386630,64.17 81.43 74
41,499,3 15 8,8,386630,64.17 81.43 74
42,500,4 8 13,8,386517,64.54 78.8 76
43,496,0 13 15,8,386517,63.04 80.68 76
44,495,0 13 14,8,386517,63.04 80.68 76
45,494,0 13 13,8,386517,63.04 80.68 76
46,500,3 12 12,8,386437,64.17 80.3 75
47,499,3 12 11,8,386437,64.17 80.3 75
48,498,3 12 10,8,386437,64.17 80.3 75
49,500,3 9 15,8,386100,64.17 79.17 76
50,499,3 9 14,8,386100,64.17 79.17 76
51,498,3 9 13,8,386100,64.17 79.17 76
52,498,2 13 12,8,385972,63.79 80.68 75
53,497,2 13 11,8,385972,63.79 80.68 75
54,496,2 13 10,8,385972,63.79 80.68 75
55,499,2 10 15,8,385661,63.79 79.55 76
56,497,2 10 14,8,385661,63.79 79.55 76
57,496,2 10 13,8,385661,63.79 79.55 76
58,497,1 14 12,8,385487,63.41 81.05 75
59,495,1 14 11,8,385487,63.41 81.05 75
60,494,1 14 10,8,385487,63.41 81.05 75
61,500,5 9 10,8,385476,64.92 79.17 75
62,500,4 13 9,8,385306,64.54 80.68 74
63,499,4 13 8,8,385306,64.54 80.68 74
64,497,1 11 15,8,385201,63.41 79.93 76
65,496,1 11 14,8,385201,63.41 79.93 76
66,494,1 11 13,8,385201,63.41 79.93 76
67,499,4 10 11,8,385064,64.54 79.55 75
68,498,4 10 10,8,385064,64.54 79.55 75
69,500,5 6 13,8,385062,64.92 78.05 76
70,495,0 15 12,8,384980,63.04 81.43 75
71,494,0 15 11,8,384980,63.04 81.43 75
72,492,0 15 10,8,384980,63.04 81.43 75
73,499,3 14 9,8,384848,64.17 81.05 74
74,497,3 14 8,8,384848,64.17 81.05 74
75,500,0 4 1,8.5,384732,65.12 79.84 74
76,495,0 12 15,8,384719,63.04 80.3 76
77,494,0 12 14,8,384719,63.04 80.3 76
78,493,0 12 13,8,384719,63.04 80.3 76
79,500,4 7 14,8,384677,64.54 78.42 76
80,498,4 7 13,8,384677,64.54 78.42 76
81,499,3 11 12,8,384631,64.17 79.93 75
82,498,3 11 11,8,384631,64.17 79.93 75
83,496,3 11 10,8,384631,64.17 79.93 75
84,497,2 15 9,8,384369,63.79 81.43 74
85,496,2 15 8,8,384369,63.79 81.43 74
86,499,3 8 15,8,384270,64.17 78.8 76
87,498,3 8 14,8,384270,64.17 78.8 76
88,497,3 8 13,8,384270,64.17 78.8 76
89,500,0 1 4,8.5,384252,65.12 78.68 75
90,497,2 12 12,8,384177,63.79 80.3 75
91,496,2 12 11,8,384177,63.79 80.3 75
92,495,2 12 10,8,384177,63.79 80.3 75
93,499,5 14 5,8,384088,64.92 81.05 73
94,500,6 7 10,8,384029,65.29 78.42 75
95,500,5 11 8,8,383941,64.92 79.93 74
96,497,2 9 15,8,383842,63.79 79.17 76
97,496,2 9 14,8,383842,63.79 79.17 76
98,495,2 9 13,8,383842,63.79 79.17 76
99,495,1 13 12,8,383702,63.41 80.68 75
100,494,1 13 11,8,383702,63.41 80.68 75
101,493,1 13 10,8,383702,63.41 80.68 75
102,500,5 8 11,8,383649,64.92 78.8 75
103,499,5 8 10,8,383649,64.92 78.8 75
104,500,4 15 7,8,383635,64.54 81.43 73
105,499,4 15 6,8,383635,64.54 81.43 73
106,498,4 15 5,8,383635,64.54 81.43 73
