rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 10 9,9.5,332313,75.25 73.6 60
2,500,0 13 7,9.5,332251,75.25 74.84 59
3,500,0 4 14,9.5,331880,75.25 71.14 62
4,500,5 15 14,9,331365,75.12 73.52 60
5,500,0 9 10,9.5,330456,75.25 73.19 60
6,498,0 9 9,9.5,330456,75.25 73.19 60
7,499,0 12 7,9.5,330426,75.25 74.43 59
8,500,1 8 9,9.5,330396,75.66 72.78 60
9,500,1 11 7,9.5,330396,75.66 74.01 59
10,499,0 6 12,9.5,330302,75.25 71.96 61
11,500,1 5 12,9.5,330209,75.66 71.55 61
12,500,0 15 5,9.5,330209,75.25 75.66 58
13,500,0 3 15,9.5,329961,75.25 70.73 62
14,498,0 3 14,9.5,329961,75.25 70.73 62
15,499,1 2 14,9.5,329836,75.66 70.31 62
16,499,4 15 15,9,329602,74.72 73.52 60
17,497,4 15 14,9,329602,74.72 73.52 60
18,500,5 14 15,9,329564,75.12 73.12 60
19,498,5 14 14,9,329564,75.12 73.12 60
20,500,6 13 14,9,329506,75.52 72.72 60
21,500,7 15 11,9,329308,75.92 73.52 59
22,500,0 8 11,9.5,328600,75.25 72.78 60
23,499,0 8 10,9.5,328600,75.25 72.78 60
24,497,0 8 9,9.5,328600,75.25 72.78 60
25,499,0 11 8,9.5,328600,75.25 74.01 59
26,498,0 11 7,9.5,328600,75.25 74.01 59
27,499,1 10 7,9.5,328560,75.66 73.6 59
28,500,1 7 10,9.5,328529,75.66 72.37 60
29,498,1 7 9,9.5,328529,75.66 72.37 60
30,500,2 9 7,9.5,328500,76.07 73.19 59
31,499,2 6 9,9.5,328438,76.07 71.96 60
32,499,0 5 13,9.5,328414,75.25 71.55 61
33,498,0 5 12,9.5,328414,75.25 71.55 61
34,500,0 14 6,9.5,328414,75.25 75.25 58
35,498,0 14 5,9.5,328414,75.25 75.25 58
36,500,1 13 5,9.5,328405,75.66 74.84 58
37,499,1 4 12,9.5,328311,75.66 71.14 61
38,500,2 3 12,9.5,328187,76.07 70.73 61
39,500,2 15 2,9.5,328062,76.07 75.66 57
40,498,0 2 15,9.5,328043,75.25 70.31 62
41,497,0 2 14,9.5,328043,75.25 70.31 62
42,500,1 1 15,9.5,327907,75.66 69.9 62
43,498,1 1 14,9.5,327907,75.66 69.9 62
44,496,3 15 15,9,327839,74.32 73.52 60
45,494,3 15 14,9,327839,74.32 73.52 60
46,497,4 14 15,9,327811,74.72 73.12 60
47,496,4 14 14,9,327811,74.72 73.12 60
48,499,5 13 15,9,327763,75.12 72.72 60
49,497,5 13 14,9,327763,75.12 72.72 60
50,499,2 0 14,9.5,327750,76.07 69.49 62
51,500,6 12 15,9,327696,75.52 72.32 60
52,498,6 12 14,9,327696,75.52 72.32 60
53,500,7 11 14,9,327610,75.92 71.92 60
54,499,6 15 12,9,327575,75.52 73.52 59
55,497,6 15 11,9,327575,75.52 73.52 59
56,500,7 14 12,9,327519,75.92 73.12 59
57,499,7 14 11,9,327519,75.92 73.12 59
58,500,8 13 11,9,327443,76.32 72.72 59
59,498,0 10 8,9.5,326774,75.25 73.6 59
60,496,0 10 7,9.5,326774,75.25 73.6 59
61,499,0 7 11,9.5,326743,75.25 72.37 60
62,497,0 7 10,9.5,326743,75.25 72.37 60
63,495,0 7 9,9.5,326743,75.25 72.37 60
64,499,1 9 8,9.5,326725,75.66 73.19 59
65,498,1 9 7,9.5,326725,75.66 73.19 59
66,500,1 6 11,9.5,326662,75.66 71.96 60
67,498,1 6 10,9.5,326662,75.66 71.96 60
68,497,1 6 9,9.5,326662,75.66 71.96 60
69,499,2 8 7,9.5,326655,76.07 72.78 59
