rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 15 15,25.5,376746,66.11 59.36 96
2,500,0 13 13,26,375405,66.75 58.58 96
3,500,2 15 15,25,372969,66.79 58.78 95
4,498,0 15 14,25.5,372822,66.11 59.36 95
5,496,0 15 13,25.5,372822,66.11 59.36 95
6,500,1 15 12,25.5,372661,66.78 59.36 94
7,497,0 14 15,25.5,372465,66.11 58.69 96
8,500,1 14 14,25.5,372346,66.78 58.69 95
9,498,1 14 13,25.5,372346,66.78 58.69 95
10,499,0 15 9,26,372131,66.75 59.94 93
11,499,1 13 15,25.5,371941,66.78 58.01 96
12,500,0 14 11,26,371858,66.75 59.26 94
13,498,0 14 10,26,371858,66.75 59.26 94
14,498,0 13 12,26,371494,66.75 58.58 95
15,500,1 13 10,26,371335,67.44 58.58 94
16,499,0 12 14,26,371040,66.75 57.9 96
17,497,0 12 13,26,371040,66.75 57.9 96
18,500,0 14 6,26.5,370947,67.39 59.83 92
19,498,0 11 15,26,370494,66.75 57.22 97
20,499,1 11 13,26,370416,67.44 57.22 96
21,500,0 12 9,26.5,370298,67.39 58.45 94
22,500,0 11 11,26.5,369834,67.39 57.77 95
23,500,1 10 15,26,369819,67.44 56.54 97
24,499,0 10 12,26.5,369278,67.39 57.08 96
25,495,1 15 15,25,369239,66.13 58.78 95
26,498,2 15 14,25,369043,66.79 58.78 94
27,496,2 15 13,25,369043,66.79 58.78 94
28,494,0 15 12,25.5,368897,66.11 59.36 94
29,500,4 15 15,24.5,368894,67.44 58.19 94
30,500,0 11 6,27,368881,68.03 58.31 93
31,500,3 15 12,25,368768,67.46 58.78 93
32,497,2 14 15,25,368731,66.79 58.11 95
33,498,1 15 11,25.5,368697,66.78 59.36 93
34,496,1 15 10,25.5,368697,66.78 59.36 93
35,500,0 9 14,26.5,368629,67.39 56.39 97
36,495,0 14 14,25.5,368585,66.11 58.69 95
37,493,0 14 13,25.5,368585,66.11 58.69 95
38,500,3 14 14,25,368498,67.46 58.11 94
39,499,3 14 13,25,368498,67.46 58.11 94
40,497,1 14 12,25.5,368427,66.78 58.69 94
41,499,2 15 9,25.5,368417,67.46 59.36 92
42,500,2 14 11,25.5,368189,67.46 58.69 93
43,498,2 14 10,25.5,368189,67.46 58.69 93
44,494,0 13 15,25.5,368184,66.11 58.01 96
45,499,3 13 15,25,368137,67.46 57.44 95
46,497,0 15 8,26,368129,66.75 59.94 92
47,497,1 13 14,25.5,368066,66.78 58.01 95
48,496,1 13 13,25.5,368066,66.78 58.01 95
49,500,3 15 7,25.5,368056,68.13 59.36 91
50,496,0 14 9,26,367902,66.75 59.26 93
51,498,0 8 15,26.5,367888,67.39 55.7 98
52,499,2 13 12,25.5,367871,67.46 58.01 94
53,500,1 15 7,26,367844,67.44 59.94 91
54,498,1 15 6,26,367844,67.44 59.94 91
55,500,0 9 9,27,367842,68.03 56.92 95
56,499,1 14 8,26,367660,67.44 59.26 92
57,496,1 12 15,25.5,367616,66.78 57.34 96
58,500,3 13 10,25.5,367597,68.13 58.01 93
59,497,0 13 11,26,367584,66.75 58.58 94
60,495,0 13 10,26,367584,66.75 58.58 94
61,499,2 12 14,25.5,367461,67.46 57.34 95
62,498,2 12 13,25.5,367461,67.46 57.34 95
63,498,1 13 9,26,367384,67.44 58.58 93
64,500,2 14 6,26,367337,68.12 59.26 91
65,496,0 12 12,26,367175,66.75 57.9 95
66,500,1 7 15,26.5,367054,68.08 55.01 98
67,499,0 15 4,26.5,367054,67.39 60.52 90
68,497,0 15 3,26.5,367054,67.39 60.52 90
69,499,1 12 11,26,367017,67.44 57.9 94
70,497,1 12 10,26,367017,67.44 57.9 94
71,498,2 11 15,25.5,366960,67.46 56.66 96
72,498,0 14 5,26.5,366915,67.39 59.83 91
73,500,2 12 9,26,366780,68.12 57.9 93
74,500,3 11 13,25.5,366769,68.13 56.66 95
75,499,0 13 7,26.5,366683,67.39 59.14 92
76,497,0 13 6,26.5,366683,67.39 59.14 92
77,500,1 15 2,26.5,366679,68.08 60.52 89
78,496,0 11 14,26,366674,66.75 57.22 96
79,494,0 11 13,26,366674,66.75 57.22 96
80,499,1 14 3,26.5,366586,68.08 59.83 90
81,498,1 11 12,26,366557,67.44 57.22 95
82,499,0 7 12,27,366426,68.03 55.53 97
83,500,1 13 5,26.5,366398,68.08 59.14 91
84,499,2 11 10,26,366363,68.12 57.22 94
85,498,0 12 8,26.5,366359,67.39 58.45 93
86,500,3 10 15,25.5,366218,68.13 55.99 96
87,499,1 12 6,26.5,366117,68.08 58.45 92
88,495,0 10 15,26,366083,66.75 56.54 97
89,498,1 10 14,26,366006,67.44 56.54 96
90,496,1 10 13,26,366006,67.44 56.54 96
91,498,0 11 10,26.5,365941,67.39 57.77 94
92,497,0 11 9,26.5,365941,67.39 57.77 94
93,500,2 10 12,26,365852,68.12 56.54 95
94,500,1 11 8,26.5,365743,68.08 57.77 93
95,500,0 14 1,27,365623,68.03 60.39 89
96,500,0 6 14,27,365576,68.03 54.84 98
97,499,0 13 2,27,365481,68.03 59.7 90
98,497,0 10 11,26.5,365432,67.39 57.08 95
99,497,1 9 15,26,365363,67.44 55.86 97
100,493,1 15 14,25,365353,66.13 58.78 94
101,491,1 15 13,25,365353,66.13 58.78 94
102,495,3 15 15,24.5,365277,66.78 58.19 94
103,499,1 10 9,26.5,365275,68.08 57.08 94
104,500,2 9 14,26,365249,68.12 55.86 96
105,498,2 9 13,26,365249,68.12 55.86 96
106,500,0 12 4,27,365245,68.03 59 91
107,495,2 15 12,25,365117,66.79 58.78 93
108,492,1 14 15,25,365043,66.13 58.11 95
109,493,0 15 11,25.5,364973,66.11 59.36 93
110,491,0 15 10,25.5,364973,66.11 59.36 93
111,498,4 15 14,24.5,364969,67.44 58.19 93
112,496,4 15 13,24.5,364969,67.44 58.19 93
113,499,0 11 5,27,364915,68.03 58.31 92
114,495,2 14 14,25,364849,66.79 58.11 94
115,494,2 14 13,25,364849,66.79 58.11 94
116,498,0 9 13,26.5,364829,67.39 56.39 96
117,496,0 9 12,26.5,364829,67.39 56.39 96
118,498,3 15 11,25,364803,67.46 58.78 92
119,496,3 15 10,25,364803,67.46 58.78 92
120,494,1 15 9,25.5,364732,66.78 59.36 92
121,499,1 9 11,26.5,364713,68.08 56.39 95
122,492,0 14 12,25.5,364705,66.11 58.69 94
123,497,4 14 15,24.5,364702,67.44 57.53 94
124,498,0 5 15,27,364631,68.03 54.14 99
125,499,5 15 12,24.5,364584,68.11 58.19 92
126,497,3 14 12,25,364578,67.46 58.11 93
127,499,2 8 15,26,364553,68.12 55.17 97
128,499,6 15 15,24,364529,68.06 57.59 93
129,495,1 14 11,25.5,364507,66.78 58.69 93
130,493,1 14 10,25.5,364507,66.78 58.69 93
131,494,2 13 15,25,364492,66.79 57.44 95
132,499,0 10 7,27,364490,68.03 57.61 93
133,497,0 10 6,27,364490,68.03 57.61 93
134,497,2 15 8,25.5,364412,67.46 59.36 91
135,495,2 15 7,25.5,364412,67.46 59.36 91
136,499,4 15 9,25,364410,68.13 58.78 91
137,500,3 8 13,26,364403,68.8 55.17 96
138,500,5 14 14,24.5,364359,68.11 57.53 93
139,498,5 14 13,24.5,364359,68.11 57.53 93
140,492,0 13 14,25.5,364348,66.11 58.01 95
141,497,3 13 14,25,364262,67.46 57.44 94
142,496,3 13 13,25,364262,67.46 57.44 94
143,496,2 14 9,25.5,364230,67.46 58.69 92
144,500,4 14 11,25,364228,68.13 58.11 92
145,498,4 14 10,25,364228,68.13 58.11 92
146,494,1 13 12,25.5,364192,66.78 58.01 94
147,497,0 8 14,26.5,364134,67.39 55.7 97
148,495,0 15 7,26,364128,66.75 59.94 91
149,493,0 15 6,26,364128,66.75 59.94 91
150,500,7 15 13,24,364077,68.72 57.59 92
151,500,1 8 13,26.5,364057,68.08 55.7 96
152,498,1 8 12,26.5,364057,68.08 55.7 96
153,499,5 13 15,24.5,364044,68.11 56.86 94
154,499,3 15 6,25.5,364012,68.13 59.36 90
155,498,0 9 8,27,363970,68.03 56.92 94
156,497,2 13 11,25.5,363957,67.46 58.01 93
157,495,2 13 10,25.5,363957,67.46 58.01 93
158,499,4 13 12,25,363955,68.13 57.44 93
159,494,0 14 8,26,363946,66.75 59.26 92
160,500,5 15 7,25,363939,68.8 58.78 90
161,491,0 12 15,25.5,363902,66.11 57.34 96
162,500,0 5 11,27.5,363883,68.65 54.64 97
163,499,3 14 8,25.5,363874,68.13 58.69 91
164,498,3 14 7,25.5,363874,68.13 58.69 91
165,496,3 12 15,25,363857,67.46 56.77 95
166,496,1 15 5,26,363801,67.44 59.94 90
167,494,1 12 14,25.5,363786,66.78 57.34 95
168,493,1 12 13,25.5,363786,66.78 57.34 95
169,500,1 9 6,27,363773,68.72 56.92 93
170,493,0 13 9,26,363673,66.75 58.58 93
