rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 12 13,16.5,397856,62.95 69.46 91
2,499,0 13 11,16.5,396558,62.95 70 90
3,499,0 10 15,16.5,395943,62.95 68.37 92
4,500,0 14 10,16.5,395191,62.95 70.54 89
5,500,0 11 14,16.5,394747,62.95 68.91 91
6,498,0 11 13,16.5,394747,62.95 68.91 91
7,500,2 14 15,16,394208,63.05 69.47 90
8,499,2 14 14,16,394208,63.05 69.47 90
9,498,1 15 15,16,393874,62.52 70 90
10,497,1 15 14,16,393874,62.52 70 90
11,500,1 11 11,16.5,393775,63.49 68.91 90
12,500,0 15 9,16.5,393757,62.95 71.09 88
13,499,0 15 8,16.5,393757,62.95 71.09 88
14,499,0 12 12,16.5,393484,62.95 69.46 90
15,497,0 12 11,16.5,393484,62.95 69.46 90
16,500,3 14 12,16,393132,63.59 69.47 89
17,500,1 8 15,16.5,393017,63.49 67.29 92
18,499,2 15 13,16,392827,63.05 70 89
19,498,2 15 12,16,392827,63.05 70 89
20,497,0 9 15,16.5,392801,62.95 67.83 92
21,500,1 15 6,16.5,392638,63.49 71.09 87
22,500,1 12 10,16.5,392466,63.49 69.46 89
23,498,0 13 10,16.5,392152,62.95 70 89
24,500,0 12 3,17,391889,63.89 70.5 87
25,500,1 9 14,16.5,391880,63.49 67.83 91
26,499,1 9 13,16.5,391880,63.49 67.83 91
27,499,3 15 10,16,391705,63.59 70 88
28,498,0 10 14,16.5,391639,62.95 68.37 91
29,496,0 10 13,16.5,391639,62.95 68.37 91
30,500,0 9 7,17,391502,63.89 68.85 89
31,499,3 12 14,16,391433,63.59 68.4 90
32,498,2 13 15,16,391176,63.05 68.93 90
33,497,2 13 14,16,391176,63.05 68.93 90
34,499,1 13 8,16.5,391088,63.49 70 88
35,500,2 9 11,16.5,390887,64.03 67.83 90
36,496,1 14 15,16,390868,62.52 69.47 90
37,495,1 14 14,16,390868,62.52 69.47 90
38,498,0 14 9,16.5,390751,62.95 70.54 88
39,497,0 14 8,16.5,390751,62.95 70.54 88
40,500,0 6 11,17,390692,63.89 67.2 91
41,499,1 10 12,16.5,390675,63.49 68.37 90
42,498,1 10 11,16.5,390675,63.49 68.37 90
43,494,0 15 15,16,390508,61.99 70 90
44,492,0 15 14,16,390508,61.99 70 90
45,500,4 15 8,16,390508,64.12 70 87
46,500,0 13 2,17,390411,63.89 71.05 86
47,497,0 11 12,16.5,390410,62.95 68.91 90
48,495,0 11 11,16.5,390410,62.95 68.91 90
49,500,4 12 12,16,390337,64.12 68.4 89
50,499,5 15 15,15.5,390232,63.64 68.9 89
51,499,0 10 5,17,390200,63.89 69.4 88
52,500,3 13 13,16,390108,63.59 68.93 89
53,498,3 13 12,16,390108,63.59 68.93 89
54,500,2 6 15,16.5,389983,64.03 66.2 92
55,500,2 13 6,16.5,389948,64.03 70 87
56,498,1 7 15,16.5,389848,63.49 66.74 92
57,497,2 14 13,16,389828,63.05 69.47 89
58,496,2 14 12,16,389828,63.05 69.47 89
59,495,0 8 15,16.5,389658,62.95 67.29 92
60,499,1 14 7,16.5,389641,63.49 70.54 87
61,498,1 14 6,16.5,389641,63.49 70.54 87
62,500,2 10 10,16.5,389636,64.03 68.37 89
63,499,0 7 9,17,389566,63.89 67.75 90
64,495,1 15 13,16,389498,62.52 70 89
65,494,1 15 12,16,389498,62.52 70 89
66,500,0 3 15,17,389461,63.89 65.54 93
67,499,0 3 14,17,389461,63.89 65.54 93
68,498,1 11 10,16.5,389400,63.49 68.91 89
69,497,0 15 7,16.5,389282,62.95 71.09 87
70,496,0 15 6,16.5,389282,62.95 71.09 87
71,496,0 12 10,16.5,389112,62.95 69.46 89
72,500,1 10 3,17,389091,64.44 69.4 87
73,500,6 15 13,15.5,389036,64.16 68.9 88
74,499,4 13 10,16,388966,64.12 68.93 88
75,500,2 7 14,16.5,388906,64.03 66.74 91
76,499,2 7 13,16.5,388906,64.03 66.74 91
77,499,0 14 0,17,388862,63.89 71.6 85
78,500,0 11 4,17,388827,63.89 69.95 87
79,498,0 11 3,17,388827,63.89 69.95 87
80,498,1 8 14,16.5,388745,63.49 67.29 91
81,497,1 8 13,16.5,388745,63.49 67.29 91
82,499,3 14 11,16,388715,63.59 69.47 88
83,497,3 14 10,16,388715,63.59 69.47 88
84,499,4 10 14,16,388555,64.12 67.33 90
85,496,0 9 14,16.5,388531,62.95 67.83 91
86,494,0 9 13,16.5,388531,62.95 67.83 91
87,499,0 4 13,17,388511,63.89 66.1 92
88,499,2 14 4,16.5,388454,64.03 70.54 86
89,496,2 15 11,16,388413,63.05 70 88
90,495,2 15 10,16,388413,63.05 70 88
91,499,3 11 15,16,388375,63.59 67.86 90
92,497,3 11 14,16,388375,63.59 67.86 90
93,500,0 8 8,17,388370,63.89 68.3 89
94,498,0 8 7,17,388370,63.89 68.3 89
95,499,2 11 8,16.5,388315,64.03 68.91 88
96,497,2 12 15,16,388144,63.05 68.4 90
97,495,2 12 14,16,388144,63.05 68.4 90
98,498,1 15 5,16.5,388125,63.49 71.09 86
99,497,1 15 4,16.5,388125,63.49 71.09 86
100,499,1 12 9,16.5,388056,63.49 69.46 88
101,497,1 12 8,16.5,388056,63.49 69.46 88
102,500,3 7 11,16.5,387892,64.57 66.74 90
103,494,1 13 15,16,387861,62.52 68.93 90
104,493,1 13 14,16,387861,62.52 68.93 90
105,499,2 8 12,16.5,387759,64.03 67.29 90
106,498,2 8 11,16.5,387759,64.03 67.29 90
107,500,5 13 8,16,387751,64.66 68.93 87
108,496,0 13 9,16.5,387745,62.95 70 88
109,495,0 13 8,16.5,387745,62.95 70 88
110,500,1 4 11,17,387600,64.44 66.1 91
111,497,1 9 12,16.5,387574,63.49 67.83 90
112,496,1 9 11,16.5,387574,63.49 67.83 90
113,492,0 14 15,16,387527,61.99 69.47 90
114,490,0 14 14,16,387527,61.99 69.47 90
115,500,4 14 9,16,387527,64.12 69.47 87
116,498,4 14 8,16,387527,64.12 69.47 87
117,500,0 5 12,17,387490,63.89 66.65 91
118,498,0 5 11,17,387490,63.89 66.65 91
119,499,6 13 15,15.5,387450,64.16 67.85 89
120,498,0 12 2,17,387384,63.89 70.5 86
121,495,0 10 12,16.5,387335,62.95 68.37 90
122,493,0 10 11,16.5,387335,62.95 68.37 90
123,499,1 8 5,17,387317,64.44 68.3 88
124,500,4 11 13,16,387287,64.12 67.86 89
125,498,4 11 12,16,387287,64.12 67.86 89
126,498,3 15 9,16,387254,63.59 70 87
127,496,3 15 8,16,387254,63.59 70 87
128,497,5 14 15,15.5,387253,63.64 68.37 89
129,500,3 14 2,16.5,387191,64.57 70.54 85
130,499,0 9 6,17,387103,63.89 68.85 88
131,497,0 9 5,17,387103,63.89 68.85 88
132,498,3 12 13,16,387084,63.59 68.4 89
133,496,3 12 12,16,387084,63.59 68.4 89
134,495,4 15 15,15.5,387007,63.11 68.9 89
135,500,2 12 7,16.5,386926,64.03 69.46 87
136,498,2 12 6,16.5,386926,64.03 69.46 87
137,499,2 15 3,16.5,386891,64.03 71.09 85
138,498,2 15 2,16.5,386891,64.03 71.09 85
139,500,3 4 15,16.5,386841,64.57 65.12 92
140,496,2 13 13,16,386830,63.05 68.93 89
141,494,2 13 12,16,386830,63.05 68.93 89
142,498,2 5 15,16.5,386787,64.03 65.66 92
