rank,cp,ivs,maxlevel,stat-product,stats
1,500,0 11 11,9,326460,76.72 56.74 75
2,500,0 14 7,9,324468,76.72 57.94 73
3,499,0 14 6,9,324468,76.72 57.94 73
4,499,0 12 9,9,324376,76.72 57.14 74
5,500,0 10 12,9,324161,76.72 56.34 75
6,499,0 10 11,9,324161,76.72 56.34 75
7,500,1 13 6,9,323908,77.12 57.54 73
8,500,1 15 4,9,323908,77.12 58.34 72
9,500,0 8 15,9,323824,76.72 55.54 76
10,499,0 8 14,9,323824,76.72 55.54 76
11,500,1 11 9,9,323785,77.12 56.74 74
12,499,1 9 11,9,323538,77.12 55.94 75
13,500,1 7 14,9,323169,77.12 55.14 76
14,500,7 15 15,8.5,322989,77.13 56.59 74
15,499,7 15 14,8.5,322989,77.13 56.59 74
16,500,2 8 11,9,322892,77.52 55.54 75
17,500,8 14 14,8.5,322389,77.52 56.2 74
18,500,0 13 8,9,322230,76.72 57.54 73
19,498,0 13 7,9,322230,76.72 57.54 73
20,497,0 13 6,9,322230,76.72 57.54 73
21,499,0 15 5,9,322230,76.72 58.34 72
22,498,0 15 4,9,322230,76.72 58.34 72
23,499,0 11 10,9,322107,76.72 56.74 74
24,498,0 11 9,9,322107,76.72 56.74 74
25,499,0 9 13,9,321862,76.72 55.94 75
26,498,0 9 12,9,321862,76.72 55.94 75
27,497,0 9 11,9,321862,76.72 55.94 75
28,500,9 13 14,8.5,321766,77.91 55.81 74
29,500,1 14 5,9,321690,77.12 57.94 72
30,499,1 14 4,9,321690,77.12 57.94 72
31,499,1 12 7,9,321659,77.12 57.14 73
32,498,1 12 6,9,321659,77.12 57.14 73
33,500,1 10 10,9,321505,77.12 56.34 74
34,499,1 10 9,9,321505,77.12 56.34 74
35,498,0 7 15,9,321494,76.72 55.14 76
36,497,0 7 14,9,321494,76.72 55.14 76
37,498,6 15 15,8.5,321366,76.74 56.59 74
38,496,6 15 14,8.5,321366,76.74 56.59 74
39,500,1 8 13,9,321227,77.12 55.54 75
40,499,1 8 12,9,321227,77.12 55.54 75
41,498,1 8 11,9,321227,77.12 55.54 75
42,500,2 13 4,9,321126,77.52 57.54 72
43,500,2 11 7,9,321064,77.52 56.74 73
44,499,2 11 6,9,321064,77.52 56.74 73
45,500,2 15 2,9,321064,77.52 58.34 71
46,499,2 15 1,9,321064,77.52 58.34 71
47,499,2 9 9,9,320879,77.52 55.94 74
48,499,1 6 15,9,320827,77.12 54.74 76
49,498,1 6 14,9,320827,77.12 54.74 76
50,498,7 14 15,8.5,320777,77.13 56.2 74
51,497,7 14 14,8.5,320777,77.13 56.2 74
52,500,2 7 12,9,320569,77.52 55.14 75
53,498,2 7 11,9,320569,77.52 55.14 75
54,500,3 12 4,9,320540,77.92 57.14 72
55,500,3 14 1,9,320509,77.92 57.94 71
56,500,3 10 6,9,320447,77.92 56.34 73
57,500,3 8 9,9,320229,77.92 55.54 74
58,500,8 15 13,8.5,320225,77.52 56.59 73
59,499,8 15 12,8.5,320225,77.52 56.59 73
60,499,8 13 15,8.5,320165,77.52 55.81 74
61,498,8 13 14,8.5,320165,77.52 55.81 74
62,500,2 5 15,9,320135,77.52 54.34 76
63,499,2 5 14,9,320135,77.52 54.34 76
64,497,0 14 5,9,320023,76.72 57.94 72
65,496,0 14 4,9,320023,76.72 57.94 72
66,498,0 12 8,9,319992,76.72 57.14 73
67,497,0 12 7,9,319992,76.72 57.14 73
68,495,0 12 6,9,319992,76.72 57.14 73
69,500,4 13 1,9,319931,78.32 57.54 71
70,500,3 6 12,9,319886,77.92 54.74 75
71,499,3 6 11,9,319886,77.92 54.74 75
72,497,0 10 10,9,319839,76.72 56.34 74
73,496,0 10 9,9,319839,76.72 56.34 74
74,500,4 9 6,9,319806,78.32 55.94 73
75,495,5 15 15,8.5,319743,76.36 56.59 74
76,494,5 15 14,8.5,319743,76.36 56.59 74
77,499,9 14 12,8.5,319622,77.91 56.2 73
78,498,0 8 13,9,319563,76.72 55.54 75
79,496,0 8 12,9,319563,76.72 55.54 75
80,495,0 8 11,9,319563,76.72 55.54 75
81,500,9 12 15,8.5,319531,77.91 55.43 74
82,499,9 12 14,8.5,319531,77.91 55.43 74
83,498,1 13 5,9,319471,77.12 57.54 72
84,497,1 13 4,9,319471,77.12 57.54 72
85,499,3 4 14,9,319419,77.92 53.94 76
86,499,1 11 8,9,319409,77.12 56.74 73
87,498,1 11 7,9,319409,77.12 56.74 73
88,496,1 11 6,9,319409,77.12 56.74 73
89,499,1 15 3,9,319409,77.12 58.34 71
