rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 13 15,18,338234,73.68 56.68 81
2,500,1 12 15,18,337428,74.24 56.11 81
3,500,0 14 14,18,337399,73.68 57.24 80
4,500,0 15 13,18,336481,73.68 57.81 79
5,498,0 15 12,18,336481,73.68 57.81 79
6,500,1 14 12,18,335745,74.24 57.24 79
7,496,0 12 15,18,334852,73.68 56.11 81
8,499,1 15 10,18,334777,74.24 57.81 78
9,500,0 13 8,18.5,334751,74.69 57.46 78
10,499,3 15 14,17.5,334687,74.32 57 79
11,500,0 8 15,18.5,334322,74.69 54.58 82
12,497,0 13 14,18,334059,73.68 56.68 80
13,500,2 14 10,18,334025,74.81 57.24 78
14,498,1 11 15,18,334019,74.24 55.54 81
15,499,0 9 13,18.5,333721,74.69 55.16 81
16,498,1 12 14,18,333262,74.24 56.11 80
17,498,0 14 13,18,333182,73.68 57.24 79
18,496,0 14 12,18,333182,73.68 57.24 79
19,499,2 10 15,18,333135,74.81 54.98 81
20,500,0 10 12,18.5,333034,74.69 55.73 80
21,499,2 15 8,18,333008,74.81 57.81 77
22,500,4 15 12,17.5,332935,74.88 57 78
23,500,1 8 13,18.5,332785,75.27 54.58 81
24,499,0 15 5,18.5,332691,74.69 58.61 76
25,499,1 13 13,18,332420,74.24 56.68 79
26,497,1 13 12,18,332420,74.24 56.68 79
27,500,2 11 14,18,332414,74.81 55.54 80
28,500,0 11 11,18.5,332262,74.69 56.31 79
29,499,0 11 10,18.5,332262,74.69 56.31 79
30,500,3 14 8,18,332241,75.38 57.24 77
31,497,0 15 11,18,332221,73.68 57.81 78
32,495,0 15 10,18,332221,73.68 57.81 78
33,500,3 9 15,18,332198,75.38 54.41 81
34,497,2 15 15,17.5,332170,73.77 57 79
35,496,2 15 14,17.5,332170,73.77 57 79
36,500,2 12 13,18,331608,74.81 56.11 79
37,499,2 12 12,18,331608,74.81 56.11 79
38,498,1 14 11,18,331495,74.24 57.24 78
39,496,1 14 10,18,331495,74.24 57.24 78
40,494,0 11 15,18,331470,73.68 55.54 81
41,499,3 14 15,17.5,331406,74.32 56.44 79
42,497,3 14 14,17.5,331406,74.32 56.44 79
