rank,cp,ivs,maxlevel,stat-product,stats
1,499,0 15 15,6,325362,76.42 65.5 65
2,500,1 14 15,6,325127,76.74 65.18 65
3,498,0 14 15,6,323767,76.42 65.18 65
4,498,1 13 15,6,323526,76.74 64.86 65
5,499,2 12 15,6,323271,77.06 64.54 65
6,499,2 15 12,6,323049,77.06 65.5 64
7,500,3 11 15,6,323003,77.38 64.22 65
8,500,3 14 12,6,322804,77.38 65.18 64
9,496,0 13 15,6,322172,76.42 64.86 65
10,497,1 12 15,6,321924,76.74 64.54 65
11,500,1 15 14,6,321702,76.74 65.5 64
12,498,1 15 13,6,321702,76.74 65.5 64
13,497,1 15 12,6,321702,76.74 65.5 64
14,498,2 11 15,6,321663,77.06 64.22 65
15,499,2 14 13,6,321465,77.06 65.18 64
16,498,2 14 12,6,321465,77.06 65.18 64
17,499,3 10 15,6,321388,77.38 63.9 65
18,500,3 13 13,6,321214,77.38 64.86 64
19,499,3 13 12,6,321214,77.38 64.86 64
20,500,4 9 15,6,321100,77.7 63.58 65
21,500,4 12 12,6,320950,77.7 64.54 64
22,500,5 8 15,6,320798,78.02 63.25 65
23,500,4 15 9,6,320651,77.7 65.5 63
24,495,0 12 15,6,320577,76.42 64.54 65
25,500,5 14 9,6,320398,78.02 65.18 63
26,498,0 15 14,6,320356,76.42 65.5 64
27,496,0 15 13,6,320356,76.42 65.5 64
28,495,0 15 12,6,320356,76.42 65.5 64
29,496,1 11 15,6,320323,76.74 64.22 65
30,498,1 14 14,6,320126,76.74 65.18 64
31,497,1 14 13,6,320126,76.74 65.18 64
32,496,1 14 12,6,320126,76.74 65.18 64
33,497,2 10 15,6,320055,77.06 63.9 65
34,499,2 13 14,6,319881,77.06 64.86 64
35,498,2 13 13,6,319881,77.06 64.86 64
36,497,2 13 12,6,319881,77.06 64.86 64
37,498,3 9 15,6,319773,77.38 63.58 65
38,500,3 12 14,6,319624,77.38 64.54 64
39,499,3 12 13,6,319624,77.38 64.54 64
40,498,3 12 12,6,319624,77.38 64.54 64
41,498,4 8 15,6,319478,77.7 63.25 65
42,500,4 11 13,6,319354,77.7 64.22 64
43,498,4 11 12,6,319354,77.7 64.22 64
44,500,3 15 11,6,319326,77.38 65.5 63
45,499,3 15 10,6,319326,77.38 65.5 63
46,498,3 15 9,6,319326,77.38 65.5 63
47,499,5 7 15,6,319170,78.02 62.93 65
48,500,4 14 10,6,319079,77.7 65.18 63
49,498,4 14 9,6,319079,77.7 65.18 63
50,499,5 10 12,6,319070,78.02 63.9 64
51,494,0 11 15,6,318982,76.42 64.22 65
52,500,6 6 15,6,318848,78.35 62.61 65
53,499,5 13 9,6,318819,78.02 64.86 63
54,496,0 14 14,6,318786,76.42 65.18 64
55,495,0 14 13,6,318786,76.42 65.18 64
56,494,0 14 12,6,318786,76.42 65.18 64
57,500,6 9 12,6,318773,78.35 63.58 64
58,495,1 10 15,6,318721,76.74 63.9 65
59,497,1 13 14,6,318549,76.74 64.86 64
60,496,1 13 13,6,318549,76.74 64.86 64
61,495,1 13 12,6,318549,76.74 64.86 64
62,500,6 12 9,6,318546,78.35 64.54 63
63,496,2 9 15,6,318446,77.06 63.58 65
64,498,2 12 14,6,318298,77.06 64.54 64
65,497,2 12 13,6,318298,77.06 64.54 64
66,496,2 12 12,6,318298,77.06 64.54 64
67,500,6 15 6,6,318169,78.35 65.5 62
68,496,3 8 15,6,318158,77.38 63.25 65
69,499,3 11 14,6,318034,77.38 64.22 64
70,498,3 11 13,6,318034,77.38 64.22 64
