rank,cp,ivs,maxlevel,stat-product
1,364,15 15 15,40,328725
2,362,15 15 14,40,325986
3,362,15 14 15,40,324903
4,361,15 15 13,40,323247
5,357,14 15 15,40,322280
6,360,15 14 14,40,322195
7,359,15 13 15,40,321081
8,360,15 15 12,40,320507
9,355,14 15 14,40,319594
10,359,15 14 13,40,319488
11,354,14 14 15,40,318532
12,358,15 13 14,40,318405
13,358,15 15 10,40,317768
14,359,15 15 11,40,317768
15,357,15 12 15,40,317258
16,354,14 15 13,40,316908
17,358,15 14 12,40,316780
18,353,14 14 14,40,315878
19,349,13 15 15,40,315834
20,357,15 13 13,40,315729
21,356,15 15 9,40,315028
22,352,14 13 15,40,314785
23,356,15 12 14,40,314614
24,353,14 15 12,40,314223
25,356,15 14 10,40,314073
26,357,15 14 11,40,314073
27,355,15 11 15,40,313436
28,352,14 14 13,40,313223
29,348,13 15 14,40,313202
30,356,15 13 12,40,313054
31,355,15 15 8,40,312289
32,351,14 13 14,40,312162
33,347,13 14 15,40,312162
34,355,15 12 13,40,311971
35,351,14 15 10,40,311537
36,352,14 15 11,40,311537
37,354,15 14 9,40,311365
38,350,14 12 15,40,311037
39,354,15 11 14,40,310824
40,347,13 15 13,40,310570
41,351,14 14 12,40,310569
42,353,15 13 10,40,310378
43,355,15 13 11,40,310378
44,353,15 10 15,40,309613
45,346,13 14 14,40,309560
46,353,15 15 6,40,309550
47,354,15 15 7,40,309550
48,350,14 13 13,40,309538
49,342,12 15 15,40,309389
50,354,15 12 12,40,309327
51,349,14 15 9,40,308851
52,353,15 14 8,40,308658
53,345,13 13 15,40,308489
54,349,14 12 14,40,308445
55,353,15 11 13,40,308212
56,346,13 15 12,40,307938
57,349,14 14 10,40,307915
58,350,14 14 11,40,307915
59,352,15 13 9,40,307702
60,348,14 11 15,40,307290
61,352,15 10 14,40,307033
62,345,13 14 13,40,306959
63,349,14 13 12,40,306915
64,341,12 15 14,40,306810
65,352,15 15 5,40,306810
66,351,15 12 10,40,306683
67,353,15 12 11,40,306683
68,348,14 15 8,40,306166
69,351,15 14 6,40,305950
70,352,15 14 7,40,305950
71,344,13 13 14,40,305918
72,348,14 12 13,40,305853
73,340,12 14 15,40,305791
74,351,15 9 15,40,305791
75,352,15 11 12,40,305600
76,344,13 15 10,40,305306
77,345,13 15 11,40,305306
78,347,14 14 9,40,305260
79,351,15 13 8,40,305027
80,343,13 12 15,40,304817
81,347,14 11 14,40,304729
82,351,15 10 13,40,304453
83,344,13 14 12,40,304358
84,347,14 13 10,40,304292
85,348,14 13 11,40,304292
86,340,12 15 13,40,304232
87,350,15 15 4,40,304071
88,350,15 12 9,40,304039
89,346,14 10 15,40,303543
90,346,14 15 6,40,303480
91,347,14 15 7,40,303480
92,343,13 13 13,40,303348
93,347,14 12 12,40,303261
94,349,15 14 5,40,303243
95,339,12 14 14,40,303243
96,350,15 9 14,40,303243
97,349,15 11 10,40,302988
98,350,15 11 11,40,302988
99,335,11 15 15,40,302943
100,342,13 15 9,40,302674
101,346,14 14 8,40,302606
102,349,15 13 6,40,302351
103,350,15 13 7,40,302351
104,342,13 12 14,40,302277
105,338,12 13 15,40,302193
106,346,14 11 13,40,302168
107,349,15 8 15,40,301969
108,349,15 10 12,40,301873
109,342,13 14 10,40,301756
110,343,13 14 11,40,301756
111,345,14 13 9,40,301669
112,339,12 15 12,40,301654
113,349,15 12 8,40,301395
114,349,15 15 3,40,301332
115,341,13 11 15,40,301144
116,345,14 10 14,40,301013
117,345,14 15 5,40,300794
118,342,13 13 12,40,300777
119,338,12 14 13,40,300694
120,348,15 9 13,40,300694
121,344,14 12 10,40,300669
122,346,14 12 11,40,300669
123,348,15 14 4,40,300535
124,334,11 15 14,40,300418
125,348,15 11 9,40,300376
126,341,13 15 8,40,300042
127,344,14 14 6,40,299951
128,345,14 14 7,40,299951
129,344,14 9 15,40,299795
130,341,13 12 13,40,299736
131,337,12 13 14,40,299675
132,347,15 13 5,40,299675
133,345,14 11 12,40,299608
134,347,15 8 14,40,299452
135,333,11 14 15,40,299420
136,347,15 10 10,40,299293
137,348,15 10 11,40,299293
138,340,13 14 9,40,299155
139,337,12 15 10,40,299076
140,338,12 15 11,40,299076
141,344,14 13 8,40,299046
142,347,15 12 6,40,298751
143,348,15 12 7,40,298751
144,340,13 11 14,40,298635
145,336,12 12 15,40,298596
146,347,15 15 1,40,298592
147,348,15 15 2,40,298592
148,344,14 10 13,40,298483
149,340,13 13 10,40,298206
150,341,13 13 11,40,298206
151,337,12 14 12,40,298146
152,346,15 7 15,40,298146
153,347,15 9 12,40,298146
154,343,14 15 4,40,298109
155,343,14 12 9,40,298077
156,333,11 15 13,40,297894
157,347,15 14 3,40,297828
158,347,15 11 8,40,297764
159,339,13 10 15,40,297472
160,339,13 15 6,40,297410
161,340,13 15 7,40,297410
162,343,14 9 14,40,297297
163,343,14 14 5,40,297297
164,340,13 12 12,40,297196
165,336,12 13 13,40,297157
166,342,14 11 10,40,297047
167,344,14 11 11,40,297047
168,346,15 13 4,40,296999
169,346,15 8 13,40,296936
170,332,11 14 14,40,296925
171,346,15 10 9,40,296713
172,339,13 14 8,40,296554
173,328,10 15 15,40,296497
174,335,12 15 9,40,296497
175,342,14 13 6,40,296422
176,343,14 13 7,40,296422
177,339,13 11 13,40,296125
178,335,12 12 14,40,296108
179,345,15 12 5,40,296108
180,342,14 8 15,40,296048
181,343,14 10 12,40,295954
182,331,11 13 15,40,295898
183,345,15 15 0,40,295853
184,345,15 7 14,40,295662
185,338,13 13 9,40,295635
186,335,12 14 10,40,295598
187,336,12 14 11,40,295598
188,345,15 9 10,40,295598
189,346,15 9 11,40,295598
190,342,14 12 8,40,295486
191,342,14 15 3,40,295423
192,332,11 15 12,40,295369
193,344,15 11 6,40,295152
194,346,15 11 7,40,295152
195,344,15 14 1,40,295120
196,346,15 14 2,40,295120
197,334,12 11 15,40,294998
198,338,13 10 14,40,294993
199,342,14 9 13,40,294798
200,338,13 15 5,40,294778
201,338,13 12 10,40,294656
202,339,13 12 11,40,294656
203,341,14 14 4,40,294642
204,335,12 13 12,40,294639
205,341,14 11 9,40,294486
206,331,11 14 13,40,294430
207,345,15 8 12,40,294419
208,344,15 6 15,40,294324
209,345,15 13 3,40,294324
210,345,15 10 8,40,294133
211,327,10 15 14,40,294027
212,337,13 14 6,40,293952
213,338,13 14 7,40,293952
214,334,12 15 8,40,293919
215,337,13 9 15,40,293799
216,341,14 13 5,40,293799
217,334,12 12 13,40,293619
218,338,13 11 12,40,293616
219,341,14 8 14,40,293581
220,344,15 12 4,40,293464
221,330,11 13 14,40,293432
222,340,14 10 10,40,293424
223,341,14 10 11,40,293424
224,344,15 7 13,40,293177
225,337,13 13 8,40,293065
226,326,10 14 15,40,293050
227,333,12 14 9,40,293050
228,344,15 9 9,40,293050
229,340,14 12 6,40,292894
230,341,14 12 7,40,292894
231,330,11 15 10,40,292845
232,331,11 15 11,40,292845
233,340,14 15 1,40,292737
234,341,14 15 2,40,292737
235,333,12 11 14,40,292540
236,343,15 11 5,40,292540
237,337,13 10 13,40,292514
238,343,15 14 0,40,292413
239,329,11 12 15,40,292375
240,340,14 7 15,40,292300
241,340,14 9 12,40,292300
242,337,13 15 4,40,292147
243,333,12 13 10,40,292120
244,334,12 13 11,40,292120
245,336,13 12 9,40,292116
246,340,14 14 3,40,291988
247,330,11 14 12,40,291935
248,340,14 11 8,40,291925
249,343,15 8 10,40,291903
250,344,15 8 11,40,291903
251,343,15 6 14,40,291871
252,342,15 13 1,40,291648
253,344,15 13 2,40,291648
254,326,10 15 13,40,291556
255,342,15 10 6,40,291553
256,344,15 10 7,40,291553
257,332,12 10 15,40,291401
258,336,13 9 14,40,291351
259,336,13 14 5,40,291351
260,332,12 15 6,40,291341
261,333,12 15 7,40,291341
262,339,14 13 4,40,291176
263,333,12 12 12,40,291131
264,339,14 8 13,40,291113
265,336,13 11 10,40,291106
266,337,13 11 11,40,291106
267,329,11 13 13,40,290966
268,339,14 10 9,40,290895
269,343,15 12 3,40,290820
270,343,15 7 12,40,290693
271,325,10 14 14,40,290608
272,332,12 14 8,40,290501
273,342,15 5 15,40,290501
274,343,15 9 8,40,290501
275,335,13 13 6,40,290494
276,336,13 13 7,40,290494
277,328,11 15 9,40,290320
278,339,14 12 5,40,290302
279,335,13 8 15,40,290127
280,332,12 11 13,40,290082
281,321,9 15 15,40,290052
282,338,14 15 0,40,290052
283,336,13 10 12,40,290035
284,328,11 12 14,40,289939
285,342,15 11 4,40,289928
286,338,14 7 14,40,289864
287,338,14 9 10,40,289802
288,339,14 9 11,40,289802
289,324,10 13 15,40,289602
290,332,12 13 9,40,289602
291,335,13 12 8,40,289576
292,335,13 15 3,40,289515
293,328,11 14 10,40,289440
294,329,11 14 11,40,289440
295,342,15 6 13,40,289418
296,342,15 8 9,40,289387
297,338,14 11 6,40,289365
298,339,14 11 7,40,289365
299,338,14 14 1,40,289333
300,339,14 14 2,40,289333
301,325,10 15 12,40,289085
302,331,12 10 14,40,288972
303,341,15 10 5,40,288972
304,341,15 13 0,40,288972
305,335,13 9 13,40,288902
306,327,11 11 15,40,288853
307,331,12 15 5,40,288763
308,335,13 14 4,40,288749
309,338,14 8 12,40,288646
310,331,12 12 10,40,288643
311,332,12 12 11,40,288643
312,334,13 11 9,40,288596
313,337,14 6 15,40,288553
314,338,14 13 3,40,288553
315,328,11 13 12,40,288500
316,338,14 10 8,40,288365
317,341,15 7 10,40,288208
318,342,15 7 11,40,288208
319,340,15 12 1,40,288176
320,342,15 12 2,40,288176
321,324,10 14 13,40,288166
322,341,15 5 14,40,288081
323,330,12 14 6,40,287953
324,331,12 14 7,40,287953
325,340,15 9 6,40,287953
326,341,15 9 7,40,287953
327,334,13 13 5,40,287923
328,330,12 9 15,40,287803
329,327,11 15 8,40,287796
330,337,14 12 4,40,287710
331,334,13 8 14,40,287709
332,320,9 15 14,40,287635
333,331,12 11 12,40,287623
334,333,13 10 10,40,287556
335,335,13 10 11,40,287556
336,327,11 12 13,40,287502
337,337,14 7 13,40,287429
338,341,15 11 3,40,287316
339,337,14 9 9,40,287304
340,323,10 13 14,40,287189
341,330,12 13 8,40,287084
342,333,13 12 6,40,287036
343,334,13 12 7,40,287036
344,341,15 6 12,40,286966
345,327,11 14 9,40,286944
346,333,13 15 1,40,286883
347,334,13 15 2,40,286883
348,340,15 8 8,40,286870
349,336,14 11 5,40,286804
350,319,9 14 15,40,286679
351,336,14 14 0,40,286679
352,340,15 4 15,40,286679
353,323,10 15 10,40,286614
354,324,10 15 11,40,286614
355,330,12 10 13,40,286544
356,333,13 7 15,40,286454
357,334,13 9 12,40,286454
358,326,11 11 14,40,286445
359,340,15 10 4,40,286392
360,330,12 15 4,40,286184
361,336,14 8 10,40,286179
362,337,14 8 11,40,286179
363,322,10 12 15,40,286154
364,330,12 12 9,40,286154
365,333,13 14 3,40,286148
366,336,14 6 14,40,286148
367,333,13 11 8,40,286087
368,326,11 13 10,40,286034
369,327,11 13 11,40,286034
370,336,14 13 1,40,285930
371,337,14 13 2,40,285930
372,336,14 10 6,40,285836
373,337,14 10 7,40,285836
374,323,10 14 12,40,285723
375,339,15 7 9,40,285723
376,340,15 5 13,40,285660
377,339,15 12 0,40,285532
378,329,12 9 14,40,285405
379,329,12 14 5,40,285405
380,339,15 9 5,40,285405
381,333,13 13 4,40,285352
382,325,11 10 15,40,285330
383,333,13 8 13,40,285291
384,325,11 15 6,40,285271
385,326,11 15 7,40,285271
386,319,9 15 13,40,285218
387,329,12 11 10,40,285165
388,330,12 11 11,40,285165
389,336,14 12 3,40,285118
390,332,13 10 9,40,285077
391,326,11 12 12,40,285066
392,336,14 7 12,40,284993
393,335,14 5 15,40,284805
394,336,14 9 8,40,284805
395,322,10 13 13,40,284775
396,338,15 11 1,40,284704
397,340,15 11 2,40,284704
398,328,12 13 6,40,284565
399,329,12 13 7,40,284565
400,338,15 6 10,40,284513
401,340,15 6 11,40,284513
402,332,13 12 5,40,284496
403,325,11 14 8,40,284449
404,338,15 8 6,40,284354
405,339,15 8 7,40,284354
406,318,9 14 14,40,284290
407,338,15 4 14,40,284290
408,332,13 15 0,40,284251
409,335,14 11 4,40,284243
410,328,12 8 15,40,284206
411,321,10 15 9,40,284143
412,329,12 10 12,40,284116
413,332,13 7 14,40,284067
414,325,11 11 13,40,284038
415,331,13 9 10,40,284006
416,333,13 9 11,40,284006
417,339,15 10 3,40,283812
418,321,10 12 14,40,283770
419,335,14 6 13,40,283744
420,335,14 8 9,40,283712
421,328,12 12 8,40,283666
422,314,8 15 15,40,283606
423,328,12 15 3,40,283606
424,331,13 11 6,40,283577
425,332,13 11 7,40,283577
426,325,11 13 9,40,283569
427,331,13 14 1,40,283547
428,332,13 14 2,40,283547
429,317,9 13 15,40,283306
430,334,14 10 5,40,283306
431,335,14 13 0,40,283306
432,321,10 14 10,40,283281
433,322,10 14 11,40,283281
434,338,15 5 12,40,283239
435,338,15 7 8,40,283239
436,328,12 9 13,40,283007
437,324,11 10 14,40,282952
438,332,13 8 12,40,282873
439,328,12 14 4,40,282857
440,337,15 3 15,40,282857
441,338,15 9 4,40,282857
442,318,9 15 12,40,282800
443,331,13 6 15,40,282782
444,331,13 13 3,40,282782
445,324,11 15 5,40,282747
446,320,10 11 15,40,282707
447,328,12 11 9,40,282707
448,324,11 12 10,40,282629
449,325,11 12 11,40,282629
450,331,13 10 8,40,282598
451,334,14 7 10,40,282557
452,335,14 7 11,40,282557
453,334,14 12 1,40,282526
454,335,14 12 2,40,282526
455,334,14 5 14,40,282432
456,321,10 13 12,40,282362
457,334,14 9 6,40,282307
458,335,14 9 7,40,282307
459,337,15 11 0,40,282092
460,337,15 6 9,40,282060
461,327,12 13 5,40,282047
462,331,13 12 4,40,281955
463,323,11 14 6,40,281954
464,324,11 14 7,40,281954
465,317,9 14 13,40,281901
466,337,15 4 13,40,281901
467,327,12 8 14,40,281837
468,337,15 8 5,40,281837
469,323,11 9 15,40,281807
470,327,12 10 10,40,281687
471,328,12 10 11,40,281687
472,334,14 11 3,40,281682
473,331,13 7 13,40,281680
474,320,10 15 8,40,281672
475,324,11 11 12,40,281631
476,330,13 9 9,40,281558
477,320,10 12 13,40,281385
478,334,14 6 12,40,281339
479,334,14 8 8,40,281245
480,313,8 15 14,40,281243
481,336,15 10 1,40,281232
482,337,15 10 2,40,281232
483,326,12 12 6,40,281178
484,327,12 12 7,40,281178
485,323,11 13 8,40,281103
486,330,13 11 5,40,281068
487,333,14 4 15,40,281058
488,326,12 15 1,40,281028
489,327,12 15 2,40,281028
490,316,9 13 14,40,280945
491,330,13 14 0,40,280945
492,320,10 14 9,40,280839
493,336,15 5 10,40,280818
494,337,15 5 11,40,280818
495,333,14 10 4,40,280777
496,336,15 7 6,40,280754
497,337,15 7 7,40,280754
498,326,12 7 15,40,280608
499,327,12 9 12,40,280608
500,323,11 10 13,40,280574
501,336,15 3 14,40,280499
502,329,13 8 10,40,280456
503,330,13 8 11,40,280456
504,329,13 6 14,40,280425
505,316,9 15 10,40,280383
506,317,9 15 11,40,280383
507,319,10 11 14,40,280351
508,327,12 14 3,40,280308
509,312,8 14 15,40,280308
510,337,15 9 3,40,280308
511,326,12 11 8,40,280248
512,323,11 15 4,40,280222
513,329,13 13 1,40,280211
514,330,13 13 2,40,280211
515,323,11 12 9,40,280193
516,333,14 7 9,40,280121
517,329,13 10 6,40,280119
518,330,13 10 7,40,280119
519,333,14 5 13,40,280059
520,319,10 13 10,40,279949
521,320,10 13 11,40,279949
522,315,9 12 15,40,279934
523,333,14 12 0,40,279934
524,332,14 9 5,40,279809
525,336,15 6 8,40,279608
526,326,12 13 4,40,279529
527,316,9 14 12,40,279512
528,336,15 4 12,40,279512
529,326,12 8 13,40,279469
530,322,11 9 14,40,279459
531,322,11 14 5,40,279459
532,329,13 12 3,40,279415
533,336,15 8 4,40,279321
534,329,13 7 12,40,279293
535,318,10 10 15,40,279259
536,326,12 10 9,40,279259
537,322,11 11 10,40,279224
538,323,11 11 11,40,279224
539,318,10 15 6,40,279202
540,319,10 15 7,40,279202
541,332,14 11 1,40,279122
542,333,14 11 2,40,279122
543,328,13 5 15,40,279109
544,329,13 9 8,40,279109
545,335,15 2 15,40,279034
546,319,10 12 12,40,279001
547,332,14 6 10,40,278934
548,333,14 6 11,40,278934
549,312,8 15 13,40,278879
550,331,14 8 6,40,278778
551,333,14 8 7,40,278778
