rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 11,22.0,1706243
2,1499,0 13 13,22.0,1705336
3,1495,2 15 15,21.5,1699494
4,1499,3 14 15,21.5,1698930
5,1494,0 14 11,22.0,1697669
6,1499,0 14 12,22.0,1697669
7,1497,1 13 11,22.0,1697138
8,1496,0 12 13,22.0,1696679
9,1466,0 12 14,22.0,1696679
10,1499,1 11 13,22.0,1696061
11,1497,0 10 15,22.0,1695360
12,1466,1 9 15,22.0,1694653
13,1488,1 15 15,21.5,1691477
14,1494,3 15 13,21.5,1691248
15,1498,3 15 14,21.5,1691248
16,1492,2 14 15,21.5,1690954
17,1497,4 14 13,21.5,1690650
18,1495,3 13 15,21.5,1690350
19,1465,5 13 13,21.5,1689972
20,1493,0 15 10,22.0,1689836
21,1498,4 12 15,21.5,1689665
22,1498,2 15 8,22.0,1689368
23,1497,1 14 10,22.0,1689351
24,1490,0 13 11,22.0,1689094
25,1495,0 13 12,22.0,1689094
26,1466,2 13 10,22.0,1688785
27,1494,1 12 11,22.0,1688523
28,1498,1 12 12,22.0,1688523
29,1492,0 11 13,22.0,1688023
30,1496,0 11 14,22.0,1688023
31,1497,2 11 11,22.0,1687870
32,1495,1 10 13,22.0,1687363
33,1499,1 10 14,22.0,1687363
34,1466,3 10 11,22.0,1687135
35,1498,0 3 14,22.5,1687081
36,1493,0 9 15,22.0,1686621
37,1498,2 9 13,22.0,1686621
38,1467,0 14 5,22.5,1686154
39,1496,1 8 15,22.0,1685872
40,1497,0 12 6,22.5,1685648
41,1499,2 7 15,22.0,1685040
42,1499,0 10 8,22.5,1684804
43,1467,0 8 10,22.5,1683624
44,1481,0 15 15,21.5,1683461
45,1487,2 15 13,21.5,1683308
46,1491,2 15 14,21.5,1683308
47,1485,1 14 15,21.5,1682978
48,1495,7 15 15,21.0,1682953
49,1496,4 15 12,21.5,1682850
50,1490,3 14 13,21.5,1682750
51,1494,3 14 14,21.5,1682750
52,1488,2 13 15,21.5,1682414
53,1499,5 14 12,21.5,1682218
54,1498,8 14 15,21.0,1682213
55,1493,4 13 13,21.5,1682111
56,1498,4 13 14,21.5,1682111
57,1497,0 6 11,22.5,1682106
58,1491,3 12 15,21.5,1681769
59,1491,1 15 8,22.0,1681399
60,1496,1 15 9,22.0,1681399
61,1496,5 12 13,21.5,1681393
62,1490,0 14 10,22.0,1681345
63,1467,1 5 11,22.5,1681221
64,1494,4 11 15,21.5,1681044
65,1495,2 14 8,22.0,1680878
66,1499,2 14 9,22.0,1680878
67,1493,1 13 10,22.0,1680819
68,1499,6 11 13,21.5,1680595
69,1487,0 12 11,22.0,1680520
70,1491,0 12 12,22.0,1680520
71,1498,3 13 8,22.0,1680278
72,1498,0 4 13,22.5,1680251
73,1497,5 10 15,21.5,1680238
74,1496,2 12 10,22.0,1680213
75,1490,1 11 11,22.0,1679908
76,1494,1 11 12,22.0,1679908
77,1499,3 11 10,22.0,1679525
78,1488,0 10 13,22.0,1679366
79,1492,0 10 14,22.0,1679366
80,1493,2 10 11,22.0,1679214
81,1498,2 10 12,22.0,1679214
82,1491,1 9 13,22.0,1678665
83,1496,1 9 14,22.0,1678665
84,1496,3 9 11,22.0,1678438
85,1494,0 2 14,22.5,1678059
86,1499,0 2 15,22.5,1678059
87,1495,0 15 3,22.5,1677891
88,1499,0 15 4,22.5,1677891
89,1489,0 8 15,22.0,1677882
90,1494,2 8 13,22.0,1677882
91,1499,2 8 14,22.0,1677882
92,1496,0 13 5,22.5,1677638
93,1499,4 8 11,22.0,1677581
94,1498,1 14 3,22.5,1677409
95,1492,1 7 15,22.0,1677092
96,1466,1 12 5,22.5,1677070
97,1493,0 11 6,22.5,1677047
98,1498,0 11 7,22.5,1677047
99,1497,3 7 13,22.0,1677017
100,1497,1 1 14,22.5,1676985
101,1497,1 10 6,22.5,1676392
102,1495,2 6 15,22.0,1676218
103,1495,0 9 8,22.5,1676120
104,1466,0 9 9,22.5,1676120
105,1466,4 6 13,22.0,1676068
106,1467,2 0 14,22.5,1675825
107,1467,2 9 6,22.5,1675655
108,1498,1 8 8,22.5,1675376
109,1480,1 15 13,21.5,1675368
110,1484,1 15 14,21.5,1675368
111,1498,3 5 15,22.0,1675261
112,1488,6 15 15,21.0,1675198
113,1478,0 14 15,21.5,1675001
114,1489,3 15 12,21.5,1674986
115,1496,0 7 10,22.5,1674855
116,1483,2 14 13,21.5,1674849
117,1487,2 14 14,21.5,1674849
118,1491,7 14 15,21.0,1674496
119,1481,1 13 15,21.5,1674478
120,1498,8 15 14,21.0,1674452
121,1492,4 14 12,21.5,1674394
122,1494,5 15 10,21.5,1674299
123,1499,5 15 11,21.5,1674299
124,1486,3 13 13,21.5,1674251
125,1491,3 13 14,21.5,1674251
126,1466,1 6 10,22.5,1674020
127,1484,2 12 15,21.5,1673873
128,1496,5 13 12,21.5,1673722
129,1494,8 13 15,21.0,1673717
130,1497,6 14 10,21.5,1673634
131,1489,4 12 13,21.5,1673573
132,1494,4 12 14,21.5,1673573
133,1484,0 15 8,22.0,1673430
134,1489,0 15 9,22.0,1673430
135,1493,0 5 11,22.5,1673253
136,1497,0 5 12,22.5,1673253
137,1487,3 11 15,21.5,1673189
138,1499,6 12 12,21.5,1672971
139,1488,1 14 8,22.0,1672950
140,1492,1 14 9,22.0,1672950
141,1466,7 13 10,21.5,1672890
142,1498,9 12 15,21.0,1672859
143,1486,0 13 10,22.0,1672853
144,1492,5 11 13,21.5,1672815
145,1497,5 11 14,21.5,1672815
146,1494,2 15 7,22.0,1672805
147,1491,4 10 15,21.5,1672423
148,1491,2 13 8,22.0,1672389
149,1495,2 13 9,22.0,1672389
150,1496,1 4 11,22.5,1672326
151,1489,1 12 10,22.0,1672287
152,1497,3 14 7,22.0,1672250
153,1496,6 10 13,21.5,1671977
154,1465,6 10 14,21.5,1671977
155,1483,0 11 11,22.0,1671946
156,1487,0 11 12,22.0,1671946
157,1499,4 15 5,22.0,1671868
158,1494,3 12 8,22.0,1671748
159,1499,3 12 9,22.0,1671748
160,1492,2 11 10,22.0,1671640
161,1466,4 13 7,22.0,1671616
162,1494,5 9 15,21.5,1671577
163,1494,0 3 13,22.5,1671314
164,1499,2 3 11,22.5,1671314
165,1486,1 10 11,22.0,1671293
166,1490,1 10 12,22.0,1671293
167,1499,7 9 13,21.5,1671059
168,1497,4 11 8,22.0,1671028
169,1496,3 10 10,22.0,1670912
170,1484,0 9 13,22.0,1670710
171,1488,0 9 14,22.0,1670710
172,1497,6 8 15,21.5,1670651
173,1489,2 9 11,22.0,1670558
174,1494,2 9 12,22.0,1670558
175,1497,1 2 13,22.5,1670292
176,1466,5 10 8,22.0,1670227
177,1499,4 9 10,22.0,1670104
178,1487,1 8 13,22.0,1669968
179,1492,1 8 14,22.0,1669968
180,1492,3 8 11,22.0,1669742
181,1497,3 8 12,22.0,1669742
182,1465,7 7 15,21.5,1669644
183,1491,0 14 3,22.5,1669459
184,1496,0 14 4,22.5,1669459
185,1467,2 1 13,22.5,1669186
186,1485,0 7 15,22.0,1669143
187,1490,2 7 13,22.0,1669143
188,1495,2 7 14,22.0,1669143
189,1493,0 12 5,22.5,1669122
190,1490,0 1 14,22.5,1669037
191,1495,0 1 15,22.5,1669037
192,1497,1 15 2,22.5,1669022
193,1499,0 4 6,23.0,1669014
194,1494,1 13 3,22.5,1668937
195,1499,1 13 4,22.5,1668937
196,1495,4 7 11,22.0,1668843
197,1466,4 7 12,22.0,1668843
198,1496,1 11 5,22.5,1668513
199,1467,2 14 2,22.5,1668505
200,1490,0 10 6,22.5,1668447
201,1494,0 10 7,22.5,1668447
202,1497,2 12 3,22.5,1668335
203,1488,1 6 15,22.0,1668311
204,1493,3 6 13,22.0,1668236
205,1498,3 6 14,22.0,1668236
206,1493,1 0 14,22.5,1667920
207,1498,1 0 15,22.5,1667920
208,1499,5 6 11,22.0,1667863
209,1499,2 10 5,22.5,1667824
210,1493,1 9 6,22.5,1667751
211,1497,1 9 7,22.5,1667751
212,1481,5 15 15,21.0,1667442
213,1491,0 8 8,22.5,1667435
214,1496,0 8 9,22.5,1667435
215,1473,0 15 13,21.5,1667428
216,1477,0 15 14,21.5,1667428
217,1491,2 5 15,22.0,1667395
218,1468,0 2 8,23.0,1667290
219,1497,4 5 13,22.0,1667247
220,1482,2 15 12,21.5,1667123
221,1496,2 8 6,22.5,1666973
222,1476,1 14 13,21.5,1666949
223,1480,1 14 14,21.5,1666949
224,1485,6 14 15,21.0,1666780
225,1491,7 15 14,21.0,1666771
226,1494,1 7 8,22.5,1666650
227,1499,1 7 9,22.5,1666650
228,1485,3 14 12,21.5,1666569
229,1474,0 13 15,21.5,1666542
230,1487,4 15 10,21.5,1666512
231,1492,4 15 11,21.5,1666512
232,1494,3 4 15,22.0,1666397
233,1479,2 13 13,21.5,1666391
234,1484,2 13 14,21.5,1666391
235,1465,5 4 13,22.0,1666175
236,1499,3 7 6,22.5,1666113
237,1492,0 6 10,22.5,1666086
238,1488,7 13 15,21.0,1666039
239,1494,8 14 14,21.0,1666038
240,1477,1 12 15,21.5,1665978
241,1489,4 13 12,21.5,1665937
242,1490,5 14 10,21.5,1665886
243,1495,5 14 11,21.5,1665886
244,1496,9 15 12,21.0,1665802
245,1464,9 15 13,21.0,1665802
246,1497,2 6 8,22.5,1665781
247,1482,3 12 13,21.5,1665752
248,1487,3 12 14,21.5,1665752
249,1497,6 15 9,21.5,1665596
250,1480,2 11 15,21.5,1665333
251,1497,4 3 15,22.0,1665315
252,1497,9 13 14,21.0,1665227
253,1492,5 12 12,21.5,1665226
254,1497,0 0 9,23.0,1665221
255,1491,8 12 15,21.0,1665221
256,1496,1 5 10,22.5,1665209
257,1494,6 13 10,21.5,1665181
258,1498,6 13 11,21.5,1665181
259,1486,4 11 13,21.5,1665034
260,1490,4 11 14,21.5,1665034
261,1481,0 14 8,22.0,1665021
262,1485,0 14 9,22.0,1665021
263,1499,10 14 12,21.0,1664999
264,1487,1 15 7,22.0,1664915
265,1465,7 14 9,21.5,1664898
266,1484,3 10 15,21.5,1664608
267,1464,11 15 10,21.0,1664534
268,1484,1 13 8,22.0,1664501
269,1488,1 13 9,22.0,1664501
270,1495,6 11 12,21.5,1664435
271,1489,0 4 11,22.5,1664400
272,1493,0 4 12,22.5,1664400
273,1490,2 14 7,22.0,1664399
274,1497,7 12 10,21.5,1664399
275,1482,0 12 10,22.0,1664362
276,1464,10 12 14,21.0,1664339
277,1494,9 11 15,21.0,1664324
278,1499,2 4 10,22.5,1664249
279,1489,5 10 13,21.5,1664236
280,1493,5 10 14,21.5,1664236
281,1466,5 2 15,22.0,1664150
282,1492,3 15 5,22.0,1664055
283,1496,3 15 6,22.0,1664055
284,1498,0 11 0,23.0,1663928
285,1487,2 12 8,22.0,1663900
286,1492,2 12 9,22.0,1663900
287,1493,3 13 7,22.0,1663804
288,1487,4 9 15,21.5,1663802
289,1485,1 11 10,22.0,1663755
290,1498,7 10 12,21.5,1663566
291,1465,8 11 10,21.5,1663538
292,1467,0 9 2,23.0,1663497
293,1495,4 14 5,22.0,1663466
294,1465,4 14 6,22.0,1663466
295,1492,1 3 11,22.5,1663430
296,1497,1 3 12,22.5,1663430
297,1479,0 10 11,22.0,1663372
298,1483,0 10 12,22.0,1663372
299,1492,6 9 13,21.5,1663358
300,1496,6 9 14,21.5,1663358
301,1497,10 10 15,21.0,1663350
302,1490,3 11 8,22.0,1663219
303,1495,3 11 9,22.0,1663219
304,1497,4 12 7,22.0,1663130
305,1489,2 10 10,22.0,1663068
306,1490,5 8 15,21.5,1662916
307,1498,5 13 5,22.0,1662799
308,1497,0 7 3,23.0,1662722
309,1482,1 9 11,22.0,1662678
310,1487,1 9 12,22.0,1662678
311,1493,4 10 8,22.0,1662458
312,1498,4 10 9,22.0,1662458
313,1495,7 8 13,21.5,1662401
314,1499,7 8 14,21.5,1662401
315,1466,5 11 7,22.0,1662377
316,1490,0 2 13,22.5,1662376
317,1495,2 2 11,22.5,1662376
318,1466,2 2 12,22.5,1662376
319,1492,3 9 10,22.0,1662299
320,1464,11 9 15,21.0,1662298
321,1480,0 8 13,22.0,1662053
322,1485,0 8 14,22.0,1662053
323,1493,6 7 15,21.5,1661949
324,1485,2 8 11,22.0,1661902
325,1490,2 8 12,22.0,1661902
326,1467,1 6 3,23.0,1661893
327,1497,5 9 8,22.0,1661617
328,1498,0 5 5,23.0,1661601
329,1495,4 8 10,22.0,1661450
330,1498,8 7 13,21.5,1661363
331,1493,1 1 13,22.5,1661312
332,1483,1 7 13,22.0,1661270
333,1488,1 7 14,22.0,1661270
334,1498,3 1 11,22.5,1661238
335,1490,0 15 2,22.5,1661112
336,1488,3 7 11,22.0,1661045
337,1493,3 7 12,22.0,1661045
338,1487,0 13 3,22.5,1661027
339,1492,0 13 4,22.5,1661027
340,1496,7 6 15,21.5,1660902
341,1466,6 8 8,22.0,1660696
342,1493,1 14 2,22.5,1660635
343,1489,0 11 5,22.5,1660606
344,1498,5 7 10,22.0,1660520
345,1490,1 12 3,22.5,1660465
346,1495,1 12 4,22.5,1660465
347,1481,0 6 15,22.0,1660404
348,1486,2 6 13,22.0,1660404
349,1491,2 6 14,22.0,1660404
350,1496,2 0 13,22.5,1660163
351,1495,0 3 6,23.0,1660136
352,1467,0 3 7,23.0,1660136
353,1492,4 6 11,22.0,1660106
354,1496,4 6 12,22.0,1660106
355,1496,2 13 2,22.5,1660078
356,1486,0 0 14,22.5,1660016
357,1491,0 0 15,22.5,1660016
358,1494,2 15 0,22.5,1659993
359,1499,2 15 1,22.5,1659993
360,1492,1 10 5,22.5,1659957
361,1486,0 9 6,22.5,1659847
362,1490,0 9 7,22.5,1659847
363,1494,2 11 3,22.5,1659823
364,1498,2 11 4,22.5,1659823
365,1499,8 5 15,21.5,1659774
366,1474,4 15 15,21.0,1659687
367,1484,1 5 15,22.0,1659530
368,1490,3 5 13,22.0,1659456
369,1494,3 5 14,22.0,1659456
370,1466,3 12 2,22.5,1659442
371,1498,3 14 0,22.5,1659442
372,1475,1 15 12,21.5,1659259
373,1495,2 9 5,22.5,1659227
374,1498,1 2 6,23.0,1659121
375,1489,1 8 6,22.5,1659110
376,1494,1 8 7,22.5,1659110
377,1497,3 10 3,22.5,1659100
378,1484,6 15 14,21.0,1659090
379,1495,5 5 11,22.0,1659085
380,1499,5 5 12,22.0,1659085
381,1478,5 14 15,21.0,1659063
382,1469,0 14 13,21.5,1659049
383,1473,0 14 14,21.5,1659049
384,1487,0 7 8,22.5,1658751
385,1492,0 7 9,22.5,1658751
386,1479,2 14 12,21.5,1658745
387,1480,3 15 10,21.5,1658724
388,1485,3 15 11,21.5,1658724
389,1487,2 4 15,22.0,1658573
390,1472,1 13 13,21.5,1658530
391,1477,1 13 14,21.5,1658530
392,1493,4 4 13,22.0,1658426
393,1497,4 4 14,22.0,1658426
394,1498,3 8 5,22.5,1658416
395,1487,7 14 14,21.0,1658395
396,1481,6 13 15,21.0,1658362
397,1496,0 1 8,23.0,1658326
398,1467,4 9 3,22.5,1658297
399,1492,2 7 6,22.5,1658291
