rank,cp,ivs,maxlevel,stat-product
1,819,15 15 15,40,785164
2,816,15 15 14,40,778621
3,811,14 15 15,40,777894
4,814,15 14 15,40,777070
5,813,15 15 13,40,772078
6,808,14 15 14,40,771412
7,803,13 15 15,40,770624
8,812,15 14 14,40,770594
9,807,14 14 15,40,769875
10,810,15 13 15,40,768975
11,810,15 15 12,40,765535
12,806,14 15 13,40,764929
13,801,13 15 14,40,764202
14,809,15 14 13,40,764118
15,804,14 14 14,40,763459
16,796,12 15 15,40,763354
17,799,13 14 15,40,762679
18,807,15 13 14,40,762567
19,803,14 13 15,40,761855
20,806,15 12 15,40,760881
21,805,15 15 10,40,758992
22,808,15 15 11,40,758992
23,803,14 15 12,40,758447
24,798,13 15 13,40,757780
25,806,15 14 12,40,757643
26,801,14 14 13,40,757043
27,793,12 15 14,40,756993
28,797,13 14 14,40,756324
29,805,15 13 13,40,756159
30,788,11 15 15,40,756084
31,800,14 13 14,40,755506
32,792,12 14 15,40,755484
33,795,13 13 15,40,754735
34,803,15 12 14,40,754540
35,798,14 12 15,40,753835
36,801,15 11 15,40,752786
37,802,15 15 9,40,752449
38,798,14 15 10,40,751964
39,800,14 15 11,40,751964
40,795,13 15 12,40,751358
41,801,15 14 10,40,751167
42,804,15 14 11,40,751167
43,791,12 15 13,40,750631
44,799,14 14 12,40,750628
45,794,13 14 13,40,749968
46,786,11 15 14,40,749783
47,802,15 13 12,40,749751
48,789,12 14 14,40,749189
49,797,14 13 13,40,749157
50,781,10 15 15,40,748814
51,792,13 13 14,40,748445
52,784,11 14 15,40,748289
53,800,15 12 13,40,748199
54,788,12 13 15,40,747615
55,796,14 12 14,40,747553
56,791,13 12 15,40,746790
57,799,15 11 14,40,746513
58,799,15 15 8,40,745906
59,794,14 11 15,40,745816
60,795,14 15 9,40,745482
61,790,13 15 10,40,744937
62,793,13 15 11,40,744937
63,797,15 10 15,40,744692
64,798,15 14 9,40,744692
65,788,12 15 12,40,744270
66,793,14 14 10,40,744212
67,796,14 14 11,40,744212
68,791,13 14 12,40,743612
69,783,11 15 13,40,743483
70,797,15 13 10,40,743343
71,799,15 13 11,40,743343
72,786,12 14 13,40,742893
73,795,14 13 12,40,742809
74,778,10 15 14,40,742574
75,790,13 13 13,40,742156
76,782,11 14 14,40,742053
77,798,15 12 12,40,741859
78,773,9 15 15,40,741544
79,785,12 13 14,40,741385
80,793,14 12 13,40,741272
81,777,10 14 15,40,741094
82,788,13 12 14,40,740567
83,780,11 13 15,40,740495
84,796,15 11 13,40,740240
85,783,12 12 15,40,739745
86,791,14 11 14,40,739601
87,794,15 15 6,40,739363
88,797,15 15 7,40,739363
89,792,14 15 8,40,738999
90,787,13 11 15,40,738846
91,787,13 15 9,40,738515
92,795,15 10 14,40,738486
93,795,15 14 8,40,738216
94,783,12 15 10,40,737909
95,785,12 15 11,40,737909
96,790,14 10 15,40,737796
97,791,14 14 9,40,737796
98,786,13 14 10,40,737257
99,789,13 14 11,40,737257
100,780,11 15 12,40,737182
101,794,15 13 9,40,736934
102,784,12 14 12,40,736597
103,793,15 9 15,40,736597
104,789,14 13 10,40,736460
105,792,14 13 11,40,736460
106,775,10 15 13,40,736334
107,787,13 13 12,40,735866
108,779,11 14 13,40,735818
109,792,15 12 10,40,735518
110,795,15 12 11,40,735518
111,771,9 15 14,40,735364
112,782,12 13 13,40,735154
113,790,14 12 12,40,734990
114,774,10 14 14,40,734918
115,786,13 12 13,40,734344
116,777,11 13 14,40,734324
117,765,8 15 15,40,734274
118,794,15 11 12,40,733966
119,769,9 14 15,40,733899
120,781,12 12 14,40,733581
121,789,14 11 13,40,733386
122,773,10 13 15,40,733374
123,791,15 15 5,40,732820
124,776,11 12 15,40,732700
125,784,13 11 14,40,732689
126,787,14 15 6,40,732517
127,789,14 15 7,40,732517
128,792,15 10 13,40,732280
129,785,13 15 8,40,732093
130,779,12 11 15,40,731875
131,790,15 14 6,40,731741
132,793,15 14 7,40,731741
133,787,14 10 14,40,731648
134,780,12 15 9,40,731548
135,788,14 14 8,40,731381
136,782,13 10 15,40,730901
137,783,13 14 9,40,730901
138,775,11 15 10,40,730881
139,778,11 15 11,40,730881
140,791,15 13 8,40,730526
141,790,15 9 14,40,730459
142,779,12 14 10,40,730301
143,781,12 14 11,40,730301
144,787,14 13 9,40,730111
145,773,10 15 12,40,730094
146,785,14 9 15,40,729777
147,776,11 14 12,40,729582
148,782,13 13 10,40,729577
149,785,13 13 11,40,729577
150,768,9 15 13,40,729185
151,790,15 12 9,40,729177
152,780,12 13 12,40,728924
153,771,10 14 13,40,728743
154,785,14 12 10,40,728708
155,788,14 12 11,40,728708
156,788,15 8 15,40,728503
157,763,8 15 14,40,728155
158,775,11 13 13,40,728153
159,783,13 12 12,40,728120
160,767,9 14 14,40,727783
161,788,15 11 10,40,727693
162,791,15 11 11,40,727693
163,778,12 12 13,40,727416
164,770,10 13 14,40,727263
165,786,14 11 12,40,727171
166,758,7 15 15,40,727004
167,762,8 14 15,40,726704
168,773,11 12 14,40,726594
169,781,13 11 13,40,726532
170,788,15 15 4,40,726277
171,765,9 13 15,40,726254
172,789,15 10 12,40,726074
173,784,14 15 5,40,726034
174,777,12 11 14,40,725776
175,779,13 15 6,40,725671
176,782,13 15 7,40,725671
177,768,10 12 15,40,725655
178,785,14 10 13,40,725500
179,787,15 14 5,40,725265
180,777,12 15 8,40,725186
181,783,14 14 6,40,724965
182,785,14 14 7,40,724965
183,772,11 11 15,40,724905
184,780,13 10 14,40,724810
185,773,11 15 9,40,724580
186,781,13 14 8,40,724545
187,788,15 9 13,40,724321
