rank,cp,ivs,maxlevel,stat-product
1,1497,1 14 14,25,1971920
2,1492,0 15 14,25,1970122
3,1496,0 15 15,25,1970122
4,1499,0 11 12,25.5,1969543
5,1499,0 8 15,25.5,1969390
6,1499,0 14 9,25.5,1968774
7,1497,1 15 13,25,1966535
8,1499,0 9 14,25.5,1964544
9,1499,0 12 11,25.5,1964314
10,1499,2 12 14,25,1963684
11,1498,0 15 8,25.5,1963160
12,1498,2 15 11,25,1962769
13,1494,1 13 14,25,1962060
14,1497,1 13 15,25,1962060
15,1500,1 9 12,25.5,1961084
16,1500,1 6 15,25.5,1960620
17,1500,1 12 9,25.5,1960620
18,1488,0 14 14,25,1960320
19,1492,0 14 15,25,1960320
20,1495,0 10 12,25.5,1959546
21,1499,0 10 13,25.5,1959546
22,1495,0 7 15,25.5,1959238
23,1499,1 15 6,25.5,1959227
24,1495,0 13 9,25.5,1958930
25,1499,0 13 10,25.5,1958930
26,1498,2 13 13,25,1958420
27,1493,1 14 13,25,1956751
28,1500,0 12 4,26,1956261
29,1500,1 10 11,25.5,1955978
30,1500,1 7 14,25.5,1955901
31,1500,3 10 14,25,1955217
32,1500,1 13 8,25.5,1955127
33,1488,0 15 13,25,1954967
34,1499,3 13 11,25,1954603
35,1495,0 8 14,25.5,1954470
36,1495,0 11 11,25.5,1954393
37,1495,2 11 14,25,1953767
38,1499,2 11 15,25,1953767
39,1495,0 14 8,25.5,1953393
40,1494,2 14 11,25,1953004
41,1498,2 14 12,25,1953004
42,1490,1 12 14,25,1952201
43,1494,1 12 15,25,1952201
44,1497,4 14 15,24.5,1951447
45,1489,1 15 11,25,1951291
46,1493,1 15 12,25,1951291
47,1496,1 8 12,25.5,1951027
48,1500,1 8 13,25.5,1951027
49,1496,1 11 9,25.5,1950717
50,1500,1 11 10,25.5,1950717
51,1500,0 13 3,26,1950537
52,1485,0 13 14,25,1950519
53,1489,0 13 15,25,1950519
54,1496,1 5 15,25.5,1950408
55,1500,3 11 13,25,1950075
56,1492,3 15 15,24.5,1949867
57,1491,0 9 12,25.5,1949548
58,1495,0 9 13,25.5,1949548
59,1496,1 14 6,25.5,1949480
60,1500,1 14 7,25.5,1949480
61,1491,0 6 15,25.5,1949087
62,1491,0 12 9,25.5,1949087
63,1495,0 12 10,25.5,1949087
64,1499,3 14 10,25,1949078
65,1495,2 12 13,25,1948579
66,1490,0 15 6,25.5,1947702
67,1494,0 15 7,25.5,1947702
68,1498,5 14 13,24.5,1947512
69,1494,2 15 10,25,1947435
70,1497,0 8 7,26,1947165
71,1497,0 5 10,26,1947008
72,1490,1 13 13,25,1946967
73,1496,0 11 4,26,1946381
74,1493,4 15 13,24.5,1946001
75,1497,4 15 14,24.5,1946001
76,1496,1 9 11,25.5,1945998
77,1497,0 2 13,26,1945911
78,1496,1 6 14,25.5,1945766
79,1500,2 14 5,25.5,1945384
80,1496,1 12 8,25.5,1945302
81,1485,0 14 13,25,1945241
82,1496,3 9 14,25,1945241
83,1500,3 9 15,25,1945241
