rank,cp,ivs,maxlevel,stat-product
1,1457,0 10 13,17.5,1918907
2,1457,0 8 15,17.5,1915759
3,1458,0 11 12,17.5,1913135
4,1498,3 14 15,17.0,1910635
5,1458,1 8 13,17.5,1910517
6,1497,0 9 13,17.5,1910184
7,1457,0 9 14,17.5,1910184
8,1494,2 15 15,17.0,1910155
9,1498,0 14 8,17.5,1909725
10,1497,0 12 10,17.5,1907233
11,1457,1 6 15,17.5,1907222
12,1496,0 7 15,17.5,1906971
13,1499,4 14 13,17.0,1905063
14,1495,3 15 13,17.0,1904626
15,1498,3 15 14,17.0,1904626
16,1497,0 10 12,17.5,1904479
17,1498,1 14 6,17.5,1904059
18,1495,0 15 6,17.5,1903495
19,1498,0 15 7,17.5,1903495
20,1498,4 12 15,17.0,1902466
21,1494,3 13 15,17.0,1902106
22,1497,1 7 13,17.5,1901753
23,1457,1 7 14,17.5,1901753
24,1498,1 12 8,17.5,1901687
25,1491,2 14 15,17.0,1901665
26,1493,0 8 13,17.5,1901462
27,1496,0 8 14,17.5,1901462
28,1494,0 13 8,17.5,1901200
29,1498,0 13 9,17.5,1901200
30,1487,1 15 15,17.0,1901144
31,1498,1 10 10,17.5,1899051
32,1499,4 15 12,17.0,1898960
33,1494,0 11 10,17.5,1898642
34,1497,0 11 11,17.5,1898642
35,1457,2 4 15,17.5,1898518
36,1496,1 5 15,17.5,1898392
37,1493,0 6 15,17.5,1898183
38,1498,1 15 5,17.5,1897733
39,1499,5 12 13,17.0,1896876
40,1495,4 13 13,17.0,1896558
41,1498,4 13 14,17.0,1896558
42,1491,3 14 13,17.0,1896161
43,1495,3 14 14,17.0,1896161
44,1497,1 8 12,17.5,1896152
45,1499,2 12 6,17.5,1896002
46,1494,0 9 12,17.5,1895822
47,1488,2 15 13,17.0,1895684
48,1491,2 15 14,17.0,1895684
49,1495,1 13 6,17.5,1895559
50,1498,1 13 7,17.5,1895559
51,1491,0 14 6,17.5,1895035
52,1495,0 14 7,17.5,1895035
53,1498,5 10 15,17.0,1894137
54,1495,4 11 15,17.0,1893896
55,1491,3 12 15,17.0,1893576
56,1498,2 10 8,17.5,1893486
57,1487,2 13 15,17.0,1893176
58,1499,5 15 10,17.0,1893158
59,1497,2 5 13,17.5,1893155
60,1457,2 5 14,17.5,1893155
61,1495,1 11 8,17.5,1893121
62,1498,1 11 9,17.5,1893121
63,1494,1 6 13,17.5,1892989
64,1497,1 6 14,17.5,1892989
65,1490,0 7 13,17.5,1892740
66,1493,0 7 14,17.5,1892740
67,1484,1 14 15,17.0,1892695
68,1491,0 12 8,17.5,1892674
69,1494,0 12 9,17.5,1892674
70,1480,0 15 15,17.0,1892134
71,1499,2 15 3,17.5,1891831
72,1459,0 9 1,18.0,1890877
73,1499,5 13 12,17.0,1890875
74,1498,2 8 10,17.5,1890705
75,1495,4 14 12,17.0,1890520
76,1494,1 9 10,17.5,1890419
77,1498,1 9 11,17.5,1890419
78,1492,3 15 12,17.0,1890087
79,1491,0 10 10,17.5,1890051
80,1494,0 10 11,17.5,1890051
81,1499,2 13 5,17.5,1889778
82,1496,2 3 15,17.5,1889646
83,1457,3 2 15,17.5,1889646
84,1493,1 4 15,17.5,1889562
85,1489,0 5 15,17.5,1889395
86,1495,1 14 5,17.5,1889299
87,1491,0 15 5,17.5,1888739
88,1499,6 10 13,17.0,1888530
89,1495,5 11 13,17.0,1888332
90,1499,5 11 14,17.0,1888332
91,1458,0 7 3,18.0,1888246
92,1492,4 12 13,17.0,1888053
93,1495,4 12 14,17.0,1888053
94,1499,3 10 6,17.5,1887784
95,1488,3 13 13,17.0,1887696
96,1491,3 13 14,17.0,1887696
97,1497,2 6 12,17.5,1887660
98,1499,0 2 8,18.0,1887639
99,1495,2 11 6,17.5,1887461
100,1499,2 11 7,17.5,1887461
101,1494,1 7 12,17.5,1887454
102,1484,2 14 13,17.0,1887259
103,1488,2 14 14,17.0,1887259
104,1456,6 15 8,17.0,1887220
105,1490,0 8 12,17.5,1887165
106,1492,1 12 6,17.5,1887058
107,1495,1 12 7,17.5,1887058
108,1481,1 15 13,17.0,1886742
109,1484,1 15 14,17.0,1886742
110,1488,0 13 6,17.5,1886575
111,1491,0 13 7,17.5,1886575
112,1498,9 15 15,16.5,1886195
113,1499,3 15 1,17.5,1885788
114,1498,6 8 15,17.0,1885647
115,1495,5 9 15,17.0,1885527
116,1458,0 5 5,18.0,1885346
117,1491,4 10 15,17.0,1885327
