rank,cp,ivs,maxlevel,stat-product
1,980,15 15 15,40,928800
2,976,15 15 14,40,921817
3,973,14 15 15,40,921710
4,976,15 14 15,40,920200
5,973,15 15 13,40,914833
6,969,14 15 14,40,914780
7,965,13 15 15,40,914620
8,972,15 14 14,40,913282
9,968,14 14 15,40,913176
10,971,15 13 15,40,911600
11,965,14 15 13,40,907850
12,969,15 15 12,40,907850
13,961,13 15 14,40,907743
14,958,12 15 15,40,907530
15,968,15 14 13,40,906363
16,964,14 14 14,40,906310
17,961,13 14 15,40,906152
18,967,15 13 14,40,904746
19,964,14 13 15,40,904642
20,966,15 12 15,40,903000
21,962,14 15 12,40,900920
22,958,13 15 13,40,900867
23,965,15 15 11,40,900867
24,954,12 15 14,40,900707
25,950,11 15 15,40,900440
26,961,14 14 13,40,899444
27,964,15 14 12,40,899444
28,957,13 14 14,40,899338
29,953,12 14 15,40,899127
30,964,15 13 13,40,897892
31,960,14 13 14,40,897840
32,956,13 13 15,40,897683
33,963,15 12 14,40,896211
34,959,14 12 15,40,896107
35,962,15 11 15,40,894400
36,954,13 15 12,40,893990
37,958,14 15 11,40,893990
38,950,12 15 13,40,893883
39,961,15 15 10,40,893883
40,947,11 15 14,40,893670
41,943,10 15 15,40,893350
42,957,14 14 12,40,892578
43,953,13 14 13,40,892525
44,961,15 14 11,40,892525
45,950,12 14 14,40,892367
46,946,11 14 15,40,892103
47,956,14 13 13,40,891038
48,960,15 13 12,40,891038
49,953,13 13 14,40,890933
50,949,12 13 15,40,890724
51,959,15 12 13,40,889421
52,955,14 12 14,40,889370
53,952,13 12 15,40,889214
54,958,15 11 14,40,887676
55,954,14 11 15,40,887573
56,950,13 15 11,40,887113
57,947,12 15 12,40,887060
58,954,14 15 10,40,887060
59,943,11 15 13,40,886900
60,958,15 15 9,40,886900
61,939,10 15 14,40,886633
62,935,9 15 15,40,886260
63,957,15 10 15,40,885800
64,950,13 14 12,40,885712
65,953,14 14 11,40,885712
66,946,12 14 13,40,885606
67,957,15 14 10,40,885606
68,942,11 14 14,40,885395
69,938,10 14 15,40,885078
70,953,14 13 12,40,884236
71,949,13 13 13,40,884184
72,956,15 13 11,40,884184
73,945,12 13 14,40,884027
74,941,11 13 15,40,883765
75,952,14 12 13,40,882632
76,955,15 12 12,40,882632
77,948,13 12 14,40,882528
78,944,12 12 15,40,882321
79,955,15 11 13,40,880951
80,951,14 11 14,40,880899
81,947,13 11 15,40,880745
82,943,12 15 11,40,880236
83,947,13 15 10,40,880236
84,939,11 15 12,40,880129
85,950,14 15 9,40,880129
86,936,10 15 13,40,879916
