rank,cp,ivs,maxlevel,stat-product
1,1155,15 15 15,40,1385104
2,1152,15 15 14,40,1377697
3,1150,15 14 15,40,1373843
4,1146,14 15 15,40,1373751
5,1149,15 15 13,40,1370290
6,1147,15 14 14,40,1366496
7,1143,14 15 14,40,1366404
8,1146,15 15 12,40,1362883
9,1141,14 14 15,40,1362582
10,1146,15 13 15,40,1362582
11,1136,13 15 15,40,1362397
12,1144,15 14 13,40,1359149
13,1140,14 15 13,40,1359058
14,1143,15 15 11,40,1355476
15,1138,14 14 14,40,1355295
16,1143,15 13 14,40,1355295
17,1133,13 15 14,40,1355112
18,1141,15 14 12,40,1351803
19,1136,14 15 12,40,1351712
20,1136,14 13 15,40,1351413
21,1132,13 14 15,40,1351321
22,1141,15 12 15,40,1351321
23,1127,12 15 15,40,1351044
24,1140,15 15 10,40,1348069
25,1135,14 14 13,40,1348009
26,1140,15 13 13,40,1348009
27,1130,13 15 13,40,1347826
28,1138,15 14 11,40,1344456
29,1133,14 15 11,40,1344365
30,1133,14 13 14,40,1344186
31,1129,13 14 14,40,1344095
32,1138,15 12 14,40,1344095
33,1124,12 15 14,40,1343819
34,1132,14 14 12,40,1340722
35,1136,15 13 12,40,1340722
36,1136,15 15 9,40,1340662
37,1127,13 15 12,40,1340541
38,1127,13 13 15,40,1340244
39,1132,14 12 15,40,1340244
40,1122,12 14 15,40,1340060
41,1136,15 11 15,40,1340060
42,1117,11 15 15,40,1339691
43,1135,15 14 10,40,1337109
44,1130,14 15 10,40,1337019
45,1130,14 13 13,40,1336960
46,1125,13 14 13,40,1336868
47,1135,15 12 13,40,1336868
48,1121,12 15 13,40,1336594
49,1129,14 14 11,40,1333436
50,1133,15 13 11,40,1333436
51,1124,13 15 11,40,1333255
52,1133,15 15 8,40,1333255
53,1124,13 13 14,40,1333077
54,1129,14 12 14,40,1333077
55,1119,12 14 14,40,1332894
56,1133,15 11 14,40,1332894
57,1114,11 15 14,40,1332526
58,1132,15 14 9,40,1329762
59,1127,14 13 12,40,1329733
60,1127,14 15 9,40,1329673
61,1122,13 14 12,40,1329642
62,1132,15 12 12,40,1329642
63,1118,12 15 12,40,1329369
64,1122,13 12 15,40,1329168
65,1118,12 13 15,40,1329076
66,1127,14 11 15,40,1329076
67,1113,11 14 15,40,1328799
68,1131,15 10 15,40,1328799
69,1108,10 15 15,40,1328337
70,1126,14 14 10,40,1326149
71,1130,15 13 10,40,1326149
72,1121,13 15 10,40,1325969
73,1121,13 13 13,40,1325910
74,1126,14 12 13,40,1325910
75,1130,15 15 7,40,1325848
76,1116,12 14 13,40,1325728
77,1130,15 11 13,40,1325728
78,1111,11 15 13,40,1325362
79,1124,14 13 11,40,1322506
80,1119,13 14 11,40,1322416
81,1129,15 12 11,40,1322416
82,1129,15 14 8,40,1322416
83,1124,14 15 8,40,1322327
84,1115,12 15 11,40,1322145
85,1119,13 12 14,40,1322060
86,1115,12 13 14,40,1321968
87,1124,14 11 14,40,1321968
88,1110,11 14 14,40,1321693
89,1128,15 10 14,40,1321693
90,1105,10 15 14,40,1321234
91,1123,14 14 9,40,1318863
92,1127,15 13 9,40,1318863
93,1118,13 13 12,40,1318743
94,1122,14 12 12,40,1318743
95,1118,13 15 9,40,1318684
96,1113,12 14 12,40,1318562
97,1127,15 11 12,40,1318562
98,1127,15 15 6,40,1318441
99,1108,11 15 12,40,1318198
100,1113,12 12 15,40,1318092
101,1118,13 11 15,40,1318092
102,1108,11 13 15,40,1317907
103,1122,14 10 15,40,1317907
104,1103,10 14 15,40,1317538
105,1127,15 9 15,40,1317538
106,1098,9 15 15,40,1316984
107,1121,14 13 10,40,1315279
108,1116,13 14 10,40,1315189
109,1126,15 12 10,40,1315189
110,1126,15 14 7,40,1315069
111,1121,14 15 7,40,1314980
112,1116,13 12 13,40,1314952
113,1112,12 15 10,40,1314920
114,1112,12 13 13,40,1314861
115,1121,14 11 13,40,1314861
116,1107,11 14 13,40,1314587
117,1125,15 10 13,40,1314587
118,1102,10 15 13,40,1314130
119,1115,13 13 11,40,1311576
120,1119,14 12 11,40,1311576
121,1119,14 14 8,40,1311576
122,1124,15 13 8,40,1311576
123,1115,13 15 8,40,1311398
124,1110,12 14 11,40,1311395
125,1124,15 11 11,40,1311395
126,1110,12 12 14,40,1311043
127,1115,13 11 14,40,1311043
128,1105,11 15 11,40,1311034
129,1124,15 15 5,40,1311034
130,1105,11 13 14,40,1310859
131,1119,14 10 14,40,1310859
132,1100,10 14 14,40,1310492
133,1124,15 9 14,40,1310492
134,1095,9 15 14,40,1309941
135,1118,14 13 9,40,1308052
136,1113,13 14 9,40,1307963
137,1122,15 12 9,40,1307963
138,1113,13 12 12,40,1307844
139,1109,12 13 12,40,1307754
140,1118,14 11 12,40,1307754
141,1122,15 14 6,40,1307722
142,1108,12 15 9,40,1307695
143,1118,14 15 6,40,1307634
144,1104,11 14 12,40,1307481
145,1122,15 10 12,40,1307481
146,1108,12 11 15,40,1307108
147,1099,10 15 12,40,1307027
148,1104,11 12 15,40,1307015
149,1113,13 10 15,40,1307015
150,1099,10 13 15,40,1306738
151,1117,14 9 15,40,1306738
152,1094,9 14 15,40,1306277
153,1122,15 8 15,40,1306277
154,1089,8 15 15,40,1305631
155,1112,13 13 10,40,1304409
156,1116,14 12 10,40,1304409
157,1116,14 14 7,40,1304290
158,1121,15 13 7,40,1304290
159,1107,12 14 10,40,1304229
160,1121,15 11 10,40,1304229
161,1112,13 15 7,40,1304113
162,1107,12 12 13,40,1303994
163,1112,13 11 13,40,1303994
164,1102,11 15 10,40,1303870
165,1102,11 13 13,40,1303812
166,1116,14 10 13,40,1303812
167,1121,15 15 4,40,1303627
168,1097,10 14 13,40,1303446
169,1121,15 9 13,40,1303446
170,1092,9 15 13,40,1302899
171,1115,14 13 8,40,1300825
172,1110,13 12 11,40,1300737
173,1110,13 14 8,40,1300737
174,1119,15 12 8,40,1300737
175,1105,12 13 11,40,1300646
176,1115,14 11 11,40,1300646
177,1105,12 15 8,40,1300470
178,1101,11 14 11,40,1300375
179,1119,15 10 11,40,1300375
180,1119,15 14 5,40,1300375
181,1115,14 15 5,40,1300288
182,1105,12 11 14,40,1300118
183,1101,11 12 14,40,1300026
184,1110,13 10 14,40,1300026
185,1096,10 15 11,40,1299924
186,1096,10 13 14,40,1299750
187,1114,14 9 14,40,1299750
188,1091,9 14 14,40,1299291
189,1119,15 8 14,40,1299291
190,1086,8 15 14,40,1298649
191,1109,13 13 9,40,1297242
192,1113,14 12 9,40,1297242
193,1104,12 14 9,40,1297063
194,1118,15 11 9,40,1297063
195,1113,14 14 6,40,1297003
196,1118,15 13 6,40,1297003
197,1104,12 12 12,40,1296946
198,1109,13 11 12,40,1296946
199,1108,13 15 6,40,1296827
200,1099,11 13 12,40,1296764
201,1113,14 10 12,40,1296764
202,1099,11 15 9,40,1296706
203,1094,10 14 12,40,1296401
204,1118,15 9 12,40,1296401
205,1117,15 15 3,40,1296220
206,1099,11 11 15,40,1296123
207,1104,12 10 15,40,1296123
208,1094,10 12 15,40,1295939
209,1108,13 9 15,40,1295939
210,1089,9 15 12,40,1295856
211,1089,9 13 15,40,1295570
212,1113,14 8 15,40,1295570
213,1084,8 14 15,40,1295016
214,1117,15 7 15,40,1295016
215,1079,7 15 15,40,1294277
216,1107,13 12 10,40,1293629
217,1112,14 13 7,40,1293599
218,1102,12 13 10,40,1293539
219,1112,14 11 10,40,1293539
220,1107,13 14 7,40,1293510
221,1116,15 12 7,40,1293510
222,1098,11 14 10,40,1293269
223,1116,15 10 10,40,1293269
224,1102,12 15 7,40,1293245
225,1102,12 11 13,40,1293128
226,1098,11 12 13,40,1293036
227,1107,13 10 13,40,1293036
228,1116,15 14 4,40,1293029
229,1111,14 15 4,40,1292942
230,1093,10 15 10,40,1292820
231,1093,10 13 13,40,1292762
232,1111,14 9 13,40,1292762
233,1088,9 14 13,40,1292306
234,1116,15 8 13,40,1292306
235,1083,8 15 13,40,1291667
236,1106,13 13 8,40,1290075
237,1110,14 12 8,40,1290075
238,1101,12 12 11,40,1289897
239,1101,12 14 8,40,1289897
240,1106,13 11 11,40,1289897
241,1115,15 11 8,40,1289897
242,1096,11 13 11,40,1289716
243,1110,14 10 11,40,1289716
244,1110,14 14 5,40,1289716
245,1115,15 13 5,40,1289716
246,1096,11 15 8,40,1289542
247,1105,13 15 5,40,1289542
248,1091,10 14 11,40,1289355
249,1114,15 9 11,40,1289355
250,1096,11 11 14,40,1289192
251,1101,12 10 14,40,1289192
252,1091,10 12 14,40,1289009
253,1105,13 9 14,40,1289009
254,1086,9 15 11,40,1288813
255,1114,15 15 2,40,1288813
256,1086,9 13 14,40,1288641
257,1110,14 8 14,40,1288641
258,1081,8 14 14,40,1288091
259,1114,15 7 14,40,1288091
260,1076,7 15 14,40,1287356
261,1104,13 12 9,40,1286521
262,1099,12 13 9,40,1286432
263,1109,14 11 9,40,1286432
264,1109,14 13 6,40,1286372
265,1104,13 14 6,40,1286284
266,1113,15 12 6,40,1286284
267,1095,11 14 9,40,1286164
268,1113,15 10 9,40,1286164
269,1099,12 11 12,40,1286138
270,1095,11 12 12,40,1286047
271,1104,13 10 12,40,1286047
272,1099,12 15 6,40,1286020
273,1090,10 13 12,40,1285775
274,1108,14 9 12,40,1285775
275,1090,10 15 9,40,1285717
276,1113,15 14 3,40,1285682
277,1108,14 15 3,40,1285595
278,1085,9 14 12,40,1285320
279,1113,15 8 12,40,1285320
280,1094,11 10 15,40,1285232
281,1090,10 11 15,40,1285139
282,1099,12 9 15,40,1285139
283,1085,9 12 15,40,1284862
284,1103,13 8 15,40,1284862
285,1080,8 15 12,40,1284685
286,1080,8 13 15,40,1284401
287,1108,14 7 15,40,1284401
288,1075,7 14 15,40,1283755
289,1112,15 6 15,40,1283755
290,1070,6 15 15,40,1282924
291,1103,13 13 7,40,1282908
292,1107,14 12 7,40,1282908
293,1098,12 12 10,40,1282849
294,1102,13 11 10,40,1282849
295,1098,12 14 7,40,1282731
296,1112,15 11 7,40,1282731
297,1093,11 13 10,40,1282669
298,1107,14 10 10,40,1282669
299,1107,14 14 4,40,1282430
300,1111,15 13 4,40,1282430
301,1093,11 15 7,40,1282378
302,1088,10 14 10,40,1282309
303,1111,15 9 10,40,1282309
