rank,cp,ivs,maxlevel,stat-product
1,1500,0 15 13,25.5,2310826
2,1499,0 10 15,25.5,2307700
3,1499,0 12 14,25.5,2306003
4,1498,0 14 13,25.5,2304128
5,1497,0 9 15,25.5,2300913
6,1497,0 11 14,25.5,2299260
7,1496,0 13 13,25.5,2297430
8,1500,0 11 11,26,2296864
9,1500,0 2 15,26,2296682
10,1495,0 15 12,25.5,2295420
11,1500,0 4 14,26,2295317
12,1500,1 8 14,25.5,2294859
13,1500,0 13 10,26,2294725
14,1495,0 8 15,25.5,2294125
15,1499,0 6 13,26,2293769
16,1500,1 10 13,25.5,2293150
17,1494,0 10 14,25.5,2292518
18,1499,0 15 9,26,2292404
19,1499,0 8 12,26,2292040
20,1499,1 12 12,25.5,2291262
21,1494,0 12 13,25.5,2290732
22,1499,3 14 15,25,2290445
23,1498,0 10 11,26,2290128
24,1498,0 1 15,26,2289764
25,1499,1 5 15,25.5,2289553
26,1498,1 14 11,25.5,2289194
27,1493,0 14 12,25.5,2288767
28,1498,0 3 14,26,2288444
29,1498,1 7 14,25.5,2288069
30,1498,0 12 10,26,2288035
31,1493,0 7 15,25.5,2287338
32,1497,0 5 13,26,2286943
33,1497,1 9 13,25.5,2286406
34,1492,0 9 14,25.5,2285775
35,1497,0 14 9,26,2285759
36,1497,0 7 12,26,2285259
37,1497,1 11 12,25.5,2284562
38,1492,0 11 13,25.5,2284034
39,1497,3 13 15,25,2283787
40,1496,0 9 11,26,2283393
41,1496,0 0 15,26,2282846
42,1496,1 4 15,25.5,2282719
43,1496,1 13 11,25.5,2282539
44,1491,0 13 12,25.5,2282113
45,1496,3 15 14,25,2281991
46,1495,0 2 14,26,2281572
47,1491,2 15 15,25,2281477
48,1495,0 11 10,26,2281345
49,1496,1 6 14,25.5,2281280
50,1500,1 4 12,26,2280644
51,1490,0 6 15,25.5,2280551
52,1496,1 15 10,25.5,2280336
53,1495,0 4 13,26,2280116
54,1490,0 15 11,25.5,2280015
55,1495,1 8 13,25.5,2279661
56,1500,1 13 8,26,2279223
57,1495,0 13 9,26,2279115
58,1490,0 8 14,25.5,2279032
59,1500,1 6 11,26,2278902
60,1494,0 6 12,26,2278477
61,1500,2 10 11,25.5,2278179
62,1495,1 10 12,25.5,2277863
63,1500,2 1 15,25.5,2277817
64,1500,4 12 14,25,2277536
65,1489,0 10 13,25.5,2277335
66,1495,3 12 15,25,2277129
67,1499,1 8 10,26,2276977
68,1494,0 15 8,26,2276702
69,1499,1 15 7,26,2276702
70,1494,0 8 11,26,2276657
71,1499,2 3 14,25.5,2276504
72,1499,2 12 10,25.5,2276096
73,1494,1 3 15,25.5,2275884
74,1494,1 12 11,25.5,2275884
75,1499,4 14 13,25,2275684
76,1489,0 12 12,25.5,2275460
77,1494,3 14 14,25,2275377
78,1499,1 1 13,26,2275328
79,1499,2 5 13,25.5,2275010
80,1498,1 10 9,26,2274869
81,1489,2 14 15,25,2274864
82,1493,0 1 14,26,2274700
83,1493,0 10 10,26,2274654
84,1494,1 5 14,25.5,2274490
85,1499,5 14 15,24.5,2274244
86,1499,2 14 9,25.5,2273833
87,1498,1 3 12,26,2273815
88,1488,0 5 15,25.5,2273763
89,1493,1 14 10,25.5,2273726
90,1488,0 14 11,25.5,2273406
91,1498,2 7 12,25.5,2273335
92,1493,0 3 13,26,2273289
93,1493,1 7 13,25.5,2272917
94,1498,1 12 8,26,2272578
95,1498,4 9 15,25,2272509
96,1492,0 12 9,26,2272470
97,1488,0 7 14,25.5,2272290
98,1498,1 5 11,26,2272120
99,1492,0 5 12,26,2271696
100,1498,2 9 11,25.5,2271478
101,1492,1 9 12,25.5,2271163
102,1498,2 0 15,25.5,2270935
103,1498,4 11 14,25,2270877
104,1487,0 9 13,25.5,2270637
105,1493,3 11 15,25,2270470
106,1497,1 7 10,26,2270241
107,1492,0 14 8,26,2270103
108,1497,1 14 7,26,2270103
109,1492,0 7 11,26,2269921
110,1497,2 2 14,25.5,2269667
