rank,cp,ivs,maxlevel,stat-product
1,1497,0 14 14,19.5,1652512
2,1494,0 13 14,19.5,1645389
3,1499,0 13 15,19.5,1645389
4,1497,1 12 14,19.5,1645389
5,1499,1 14 13,19.5,1641049
6,1496,0 15 13,19.5,1640988
7,1491,0 12 14,19.5,1638266
8,1496,0 12 15,19.5,1638266
9,1494,1 11 14,19.5,1638236
10,1499,1 11 15,19.5,1638236
11,1497,2 10 14,19.5,1638143
12,1462,0 14 7,20.0,1637739
13,1499,2 15 11,19.5,1636447
14,1499,0 6 12,20.0,1636425
15,1463,0 11 9,20.0,1635358
16,1496,1 13 13,19.5,1633975
17,1492,0 14 13,19.5,1633945
18,1499,2 12 13,19.5,1633945
19,1499,5 15 15,19.0,1633685
20,1499,0 3 14,20.0,1632649
21,1488,0 11 14,19.5,1631144
22,1493,0 11 15,19.5,1631144
23,1491,1 10 14,19.5,1631082
24,1496,1 10 15,19.5,1631082
25,1494,2 9 14,19.5,1630958
26,1499,2 9 15,19.5,1630958
27,1497,3 8 14,19.5,1630772
28,1497,0 13 7,20.0,1630679
29,1462,1 12 7,20.0,1630679
30,1462,4 7 14,19.5,1630524
31,1495,2 14 11,19.5,1629424
32,1462,2 14 12,19.5,1629424
33,1492,1 15 11,19.5,1629394
34,1497,1 15 12,19.5,1629394
35,1499,3 13 11,19.5,1629394
36,1496,0 5 12,20.0,1629120
37,1499,1 4 12,20.0,1628866
38,1497,0 10 9,20.0,1628217
39,1463,1 9 9,20.0,1628124
40,1489,0 13 13,19.5,1626902
41,1493,1 12 13,19.5,1626902
42,1496,2 11 13,19.5,1626841
43,1493,4 15 15,19.0,1626734
44,1499,3 10 13,19.5,1626718
45,1496,5 14 15,19.0,1626674
46,1499,6 13 15,19.0,1626555
47,1498,0 15 6,20.0,1625672
48,1496,0 2 14,20.0,1625262
49,1497,0 7 11,20.0,1625262
50,1499,1 1 14,20.0,1624909
51,1495,3 15 9,19.5,1624610
52,1462,3 15 10,19.5,1624610
