rank,cp,ivs,maxlevel,stat-product
1,681,15 15 15,40,477932
2,676,14 15 15,40,474046
3,678,15 14 15,40,472953
4,677,15 15 14,40,472103
5,670,13 15 15,40,470160
6,672,14 14 15,40,469108
7,671,14 15 14,40,468265
8,674,15 13 15,40,467975
9,673,15 14 14,40,467185
10,664,12 15 15,40,466275
11,673,15 15 13,40,466275
12,667,13 14 15,40,465263
13,666,13 15 14,40,464427
14,668,14 13 15,40,464170
15,668,14 14 14,40,463387
16,670,15 12 15,40,462996
17,667,14 15 13,40,462484
18,659,11 15 15,40,462389
19,670,15 13 14,40,462268
20,661,12 14 15,40,461418
21,669,15 14 13,40,461418
22,660,12 15 14,40,460588
23,669,15 15 12,40,460446
24,663,13 13 15,40,460365
25,662,13 14 14,40,459589
26,665,14 12 15,40,459232
27,662,13 15 13,40,458693
28,664,14 13 14,40,458509
29,653,10 15 15,40,458503
30,667,15 11 15,40,458018
31,664,14 14 13,40,457666
32,655,11 14 15,40,457572
33,666,15 12 14,40,457350
34,655,11 15 14,40,456750
35,663,14 15 12,40,456703
36,658,12 13 15,40,456561
37,666,15 13 13,40,456561
38,657,12 14 14,40,455791
39,665,15 14 12,40,455650
40,659,13 12 15,40,455468
41,656,12 15 13,40,454902
42,659,13 13 14,40,454751
43,648,9 15 15,40,454618
44,664,15 15 11,40,454618
45,661,14 11 15,40,454294
46,658,13 14 13,40,453915
47,650,10 14 15,40,453727
48,661,14 12 14,40,453632
49,663,15 10 15,40,453039
50,658,13 15 12,40,452959
51,649,10 15 14,40,452912
52,660,14 13 13,40,452849
53,652,11 13 15,40,452756
54,663,15 11 14,40,452432
55,651,11 14 14,40,451992
56,660,14 14 12,40,451945
57,654,12 12 15,40,451704
58,662,15 12 13,40,451704
59,651,11 15 13,40,451111
60,653,12 13 14,40,450993
61,659,14 15 11,40,450922
62,662,15 13 12,40,450854
63,642,8 15 15,40,450732
64,656,13 11 15,40,450570
65,653,12 14 13,40,450164
66,655,13 12 14,40,449913
67,644,9 14 15,40,449882
68,661,15 14 11,40,449882
69,658,14 10 15,40,449356
70,652,12 15 12,40,449216
71,655,13 13 13,40,449137
72,644,9 15 14,40,449074
73,647,10 13 15,40,448951
74,660,15 15 10,40,448789
75,657,14 11 14,40,448754
76,654,13 14 12,40,448241
77,646,10 14 14,40,448194
78,659,15 9 15,40,448061
79,657,14 12 13,40,448031
80,649,11 12 15,40,447939
81,659,15 10 14,40,447514
82,645,10 15 13,40,447320
83,648,11 13 14,40,447234
84,653,13 15 11,40,447226
85,656,14 13 12,40,447188
86,637,7 15 15,40,446847
87,650,12 11 15,40,446847
88,659,15 11 13,40,446847
89,647,11 14 13,40,446412
90,655,14 14 11,40,446225
91,650,12 12 14,40,446195
92,658,15 12 12,40,446057
93,639,8 14 15,40,446037
94,652,13 10 15,40,445673
95,647,11 15 12,40,445472
96,649,12 13 13,40,445425
97,638,8 15 14,40,445235
98,641,9 13 15,40,445147
99,657,15 13 11,40,445147
100,655,14 15 10,40,445141
101,652,13 11 14,40,445075
102,649,12 14 12,40,444536
103,654,14 9 15,40,444418
104,641,9 14 14,40,444396
105,651,13 12 13,40,444359
106,643,10 12 15,40,444175
107,657,15 14 10,40,444114
108,654,14 10 14,40,443876
109,640,9 15 13,40,443530
110,648,12 15 11,40,443530
111,651,13 13 12,40,443523
112,643,10 13 14,40,443476
113,653,14 11 13,40,443214
114,645,11 11 15,40,443123
115,656,15 8 15,40,443082
116,631,6 15 15,40,442961
117,656,15 15 9,40,442961
118,642,10 14 13,40,442661
119,655,15 9 14,40,442597
120,650,13 14 11,40,442567
121,645,11 12 14,40,442477
122,653,14 12 12,40,442431
123,633,7 14 15,40,442192
124,647,12 10 15,40,441989
125,655,15 10 13,40,441989
126,641,10 15 12,40,441729
127,644,11 13 13,40,441713
128,652,14 13 11,40,441527
129,649,13 15 10,40,441492
130,633,7 15 14,40,441397
131,646,12 11 14,40,441397
132,636,8 13 15,40,441342
133,654,15 11 12,40,441261
134,643,11 14 12,40,440832
135,649,13 9 15,40,440775
136,646,12 12 13,40,440686
137,635,8 14 14,40,440598
138,651,14 14 10,40,440504
139,638,9 12 15,40,440411
140,654,15 12 11,40,440411
141,648,13 10 14,40,440238
142,645,12 13 12,40,439857
143,643,11 15 11,40,439833
144,634,8 15 13,40,439739
145,637,9 13 14,40,439718
146,648,13 11 13,40,439581
147,650,14 8 15,40,439480
148,653,15 13 10,40,439440
149,640,10 11 15,40,439399
150,650,14 15 9,40,439360
151,626,5 15 15,40,439075
152,650,14 9 14,40,438998
153,637,9 14 13,40,438909
154,645,12 14 11,40,438909
155,647,13 12 12,40,438804
156,639,10 12 14,40,438758
157,650,14 10 13,40,438396
158,628,6 14 15,40,438347
159,652,15 14 9,40,438347
160,642,11 10 15,40,438306
161,652,15 7 15,40,438104
162,639,10 13 13,40,438001
163,636,9 15 12,40,437985
164,647,13 13 11,40,437908
165,644,12 15 10,40,437843
166,641,11 11 14,40,437719
167,652,15 8 14,40,437679
168,649,14 11 12,40,437673
169,627,6 15 14,40,437559
170,630,7 13 15,40,437537
171,643,12 9 15,40,437132
172,651,15 9 13,40,437132
173,651,15 15 8,40,437132
174,638,10 14 12,40,437128
175,641,11 12 13,40,437014
176,646,13 14 10,40,436893
177,648,14 12 11,40,436830
178,630,7 14 14,40,436799
179,632,8 12 15,40,436647
180,643,12 10 14,40,436599
181,651,15 10 12,40,436465
182,640,11 13 12,40,436192
183,637,10 15 11,40,436137
184,632,8 13 14,40,435960
185,629,7 15 13,40,435948
186,642,12 11 13,40,435948
187,645,13 8 15,40,435878
188,648,14 13 10,40,435867
189,645,13 15 9,40,435758
190,634,9 11 15,40,435675
191,650,15 11 11,40,435675
192,645,13 9 14,40,435400
193,639,11 14 11,40,435252
194,620,4 15 15,40,435190
195,642,12 12 12,40,435178
196,631,8 14 13,40,435158
197,634,9 12 14,40,435040
198,644,13 10 13,40,434803
199,647,14 14 9,40,434783
200,650,15 12 10,40,434765
201,636,10 10 15,40,434623
202,647,14 7 15,40,434542
203,622,5 14 15,40,434502
204,633,9 13 13,40,434289
205,641,12 13 11,40,434289
206,630,8 15 12,40,434242
207,639,11 15 10,40,434195
208,646,14 8 14,40,434121
209,644,13 11 12,40,434086
210,636,10 11 14,40,434041
211,625,6 13 15,40,433733
212,649,15 13 9,40,433733
213,622,5 15 14,40,433721
214,646,14 9 13,40,433579
215,646,14 15 8,40,433579
216,638,11 9 15,40,433490
217,633,9 14 12,40,433423
218,635,10 12 13,40,433342
219,641,12 14 10,40,433282
220,643,13 12 11,40,433250
221,648,15 6 15,40,433125
222,624,6 14 14,40,433001
223,638,11 10 14,40,432961
224,646,14 10 12,40,432916
225,627,7 12 15,40,432883
226,648,15 7 14,40,432761
227,648,15 14 8,40,432579
228,635,10 13 12,40,432526
229,632,9 15 11,40,432441
230,637,11 11 13,40,432315
231,642,13 13 10,40,432294
232,640,12 8 15,40,432275
233,648,15 8 13,40,432275
234,626,7 13 14,40,432201
235,623,6 15 13,40,432157
236,640,12 15 9,40,432157
237,645,14 11 11,40,432133
238,629,8 11 15,40,431952
239,639,12 9 14,40,431802
240,647,15 9 12,40,431668
241,634,10 14 11,40,431594
242,637,11 12 12,40,431551
243,626,7 14 13,40,431407
244,628,8 12 14,40,431322
245,615,3 15 15,40,431304
246,647,15 15 7,40,431304
247,644,14 12 10,40,431230
248,642,13 14 9,40,431219
249,639,12 10 13,40,431209
250,641,13 7 15,40,430980
