rank,cp,ivs,maxlevel,stat-product
1,832,15 15 15,40,826368
2,829,15 15 14,40,820822
3,824,14 15 15,40,818572
4,828,15 14 15,40,818572
5,826,15 15 13,40,815276
6,821,14 15 14,40,813079
7,825,15 14 14,40,813079
8,820,14 14 15,40,810850
9,816,13 15 15,40,810776
10,824,15 13 15,40,810776
11,823,15 15 12,40,809730
12,818,14 15 13,40,807585
13,822,15 14 13,40,807585
14,817,14 14 14,40,805408
15,813,13 15 14,40,805335
16,821,15 13 14,40,805335
17,820,15 15 11,40,804184
18,812,13 14 15,40,803128
19,816,14 13 15,40,803128
20,808,12 15 15,40,802981
21,820,15 12 15,40,802981
22,815,14 15 12,40,802091
23,819,15 14 12,40,802091
24,814,14 14 13,40,799966
25,810,13 15 13,40,799894
26,818,15 13 13,40,799894
27,817,15 15 10,40,798638
28,809,13 14 14,40,797738
29,813,14 13 14,40,797738
30,805,12 15 14,40,797591
31,817,15 12 14,40,797591
32,813,14 15 11,40,796597
33,816,15 14 11,40,796597
34,808,13 13 15,40,795479
35,804,12 14 15,40,795405
36,812,14 12 15,40,795405
37,800,11 15 15,40,795185
38,816,15 11 15,40,795185
39,811,14 14 12,40,794524
40,808,13 15 12,40,794452
41,815,15 13 12,40,794452
42,815,15 15 9,40,793092
43,806,13 14 13,40,792347
44,810,14 13 13,40,792347
45,803,12 15 13,40,792202
46,814,15 12 13,40,792202
47,810,14 15 10,40,791104
48,814,15 14 10,40,791104
49,805,13 13 14,40,790140
50,801,12 14 14,40,790067
51,809,14 12 14,40,790067
52,797,11 15 14,40,789848
53,813,15 11 14,40,789848
54,809,14 14 11,40,789082
55,805,13 15 11,40,789011
56,812,15 13 11,40,789011
57,800,12 13 15,40,787830
58,804,13 12 15,40,787830
59,796,11 14 15,40,787683
60,808,14 11 15,40,787683
61,812,15 15 8,40,787546
62,792,10 15 15,40,787389
63,812,15 10 15,40,787389
64,804,13 14 12,40,786957
65,808,14 13 12,40,786957
66,800,12 15 12,40,786813
67,811,15 12 12,40,786813
68,807,14 15 9,40,785610
69,811,15 14 9,40,785610
70,803,13 13 13,40,784801
71,799,12 14 13,40,784729
72,806,14 12 13,40,784729
73,795,11 15 13,40,784511
74,810,15 11 13,40,784511
75,806,14 14 10,40,783640
76,802,13 15 10,40,783569
77,810,15 13 10,40,783569
78,798,12 13 14,40,782543
79,801,13 12 14,40,782543
80,794,11 14 14,40,782396
81,805,14 11 14,40,782396
82,790,10 15 14,40,782104
83,809,15 10 14,40,782104
84,809,15 15 7,40,782000
85,801,13 14 11,40,781567
86,805,14 13 11,40,781567
87,797,12 15 11,40,781424
88,809,15 12 11,40,781424
89,796,12 12 15,40,780255
90,793,11 13 15,40,780181
91,800,13 11 15,40,780181
92,804,14 15 8,40,780116
93,808,15 14 8,40,780116
94,789,10 14 15,40,779960
95,804,14 10 15,40,779960
96,784,9 15 15,40,779593
97,808,15 9 15,40,779593
98,800,13 13 12,40,779462
99,796,12 14 12,40,779390
100,804,14 12 12,40,779390
101,792,11 15 12,40,779174
102,807,15 11 12,40,779174
103,803,14 14 9,40,778198
104,799,13 15 9,40,778128
105,807,15 13 9,40,778128
106,795,12 13 13,40,777255
