rank,cp,ivs,maxlevel,stat-product
1,1489,8 15 15,39.5,2160484
2,1500,7 15 15,40,2159536
3,1500,8 15 13,40,2155492
4,1508,8 14 15,39.5,2151807
5,1497,7 14 15,40,2150863
6,1497,8 14 13,40,2146836
7,1505,8 13 15,39.5,2143131
8,1488,6 15 15,40,2143051
9,1494,7 13 15,40,2142190
10,1510,9 11 15,39.5,2141882
11,1499,8 11 15,40,2141065
12,1495,9 15 14,39.0,2140808
13,1505,8 15 14,39.5,2140102
14,1489,10 13 14,39.0,2139580
15,1488,7 15 13,40,2139163
16,1494,7 15 14,40,2139163
17,1489,9 13 14,39.5,2138995
18,1494,8 13 13,40,2138179
19,1499,8 13 14,40,2138179
20,1499,9 11 13,40,2136933
21,1490,9 15 13,39.5,2135778
22,1494,8 15 12,40,2134964
23,1502,8 12 15,39.5,2134454
24,1485,6 14 15,40,2134444
25,1499,9 13 12,40,2133859
26,1491,7 12 15,40,2133517
27,1507,9 10 15,39.5,2133139
28,1498,11 14 15,38.0,2132920
29,1498,10 14 15,38.5,2132681
30,1496,8 10 15,40,2132325
31,1492,9 14 14,39.0,2132210
32,1498,9 14 15,39.0,2132210
33,1502,8 14 14,39.5,2131507
34,1489,10 15 11,39.5,2131146
35,1497,10 12 14,39.0,2130918
36,1485,7 14 13,40,2130572
37,1491,7 14 14,40,2130572
38,1500,9 15 11,40,2130454
39,1508,9 12 14,39.5,2130335
40,1491,8 12 13,40,2129522
41,1496,8 12 14,40,2129522
42,1496,9 10 13,40,2128211
43,1498,10 14 13,39.0,2127783
44,1508,9 14 13,39.5,2127201
45,1477,5 15 15,40,2126566
46,1491,8 14 12,40,2126390
47,1482,6 13 15,40,2125837
48,1490,10 15 15,38.0,2125657
49,1490,9 15 15,38.5,2125301
50,1496,9 12 12,40,2125220
51,1488,7 11 15,40,2124844
52,1504,9 9 15,39.5,2124397
53,1495,11 13 15,38.0,2124320
54,1495,10 13 15,38.5,2124082
55,1495,9 13 15,39.0,2123613
56,1493,8 9 15,40,2123586
57,1477,6 15 13,40,2122833
58,1483,6 15 14,40,2122833
59,1509,10 7 15,39.5,2122754
60,1489,12 11 15,38.0,2122727
61,1489,11 11 15,38.5,2122606
62,1508,10 14 11,39.5,2122587
63,1494,10 11 14,39.0,2122255
64,1489,10 11 15,39.0,2122255
65,1498,9 7 15,40,2122064
66,1482,7 13 13,40,2121981
67,1488,7 13 14,40,2121981
68,1497,9 14 11,40,2121898
69,1505,9 11 14,39.5,2121675
70,1496,11 15 14,38.0,2121125
71,1496,10 15 14,38.5,2120888
72,1488,8 11 13,40,2120866
73,1493,8 11 14,40,2120866
74,1499,11 9 14,39.0,2120639
75,1510,10 9 14,39.5,2120178
76,1493,9 9 13,40,2119489
77,1498,9 9 14,40,2119489
78,1495,10 13 13,39.0,2119203
79,1483,7 15 12,40,2118790
80,1505,9 13 13,39.5,2118624
81,1474,5 14 15,40,2118025
82,1498,10 7 13,40,2117849
83,1488,8 13 12,40,2117815
84,1489,11 11 13,39.0,2117730
85,1510,10 11 13,39.5,2117269
86,1479,6 12 15,40,2117231
87,1493,9 11 12,40,2116581
88,1484,7 10 15,40,2116171
89,1495,11 15 12,38.5,2116170
90,1495,10 15 12,39.0,2115820
91,1492,11 12 15,38.0,2115719
92,1501,9 8 15,39.5,2115655
93,1492,10 12 15,38.5,2115482
94,1505,9 15 12,39.5,2115242
95,1498,10 9 12,40,2115087
96,1492,9 12 15,39.0,2115015
97,1490,8 8 15,40,2114847
98,1489,12 13 12,38.5,2114722
99,1489,11 13 12,39.0,2114489
100,1488,8 15 11,40,2114435
101,1474,6 14 13,40,2114308
102,1480,6 14 14,40,2114308
103,1497,12 10 15,38.0,2114063
104,1505,10 13 11,39.5,2114029
105,1489,10 13 12,39.5,2114029
106,1506,10 6 15,39.5,2113945
107,1497,11 10 15,38.5,2113942
108,1491,10 10 14,39.0,2113593
109,1497,10 10 15,39.0,2113593
110,1479,7 12 13,40,2113390
111,1485,7 12 14,40,2113390
112,1494,9 13 11,40,2113342
113,1495,9 6 15,40,2113258
114,1502,9 10 14,39.5,2113015
115,1498,12 14 15,37.5,2112613
116,1493,11 14 14,38.0,2112607
117,1510,11 11 11,39.5,2112560
118,1498,13 14 15,37.0,2112390
119,1493,10 14 14,38.5,2112370
120,1485,8 10 13,40,2112209
121,1490,8 10 14,40,2112209
122,1499,10 11 11,40,2111991
123,1489,11 4 15,39.5,2111974
124,1496,11 8 14,39.0,2111912
125,1507,10 8 14,39.5,2111453
126,1500,10 4 15,40,2111405
127,1498,12 12 14,38.0,2111092
128,1498,11 12 14,38.5,2110972
129,1495,11 15 10,39.0,2110915
130,1490,9 8 13,40,2110766
131,1495,9 8 14,40,2110766
132,1492,10 12 13,39.0,2110623
133,1505,10 15 10,39.5,2110455
134,1480,7 14 12,40,2110281
135,1465,4 15 15,40,2110081
136,1502,9 12 13,39.5,2110046
137,1494,9 15 10,40,2109770
138,1471,5 13 15,40,2109485
139,1489,12 13 10,39.0,2109471
140,1485,8 12 12,40,2109241
141,1489,11 13 10,39.5,2109127
142,1497,11 10 13,39.0,2109086
143,1495,10 6 13,40,2109061
144,1500,10 6 14,40,2109061
145,1507,10 10 13,39.5,2108627
146,1476,6 11 15,40,2108624
147,1499,10 13 10,40,2108559
148,1490,9 10 12,40,2107942
149,1498,12 14 13,38.0,2107791
150,1498,13 14 13,37.5,2107684
151,1492,11 14 12,38.5,2107671
152,1498,11 14 13,38.5,2107671
153,1481,7 9 15,40,2107499
154,1492,10 14 12,39.0,2107323
155,1500,11 4 13,40,2107094
156,1502,9 14 12,39.5,2106747
157,1466,5 15 13,40,2106504
158,1471,5 15 14,40,2106504
159,1495,10 8 12,40,2106383
160,1497,12 12 12,38.5,2106160
161,1487,8 7 15,40,2106108
162,1486,8 14 11,40,2105943
163,1497,11 12 12,39.0,2105928
164,1471,6 13 13,40,2105782
165,1477,6 13 14,40,2105782
166,1489,12 15 9,39.0,2105703
167,1490,11 15 15,37.5,2105535
168,1502,10 12 11,39.5,2105470
169,1508,10 12 12,39.5,2105470
170,1490,12 15 15,37.0,2105426
171,1494,12 9 15,38.0,2105398
172,1489,11 15 9,39.5,2105360
173,1494,11 9 15,38.5,2105278
174,1503,10 5 15,39.5,2105137
175,1494,10 9 15,39.0,2104931
176,1476,7 11 13,40,2104799
177,1482,7 11 14,40,2104799
178,1494,10 15 8,40,2104793
179,1499,10 15 9,40,2104793
180,1491,9 12 11,40,2104786
181,1500,11 6 12,40,2104564
182,1492,9 5 15,40,2104453
183,1495,12 13 15,37.5,2104095
184,1490,11 13 14,38.0,2104088
185,1507,11 10 11,39.5,2103937
186,1495,13 13 15,37.0,2103872
187,1482,8 9 13,40,2103553
188,1487,8 9 14,40,2103553
189,1499,11 13 8,40,2103468
190,1499,13 7 15,38.0,2103424
191,1499,12 7 15,38.5,2103417
192,1496,10 10 11,40,2103370
193,1493,11 7 14,39.0,2103185
194,1499,11 7 15,39.0,2103185
195,1508,11 3 15,39.5,2103100
196,1504,10 7 14,39.5,2102728
197,1498,13 14 11,38.0,2102675
198,1498,12 14 11,38.5,2102669
199,1472,6 15 12,40,2102616
200,1497,10 3 15,40,2102533
201,1495,12 11 14,38.0,2102510
202,1492,11 14 10,39.0,2102437
203,1498,11 14 11,39.0,2102437
204,1489,13 11 15,37.5,2102403
205,1495,11 11 14,38.5,2102390
206,1489,14 11 15,37.0,2102069
207,1487,9 7 13,40,2102044
208,1492,9 7 14,40,2102044
209,1502,10 14 10,39.5,2101980
210,1477,7 13 12,40,2101771
211,1462,4 14 15,40,2101606
212,1491,9 14 10,40,2101297
213,1498,12 5 14,39.0,2101181
214,1468,5 12 15,40,2100944
215,1497,12 12 10,39.0,2100930
216,1508,11 5 14,39.5,2100839
217,1490,12 15 13,37.5,2100736
218,1496,12 15 14,37.5,2100736
219,1490,11 15 13,38.0,2100730
220,1499,13 9 14,38.0,2100681
221,1499,12 9 14,38.5,2100674
222,1482,8 11 12,40,2100667
223,1507,11 12 10,39.5,2100588
224,1496,13 15 14,37.0,2100514
225,1490,10 15 13,38.5,2100495
226,1494,11 9 13,39.0,2100443
227,1492,10 5 13,40,2100274
228,1497,10 5 14,40,2100274
229,1495,14 15 14,36.5,2100063
230,1496,10 12 10,40,2100023
231,1473,6 10 15,40,2100018
232,1504,10 9 13,39.5,2099985
233,1510,12 15 7,39.5,2099956
234,1499,11 15 7,40,2099505
235,1489,15 15 15,36.0,2099383
236,1487,9 9 12,40,2099303
237,1495,12 13 13,38.0,2099292
238,1495,13 13 13,37.5,2099185
239,1495,11 13 13,38.5,2099172
240,1489,14 13 14,37.0,2098851
241,1478,7 8 15,40,2098826
242,1499,12 7 13,39.0,2098586
243,1477,7 15 11,40,2098417
244,1489,15 13 14,36.5,2098290
245,1509,11 7 13,39.5,2098244
246,1496,11 3 13,40,2098241
247,1463,5 14 13,40,2098044
248,1468,5 14 14,40,2098044
249,1492,10 7 12,40,2097679
250,1489,13 11 13,38.0,2097605
251,1494,12 11 12,38.5,2097599
252,1489,12 11 13,38.5,2097599
253,1483,8 13 11,40,2097452
254,1489,14 11 13,37.5,2097386
255,1483,8 6 15,40,2097369
256,1494,11 11 12,39.0,2097367
257,1468,6 12 13,40,2097257
258,1474,6 12 14,40,2097257
259,1497,12 14 9,39.0,2097246
260,1505,10 11 12,39.5,2096911
261,1508,11 14 9,39.5,2096905
262,1491,12 8 15,38.0,2096734
263,1491,11 8 15,38.5,2096615
264,1491,10 14 8,40,2096340
265,1496,10 14 9,40,2096340
266,1491,10 8 15,39.0,2096268
267,1488,9 11 11,40,2096229
268,1473,7 10 13,40,2096208
269,1479,7 10 14,40,2096208
270,1497,11 5 12,40,2095795
271,1499,13 9 12,38.5,2095773
272,1490,12 15 11,38.0,2095744
273,1495,12 15 12,38.0,2095744
274,1499,12 9 12,39.0,2095655
275,1488,9 4 15,40,2095648
276,1495,13 15 12,37.5,2095637
277,1490,11 15 11,38.5,2095624
278,1492,12 12 15,37.5,2095576
279,1492,13 12 15,37.0,2095354
280,1504,11 9 11,39.5,2095314
281,1510,11 9 12,39.5,2095314
282,1495,14 15 12,37.0,2095304
283,1496,11 12 8,40,2094952
284,1479,8 8 13,40,2094896
285,1484,8 8 14,40,2094896
286,1493,10 9 11,40,2094750
287,1489,15 15 13,36.5,2094744
288,1496,13 6 15,38.0,2094696
289,1496,12 6 15,38.5,2094689
290,1490,11 6 14,39.0,2094458
291,1496,11 6 15,39.0,2094458
292,1505,11 2 15,39.5,2094226
293,1495,13 13 11,38.0,2094197
294,1489,13 13 12,38.0,2094197
