rank,cp,ivs,maxlevel,stat-product
1,1224,15 15 15,40,1678326
2,1220,15 14 15,40,1668844
3,1220,15 15 14,40,1668454
4,1213,14 15 15,40,1663474
5,1217,15 13 15,40,1659362
6,1217,15 14 14,40,1659028
7,1217,15 15 13,40,1658581
8,1209,14 14 15,40,1654076
9,1209,14 15 14,40,1653689
10,1213,15 12 15,40,1649880
11,1213,15 13 14,40,1649601
12,1213,15 14 13,40,1649211
13,1213,15 15 12,40,1648709
14,1202,13 15 15,40,1648622
15,1206,14 13 15,40,1644678
16,1206,14 14 14,40,1644346
17,1206,14 15 13,40,1643904
18,1210,15 11 15,40,1640398
19,1210,15 12 14,40,1640175
20,1210,15 13 13,40,1639840
21,1209,15 14 12,40,1639394
22,1199,13 14 15,40,1639307
23,1199,13 15 14,40,1638924
24,1209,15 15 11,40,1638836
25,1203,14 12 15,40,1635280
26,1202,14 13 14,40,1635003
27,1202,14 14 13,40,1634616
28,1202,14 15 12,40,1634119
29,1191,12 15 15,40,1633769
30,1206,15 10 15,40,1630916
31,1206,15 11 14,40,1630749
32,1206,15 12 13,40,1630470
33,1206,15 13 12,40,1630079
34,1195,13 13 15,40,1629993
35,1195,13 14 14,40,1629664
36,1206,15 14 11,40,1629577
37,1195,13 15 13,40,1629226
38,1206,15 15 10,40,1628964
39,1199,14 11 15,40,1625881
40,1199,14 12 14,40,1625660
41,1199,14 13 13,40,1625329
42,1199,14 14 12,40,1624886
43,1188,12 14 15,40,1624539
44,1199,14 15 11,40,1624333
45,1188,12 15 14,40,1624159
46,1203,15 9 15,40,1621434
47,1203,15 10 14,40,1621322
48,1203,15 11 13,40,1621099
49,1203,15 12 12,40,1620765
50,1192,13 12 15,40,1620679
51,1192,13 13 14,40,1620405
52,1202,15 13 11,40,1620319
53,1192,13 14 13,40,1620021
54,1202,15 14 10,40,1619761
55,1191,13 15 12,40,1619528
56,1202,15 15 9,40,1619091
57,1180,11 15 15,40,1618917
58,1196,14 10 15,40,1616483
59,1196,14 11 14,40,1616317
60,1196,14 12 13,40,1616041
61,1195,14 13 12,40,1615654
62,1185,12 13 15,40,1615308
63,1195,14 14 11,40,1615156
64,1184,12 14 14,40,1614983
65,1184,12 15 13,40,1614548
66,1195,14 15 10,40,1614548
67,1199,15 8 15,40,1611952
68,1199,15 9 14,40,1611896
69,1199,15 10 13,40,1611729
70,1199,15 11 12,40,1611450
71,1188,13 11 15,40,1611365
72,1188,13 12 14,40,1611145
73,1199,15 12 11,40,1611060
74,1188,13 13 13,40,1610817
75,1199,15 13 10,40,1610558
76,1188,13 14 12,40,1610378
77,1199,15 14 9,40,1609944
78,1188,13 15 11,40,1609830
79,1177,11 14 15,40,1609770
80,1177,11 15 14,40,1609394
81,1198,15 15 8,40,1609219
82,1192,14 9 15,40,1607085
83,1192,14 10 14,40,1606974
84,1192,14 11 13,40,1606753
85,1192,14 12 12,40,1606422
86,1181,12 12 15,40,1606078
87,1192,14 13 11,40,1605979
88,1181,12 13 14,40,1605807
89,1181,12 14 13,40,1605427
90,1192,14 14 10,40,1605427
91,1181,12 15 12,40,1604938
92,1191,14 15 9,40,1604763
93,1170,10 15 15,40,1604064
94,1196,15 7 15,40,1602470
95,1196,15 8 14,40,1602470
