rank,cp,ivs,maxlevel,stat-product
1,1206,15 15 15,40,1228037
2,1198,14 15 15,40,1219850
3,1201,15 14 15,40,1217451
4,1202,15 15 14,40,1217170
5,1190,13 15 15,40,1211663
6,1193,14 14 15,40,1209334
7,1194,14 15 14,40,1209055
8,1196,15 13 15,40,1206864
9,1197,15 14 14,40,1206677
10,1198,15 15 13,40,1206302
11,1182,12 15 15,40,1203476
12,1185,13 14 15,40,1201218
13,1186,13 15 14,40,1200941
14,1188,14 13 15,40,1198818
15,1189,14 14 14,40,1198632
16,1190,14 15 13,40,1198260
17,1190,15 12 15,40,1196278
18,1191,15 13 14,40,1196184
19,1192,15 14 13,40,1195903
20,1193,15 15 12,40,1195434
21,1174,11 15 15,40,1195289
22,1177,12 14 15,40,1193102
23,1178,12 15 14,40,1192826
24,1180,13 13 15,40,1190773
25,1181,13 14 14,40,1190588
26,1182,13 15 13,40,1190218
27,1182,14 12 15,40,1188302
28,1184,14 13 14,40,1188209
29,1185,14 14 13,40,1187930
30,1185,14 15 12,40,1187465
31,1166,10 15 15,40,1187103
32,1185,15 11 15,40,1185691
33,1186,15 12 14,40,1185691
34,1187,15 13 13,40,1185504
35,1188,15 14 12,40,1185129
36,1169,11 14 15,40,1184985
37,1170,11 15 14,40,1184712
38,1185,15 15 10,40,1184567
39,1189,15 15 11,40,1184567
40,1172,12 13 15,40,1182727
41,1173,12 14 14,40,1182543
42,1174,12 15 13,40,1182176
43,1175,13 12 15,40,1180327
44,1176,13 13 14,40,1180235
45,1177,13 14 13,40,1179957
46,1177,13 15 12,40,1179495
47,1158,9 15 15,40,1178916
48,1177,14 11 15,40,1177786
49,1178,14 12 14,40,1177786
50,1179,14 13 13,40,1177600
51,1180,14 14 12,40,1177228
52,1161,10 14 15,40,1176869
53,1177,14 15 10,40,1176670
54,1181,14 15 11,40,1176670
55,1162,10 15 14,40,1176597
56,1181,15 11 14,40,1175198
57,1180,15 10 15,40,1175104
58,1182,15 12 13,40,1175104
59,1183,15 13 12,40,1174823
60,1164,11 13 15,40,1174681
61,1165,11 14 14,40,1174499
62,1180,15 14 10,40,1174355
63,1184,15 14 11,40,1174355
64,1166,11 15 13,40,1174134
65,1181,15 15 9,40,1173699
66,1167,12 12 15,40,1172352
67,1168,12 13 14,40,1172260
68,1169,12 14 13,40,1171985
69,1170,12 15 12,40,1171526
70,1150,8 15 15,40,1170729
71,1169,13 11 15,40,1169882
72,1170,13 12 14,40,1169882
73,1171,13 13 13,40,1169697
74,1172,13 14 12,40,1169327
75,1169,13 15 10,40,1168773
76,1173,13 15 11,40,1168773
77,1153,9 14 15,40,1168753
78,1154,9 15 14,40,1168483
79,1173,14 11 14,40,1167363
80,1172,14 10 15,40,1167270
81,1174,14 12 13,40,1167270
82,1175,14 13 12,40,1166991
83,1156,10 13 15,40,1166635
84,1172,14 14 10,40,1166526
85,1176,14 14 11,40,1166526
86,1157,10 14 14,40,1166454
87,1158,10 15 13,40,1166092
88,1173,14 15 9,40,1165874
89,1176,15 10 14,40,1164705
90,1177,15 11 13,40,1164705
91,1175,15 9 15,40,1164518
92,1178,15 12 12,40,1164518
93,1159,11 12 15,40,1164377
94,1160,11 13 14,40,1164286
