rank,cp,ivs,maxlevel,stat-product
1,1495,1 15 15,21,1772806
2,1498,2 15 14,21,1772722
3,1498,2 14 15,21,1771677
4,1500,0 13 9,21.5,1769020
5,1500,0 12 10,21.5,1768086
6,1499,0 11 11,21.5,1767055
7,1499,0 10 12,21.5,1765925
8,1498,0 9 13,21.5,1764698
9,1487,0 15 15,21,1764200
10,1491,1 15 14,21,1764158
11,1495,2 15 13,21,1764032
12,1498,3 15 12,21,1763822
13,1498,0 8 14,21.5,1763372
14,1491,1 14 15,21,1763118
15,1494,2 14 14,21,1763035
16,1498,3 14 13,21,1762868
17,1497,0 7 15,21.5,1761947
18,1494,2 13 15,21,1761943
19,1497,3 13 14,21,1761818
20,1497,0 15 6,21.5,1761603
21,1497,0 14 7,21.5,1760916
22,1497,3 12 15,21,1760673
23,1500,1 14 6,21.5,1760523
24,1500,4 12 14,21,1760508
25,1500,1 6 15,21.5,1760425
26,1497,0 13 8,21.5,1760130
27,1500,1 13 7,21.5,1759783
28,1500,4 11 15,21,1759309
29,1496,0 12 9,21.5,1759246
30,1500,1 12 8,21.5,1758944
31,1496,0 11 10,21.5,1758264
32,1499,1 11 9,21.5,1758006
33,1495,0 10 11,21.5,1757183
34,1499,1 10 10,21.5,1756970
35,1495,5 15 15,20.5,1756064
36,1495,0 9 12,21.5,1756005
37,1498,1 9 11,21.5,1755835
38,1498,6 15 14,20.5,1755819
39,1484,0 15 14,21,1755594
40,1487,1 15 13,21,1755510
41,1491,2 15 12,21,1755342
42,1494,3 15 11,21,1755090
43,1498,6 14 15,20.5,1754785
44,1498,4 15 10,21,1754754
45,1494,0 8 13,21.5,1754728
46,1498,1 8 12,21.5,1754601
47,1483,0 14 15,21,1754559
48,1487,1 14 14,21,1754518
49,1491,2 14 13,21,1754392
50,1494,3 14 12,21,1754184
51,1497,4 14 11,21,1753891
52,1500,0 5 11,22,1753471
53,1486,1 13 15,21,1753431
54,1494,0 7 14,21.5,1753352
55,1490,2 13 14,21,1753348
56,1500,0 15 0,22,1753320
57,1497,1 7 13,21.5,1753269
58,1494,3 13 13,21,1753182
59,1497,4 13 12,21,1752933
60,1500,0 14 1,22,1752917
61,1493,0 15 5,21.5,1752616
62,1500,0 13 2,22,1752412
63,1490,2 12 15,21,1752208
64,1497,1 15 4,21.5,1752133
65,1493,3 12 14,21,1752084
66,1500,0 4 12,22,1752009
67,1493,0 14 6,21.5,1751977
68,1493,0 6 15,21.5,1751879
69,1497,4 12 13,21,1751878
70,1497,1 6 14,21.5,1751837
71,1500,0 12 3,22,1751807
72,1500,2 6 13,21.5,1751712
73,1500,5 12 12,21,1751589
74,1500,2 15 3,21.5,1751563
75,1496,1 14 5,21.5,1751541
76,1493,0 13 7,21.5,1751241
77,1499,0 11 4,22,1751101
78,1500,2 14 4,21.5,1751018
79,1493,3 11 15,21,1750891
80,1496,1 13 6,21.5,1750850
81,1496,4 11 14,21,1750727
82,1500,5 11 13,21,1750481
83,1499,0 3 13,22,1750446
84,1492,0 12 8,21.5,1750406
85,1500,2 13 5,21.5,1750373
86,1496,1 5 15,21.5,1750307
87,1499,0 10 5,22,1750294
88,1500,2 5 14,21.5,1750224
89,1496,1 12 7,21.5,1750061
90,1499,2 12 6,21.5,1749629
91,1496,4 10 15,21,1749481
92,1492,0 11 9,21.5,1749472
93,1499,0 9 6,22,1749387
94,1499,5 10 14,21,1749276
95,1495,1 11 8,21.5,1749172
96,1499,2 11 7,21.5,1748786
97,1498,0 2 14,22,1748782
98,1499,2 4 15,21.5,1748638
99,1492,0 10 10,21.5,1748441
100,1498,0 8 7,22,1748378
101,1495,1 10 9,21.5,1748185
102,1499,5 9 15,21,1747976
103,1499,2 10 8,21.5,1747844
104,1488,4 15 15,20.5,1747702
105,1491,5 15 14,20.5,1747498
106,1491,0 9 11,21.5,1747311
107,1498,0 7 8,22,1747269
108,1495,6 15 13,20.5,1747212
109,1495,1 9 10,21.5,1747099
110,1497,0 1 15,22,1747017
111,1480,0 15 13,21,1746988
112,1484,1 15 12,21,1746862
113,1498,7 15 12,20.5,1746845
114,1498,2 9 9,21.5,1746803
115,1487,2 15 11,21,1746652
116,1491,5 14 15,20.5,1746468
117,1491,3 15 10,21,1746358
118,1494,6 14 14,20.5,1746225
119,1491,0 8 12,21.5,1746084
120,1497,0 6 9,22,1746059
121,1480,0 14 14,21,1746001
122,1494,4 15 9,21,1745981
123,1483,1 14 13,21,1745917
124,1494,1 8 11,21.5,1745915
125,1498,7 14 13,20.5,1745900
126,1487,2 14 12,21,1745750
127,1498,2 8 10,21.5,1745662
128,1497,5 15 8,21,1745519
129,1490,3 14 11,21,1745500
130,1494,4 14 10,21,1745166
131,1500,1 0 15,22,1745151
