rank,cp,ivs,maxlevel,stat-product
1,1531,1 15 14,24.5,1996365
2,1525,0 15 15,24.5,1996296
3,1529,1 14 15,24.5,1995399
4,1529,0 14 8,25.0,1988670
5,1530,0 13 10,25.0,1987765
6,1528,0 12 11,25.0,1986709
7,1529,0 11 13,25.0,1985503
8,1522,0 15 14,24.5,1984622
9,1525,1 15 12,24.5,1984622
10,1528,1 15 13,24.5,1984622
11,1531,2 15 11,24.5,1984484
12,1527,0 10 14,25.0,1984146
13,1530,0 10 15,25.0,1984146
14,1526,1 14 14,24.5,1983730
15,1520,0 14 15,24.5,1983661
16,1529,2 14 12,24.5,1983661
17,1524,1 13 15,24.5,1982689
18,1530,2 13 14,24.5,1982689
19,1528,2 12 15,24.5,1981568
20,1530,4 15 15,24.0,1978444
21,1525,0 15 5,25.0,1977511
22,1528,0 15 6,25.0,1977511
23,1526,0 14 7,25.0,1976832
24,1529,1 14 5,25.0,1976622
25,1524,0 13 8,25.0,1976003
26,1527,0 13 9,25.0,1976003
27,1530,1 13 7,25.0,1975864
28,1525,0 12 10,25.0,1975023
29,1528,1 12 8,25.0,1974954
30,1523,0 11 11,25.0,1973892
31,1526,0 11 12,25.0,1973892
32,1529,1 11 10,25.0,1973892
33,1516,0 15 12,24.5,1972947
34,1519,0 15 13,24.5,1972947
35,1522,1 15 11,24.5,1972878
36,1528,1 10 11,25.0,1972678
37,1525,2 15 9,24.5,1972671
38,1528,2 15 10,24.5,1972671
39,1524,0 10 13,25.0,1972610
40,1531,3 15 8,24.5,1972326
41,1517,0 14 14,24.5,1972061
42,1520,1 14 12,24.5,1972061
43,1523,1 14 13,24.5,1972061
44,1526,2 14 11,24.5,1971924
45,1529,3 14 9,24.5,1971649
46,1528,1 9 13,25.0,1971313
47,1522,0 9 14,25.0,1971177
48,1525,0 9 15,25.0,1971177
49,1521,1 13 14,24.5,1971095
50,1515,0 13 15,24.5,1971026
51,1524,2 13 12,24.5,1971026
52,1527,2 13 13,24.5,1971026
53,1528,0 6 11,25.5,1970902
54,1530,3 13 11,24.5,1970822
55,1519,1 12 15,24.5,1969980
56,1525,2 12 14,24.5,1969980
57,1528,3 12 12,24.5,1969844
58,1531,3 12 13,24.5,1969844
59,1526,1 8 14,25.0,1969796
60,1529,1 8 15,25.0,1969796
61,1529,0 5 13,25.5,1969056
62,1523,2 11 15,24.5,1968784
63,1529,3 11 14,24.5,1968716
64,1530,2 7 14,25.0,1968262
65,1529,0 13 0,25.5,1967518
66,1527,3 10 15,24.5,1967438
67,1527,0 4 14,25.5,1967057
68,1530,0 4 15,25.5,1967057
69,1521,3 15 15,24.0,1967007
70,1528,0 12 1,25.5,1966826
71,1524,4 15 13,24.0,1966737
72,1527,4 15 14,24.0,1966737
73,1529,5 15 12,24.0,1966331
74,1529,0 11 3,25.5,1965980
75,1531,4 9 15,24.5,1965943
76,1525,4 14 15,24.0,1965922
77,1522,0 15 4,25.0,1965598
78,1528,5 14 13,24.0,1965586
79,1531,5 14 14,24.0,1965586
80,1525,1 15 2,25.0,1965246
81,1528,1 15 3,25.0,1965246
82,1520,0 14 5,25.0,1964995
83,1523,0 14 6,25.0,1964995
84,1527,0 10 4,25.5,1964981
85,1530,2 15 1,25.0,1964752
86,1526,1 14 4,25.0,1964715
87,1529,5 13 15,24.0,1964691
88,1529,2 14 2,25.0,1964295
89,1531,6 13 13,24.0,1964290
90,1521,0 13 7,25.0,1964241
91,1524,1 13 5,25.0,1964032
92,1527,1 13 6,25.0,1964032
93,1528,0 9 6,25.5,1963827
94,1530,2 13 4,25.0,1963684
95,1519,0 12 8,25.0,1963336
96,1522,0 12 9,25.0,1963336
97,1525,1 12 7,25.0,1963198
98,1528,2 12 5,25.0,1962921
99,1526,0 8 7,25.5,1962520
100,1529,0 8 8,25.5,1962520
101,1520,0 11 10,25.0,1962281
102,1523,1 11 8,25.0,1962212
103,1526,1 11 9,25.0,1962212
104,1529,2 11 7,25.0,1962006
105,1513,0 15 11,24.5,1961273
106,1516,1 15 9,24.5,1961135
107,1519,1 15 10,24.5,1961135
108,1519,0 10 11,25.0,1961074
109,1522,0 10 12,25.0,1961074
110,1525,1 10 10,25.0,1961074
111,1527,0 7 9,25.5,1961058
112,1527,2 10 8,25.0,1960938
113,1530,2 10 9,25.0,1960938
114,1522,2 15 8,24.5,1960859
115,1511,0 14 12,24.5,1960460
116,1514,0 14 13,24.5,1960460
117,1525,3 15 6,24.5,1960444
118,1528,3 15 7,24.5,1960444
119,1517,1 14 11,24.5,1960392
120,1520,2 14 9,24.5,1960186
121,1523,2 14 10,24.5,1960186
122,1530,4 15 5,24.5,1959892
123,1526,3 14 8,24.5,1959843
124,1523,1 9 11,25.0,1959785
125,1525,1 9 12,25.0,1959785
126,1519,0 9 13,25.0,1959717
127,1528,2 9 10,25.0,1959717
128,1512,0 13 14,24.5,1959500
129,1515,1 13 12,24.5,1959500
130,1518,1 13 13,24.5,1959500
131,1525,0 6 10,25.5,1959443
132,1521,2 13 11,24.5,1959364
133,1529,4 14 6,24.5,1959362
134,1524,3 13 9,24.5,1959091
135,1527,3 13 10,24.5,1959091
136,1530,4 13 8,24.5,1958681
137,1530,8 15 14,23.5,1958523
138,1516,1 12 14,24.5,1958459
139,1510,0 12 15,24.5,1958392
140,1519,2 12 12,24.5,1958392
141,1522,2 12 13,24.5,1958392
142,1523,1 8 13,25.0,1958344
143,1526,2 8 11,25.0,1958344
144,1529,2 8 12,25.0,1958344
145,1517,0 8 14,25.0,1958209
146,1520,0 8 15,25.0,1958209
147,1525,3 12 11,24.5,1958188
148,1528,4 12 9,24.5,1957849
149,1531,4 12 10,24.5,1957849
150,1529,1 5 10,25.5,1957809
151,1523,0 5 11,25.5,1957675
152,1526,0 5 12,25.5,1957675
153,1514,1 11 15,24.5,1957270
154,1520,2 11 14,24.5,1957270
155,1523,3 11 12,24.5,1957136
156,1526,3 11 13,24.5,1957136
157,1529,4 11 11,24.5,1956866
158,1527,2 7 13,25.0,1956818
159,1521,1 7 14,25.0,1956751
160,1524,1 7 15,25.0,1956751
161,1530,3 7 11,25.0,1956751
162,1518,2 10 15,24.5,1955999
163,1527,1 4 11,25.5,1955953
164,1530,1 4 12,25.5,1955953
165,1524,3 10 14,24.5,1955932
166,1524,0 4 13,25.5,1955752
167,1527,4 10 12,24.5,1955732
168,1530,4 10 13,24.5,1955732
169,1512,2 15 15,24.0,1955571
170,1515,3 15 13,24.0,1955368
171,1518,3 15 14,24.0,1955368
172,1525,2 6 14,25.0,1955140
173,1528,2 6 15,25.0,1955140
174,1521,4 15 12,24.0,1955030
175,1524,0 12 0,25.5,1954906
176,1522,3 9 15,24.5,1954579
177,1516,3 14 15,24.0,1954558
178,1523,5 15 10,24.0,1954556
179,1526,5 15 11,24.0,1954556
180,1528,4 9 14,24.5,1954446
181,1519,4 14 13,24.0,1954289
182,1522,4 14 14,24.0,1954289
183,1531,5 9 12,24.5,1954180
184,1523,0 11 1,25.5,1954137
185,1526,0 11 2,25.5,1954137
186,1529,6 15 9,24.0,1953947
187,1527,1 3 13,25.5,1953941
188,1525,5 14 12,24.0,1953886
189,1529,1 11 0,25.5,1953787
190,1516,0 15 2,25.0,1953685
191,1519,0 15 3,25.0,1953685
192,1521,0 3 14,25.5,1953676
193,1524,0 3 15,25.5,1953676
194,1528,0 1 10,26.0,1953438
195,1520,4 13 15,24.0,1953400
196,1529,3 5 14,25.0,1953375
197,1527,6 14 10,24.0,1953348
198,1530,6 14 11,24.0,1953348
199,1522,1 15 1,25.0,1953262
200,1524,0 10 3,25.5,1953214
201,1517,0 14 4,25.0,1953158
202,1523,5 13 13,24.0,1953066
203,1526,5 13 14,24.0,1953066
204,1526,4 8 15,24.5,1953009
205,1527,1 10 1,25.5,1952936
206,1530,1 10 2,25.5,1952936
207,1520,1 14 2,25.0,1952807
208,1523,1 14 3,25.0,1952807
209,1527,2 15 0,25.0,1952699
210,1528,6 13 12,24.0,1952598
211,1528,0 7 0,26.0,1952498
212,1515,0 13 5,25.0,1952479
213,1518,0 13 6,25.0,1952479
214,1526,2 14 1,25.0,1952317
215,1521,1 13 4,25.0,1952201
216,1522,0 9 4,25.5,1952137
217,1525,0 9 5,25.5,1952137
218,1524,5 12 15,24.0,1952097
219,1531,7 13 10,24.0,1951997
220,1528,1 9 3,25.5,1951930
221,1524,2 13 2,25.0,1951783
222,1527,2 13 3,25.0,1951783
223,1525,1 2 14,25.5,1951775
224,1528,1 2 15,25.5,1951775
225,1527,6 12 13,24.0,1951699
226,1530,6 12 14,24.0,1951699
227,1516,0 12 7,25.0,1951650
228,1519,1 12 5,25.0,1951442
229,1522,1 12 6,25.0,1951442
230,1530,5 7 15,24.5,1951289
231,1530,3 13 1,25.0,1951226
232,1525,2 12 4,25.0,1951096
233,1529,0 0 12,26.0,1951086
234,1523,0 8 6,25.5,1950907
235,1526,1 8 4,25.5,1950770
236,1529,1 8 5,25.5,1950770
237,1514,0 11 8,25.0,1950670
238,1517,0 11 9,25.0,1950670
239,1528,6 11 15,24.0,1950649
240,1528,3 12 2,25.0,1950612
241,1520,1 11 7,25.0,1950532
242,1523,2 11 5,25.0,1950257
243,1526,2 11 6,25.0,1950257
244,1530,7 11 13,24.0,1950188
245,1529,3 11 4,25.0,1949845
246,1529,2 1 14,25.5,1949717
247,1528,0 5 3,26.0,1949675
248,1507,0 15 9,24.5,1949599
249,1510,0 15 10,24.5,1949599
250,1516,0 10 10,25.0,1949539
251,1521,0 7 7,25.5,1949523
252,1524,0 7 8,25.5,1949523
253,1519,1 10 8,25.0,1949470
254,1522,1 10 9,25.0,1949470
255,1527,1 7 6,25.5,1949454
256,1513,1 15 8,24.5,1949392
257,1524,2 10 7,25.0,1949266
258,1530,2 7 4,25.5,1949250
259,1531,7 10 15,24.0,1949057
260,1516,2 15 6,24.5,1949046
261,1519,2 15 7,24.5,1949046
262,1527,3 10 5,25.0,1948924
263,1530,3 10 6,25.0,1948924
264,1508,0 14 11,24.5,1948860
265,1511,1 14 9,24.5,1948723
266,1514,1 14 10,24.5,1948723
267,1522,3 15 5,24.5,1948563
268,1517,2 14 8,24.5,1948448
269,1514,0 9 11,25.0,1948257
270,1517,0 9 12,25.0,1948257
271,1520,1 9 10,25.0,1948257
272,1522,2 9 8,25.0,1948121
273,1525,2 9 9,25.0,1948121
274,1520,3 14 6,24.5,1948036
275,1523,3 14 7,24.5,1948036
276,1529,0 4 5,26.0,1948028
277,1522,0 6 9,25.5,1947985
278,1525,1 6 7,25.5,1947985
279,1528,1 6 8,25.5,1947985
280,1506,0 13 12,24.5,1947973
281,1509,0 13 13,24.5,1947973
282,1524,4 15 3,24.5,1947941
283,1527,4 15 4,24.5,1947941
284,1512,1 13 11,24.5,1947905
285,1528,3 9 7,25.0,1947850
286,1515,2 13 9,24.5,1947701
287,1518,2 13 10,24.5,1947701
288,1526,4 14 5,24.5,1947487
289,1521,7 15 14,23.5,1947458
290,1524,7 15 15,23.5,1947458
291,1521,3 13 8,24.5,1947360
292,1530,5 15 2,24.5,1947181
293,1507,0 12 14,24.5,1946939
294,1510,1 12 12,24.5,1946939
295,1513,1 12 13,24.5,1946939
296,1517,1 8 11,25.0,1946892
297,1520,1 8 12,25.0,1946892
298,1524,4 13 6,24.5,1946882
299,1527,4 13 7,24.5,1946882
300,1514,0 8 13,25.0,1946824
301,1523,2 8 10,25.0,1946824
302,1516,2 12 11,24.5,1946803
303,1528,5 14 3,24.5,1946801
304,1527,8 15 13,23.5,1946796
305,1526,3 8 8,25.0,1946622
306,1529,3 8 9,25.0,1946622
307,1519,3 12 9,24.5,1946532
308,1522,3 12 10,24.5,1946532
309,1526,1 5 9,25.5,1946360
310,1520,0 5 10,25.5,1946293
311,1529,2 5 7,25.5,1946293
312,1529,5 13 5,24.5,1946268
313,1526,0 3 6,26.0,1946224
314,1525,8 14 14,23.5,1946128
315,1528,8 14 15,23.5,1946128
316,1525,4 12 8,24.5,1946126
317,1530,9 15 11,23.5,1946001
318,1511,1 11 14,24.5,1945824
319,1505,0 11 15,24.5,1945757
320,1514,2 11 12,24.5,1945757
321,1517,2 11 13,24.5,1945757
322,1528,5 12 6,24.5,1945584
323,1531,5 12 7,24.5,1945584
324,1520,3 11 11,24.5,1945555
325,1531,9 14 13,23.5,1945403
326,1521,2 7 11,25.0,1945375
327,1518,1 7 13,25.0,1945375
328,1524,2 7 12,25.0,1945375
329,1512,0 7 14,25.0,1945241
330,1515,0 7 15,25.0,1945241
331,1527,3 7 10,25.0,1945241
332,1523,4 11 9,24.5,1945218
333,1526,4 11 10,24.5,1945218
334,1530,4 7 8,25.0,1944973
335,1529,5 11 8,24.5,1944747
336,1529,9 13 14,23.5,1944657
337,1532,9 13 15,23.5,1944657
338,1530,2 4 9,25.5,1944581
339,1524,1 4 10,25.5,1944581
340,1509,1 10 15,24.5,1944561
341,1515,2 10 14,24.5,1944561
342,1518,0 4 11,25.5,1944447
343,1521,0 4 12,25.5,1944447
344,1518,3 10 12,24.5,1944427
345,1521,3 10 13,24.5,1944427
346,1527,0 2 8,26.0,1944264
347,1524,4 10 11,24.5,1944159
348,1503,1 15 15,24.0,1944135
349,1506,2 15 13,24.0,1944000
350,1509,2 15 14,24.0,1944000
351,1522,2 6 13,25.0,1943773
352,1527,5 10 9,24.5,1943758
353,1530,5 10 10,24.5,1943758
354,1512,3 15 12,24.0,1943729
355,1516,1 6 14,25.0,1943706
356,1519,1 6 15,25.0,1943706
357,1525,3 6 11,25.0,1943706
358,1528,3 6 12,25.0,1943706
359,1515,4 15 10,24.0,1943323
360,1518,4 15 11,24.0,1943323
361,1513,2 9 15,24.5,1943215
362,1507,2 14 15,24.0,1943194
363,1519,3 9 14,24.5,1943148
364,1510,3 14 13,24.0,1942993
365,1513,3 14 14,24.0,1942993
366,1522,4 9 12,24.5,1942949
367,1525,4 9 13,24.5,1942949
368,1520,5 15 9,24.0,1942782
369,1527,2 3 10,25.5,1942713
370,1516,4 14 12,24.0,1942656
371,1521,1 3 11,25.5,1942647
372,1524,1 3 12,25.5,1942647
373,1528,5 9 11,24.5,1942617
