rank,cp,ivs,maxlevel,stat-product
1,1498,0 13 13,19.5,1456564
2,1499,1 12 13,19.5,1453119
3,1497,0 11 15,19.5,1453113
4,1498,0 14 12,19.5,1450752
5,1499,1 15 10,19.5,1450293
6,1461,2 11 13,19.5,1449605
7,1498,1 10 15,19.5,1449564
8,1493,0 12 13,19.5,1447573
9,1498,0 12 14,19.5,1447573
10,1499,1 13 12,19.5,1447376
11,1462,2 14 10,19.5,1446951
12,1499,2 9 15,19.5,1445945
13,1493,0 15 10,19.5,1444757
14,1498,0 15 11,19.5,1444757
15,1494,1 11 13,19.5,1444094
16,1499,1 11 14,19.5,1444094
17,1495,4 15 14,19.0,1444035
18,1460,4 15 15,19.0,1444035
19,1493,0 10 15,19.5,1444031
20,1462,2 12 12,19.5,1443931
21,1462,3 8 15,19.5,1442256
22,1493,0 13 12,19.5,1441851
23,1495,1 14 10,19.5,1441450
24,1499,1 14 11,19.5,1441450
25,1496,2 15 8,19.5,1440820
26,1462,2 15 9,19.5,1440820
27,1496,5 14 14,19.0,1440646
28,1495,2 10 13,19.5,1440545
29,1461,2 10 14,19.5,1440545
30,1494,1 9 15,19.5,1440447
31,1498,6 15 12,19.0,1440087
32,1499,0 12 6,20.0,1439686
33,1490,3 15 14,19.0,1438586
34,1494,3 15 15,19.0,1438586
35,1488,0 11 13,19.5,1438582
36,1493,0 11 14,19.5,1438582
37,1498,0 7 11,20.0,1438569
38,1494,1 12 12,19.5,1438441
39,1496,2 13 10,19.5,1438074
40,1462,2 13 11,19.5,1438074
41,1497,3 14 8,19.5,1437479
42,1497,6 13 14,19.0,1437190
43,1496,3 9 13,19.5,1436928
44,1495,2 8 15,19.5,1436793
45,1499,7 14 12,19.0,1436667
46,1499,0 10 8,20.0,1436613
47,1463,1 11 6,20.0,1436226
48,1499,0 15 3,20.0,1435961
49,1489,0 14 10,19.5,1435948
50,1493,0 14 11,19.5,1435948
51,1460,8 15 10,19.0,1435917
52,1490,1 15 8,19.5,1435341
53,1495,1 15 9,19.5,1435341
54,1491,4 14 14,19.0,1435230
55,1495,4 14 15,19.0,1435230
56,1490,1 10 13,19.5,1435068
57,1494,1 10 14,19.5,1435068
58,1495,2 11 12,19.5,1434963
59,1488,0 9 15,19.5,1434949
60,1499,1 6 11,20.0,1434824
61,1492,5 15 12,19.0,1434694
62,1496,5 15 13,19.0,1434694
63,1497,3 12 10,19.5,1434632
64,1498,0 5 13,20.0,1434470
65,1498,4 13 8,19.5,1434072
66,1459,12 15 14,18.5,1433715
67,1498,7 12 14,19.0,1433668
68,1499,0 13 5,20.0,1433539
69,1497,4 8 13,19.5,1433242
70,1460,8 13 12,19.0,1433181
71,1499,0 8 10,20.0,1433166
72,1484,2 15 14,19.0,1433137
73,1488,2 15 15,19.0,1433137
74,1495,3 7 15,19.5,1433070
75,1463,1 9 8,20.0,1433047
76,1489,0 12 12,19.5,1432951
77,1463,1 14 3,20.0,1432673
78,1490,1 13 10,19.5,1432606
79,1495,1 13 11,19.5,1432606
80,1491,2 14 8,19.5,1432034
81,1496,2 14 9,19.5,1432034
82,1492,5 13 14,19.0,1431808
83,1496,5 13 15,19.0,1431808
84,1491,2 9 13,19.5,1431485
85,1495,2 9 14,19.5,1431485
86,1496,3 10 12,19.5,1431416
87,1489,1 8 15,19.5,1431330
88,1493,6 14 12,19.0,1431306
89,1498,6 14 13,19.0,1431306
90,1497,3 15 7,19.5,1431233
91,1498,4 11 10,19.5,1431121
92,1463,2 5 11,20.0,1431008
93,1495,0 11 6,20.0,1430744
94,1499,0 11 7,20.0,1430744
95,1499,1 4 13,20.0,1430616
96,1499,5 12 8,19.5,1430598
97,1494,7 15 10,19.0,1430579
98,1499,7 15 11,19.0,1430579
99,1463,1 12 5,20.0,1430148
100,1499,8 11 14,19.0,1430080
101,1497,0 3 15,20.0,1429999
102,1484,0 15 8,19.5,1429863
103,1489,0 15 9,19.5,1429863
104,1485,3 14 14,19.0,1429814
105,1489,3 14 15,19.0,1429814
106,1484,0 10 13,19.5,1429591
107,1488,0 10 14,19.5,1429591
108,1490,1 11 12,19.5,1429507
109,1462,1 7 10,20.0,1429494
110,1498,5 7 13,19.5,1429487
111,1494,0 6 11,20.0,1429347
112,1498,0 6 12,20.0,1429347
113,1486,4 15 12,19.0,1429300
114,1491,4 15 13,19.0,1429300
115,1496,4 6 15,19.5,1429277
116,1491,2 12 10,19.5,1429197
117,1496,2 12 11,19.5,1429197
118,1492,3 13 8,19.5,1428660
119,1497,3 13 9,19.5,1428660
120,1494,11 15 14,18.5,1428463
121,1499,11 15 15,18.5,1428463
122,1493,6 12 14,19.0,1428319
123,1497,6 12 15,19.0,1428319
124,1498,4 14 7,19.5,1427894
125,1494,7 13 12,19.0,1427853
126,1499,7 13 13,19.0,1427853
127,1491,3 8 13,19.5,1427834
128,1496,3 8 14,19.5,1427834
129,1497,4 9 12,19.5,1427802
130,1478,1 15 14,19.0,1427688
131,1483,1 15 15,19.0,1427688
132,1490,2 7 15,19.5,1427642
133,1494,0 9 8,20.0,1427577
134,1499,0 9 9,20.0,1427577
135,1499,5 10 10,19.5,1427543
