rank,cp,ivs,maxlevel,stat-product
1,1500,0 15 12,28,1749737
2,1494,1 15 15,27.5,1741219
3,1497,0 12 15,28,1740643
4,1498,0 13 14,28,1739370
5,1497,2 14 15,27.5,1738905
6,1500,1 11 15,28,1738137
7,1495,0 14 12,28,1737915
8,1499,0 14 13,28,1737915
9,1498,2 15 14,27.5,1737370
10,1500,3 13 15,27.5,1736462
11,1496,0 15 11,28,1736278
12,1498,1 13 12,28,1735576
13,1499,1 14 11,28,1734022
14,1500,1 15 10,28,1732284
15,1485,0 15 15,27.5,1731704
16,1499,0 12 9,28.5,1731466
17,1500,0 13 8,28.5,1729893
18,1489,1 14 15,27.5,1729454
19,1492,0 11 15,28,1728639
20,1500,2 15 8,28,1728143
21,1490,1 15 14,27.5,1727927
22,1493,0 12 14,28,1727456
23,1492,2 13 15,27.5,1727075
24,1498,0 15 5,28.5,1726190
25,1490,0 13 12,28,1726092
26,1494,0 13 13,28,1726092
27,1495,1 10 15,28,1726066
28,1493,2 14 14,27.5,1725631
29,1496,1 11 14,28,1724969
30,1495,3 12 15,27.5,1724568
31,1491,0 14 11,28,1724546
32,1494,2 15 13,27.5,1724005
33,1493,1 12 12,28,1723689
34,1497,1 12 13,28,1723689
35,1497,0 7 15,28.5,1723598
36,1498,2 9 15,28,1723362
37,1496,3 13 14,27.5,1723206
38,1499,0 8 14,28.5,1722857
39,1492,0 15 10,28,1722818
40,1499,2 10 14,28,1722351
41,1494,1 13 11,28,1722226
42,1496,0 9 12,28.5,1721932
43,1500,0 9 13,28.5,1721932
44,1497,4 11 15,27.5,1721932
45,1497,3 14 13,27.5,1721663
46,1496,2 11 12,28,1721155
47,1500,2 11 13,28,1721155
48,1497,0 10 11,28.5,1720821
49,1500,1 6 15,28.5,1720689
50,1499,4 12 14,27.5,1720654
51,1495,1 14 10,28,1720580
52,1494,5 15 14,27,1720250
53,1498,5 15 15,27,1720250
54,1480,0 14 15,27.5,1720003
55,1494,3 15 11,27.5,1719938
56,1498,3 15 12,27.5,1719938
57,1497,2 12 11,28,1719776
58,1494,0 11 9,28.5,1719525
59,1498,0 11 10,28.5,1719525
60,1499,1 8 12,28.5,1719200
61,1500,4 13 13,27.5,1719194
62,1500,5 10 15,27.5,1719168
63,1492,1 15 8,28,1718751
64,1496,1 15 9,28,1718751
65,1499,3 10 12,28,1718492
66,1481,0 15 14,27.5,1718485
67,1498,2 13 10,28,1718213
68,1500,1 9 11,28.5,1718176
69,1495,0 12 8,28.5,1718044
70,1497,6 14 14,27,1717764
71,1483,1 13 15,27.5,1717689
72,1497,4 14 11,27.5,1717551
73,1500,3 11 11,28,1717198
74,1497,1 10 9,28.5,1716966
75,1487,0 10 15,28,1716634
76,1495,2 14 8,28,1716466
77,1499,2 14 9,28,1716466
78,1496,0 13 7,28.5,1716378
79,1499,0 4 13,29,1716261
80,1485,1 14 14,27.5,1716252
81,1498,6 15 13,27,1716043
82,1500,0 5 12,29,1715790
83,1498,4 15 10,27.5,1715725
84,1498,1 11 8,28.5,1715570
85,1488,0 11 14,28,1715543
86,1486,2 12 15,27.5,1715246
87,1500,7 13 14,27,1715153
88,1500,5 13 11,27.5,1715038
89,1486,1 15 13,27.5,1714636
90,1496,2 15 7,28,1714536
91,1493,0 14 5,28.5,1714526
92,1497,0 14 6,28.5,1714526
93,1499,0 7 9,29,1714283
94,1500,2 9 9,28.5,1714276
95,1485,0 12 12,28,1714270
96,1489,0 12 13,28,1714270
97,1498,3 13 8,28,1714055
98,1490,1 9 15,28,1713996
99,1499,1 12 7,28.5,1713988
100,1488,2 13 14,27.5,1713892
101,1500,0 8 8,29,1713247
102,1491,1 10 14,28,1712990
103,1486,0 13 11,28,1712815
104,1489,3 11 15,27.5,1712674
105,1493,0 15 4,28.5,1712490
106,1489,2 14 13,27.5,1712356
107,1496,1 13 5,28.5,1712219
108,1500,1 13 6,28.5,1712219
109,1499,3 14 7,28,1712206
110,1497,0 9 6,29,1712022
111,1488,1 11 12,28,1711801
112,1492,1 11 13,28,1711801
113,1498,7 15 11,27,1711693
114,1491,3 12 14,27.5,1711403
115,1497,5 15 8,27.5,1711367
116,1492,0 6 15,28.5,1711287
117,1492,2 8 15,28,1711226
118,1487,0 14 10,28,1711178
119,1486,4 15 14,27,1711051
120,1490,4 15 15,27,1711051
121,1486,2 15 11,27.5,1710641
122,1490,2 15 12,27.5,1710641
123,1493,0 7 14,28.5,1710639
124,1498,0 10 5,29,1710609
125,1489,1 12 11,28,1710430
126,1494,2 9 14,28,1710306
127,1497,1 14 4,28.5,1710265
128,1496,3 15 5,28,1710172
129,1500,3 15 6,28,1710172
130,1492,4 10 15,27.5,1709974
131,1492,3 13 13,27.5,1709951
132,1490,0 8 12,28.5,1709806
133,1495,0 8 13,28.5,1709806
134,1499,2 12 5,28.5,1709784
135,1484,0 15 8,28,1709359
136,1488,0 15 9,28,1709359
137,1500,1 8 6,29,1709306
138,1491,2 10 12,28,1709203
139,1495,2 10 13,28,1709203
140,1499,0 11 4,29,1709008
141,1500,6 14 8,27.5,1708894
142,1490,1 13 10,28,1708875
143,1493,4 11 14,27.5,1708788
144,1492,0 9 11,28.5,1708787
145,1489,5 14 14,27,1708627
146,1493,5 14 15,27,1708627
147,1495,3 7 15,28,1708324
148,1489,3 14 11,27.5,1708317
149,1493,3 14 12,27.5,1708317
150,1495,1 5 15,28.5,1708310
151,1475,0 13 15,27.5,1708303
152,1493,1 15 2,28.5,1708124
153,1497,1 15 3,28.5,1708124
154,1492,2 11 11,28,1707916
155,1500,2 13 4,28.5,1707912
156,1499,4 14 5,28,1707799
157,1496,1 6 14,28.5,1707752
158,1489,0 10 9,28.5,1707584
159,1493,0 10 10,28.5,1707584
160,1497,3 8 14,28,1707492
161,1495,4 12 13,27.5,1707418
162,1496,0 12 2,29,1707218
163,1500,0 12 3,29,1707218
164,1495,5 9 15,27.5,1707146
165,1487,1 14 8,28,1707138
166,1491,1 14 9,28,1707138
167,1493,1 7 12,28.5,1707007
168,1497,1 7 13,28.5,1707007
169,1490,5 15 13,27,1706915
170,1476,0 14 14,27.5,1706874
171,1490,3 15 10,27.5,1706501
172,1494,3 9 12,28,1706475
173,1498,3 9 13,28,1706475
174,1493,2 12 10,28,1706445
175,1490,0 11 8,28.5,1706195
176,1492,6 13 14,27,1706078
177,1496,6 13 15,27,1706078
178,1495,1 8 11,28.5,1706076
179,1496,5 10 14,27.5,1706044
180,1478,1 12 15,27.5,1705924
181,1492,4 13 11,27.5,1705867
182,1496,4 13 12,27.5,1705867
183,1496,2 14 2,28.5,1705854
184,1500,2 14 3,28.5,1705854
185,1500,4 15 4,28,1705661
186,1498,4 6 15,28,1705289
187,1495,3 10 11,28,1705273
188,1477,0 15 13,27.5,1705266
189,1496,0 13 1,29,1705240
190,1488,1 15 7,28,1705217
191,1497,2 4 15,28.5,1705199
192,1492,1 9 9,28.5,1704959
193,1496,1 9 10,28.5,1704959
194,1490,2 13 8,28,1704790
195,1494,2 13 9,28,1704790
196,1499,1 11 2,29,1704760
197,1497,5 11 13,27.5,1704759
198,1499,2 5 14,28.5,1704731
199,1481,0 9 15,28,1704630
200,1491,0 12 7,28.5,1704622
201,1479,1 13 14,27.5,1704577
202,1499,4 7 14,28,1704546
203,1493,6 14 13,27,1704448
204,1498,6 8 15,27.5,1704188
205,1493,4 14 10,27.5,1704132
206,1496,2 6 12,28.5,1704076
207,1500,2 6 13,28.5,1704076
208,1496,0 2 15,29,1703922
209,1496,3 11 10,28,1703886
210,1494,0 3 13,29,1703733
211,1498,0 3 14,29,1703733
212,1493,1 10 8,28.5,1703656
213,1483,0 10 14,28,1703629
214,1497,4 8 12,28,1703616
215,1497,2 15 1,28.5,1703608
216,1499,3 13 2,28.5,1703457
217,1481,2 11 15,27.5,1703417
218,1495,7 12 14,27,1703406
219,1499,7 12 15,27,1703406
220,1495,0 4 12,29,1703356
221,1494,5 12 11,27.5,1703291
