rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 15,29,1938543
2,1500,1 15 13,29,1930680
3,1499,1 14 14,29,1928870
4,1494,0 15 14,29,1928653
5,1498,1 13 15,29,1926940
6,1493,0 14 15,29,1926794
7,1498,2 15 14,28.5,1923524
8,1497,2 14 15,28.5,1921671
9,1492,1 15 15,28.5,1921527
10,1500,2 14 12,29,1920872
11,1500,0 10 12,29.5,1920777
12,1496,1 15 12,29,1920728
13,1500,0 15 6,29.5,1919222
14,1500,2 13 13,29,1919051
15,1495,1 14 13,29,1918979
16,1490,0 15 13,29,1918762
17,1499,0 9 13,29.5,1918662
18,1499,0 14 7,29.5,1917791
19,1494,1 13 14,29,1917109
20,1499,2 12 14,29,1917109
21,1490,0 14 14,29,1916964
22,1499,0 8 14,29.5,1916423
23,1498,0 13 8,29.5,1916236
24,1499,3 15 12,28.5,1915476
25,1493,1 12 15,29,1915119
26,1489,0 13 15,29,1915046
27,1498,2 11 15,29,1915046
28,1498,0 12 9,29.5,1914557
29,1498,0 7 15,29.5,1914059
30,1498,3 14 13,28.5,1913731
31,1494,2 15 13,28.5,1913660
32,1497,0 11 10,29.5,1912753
33,1497,2 15 10,29,1912557
34,1500,0 13 5,30,1912165
35,1493,2 14 14,28.5,1911867
36,1498,3 13 14,28.5,1911867
37,1488,1 15 14,28.5,1911724
38,1500,0 7 12,30,1911093
39,1496,2 14 11,29,1910919
40,1496,0 10 11,29.5,1910825
41,1492,1 15 11,29,1910776
42,1500,0 12 6,30,1910652
43,1492,2 13 15,28.5,1909954
44,1488,1 14 15,28.5,1909882
45,1497,3 12 15,28.5,1909882
46,1500,1 14 5,29.5,1909174
47,1496,2 13 12,29,1909159
48,1491,1 14 12,29,1909087
49,1500,3 12 12,29,1909087
50,1499,0 11 7,30,1909012
51,1496,0 15 5,29.5,1908959
52,1486,0 15 12,29,1908871
53,1496,0 9 12,29.5,1908772
54,1499,0 6 13,30,1908760
55,1500,1 8 12,29.5,1908548
56,1500,1 13 6,29.5,1907735
57,1500,6 15 15,28,1907661
58,1495,0 14 6,29.5,1907590
59,1490,1 13 13,29,1907278
60,1495,2 12 13,29,1907278
61,1498,0 10 8,30,1907246
62,1500,4 15 10,28.5,1907185
63,1486,0 14 13,29,1907133
64,1500,3 11 13,29,1907133
65,1495,0 8 13,29.5,1906595
66,1498,0 5 14,30,1906300
67,1499,1 7 13,29.5,1906295
68,1499,1 12 7,29.5,1906170
69,1495,0 13 7,29.5,1906097
70,1495,3 15 11,28.5,1905551
71,1500,4 14 11,28.5,1905551
72,1498,0 9 9,30,1905354
73,1490,1 12 14,29,1905348
74,1485,0 13 14,29,1905275
75,1494,2 11 14,29,1905275
76,1499,3 10 14,29,1905057
77,1494,0 12 8,29.5,1904480
78,1499,1 11 8,29.5,1904480
79,1497,0 15 2,30,1904408
80,1494,0 7 14,29.5,1904294
81,1498,3 15 8,29,1904141
82,1498,1 6 14,29.5,1903917
83,1494,3 14 12,28.5,1903867
84,1490,2 15 12,28.5,1903796
85,1499,4 13 12,28.5,1903796
86,1497,0 4 15,30,1903714
87,1497,0 8 10,30,1903336
88,1484,0 12 15,29,1903297
89,1489,1 11 15,29,1903297
90,1497,0 14 3,30,1903210
91,1493,2 10 15,29,1903151
92,1498,3 9 15,29,1902859
93,1493,0 11 9,29.5,1902739
94,1498,1 10 9,29.5,1902665
95,1498,3 14 9,29,1902615
96,1493,2 15 9,29,1902544
97,1489,2 14 13,28.5,1902062
98,1494,3 13 13,28.5,1902062
99,1498,4 12 13,28.5,1901920
100,1496,0 13 4,30,1901885
101,1493,0 6 15,29.5,1901868
102,1497,1 5 15,29.5,1901413
103,1496,0 7 11,30,1901191
104,1493,2 14 10,29,1900966
105,1497,3 13 10,29,1900966
106,1492,0 10 10,29.5,1900872
107,1488,1 15 10,29,1900824
108,1497,1 9 10,29.5,1900725
109,1496,0 12 5,30,1900434
110,1500,1 11 5,30,1900434
111,1488,2 13 14,28.5,1900209
112,1497,1 15 3,29.5,1900162
113,1493,3 12 14,28.5,1900137
114,1497,4 11 14,28.5,1899923
115,1500,0 9 5,30.5,1899553
116,1492,2 13 11,29,1899267
117,1487,1 14 11,29,1899195
118,1496,3 12 11,29,1899195
119,1500,0 4 11,30.5,1899168
120,1483,0 15 11,29,1898981
121,1495,0 6 12,30,1898921
122,1496,1 14 4,29.5,1898910
123,1492,0 9 11,29.5,1898882
124,1495,0 11 6,30,1898858
125,1500,1 10 6,30,1898784
126,1492,0 15 4,29.5,1898695
127,1496,1 8 11,29.5,1898660
128,1500,1 5 12,30,1898467
129,1488,2 12 15,28.5,1898236
130,1492,3 11 15,28.5,1898092
131,1496,6 15 14,28,1897928
132,1497,4 10 15,28.5,1897805
133,1499,0 8 6,30.5,1897755
134,1496,1 13 5,29.5,1897533
135,1500,2 12 5,29.5,1897533
136,1487,1 13 12,29,1897446
137,1491,2 12 12,29,1897446
138,1491,0 14 5,29.5,1897389
139,1482,0 14 12,29,1897303
140,1496,3 11 12,29,1897303
141,1496,4 15 9,28.5,1897200
142,1494,0 10 7,30,1897155
143,1500,4 10 12,29,1897015
144,1499,1 9 7,30,1897007
145,1491,0 8 12,29.5,1896767
146,1499,0 3 12,30.5,1896663
147,1500,0 2 12,31,1896657
148,1494,0 5 13,30,1896524
149,1495,1 7 12,29.5,1896469
150,1491,5 15 15,28,1896238
151,1500,0 6 7,31,1896140
152,1496,6 14 15,28,1896099
153,1495,1 12 6,29.5,1896031
154,1500,2 6 12,29.5,1896022
155,1499,1 4 13,30,1895992
156,1491,0 13 6,29.5,1895959
157,1500,2 11 6,29.5,1895959
158,1498,0 7 7,30.5,1895828
159,1500,7 13 15,28,1895822
160,1500,0 12 0,31,1895752
