rank,cp,ivs,maxlevel,stat-product
1,1499,0 14 15,13.5,1697442
2,1499,0 15 14,13.5,1696708
3,1496,0 13 15,13.5,1690427
4,1496,0 14 14,13.5,1689726
5,1498,1 12 15,13.5,1689648
6,1498,1 13 14,13.5,1688976
7,1495,0 15 13,13.5,1688961
8,1498,1 14 13,13.5,1688240
9,1500,2 12 14,13.5,1688174
10,1500,2 13 13,13.5,1687468
11,1497,1 15 12,13.5,1687440
12,1500,2 14 12,13.5,1686697
13,1499,2 15 11,13.5,1685862
14,1493,0 12 15,13.5,1683413
15,1492,0 13 14,13.5,1682744
16,1495,1 11 15,13.5,1682608
17,1492,0 14 13,13.5,1682010
18,1495,1 12 14,13.5,1681968
19,1498,2 10 15,13.5,1681751
20,1495,1 13 13,13.5,1681264
21,1492,0 15 12,13.5,1681213
22,1497,2 11 14,13.5,1681140
23,1500,3 9 15,13.5,1680841
24,1494,1 14 12,13.5,1680496
25,1497,2 12 13,13.5,1680466
26,1500,3 10 14,13.5,1680261
27,1497,2 13 12,13.5,1679727
28,1494,1 15 11,13.5,1679664
29,1499,3 11 13,13.5,1679616
30,1496,2 14 11,13.5,1678924
31,1499,3 12 12,13.5,1678907
32,1499,3 13 11,13.5,1678133
33,1496,2 15 10,13.5,1678057
34,1498,3 14 10,13.5,1677295
35,1490,0 11 15,13.5,1676399
36,1498,3 15 9,13.5,1676393
37,1489,0 12 14,13.5,1675761
38,1500,4 14 9,13.5,1675609
39,1492,1 10 15,13.5,1675568
40,1489,0 13 13,13.5,1675060
41,1492,1 11 14,13.5,1674960
42,1494,2 9 15,13.5,1674684
43,1500,4 15 8,13.5,1674671
44,1489,0 14 12,13.5,1674295
45,1491,1 12 13,13.5,1674288
46,1494,2 10 14,13.5,1674106
47,1497,3 8 15,13.5,1673749
48,1491,1 13 12,13.5,1673552
49,1488,0 15 11,13.5,1673466
50,1494,2 11 13,13.5,1673464
51,1496,3 9 14,13.5,1673201
52,1499,4 7 15,13.5,1672762
53,1494,2 12 12,13.5,1672757
54,1491,1 14 11,13.5,1672752
55,1496,3 10 13,13.5,1672589
56,1499,4 8 14,13.5,1672244
57,1493,2 13 11,13.5,1671986
58,1496,3 11 12,13.5,1671912
59,1490,1 15 10,13.5,1671888
60,1499,4 9 13,13.5,1671662
61,1496,3 12 11,13.5,1671170
62,1493,2 14 10,13.5,1671151
63,1498,4 10 12,13.5,1671015
64,1495,3 13 10,13.5,1670364
