rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 15,18,1694167
2,1495,0 15 14,18,1685903
3,1495,0 14 15,18,1685434
4,1497,1 15 13,18,1684808
5,1497,1 14 14,18,1684380
6,1497,1 13 15,18,1683867
7,1500,2 15 12,18,1683643
8,1500,2 14 13,18,1683256
9,1500,2 13 14,18,1682783
10,1500,2 12 15,18,1682225
11,1491,0 15 13,18,1677639
12,1491,0 14 14,18,1677213
13,1491,0 13 15,18,1676701
14,1494,1 15 12,18,1676509
15,1494,1 14 13,18,1676123
16,1493,1 13 14,18,1675653
17,1496,2 15 11,18,1675308
18,1493,1 12 15,18,1675097
19,1496,2 14 12,18,1674964
20,1496,2 13 13,18,1674534
21,1499,3 15 10,18,1674036
22,1496,2 12 14,18,1674019
23,1499,3 14 11,18,1673734
24,1499,6 15 15,17.5,1673632
25,1496,2 11 15,18,1673417
26,1499,3 13 12,18,1673346
27,1499,3 12 13,18,1672871
28,1498,3 11 14,18,1672310
29,1498,3 10 15,18,1671663
30,1500,0 14 4,18.5,1671489
31,1500,0 15 3,18.5,1671489
32,1500,0 13 5,18.5,1671400
33,1500,0 12 6,18.5,1671221
34,1500,0 11 7,18.5,1670953
35,1500,0 10 8,18.5,1670596
36,1499,0 9 9,18.5,1670150
37,1500,4 9 15,18,1669835
38,1499,0 8 10,18.5,1669614
39,1487,0 15 12,18,1669374
40,1487,0 14 13,18,1668991
41,1499,0 7 11,18.5,1668989
42,1487,0 13 14,18,1668522
43,1499,0 6 12,18.5,1668275
44,1490,1 15 11,18,1668209
45,1487,0 12 15,18,1667969
46,1490,1 14 12,18,1667867
47,1498,0 5 13,18.5,1667471
48,1490,1 13 13,18,1667439
49,1493,2 15 10,18,1666973
50,1490,1 12 14,18,1666926
51,1493,2 14 11,18,1666672
52,1493,5 15 15,17.5,1666658
53,1498,0 4 14,18.5,1666578
54,1489,1 11 15,18,1666327
55,1492,2 13 12,18,1666285
56,1492,2 12 13,18,1665813
57,1495,3 15 9,18,1665666
