rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 15,27.5,2217167
2,1500,0 15 11,28,2211143
3,1500,0 14 12,28,2211041
4,1500,0 13 13,28,2210838
5,1500,0 12 14,28,2210533
6,1499,0 11 15,28,2210126
7,1494,0 15 14,27.5,2206758
8,1494,0 14 15,27.5,2206507
9,1497,1 15 12,27.5,2201119
10,1497,1 14 13,27.5,2200968
11,1497,1 13 14,27.5,2200716
12,1496,0 15 10,28,2200563
13,1496,0 14 11,28,2200513
14,1497,1 12 15,27.5,2200363
15,1496,0 13 12,28,2200360
16,1496,0 12 13,28,2200106
17,1496,0 11 14,28,2199750
18,1496,0 10 15,28,2199292
19,1491,0 15 13,27.5,2196348
20,1491,0 14 14,27.5,2196148
21,1491,0 13 15,27.5,2195848
22,1500,2 12 13,27.5,2194735
23,1499,1 14 9,28,2194590
24,1499,1 13 10,28,2194539
25,1499,1 15 8,28,2194539
26,1499,1 12 11,28,2194385
27,1500,2 11 14,27.5,2194380
28,1499,1 11 12,28,2194129
29,1500,2 10 15,27.5,2193923
30,1499,1 10 13,28,2193771
31,1499,1 9 14,28,2193310
32,1499,1 8 15,28,2192746
33,1494,1 15 11,27.5,2190638
34,1494,1 14 12,27.5,2190537
35,1494,1 13 13,27.5,2190335
36,1494,1 12 14,27.5,2190033
37,1493,0 14 10,28,2189984
38,1493,0 15 9,28,2189984
39,1493,0 13 11,28,2189882
40,1492,0 12 12,28,2189679
41,1494,1 11 15,27.5,2189630
42,1492,0 11 13,28,2189373
43,1492,0 10 14,28,2188967
44,1492,0 9 15,28,2188458
45,1487,0 15 12,27.5,2185939
46,1487,0 14 13,27.5,2185789
47,1500,0 5 11,28.5,2185574
48,1487,0 13 14,27.5,2185539
49,1487,0 12 15,27.5,2185188
50,1500,0 4 12,28.5,2184940
51,1497,2 14 10,27.5,2184638
52,1497,2 15 9,27.5,2184638
53,1497,2 13 11,27.5,2184536
54,1497,2 12 12,27.5,2184333
55,1500,0 3 13,28.5,2184201
56,1497,2 11 13,27.5,2184029
57,1496,1 13 9,28,2183988
58,1496,1 14 8,28,2183988
59,1496,1 12 10,28,2183886
60,1496,1 15 7,28,2183886
61,1496,1 11 11,28,2183681
62,1497,2 10 14,27.5,2183623
63,1495,1 10 12,28,2183374
64,1500,0 2 14,28.5,2183356
65,1496,2 9 15,27.5,2183116
66,1495,1 9 13,28,2182964
67,1497,4 15 14,27,2182775
68,1497,4 14 15,27,2182527
69,1495,1 8 14,28,2182452
70,1499,0 1 15,28.5,2182405
71,1495,1 7 15,28,2181837
72,1490,1 15 10,27.5,2180156
73,1490,1 14 11,27.5,2180106
74,1490,1 13 12,27.5,2179955
75,1490,1 12 13,27.5,2179703
76,1489,0 14 9,28,2179455
77,1489,0 13 10,28,2179404
78,1489,0 15 8,28,2179404
79,1490,1 11 14,27.5,2179350
80,1489,0 12 11,28,2179252
81,1489,0 11 12,28,2178997
82,1490,1 10 15,27.5,2178896
83,1489,0 10 13,28,2178641
84,1500,3 13 9,27.5,2178451
85,1500,3 14 8,27.5,2178451
86,1500,3 12 10,27.5,2178349
87,1500,3 15 7,27.5,2178349
88,1490,3 15 15,27,2178253
89,1489,0 9 14,28,2178183
90,1500,3 11 11,27.5,2178145
91,1500,3 10 12,27.5,2177838
92,1499,2 12 8,28,2177803
93,1499,2 13 7,28,2177803
94,1499,2 11 9,28,2177700
95,1499,2 14 6,28,2177700
96,1488,0 8 15,28,2177624
97,1499,2 10 10,28,2177494
98,1499,2 15 5,28,2177494
99,1500,3 9 13,27.5,2177429
100,1498,2 9 11,28,2177185
101,1499,3 8 14,27.5,2176919
102,1500,5 15 12,27,2176792
103,1498,2 8 12,28,2176772
104,1500,5 14 13,27,2176642
105,1497,0 10 5,28.5,2176437
106,1500,5 13 14,27,2176393
107,1497,0 9 6,28.5,2176384
108,1497,0 11 4,28.5,2176384
109,1499,3 7 15,27.5,2176305
110,1498,2 7 13,28,2176256
111,1497,0 8 7,28.5,2176226
112,1497,0 12 3,28.5,2176226
113,1500,5 12 15,27,2176044
114,1497,0 7 8,28.5,2175962
115,1497,0 13 2,28.5,2175962
116,1498,2 6 14,28,2175637
117,1497,0 6 9,28.5,2175592
118,1497,0 14 1,28.5,2175592
119,1497,0 5 10,28.5,2175117
120,1497,0 15 0,28.5,2175117
121,1498,2 5 15,28,2174915
122,1500,0 2 10,29,2174553
123,1497,0 4 11,28.5,2174536
124,1493,2 14 9,27.5,2174135
125,1493,2 13 10,27.5,2174084
126,1493,2 15 8,27.5,2174084
127,1493,2 12 11,27.5,2173932
128,1496,0 3 12,28.5,2173849
129,1500,0 1 11,29,2173802
130,1500,6 15 14,26.5,2173738
131,1493,2 11 12,27.5,2173678
132,1499,6 14 15,26.5,2173491
133,1492,1 13 8,28,2173438
134,1492,1 12 9,28,2173386
135,1492,1 14 7,28,2173386
136,1493,2 10 13,27.5,2173323
137,1492,1 11 10,28,2173233
138,1492,1 15 6,28,2173233
139,1496,0 2 13,28.5,2173057
140,1492,1 10 11,28,2172977
141,1500,0 0 12,29,2172945
142,1493,2 9 14,27.5,2172866
143,1492,1 9 12,28,2172618
144,1493,4 15 13,27,2172478
145,1493,2 8 15,27.5,2172308
146,1493,4 14 14,27,2172280
147,1496,0 1 14,28.5,2172159
148,1492,1 8 13,28,2172157
149,1493,4 13 15,27,2171983
150,1491,1 7 14,28,2171594
151,1495,0 0 15,28.5,2171156
152,1491,1 6 15,28,2170928
153,1500,1 9 4,28.5,2170013
154,1500,1 8 5,28.5,2169960
155,1500,1 10 3,28.5,2169960
156,1500,1 7 6,28.5,2169800
157,1500,1 11 2,28.5,2169800
158,1487,1 14 10,27.5,2169675
159,1487,1 15 9,27.5,2169675
160,1487,1 13 11,27.5,2169574
161,1500,1 6 7,28.5,2169534
162,1500,1 12 1,28.5,2169534
163,1493,5 15 15,26.5,2169432
164,1487,1 12 12,27.5,2169372
165,1500,1 5 8,28.5,2169162
166,1500,1 13 0,28.5,2169162
167,1487,1 11 13,27.5,2169070
168,1485,0 13 9,28,2168926
169,1485,0 14 8,28,2168926
170,1485,0 12 10,28,2168825
171,1485,0 15 7,28,2168825
172,1500,1 4 9,28.5,2168683
173,1486,1 10 14,27.5,2168667
174,1485,0 11 11,28,2168621
175,1485,0 10 12,28,2168316
176,1486,1 9 15,27.5,2168163
177,1500,1 3 10,28.5,2168098
178,1487,3 15 14,27,2168026
179,1496,3 13 8,27.5,2167927
180,1485,0 9 13,28,2167909
181,1496,3 12 9,27.5,2167876
182,1496,3 14 7,27.5,2167876
183,1487,3 14 15,27,2167780
184,1496,3 11 10,27.5,2167723
185,1496,3 15 6,27.5,2167723
186,1500,3 3 15,28,2167693
187,1496,3 10 11,27.5,2167467
188,1499,1 2 11,28.5,2167407
189,1485,0 8 14,28,2167400
190,1495,2 12 7,28,2167231
191,1495,2 11 8,28,2167180
192,1495,2 13 6,28,2167180
193,1496,3 9 12,27.5,2167110
194,1495,2 10 9,28,2167025
195,1495,2 14 5,28,2167025
196,1485,0 7 15,28,2166790
197,1495,2 9 10,28,2166767
198,1495,2 15 4,28,2166767
199,1496,3 8 13,27.5,2166650
200,1499,1 1 12,28.5,2166609
201,1496,5 15 11,27,2166426
202,1495,2 8 11,28,2166406
203,1496,5 14 12,27,2166326
204,1496,5 13 13,27,2166127
205,1496,3 7 14,27.5,2166088
206,1497,0 8 3,29,2166029
207,1497,0 7 4,29,2165975
208,1497,0 9 2,29,2165975
209,1495,2 7 12,28,2165942
210,1496,5 12 14,27,2165828
211,1497,0 6 5,29,2165814
212,1497,0 10 1,29,2165814
213,1494,0 9 5,28.5,2165716
214,1494,0 10 4,28.5,2165716
215,1499,1 0 13,28.5,2165705
216,1494,0 8 6,28.5,2165610
217,1494,0 11 3,28.5,2165610
218,1497,0 5 6,29,2165546
219,1497,0 11 0,29,2165546
220,1496,5 11 15,27,2165429
221,1495,3 6 15,27.5,2165424
222,1493,0 7 7,28.5,2165399
223,1493,0 12 2,28.5,2165399
224,1494,2 6 13,28,2165375
225,1497,0 4 7,29,2165171
226,1493,0 6 8,28.5,2165082
227,1493,0 13 1,28.5,2165082
228,1494,2 5 14,28,2164705
229,1497,0 3 8,29,2164688
230,1493,0 5 9,28.5,2164659
231,1493,0 14 0,28.5,2164659
232,1493,0 4 10,28.5,2164131
233,1497,0 2 9,29,2164098
234,1494,2 4 15,28,2163931
235,1490,2 13 9,27.5,2163632
236,1490,2 14 8,27.5,2163632
237,1490,2 12 10,27.5,2163530
238,1490,2 15 7,27.5,2163530
239,1493,0 3 11,28.5,2163498
240,1496,6 15 13,26.5,2163484
241,1480,2 15 15,27,2163435
242,1497,0 1 10,29,2163402
243,1490,2 11 11,27.5,2163327
244,1496,6 14 14,26.5,2163287
245,1490,2 10 12,27.5,2163023
246,1496,6 13 15,26.5,2162992
247,1488,1 12 8,28,2162887
248,1488,1 13 7,28,2162887
249,1488,1 11 9,28,2162784
250,1488,1 14 6,28,2162784
251,1493,0 2 12,28.5,2162758
252,1489,2 9 13,27.5,2162617
253,1496,0 0 11,29,2162597
254,1488,1 10 10,28,2162580
255,1488,1 15 5,28,2162580
256,1488,1 9 11,28,2162272
257,1490,4 15 12,27,2162182
258,1489,2 8 14,27.5,2162110
259,1490,4 14 13,27,2162034
260,1492,0 1 13,28.5,2161913
261,1488,1 8 12,28,2161863
262,1490,4 13 14,27,2161786
263,1499,4 12 7,27.5,2161535
264,1489,2 7 15,27.5,2161501
265,1499,4 11 8,27.5,2161484
266,1499,4 13 6,27.5,2161484
267,1490,4 12 15,27,2161440
268,1488,1 7 13,28,2161350
269,1499,4 10 9,27.5,2161330
270,1499,4 14 5,27.5,2161330
271,1499,4 9 10,27.5,2161073
272,1499,4 15 4,27.5,2161073
273,1492,0 0 14,28.5,2160962
274,1498,3 11 6,28,2160839
275,1498,3 10 7,28,2160787
276,1498,3 12 5,28,2160787
277,1488,1 6 14,28,2160736
278,1499,4 8 11,27.5,2160712
279,1498,3 9 8,28,2160631
280,1498,3 13 4,28,2160631
281,1498,3 8 9,28,2160372
282,1498,3 14 3,28,2160372
283,1499,4 7 12,27.5,2160250
284,1499,6 14 10,27,2160095
285,1499,6 15 9,27,2160095
286,1487,1 5 15,28,2160019
287,1498,3 7 10,28,2160008
288,1498,3 15 2,28,2160008
