rank,cp,ivs,maxlevel,stat-product
1,1500,0 15 14,22,1611717
2,1500,0 14 15,22,1611059
3,1496,0 15 13,22,1602611
4,1496,0 14 14,22,1602008
5,1495,0 13 15,22,1601295
6,1498,1 15 12,22,1600651
7,1498,1 14 13,22,1600100
8,1498,3 15 15,21.5,1599866
9,1498,1 13 14,22,1599439
10,1497,1 12 15,22,1598668
11,1500,2 14 12,22,1598112
12,1500,4 15 14,21.5,1597917
13,1500,2 13 13,22,1597503
14,1500,4 14 15,21.5,1597265
15,1500,2 12 14,22,1596783
16,1499,2 11 15,22,1595953
17,1492,0 15 12,22,1593506
18,1491,0 14 13,22,1592957
19,1491,2 15 15,21.5,1592787
20,1491,0 13 14,22,1592299
21,1491,0 12 15,22,1591531
22,1494,1 15 11,22,1591505
23,1494,1 14 12,22,1591009
24,1494,3 15 14,21.5,1590878
25,1494,1 13 13,22,1590403
26,1494,3 14 15,21.5,1590228
27,1493,1 12 14,22,1589687
28,1496,2 15 10,22,1589422
29,1500,0 5 15,22.5,1589204
30,1496,2 14 11,22,1588980
31,1496,4 15 13,21.5,1588890
32,1493,1 11 15,22,1588860
33,1496,2 13 12,22,1588426
34,1496,4 14 14,21.5,1588291
35,1496,2 12 13,22,1587762
36,1496,4 13 15,21.5,1587584
37,1499,3 15 9,22,1587258
38,1495,2 11 14,22,1586987
39,1499,3 14 10,22,1586869
40,1499,5 15 12,21.5,1586822
41,1499,0 15 4,22.5,1586571
42,1499,0 14 5,22.5,1586457
43,1498,3 13 11,22,1586369
44,1498,5 14 13,21.5,1586275
45,1499,0 13 6,22.5,1586228
46,1495,2 10 15,22,1586102
47,1499,0 12 7,22.5,1585884
48,1498,3 12 12,22,1585757
49,1485,1 15 15,21.5,1585708
50,1498,5 13 14,21.5,1585620
51,1498,0 11 8,22.5,1585427
52,1498,3 11 13,22,1585035
53,1498,5 12 15,21.5,1584855
54,1498,0 10 9,22.5,1584854
55,1487,0 15 11,22,1584400
56,1497,3 10 14,22,1584201
57,1498,0 9 10,22.5,1584167
58,1487,0 14 12,22,1583906
59,1487,2 15 14,21.5,1583839
60,1500,4 12 11,22,1583672
61,1500,6 13 13,21.5,1583577
62,1497,0 8 11,22.5,1583366
63,1487,0 13 13,22,1583303
64,1497,3 9 15,22,1583256
65,1487,2 14 15,21.5,1583192
66,1500,4 11 12,22,1583002
67,1500,6 12 14,21.5,1582864
68,1500,1 10 8,22.5,1582706
69,1487,0 12 14,22,1582590
70,1497,0 7 12,22.5,1582451
71,1490,1 15 10,22,1582358
72,1500,4 10 13,22,1582221
73,1500,1 9 9,22.5,1582073
74,1500,6 11 15,21.5,1582041
75,1490,1 14 11,22,1581918
76,1490,3 15 13,21.5,1581890
77,1486,0 11 15,22,1581767
78,1497,0 6 13,22.5,1581420
79,1489,1 13 12,22,1581367
80,1499,4 9 14,22,1581327
81,1500,1 8 10,22.5,1581326
82,1489,3 14 14,21.5,1581295
83,1489,1 12 13,22,1580705
84,1489,3 13 15,21.5,1580591
85,1499,1 7 11,22.5,1580464
86,1499,4 8 15,22,1580322
87,1496,0 5 14,22.5,1580276
88,1492,2 15 9,22,1580235
89,1489,1 11 14,22,1579934
90,1492,4 15 12,21.5,1579862
91,1492,2 14 10,22,1579848
92,1499,1 6 12,22.5,1579486
93,1492,2 13 11,22,1579349
94,1500,10 15 15,21,1579330
95,1492,4 14 13,21.5,1579318
96,1488,1 10 15,22,1579052
97,1495,0 4 15,22.5,1579017
98,1491,2 12 12,22,1578741
99,1491,4 13 14,21.5,1578665
100,1478,0 15 15,21.5,1578629
101,1498,1 5 13,22.5,1578394
102,1494,3 15 8,22,1578030
103,1491,2 11 13,22,1578021
104,1491,4 12 15,21.5,1577904
105,1494,5 15 11,21.5,1577754
106,1494,3 14 9,22,1577696
107,1494,5 14 12,21.5,1577262
108,1494,3 13 10,22,1577252
109,1491,2 10 14,22,1577191
110,1498,1 4 14,22.5,1577187
111,1494,0 15 3,22.5,1577071
112,1494,0 14 4,22.5,1577014
113,1500,0 11 3,23,1576872
114,1494,0 13 5,22.5,1576842
115,1481,1 15 14,21.5,1576800
116,1494,3 12 11,22,1576696
117,1494,5 13 13,21.5,1576662
118,1500,0 10 4,23,1576578
119,1494,0 12 6,22.5,1576556
120,1490,2 9 15,22,1576250
121,1500,0 9 5,23,1576168
122,1480,1 14 15,21.5,1576156
123,1494,0 11 7,22.5,1576155
124,1500,0 0 15,23,1576051
125,1493,3 11 12,22,1576029
126,1493,5 12 14,21.5,1575951
127,1497,1 3 15,22.5,1575865
128,1497,4 15 7,22,1575743
129,1500,0 8 6,23,1575640
130,1494,0 10 8,22.5,1575640
131,1496,6 15 10,21.5,1575567
132,1496,4 14 8,22,1575464
133,1483,0 15 10,22,1575294
134,1500,2 4 13,22.5,1575277
135,1493,3 10 13,22,1575250
136,1493,5 11 15,21.5,1575132
137,1496,6 14 11,21.5,1575128
138,1496,4 13 9,22,1575073
139,1493,0 9 9,22.5,1575010
140,1500,0 7 7,23,1574995
141,1483,2 15 13,21.5,1574891
142,1483,0 14 11,22,1574855
143,1497,1 14 3,22.5,1574600
144,1497,1 15 2,22.5,1574600
145,1496,6 13 12,21.5,1574579
146,1496,4 12 10,22,1574571
147,1497,1 13 4,22.5,1574485
148,1493,3 9 14,22,1574361
149,1483,0 13 12,22,1574307
150,1483,2 14 14,21.5,1574298
151,1493,0 8 10,22.5,1574266
152,1496,1 12 5,22.5,1574255
153,1499,0 6 8,23,1574233
154,1500,2 3 14,22.5,1574007
155,1496,4 11 11,22,1573957
156,1496,6 12 13,21.5,1573921
157,1496,1 11 6,22.5,1573910
158,1482,0 12 13,22,1573649
159,1482,2 13 15,21.5,1573597
160,1496,1 10 7,22.5,1573450
161,1493,0 7 11,22.5,1573408
162,1499,5 15 6,22,1573375
163,1492,3 8 15,22,1573360
164,1499,0 5 9,23,1573353
165,1499,7 15 9,21.5,1573300
166,1495,4 10 12,22,1573231
167,1485,1 15 9,22,1573212
168,1495,6 11 14,21.5,1573153
169,1499,5 14 7,22,1573151
170,1498,7 14 10,21.5,1572914
171,1485,3 15 12,21.5,1572902
172,1482,0 11 14,22,1572881
173,1496,1 9 8,22.5,1572875
174,1485,1 14 10,22,1572826
175,1498,5 13 8,22,1572814
176,1499,2 2 15,22.5,1572621
177,1494,9 15 15,21,1572552
178,1492,0 6 12,22.5,1572435
179,1498,7 13 11,21.5,1572418
180,1495,4 9 13,22,1572393
181,1498,5 12 9,22,1572366
182,1485,3 14 13,21.5,1572361
183,1498,0 4 10,23,1572356
184,1485,1 13 11,22,1572330
