rank,cp,ivs,maxlevel,stat-product
1,1499,2 15 14,27.0,1384112
2,1500,3 14 14,27.0,1379497
3,1493,1 15 14,27.0,1378197
4,1498,1 15 15,27.0,1378197
5,1497,0 13 13,27.5,1376507
6,1500,3 15 13,27.0,1375081
7,1500,4 13 14,27.0,1374792
8,1493,2 14 14,27.0,1373626
9,1499,2 14 15,27.0,1373626
10,1497,1 15 10,27.5,1373521
11,1500,0 9 13,28.0,1373039
12,1486,0 15 14,27.0,1372282
13,1492,0 15 15,27.0,1372282
14,1497,0 14 12,27.5,1372180
15,1497,1 12 13,27.5,1371806
16,1500,4 14 13,27.0,1370470
17,1496,0 11 15,27.5,1369903
18,1493,2 15 13,27.0,1369229
19,1500,0 10 12,28.0,1369213
20,1494,3 13 14,27.0,1368966
21,1500,3 13 15,27.0,1368966
22,1498,2 14 10,27.5,1368966
23,1487,1 14 14,27.0,1367756
24,1492,1 14 15,27.0,1367756
25,1491,0 15 10,27.5,1367626
26,1497,0 15 11,27.5,1367626
27,1497,1 13 12,27.5,1367575
28,1498,2 11 13,27.5,1367014
29,1496,6 15 14,26.5,1366823
30,1491,0 12 13,27.5,1365918
31,1496,0 12 14,27.5,1365918
32,1499,0 7 15,28.0,1365619
33,1497,1 10 15,27.5,1365059
34,1494,3 14 13,27.0,1364663
35,1499,3 13 10,27.5,1364321
36,1498,2 15 9,27.5,1364258
37,1495,4 12 14,27.0,1364216
38,1500,4 12 15,27.0,1364216
39,1487,1 15 13,27.0,1363378
40,1488,2 13 14,27.0,1363141
41,1493,2 13 15,27.0,1363141
42,1492,1 14 10,27.5,1363116
43,1497,1 14 11,27.5,1363116
44,1498,2 12 12,27.5,1362880
45,1497,7 14 14,26.5,1362167
46,1494,0 8 13,28.0,1362142
47,1500,0 8 14,28.0,1362142
48,1498,3 10 13,27.5,1362130
49,1495,0 15 6,28.0,1361910
50,1500,0 15 7,28.0,1361910
51,1481,0 14 14,27.0,1361886
52,1486,0 14 15,27.0,1361886
53,1491,0 13 12,27.5,1361706
54,1491,1 11 13,27.5,1361172
55,1497,1 11 14,27.5,1361172
56,1490,5 15 14,26.5,1361080
57,1496,5 15 15,26.5,1361080
58,1495,0 12 9,28.0,1360866
59,1500,1 6 15,28.0,1360445
60,1494,3 15 12,27.0,1360134
61,1497,2 9 15,27.5,1360123
62,1495,4 13 13,27.0,1360009
63,1499,3 14 9,27.5,1359708
64,1499,4 12 10,27.5,1359588
65,1495,5 11 14,27.0,1359377
66,1490,0 10 15,27.5,1359201
67,1488,2 14 13,27.0,1358856
68,1492,2 13 10,27.5,1358516
69,1498,2 13 11,27.5,1358516
70,1488,3 12 14,27.0,1358436
71,1494,3 12 15,27.0,1358436
72,1495,0 9 12,28.0,1358432
73,1492,1 15 9,27.5,1358427
74,1499,3 11 12,27.5,1358094
75,1497,7 15 13,26.5,1357646
76,1481,0 15 13,27.0,1357526
77,1497,8 13 14,26.5,1357425
78,1495,1 14 6,28.0,1357418
79,1481,1 13 14,27.0,1357315
80,1487,1 13 15,27.0,1357315
81,1485,0 14 10,27.5,1357265
82,1491,0 14 11,27.5,1357265
83,1499,4 9 13,27.5,1357155
84,1495,1 7 13,28.0,1357069
85,1500,1 7 14,28.0,1357069
86,1492,1 12 12,27.5,1357055
87,1495,5 15 10,27.0,1356636
88,1491,6 14 14,26.5,1356468
89,1496,6 14 15,26.5,1356468
90,1495,0 13 8,28.0,1356345
91,1492,2 10 13,27.5,1356334
92,1498,2 10 14,27.5,1356334
93,1496,1 11 9,28.0,1356137
94,1495,4 14 12,27.0,1355574
95,1484,4 15 14,26.5,1355337
96,1489,4 15 15,26.5,1355337
97,1485,0 11 13,27.5,1355330
98,1491,0 11 14,27.5,1355330
99,1495,5 12 13,27.0,1355266
100,1500,2 5 15,28.0,1355176
101,1498,3 8 15,27.5,1355095
102,1499,4 13 9,27.5,1355071
103,1497,0 15 2,28.5,1355068
104,1499,3 15 8,27.5,1354865
105,1500,5 11 10,27.5,1354764
106,1498,0 12 5,28.5,1354714
107,1493,0 6 15,28.0,1354606
108,1495,0 10 11,28.0,1354490
109,1495,6 10 14,27.0,1354448
110,1488,2 15 12,27.0,1354346
111,1499,11 15 14,26.0,1354335
112,1491,1 9 15,27.5,1354311
113,1488,3 13 13,27.0,1354246
114,1498,9 15 11,26.5,1353963
115,1492,2 14 9,27.5,1353922
116,1493,3 12 10,27.5,1353827
117,1499,3 12 11,27.5,1353827
118,1489,4 11 14,27.0,1353641
119,1494,4 11 15,27.0,1353641
120,1495,1 8 12,28.0,1353460
121,1499,4 10 12,27.5,1353218
122,1497,0 5 12,28.5,1353180
123,1481,1 14 13,27.0,1353049
124,1498,8 14 13,26.5,1352999
125,1498,0 9 8,28.5,1352944
126,1496,2 13 6,28.0,1352837
127,1486,1 13 10,27.5,1352710
128,1492,1 13 11,27.5,1352710
129,1482,2 12 14,27.0,1352655
130,1487,2 12 15,27.0,1352655
131,1485,0 15 9,27.5,1352597
132,1498,9 12 14,26.5,1352596
133,1495,1 15 5,28.0,1352412
134,1492,2 11 12,27.5,1352315
135,1499,5 8 13,27.5,1352089
136,1496,6 14 10,27.0,1352039
137,1491,6 15 13,26.5,1351966
138,1495,2 6 13,28.0,1351902
139,1491,7 13 14,26.5,1351769
140,1497,7 13 15,26.5,1351769
141,1496,1 12 8,28.0,1351713
