rank,cp,ivs,maxlevel,stat-product
1,1498,0 9 15,20.0,1562307
2,1499,0 13 12,20.0,1561964
3,1497,0 15 10,20.0,1561279
4,1500,1 8 15,20.0,1560560
5,1500,1 14 10,20.0,1559786
6,1497,3 15 14,19.5,1557862
7,1499,4 14 14,19.5,1556292
8,1497,0 10 14,20.0,1554170
9,1494,0 8 15,20.0,1554084
10,1500,5 15 12,19.5,1553975
11,1495,0 12 12,20.0,1553913
12,1500,0 12 13,20.0,1553913
13,1493,0 14 10,20.0,1553313
14,1498,0 14 11,20.0,1553313
15,1499,1 9 14,20.0,1552475
16,1496,1 7 15,20.0,1552303
17,1498,1 11 12,20.0,1552303
18,1496,1 13 10,20.0,1551787
19,1491,2 15 14,19.5,1551451
20,1495,2 15 15,19.5,1551451
21,1499,1 15 9,20.0,1550927
22,1500,2 10 12,20.0,1550625
23,1498,2 6 15,20.0,1550453
24,1498,2 12 10,20.0,1550194
25,1493,3 14 14,19.5,1549914
26,1498,3 14 15,19.5,1549914
27,1500,0 15 3,20.5,1548675
28,1500,3 11 10,20.0,1548534
29,1500,3 5 15,20.0,1548534
30,1495,4 13 14,19.5,1548311
31,1500,4 13 15,19.5,1548311
32,1494,4 15 12,19.5,1547632
33,1498,4 15 13,19.5,1547632
34,1498,5 12 14,19.5,1546643
35,1496,5 14 12,19.5,1546046
36,1493,0 9 14,20.0,1546033
37,1490,0 7 15,20.0,1545862
38,1491,0 11 12,20.0,1545862
39,1496,0 11 13,20.0,1545862
40,1490,0 13 10,20.0,1545348
41,1494,0 13 11,20.0,1545348
42,1485,1 15 14,19.5,1545040
43,1489,1 15 15,19.5,1545040
44,1500,6 11 14,19.5,1544910
45,1492,0 15 9,20.0,1544491
46,1498,6 13 12,19.5,1544396
47,1495,1 8 14,20.0,1544304
48,1494,1 10 12,20.0,1544218
49,1498,1 10 13,20.0,1544218
50,1492,1 6 15,20.0,1544046
51,1492,1 12 10,20.0,1543788
52,1497,1 12 11,20.0,1543788
53,1496,6 15 10,19.5,1543540
54,1487,2 14 14,19.5,1543536
55,1492,2 14 15,19.5,1543536
56,1499,0 6 10,20.5,1543232
57,1497,0 8 8,20.5,1543144
58,1495,1 14 9,20.0,1543014
59,1500,0 4 12,20.5,1542968
60,1500,0 10 7,20.5,1542705
61,1500,7 12 12,19.5,1542681
62,1497,2 7 14,20.0,1542507
63,1496,2 9 12,20.0,1542507
64,1497,0 2 13,20.5,1542354
65,1494,2 11 10,20.0,1542161
66,1494,2 5 15,20.0,1542161
67,1499,2 11 11,20.0,1542161
68,1489,3 13 14,19.5,1541966
69,1494,3 13 15,19.5,1541966
70,1498,0 12 5,20.5,1541915
71,1499,7 14 10,19.5,1541907
72,1497,2 13 9,20.0,1541471
73,1498,0 0 15,20.5,1541388
74,1500,1 7 8,20.5,1541375
75,1487,3 15 12,19.5,1541289
76,1492,3 15 13,19.5,1541289
77,1496,0 14 3,20.5,1540774
78,1498,3 8 12,20.0,1540729
79,1500,3 6 14,20.0,1540642
80,1496,3 10 10,20.0,1540469
81,1495,2 15 7,20.0,1540434
82,1500,2 15 8,20.0,1540434
83,1491,4 12 14,19.5,1540330
84,1496,4 12 15,19.5,1540330
85,1499,1 1 13,20.5,1540317
86,1496,3 4 15,20.0,1540209
87,1499,3 12 9,20.0,1539862
88,1490,4 14 12,19.5,1539736
89,1495,4 14 13,19.5,1539736
90,1498,1 13 3,20.5,1539259
91,1497,3 14 7,20.0,1538908
92,1500,4 7 12,20.0,1538884
93,1495,9 15 14,19.0,1538864
94,1499,9 15 15,19.0,1538864
95,1499,4 9 10,20.0,1538710
96,1478,0 15 14,19.5,1538629
97,1483,0 15 15,19.5,1538629
98,1494,5 11 14,19.5,1538629
99,1498,5 11 15,19.5,1538629
100,1498,4 3 15,20.0,1538187
101,1492,5 13 12,19.5,1538118
102,1497,5 13 13,19.5,1538118
103,1489,0 8 14,20.0,1537896
104,1487,0 10 12,20.0,1537810
105,1492,0 10 13,20.0,1537810
106,1486,0 6 15,20.0,1537639
107,1486,0 12 10,20.0,1537382
108,1490,0 12 11,20.0,1537382
109,1500,4 13 7,20.0,1537316
110,1490,5 15 10,19.5,1537265
111,1495,5 15 11,19.5,1537265
112,1497,10 14 14,19.0,1537162
113,1481,1 14 14,19.5,1537157
114,1485,1 14 15,19.5,1537157
115,1496,6 10 14,19.5,1536863
116,1489,0 14 9,20.0,1536611
117,1494,6 12 12,19.5,1536435
118,1499,6 12 13,19.5,1536435
119,1490,1 9 12,20.0,1536133
120,1491,1 7 14,20.0,1536133
121,1494,1 9 13,20.0,1536133
122,1498,4 15 5,20.0,1536097
123,1500,5 2 15,20.0,1536097
124,1488,1 5 15,20.0,1535789
125,1488,1 11 10,20.0,1535789
126,1493,1 11 11,20.0,1535789
127,1492,6 14 10,19.5,1535665
128,1497,6 14 11,19.5,1535665
129,1483,2 13 14,19.5,1535620
130,1488,2 13 15,19.5,1535620
131,1499,11 13 14,19.0,1535396
132,1491,1 13 9,20.0,1535101
133,1498,7 9 14,19.5,1535031
134,1495,0 5 10,20.5,1534979
135,1500,0 5 11,20.5,1534979
136,1493,0 7 8,20.5,1534979
137,1498,0 7 9,20.5,1534979
138,1481,2 15 12,19.5,1534947
139,1486,2 15 13,19.5,1534947
140,1496,7 11 12,19.5,1534688
141,1496,0 3 12,20.5,1534628
142,1496,0 9 7,20.5,1534628
143,1497,11 15 12,19.0,1534545
144,1500,5 14 5,20.0,1534523
145,1492,2 8 12,20.0,1534388
146,1497,2 8 13,20.0,1534388
147,1493,2 6 14,20.0,1534302
148,1490,2 10 10,20.0,1534129
149,1495,2 10 11,20.0,1534129
150,1489,1 15 7,20.0,1534069
151,1494,1 15 8,20.0,1534069
152,1485,3 12 14,19.5,1534017
153,1490,3 12 15,19.5,1534017
154,1495,7 13 10,19.5,1534000
155,1499,7 13 11,19.5,1534000
156,1493,0 1 13,20.5,1533926
157,1498,0 1 14,20.5,1533926
158,1494,0 11 5,20.5,1533926
159,1499,0 11 6,20.5,1533926
160,1490,2 4 15,20.0,1533870
161,1493,2 12 9,20.0,1533525
162,1484,3 14 12,19.5,1533426
163,1488,3 14 13,19.5,1533426
164,1496,1 6 8,20.5,1533176
165,1500,1 6 9,20.5,1533176
166,1500,8 8 14,19.5,1533134
167,1497,1 4 10,20.5,1533088
168,1498,7 15 9,19.5,1532969
169,1499,1 8 7,20.5,1532912
170,1499,8 10 12,19.5,1532875
171,1492,0 13 3,20.5,1532872
172,1497,0 13 4,20.5,1532872
173,1499,12 14 12,19.0,1532798
174,1489,8 15 14,19.0,1532684
175,1493,8 15 15,19.0,1532684
176,1499,1 2 12,20.5,1532647
177,1494,3 7 12,20.0,1532577
178,1499,3 7 13,20.0,1532577
179,1491,2 14 7,20.0,1532575
180,1496,2 14 8,20.0,1532575
181,1496,3 5 14,20.0,1532403
182,1493,3 9 10,20.0,1532403
183,1497,3 9 11,20.0,1532403
184,1488,4 11 14,19.5,1532349
185,1492,4 11 15,19.5,1532349
186,1497,1 10 5,20.5,1532295
187,1497,8 12 10,19.5,1532271
188,1496,3 11 9,20.0,1531883
189,1492,3 3 15,20.0,1531883
190,1495,1 0 13,20.5,1531854
191,1500,1 0 14,20.5,1531854
192,1486,4 13 12,19.5,1531840
193,1491,4 13 13,19.5,1531840
194,1500,6 15 3,20.0,1531481
195,1495,0 15 2,20.5,1531467
196,1494,1 12 3,20.5,1531325
197,1500,1 12 4,20.5,1531325
198,1500,8 14 9,19.5,1531322
199,1498,2 5 8,20.5,1531305
200,1499,2 3 10,20.5,1531128
201,1494,3 13 7,20.0,1531016
202,1498,3 13 8,20.0,1531016
203,1491,9 14 14,19.0,1531013
204,1495,9 14 15,19.0,1531013
205,1484,4 15 10,19.5,1530991
206,1489,4 15 11,19.5,1530991
207,1475,0 14 14,19.5,1530779
208,1479,0 14 15,19.5,1530779
209,1496,4 6 12,20.0,1530698
210,1499,0 2 6,21.0,1530633
211,1490,5 10 14,19.5,1530616
212,1494,5 10 15,19.5,1530616
213,1495,4 8 10,20.0,1530611
214,1500,4 8 11,20.0,1530611
215,1499,2 9 5,20.5,1530597
216,1499,9 11 10,19.5,1530479
217,1498,4 4 14,20.0,1530437
218,1488,5 12 12,19.5,1530189
219,1493,5 12 13,19.5,1530189
220,1498,4 10 9,20.0,1530176
221,1497,1 14 2,20.5,1530002
222,1494,4 2 15,20.0,1529827
223,1491,3 15 5,20.0,1529802
224,1496,3 15 6,20.0,1529802
225,1485,0 7 14,20.0,1529759
226,1484,0 9 12,20.0,1529759
227,1488,0 9 13,20.0,1529759
228,1497,2 11 3,20.5,1529712
229,1486,5 14 10,19.5,1529422
230,1491,5 14 11,19.5,1529422
231,1482,0 5 15,20.0,1529416
232,1482,0 11 10,20.0,1529416
233,1487,0 11 11,20.0,1529416
234,1496,4 12 7,20.0,1529392
235,1500,3 4 8,20.5,1529366
236,1493,10 13 14,19.0,1529279
237,1498,10 13 15,19.0,1529279
238,1477,1 13 14,19.5,1529275
239,1482,1 13 15,19.5,1529275
240,1492,6 9 14,19.5,1528817
241,1497,6 9 15,19.5,1528817
242,1498,5 5 12,20.0,1528753
243,1497,5 7 10,20.0,1528753
244,1485,0 13 9,20.0,1528731
245,1475,1 15 12,19.5,1528604
246,1480,1 15 13,19.5,1528604
247,1490,6 11 12,19.5,1528474
248,1495,6 11 13,19.5,1528474
249,1500,2 13 2,20.5,1528472
250,1491,10 15 12,19.0,1528431
251,1496,10 15 13,19.0,1528431
252,1500,5 3 14,20.0,1528403
253,1500,5 9 9,20.0,1528403
254,1500,9 15 7,19.5,1528399
255,1494,4 14 5,20.0,1528260
256,1499,4 14 6,20.0,1528260
257,1486,1 8 12,20.0,1528048
258,1490,1 8 13,20.0,1528048
259,1499,3 10 3,20.5,1528033
260,1487,1 6 14,20.0,1527962
261,1484,1 10 10,20.0,1527790
262,1489,1 10 11,20.0,1527790
263,1489,6 13 10,19.5,1527790
264,1493,6 13 11,19.5,1527790
265,1479,2 12 14,19.5,1527705
266,1484,2 12 15,19.5,1527705
267,1496,5 1 15,20.0,1527703
268,1483,0 15 7,20.0,1527703
269,1488,0 15 8,20.0,1527703
270,1498,5 11 7,20.0,1527703
271,1484,1 4 15,20.0,1527532
272,1495,11 12 14,19.0,1527481
273,1500,11 12 15,19.0,1527481
274,1487,1 12 9,20.0,1527188
275,1478,2 14 12,19.5,1527115
276,1482,2 14 13,19.5,1527115
277,1494,7 8 14,19.5,1526952
278,1499,7 8 15,19.5,1526952
279,1497,2 15 0,20.5,1526879
280,1499,6 6 10,20.0,1526827
281,1489,0 6 8,20.5,1526814
282,1494,0 6 9,20.5,1526814
283,1491,6 15 9,19.5,1526762
284,1500,6 4 12,20.0,1526740
285,1491,0 4 10,20.5,1526727
286,1496,0 4 11,20.5,1526727
287,1493,11 14 12,19.0,1526716
288,1498,11 14 13,19.0,1526716
289,1493,7 10 12,19.5,1526694
290,1497,7 10 13,19.5,1526694
291,1496,5 13 5,20.0,1526654
292,1492,0 8 7,20.5,1526551
293,1483,7 15 14,19.0,1526504
294,1487,7 15 15,19.0,1526504
295,1492,0 2 12,20.5,1526288
296,1488,2 7 12,20.0,1526270
297,1493,2 7 13,20.0,1526270
298,1485,1 14 7,20.0,1526242
299,1490,1 14 8,20.0,1526242
300,1489,2 5 14,20.0,1526097
301,1486,2 9 10,20.0,1526097
302,1491,2 9 11,20.0,1526097
303,1491,7 12 10,19.5,1526093
304,1496,7 12 11,19.5,1526093
305,1482,3 11 14,19.5,1526069
306,1486,3 11 15,19.5,1526069
307,1500,6 10 7,20.0,1525950
308,1490,0 10 5,20.5,1525936
309,1495,0 10 6,20.5,1525936
310,1497,12 11 14,19.0,1525621
311,1489,2 11 9,20.0,1525579
312,1486,2 3 15,20.0,1525579
313,1480,3 13 12,19.5,1525562
314,1485,3 13 13,19.5,1525562
315,1498,6 0 15,20.0,1525511
316,1489,0 0 13,20.5,1525497
317,1494,0 0 14,20.5,1525497
318,1499,3 14 0,20.5,1525366
319,1494,5 15 3,20.0,1525255
320,1499,5 15 4,20.0,1525255
