rank,cp,ivs,maxlevel,stat-product
1,1496,0 15 15,20.5,1564108
2,1498,1 15 14,20.5,1562336
3,1497,1 14 15,20.5,1560857
4,1500,2 15 13,20.5,1560493
5,1500,0 10 15,21,1559062
6,1499,2 14 14,20.5,1559061
7,1500,0 15 9,21,1558033
8,1499,2 13 15,20.5,1557522
9,1499,0 14 10,21,1556788
10,1492,0 15 14,20.5,1555744
11,1499,0 13 11,21,1555434
12,1491,0 14 15,20.5,1554271
13,1500,3 12 15,20.5,1554104
14,1498,0 12 12,21,1553973
15,1494,1 15 13,20.5,1553937
16,1493,1 14 14,20.5,1552510
17,1497,0 11 13,21,1552403
18,1500,1 12 11,21,1552076
19,1496,2 15 12,20.5,1552058
20,1492,1 13 15,20.5,1550978
21,1496,0 10 14,21,1550724
22,1495,2 14 13,20.5,1550679
23,1499,1 11 12,21,1550554
24,1498,3 15 11,20.5,1550109
25,1496,0 15 8,21,1549425
26,1495,2 13 14,20.5,1549193
27,1495,0 9 15,21,1548938
28,1499,1 10 13,21,1548923
29,1498,3 14 12,20.5,1548777
30,1495,0 14 9,21,1548234
31,1500,4 15 10,20.5,1548089
32,1494,2 12 15,20.5,1547602
33,1488,0 15 13,20.5,1547380
34,1498,1 15 7,21,1547346
35,1497,3 13 13,20.5,1547339
36,1498,1 9 14,21,1547183
37,1494,0 13 10,21,1546935
38,1500,4 14 11,20.5,1546805
39,1497,1 14 8,21,1546204
40,1487,0 14 14,20.5,1545960
41,1496,3 12 14,20.5,1545794
42,1490,1 15 12,20.5,1545537
43,1494,0 12 11,21,1545527
44,1499,4 13 12,20.5,1545414
45,1500,2 9 13,21,1545358
46,1497,1 8 15,21,1545334
47,1500,2 15 6,21,1545194
48,1497,1 13 9,21,1544954
49,1486,0 13 15,20.5,1544434
50,1489,1 14 13,20.5,1544163
51,1495,3 11 15,20.5,1544142
52,1499,2 14 7,21,1544102
53,1493,0 11 12,21,1544011
54,1498,4 12 13,20.5,1543916
55,1492,2 15 11,20.5,1543623
56,1496,1 12 10,21,1543595
57,1499,2 8 14,21,1543556
58,1499,2 13 8,21,1542901
59,1488,1 13 14,20.5,1542684
60,1492,0 10 13,21,1542387
61,1498,4 11 14,20.5,1542311
62,1491,2 14 12,20.5,1542297
63,1495,1 11 11,21,1542127
64,1498,2 7 15,21,1541645
65,1494,3 15 10,20.5,1541638
66,1498,2 12 9,21,1541591
67,1488,1 12 15,20.5,1541099
68,1491,2 13 13,20.5,1540864
69,1491,0 15 7,21,1540817
70,1491,0 9 14,21,1540655
71,1497,4 10 15,20.5,1540599
72,1495,1 10 12,21,1540550
73,1495,7 15 15,20,1540425
74,1500,5 11 13,20.5,1540411
75,1494,3 14 11,20.5,1540360
76,1497,2 11 10,21,1540171
77,1500,3 7 14,21,1539844
78,1491,0 14 8,21,1539680
79,1496,4 15 9,20.5,1539583
80,1500,3 12 8,21,1539515
81,1490,2 12 14,20.5,1539326
82,1483,0 15 12,20.5,1539016
83,1493,3 13 12,20.5,1538975
84,1494,1 9 13,21,1538865
85,1491,0 8 15,21,1538814
86,1499,5 10 14,20.5,1538745
87,1494,1 15 6,21,1538702
88,1497,2 10 11,21,1538643
89,1497,8 15 14,20,1538493
90,1490,0 13 9,21,1538435
91,1496,4 14 10,20.5,1538352
92,1500,3 11 9,21,1538144
93,1499,3 6 15,21,1537870
94,1489,2 11 15,20.5,1537681
95,1483,0 14 13,20.5,1537648
96,1493,1 14 7,21,1537614
97,1492,3 12 13,20.5,1537483
98,1498,5 15 8,20.5,1537456
99,1486,1 15 11,20.5,1537137
100,1490,0 12 10,21,1537082
101,1493,1 8 14,21,1537071
102,1496,8 14 15,20,1537036
103,1495,4 13 11,20.5,1537015
104,1496,2 9 12,21,1537005
105,1498,5 9 15,20.5,1536973
106,1500,0 7 8,21.5,1536769
107,1499,3 10 10,21,1536664
108,1500,0 14 0,21.5,1536543
109,1496,2 15 5,21,1536513
110,1499,9 15 13,20,1536493
111,1493,1 13 8,21,1536418
112,1498,5 14 9,20.5,1536274
113,1482,0 13 14,20.5,1536175
114,1491,3 11 14,20.5,1535885
115,1485,1 14 12,20.5,1535817
116,1500,0 13 1,21.5,1535695
117,1489,0 11 11,21,1535620
118,1494,4 12 12,20.5,1535570
119,1495,2 14 6,21,1535476
120,1500,0 2 14,21.5,1535412
121,1500,6 15 7,20.5,1535259
122,1495,2 8 13,21,1535258
123,1488,2 15 10,20.5,1535188
124,1492,1 7 15,21,1535168
125,1492,1 12 9,21,1535113
126,1500,6 9 14,20.5,1535097
127,1498,9 14 14,20,1535082
128,1498,3 9 11,21,1535074
129,1500,0 6 9,21.5,1535073
130,1497,5 13 10,20.5,1534985
131,1499,0 12 2,21.5,1534733
132,1481,0 12 15,20.5,1534597
133,1484,1 13 13,20.5,1534390
134,1495,2 13 7,21,1534329
135,1498,3 15 4,21,1534252
136,1491,3 10 15,20.5,1534180
137,1500,6 14 8,20.5,1534126
138,1489,6 15 15,20,1534086
139,1488,0 10 12,21,1534050
140,1494,4 11 13,20.5,1534019
141,1487,2 14 11,20.5,1533915
142,1491,1 11 10,21,1533700
143,1499,0 11 3,21.5,1533659
144,1496,5 12 11,20.5,1533588
145,1498,9 13 15,20,1533567
146,1494,2 7 14,21,1533401
147,1497,3 8 12,21,1533375
148,1497,3 14 5,21,1533265
149,1499,0 5 10,21.5,1533263
150,1499,6 8 15,20.5,1533263
151,1490,3 15 9,20.5,1533168
152,1499,0 1 15,21.5,1533094
153,1494,2 12 8,21,1533074
154,1500,4 9 10,21,1533074
155,1500,10 14 13,20,1533061
156,1499,6 13 9,20.5,1532885
157,1484,1 12 14,20.5,1532858
158,1487,2 13 12,20.5,1532535
159,1498,0 10 4,21.5,1532472
160,1487,0 9 13,21,1532372
