rank,cp,ivs,maxlevel,stat-product
1,1494,0 15 14,28.0,1783037
2,1498,0 15 15,28.0,1783037
3,1499,1 15 13,28.0,1780658
4,1497,1 14 14,28.0,1780302
5,1473,2 15 11,28.0,1778140
6,1473,2 13 14,28.0,1777424
7,1498,0 15 8,28.5,1777053
8,1474,0 14 10,28.5,1776873
9,1499,0 13 11,28.5,1776513
10,1497,0 12 12,28.5,1775973
11,1499,0 11 14,28.5,1775252
12,1497,0 10 15,28.5,1774352
13,1474,1 11 12,28.5,1772970
14,1474,1 9 15,28.5,1771159
15,1491,0 15 13,28.0,1770654
16,1489,0 14 14,28.0,1770301
17,1492,0 14 15,28.0,1770301
18,1496,3 15 15,27.5,1768482
19,1492,1 15 11,28.0,1768206
20,1495,1 15 12,28.0,1768206
21,1494,1 14 13,28.0,1767939
22,1492,1 13 14,28.0,1767494
23,1496,1 13 15,28.0,1767494
24,1497,4 15 13,27.5,1765871
25,1496,2 15 10,28.0,1765617
26,1499,4 14 15,27.5,1765605
27,1495,2 14 11,28.0,1765439
28,1498,2 14 12,28.0,1765439
29,1499,0 7 13,29.0,1765386
30,1497,2 13 13,28.0,1765081
31,1495,2 12 14,28.0,1764544
32,1498,2 12 15,28.0,1764544
33,1495,0 15 7,28.5,1764450
34,1493,0 14 8,28.5,1764360
35,1497,0 14 9,28.5,1764360
36,1495,0 13 10,28.5,1764089
37,1493,0 12 11,28.5,1763639
38,1492,0 11 12,28.5,1763009
39,1495,0 11 13,28.5,1763009
40,1473,5 14 13,27.5,1762944
41,1499,3 14 10,28.0,1762799
42,1497,3 13 11,28.0,1762529
43,1493,0 10 14,28.5,1762199
44,1499,3 12 13,28.0,1762080
45,1498,1 14 7,28.5,1761744
46,1495,1 15 5,28.5,1761744
47,1499,1 15 6,28.5,1761744
48,1496,1 13 8,28.5,1761563
49,1473,1 13 9,28.5,1761563
50,1498,3 11 14,28.0,1761450
51,1492,0 9 15,28.5,1761209
52,1498,1 12 10,28.5,1761201
53,1496,1 11 11,28.5,1760657
54,1495,1 10 12,28.5,1759933
55,1498,1 10 13,28.5,1759933
56,1474,4 12 11,28.0,1759478
57,1496,1 9 14,28.5,1759028
58,1498,2 14 5,28.5,1758987
59,1474,2 15 4,28.5,1758896
60,1488,2 15 15,27.5,1758657
61,1499,2 12 8,28.5,1758622
62,1483,0 15 11,28.0,1758272
63,1487,0 15 12,28.0,1758272
64,1474,4 10 14,28.0,1758212
65,1485,0 14 13,28.0,1758007
66,1494,1 8 15,28.5,1757941
67,1483,0 13 14,28.0,1757565
68,1487,0 13 15,28.0,1757565
69,1499,2 10 11,28.5,1757530
70,1498,0 13 4,29.0,1757142
71,1496,0 14 2,29.0,1757142
72,1474,0 14 3,29.0,1757142
73,1497,0 12 5,29.0,1756959
74,1497,0 15 1,29.0,1756959
75,1497,2 9 12,28.5,1756711
76,1495,0 11 6,29.0,1756592
77,1499,0 11 7,29.0,1756592
78,1489,3 15 13,27.5,1756115
79,1492,3 15 14,27.5,1756115
80,1497,0 10 8,29.0,1756043
81,1491,3 14 15,27.5,1755850
82,1488,1 15 10,28.0,1755754
83,1499,2 8 14,28.5,1755709
84,1486,1 14 11,28.0,1755576
85,1490,1 14 12,28.0,1755576
86,1495,0 9 9,29.0,1755310
87,1499,0 9 10,29.0,1755310
88,1488,1 13 13,28.0,1755220
89,1486,1 12 14,28.0,1754686
90,1490,1 12 15,28.0,1754686
91,1497,2 7 15,28.5,1754526
92,1497,0 8 11,29.0,1754394
93,1499,1 13 2,29.0,1754356
94,1474,1 11 5,29.0,1753988
95,1498,1 10 6,29.0,1753527
96,1493,4 15 12,27.5,1753436
97,1474,3 8 12,28.5,1753342
98,1495,0 7 12,29.0,1753294
99,1492,4 14 13,27.5,1753258
100,1495,4 14 14,27.5,1753258
101,1492,2 15 9,28.0,1753095
102,1491,2 14 10,28.0,1753006
103,1493,6 15 15,27.0,1752936
