rank,cp,ivs,maxlevel,stat-product
1,1498,0 10 15,18.0,1602807
2,1499,0 15 10,18.0,1602331
3,1458,1 9 15,18.0,1600454
4,1499,0 13 12,18.0,1599871
5,1457,4 15 15,17.5,1597725
6,1498,0 11 14,18.0,1597094
7,1459,1 10 14,18.0,1594798
8,1494,0 9 15,18.0,1594000
9,1497,1 15 8,18.0,1593921
10,1495,0 14 10,18.0,1593762
11,1499,0 14 11,18.0,1593762
12,1499,2 14 8,18.0,1591791
13,1496,1 8 15,18.0,1591611
14,1497,1 13 10,18.0,1591611
15,1494,3 15 15,17.5,1591359
16,1495,0 12 12,18.0,1591223
17,1498,0 12 13,18.0,1591223
18,1499,2 12 10,18.0,1589391
19,1498,5 15 13,17.5,1589374
20,1496,4 14 15,17.5,1589181
21,1498,2 7 15,18.0,1589151
22,1497,1 11 12,18.0,1588983
23,1459,1 11 13,18.0,1588983
24,1494,0 10 14,18.0,1588367
25,1491,0 15 8,18.0,1587494
26,1495,0 15 9,18.0,1587494
27,1457,6 14 13,17.5,1587148
28,1498,5 13 15,17.5,1586934
29,1499,2 10 12,18.0,1586672
30,1499,3 6 15,18.0,1586620
31,1496,1 9 14,18.0,1586035
32,1493,1 14 8,18.0,1585398
33,1497,1 14 9,18.0,1585398
34,1499,2 15 7,18.0,1585392
35,1490,0 8 15,18.0,1585194
36,1491,0 13 10,18.0,1585194
37,1495,0 13 11,18.0,1585194
38,1459,0 8 7,18.5,1585177
39,1488,2 15 15,17.5,1584994
40,1457,6 12 15,17.5,1584620
41,1459,3 9 12,18.0,1584291
42,1459,0 13 2,18.5,1583954
43,1498,2 8 14,18.0,1583632
44,1495,2 13 8,18.0,1583233
45,1499,2 13 9,18.0,1583233
46,1492,4 15 13,17.5,1583067
47,1496,4 15 14,17.5,1583067
48,1493,1 12 10,18.0,1583008
49,1497,1 12 11,18.0,1583008
50,1490,3 14 15,17.5,1582850
51,1492,1 7 15,18.0,1582769
52,1491,0 11 12,18.0,1582575
53,1494,0 11 13,18.0,1582575
54,1499,0 6 9,18.5,1582078
55,1459,0 11 4,18.5,1581752
56,1458,3 7 14,18.0,1581159
57,1497,3 12 8,18.0,1580998
58,1497,6 15 11,17.5,1580906
59,1458,6 15 12,17.5,1580906
60,1494,5 14 13,17.5,1580875
61,1498,5 14 14,17.5,1580875
62,1495,2 11 10,18.0,1580753
63,1499,2 11 11,18.0,1580753
64,1492,4 13 15,17.5,1580637
65,1492,1 10 12,18.0,1580300
66,1496,1 10 13,18.0,1580300
67,1493,2 6 15,18.0,1580273
68,1497,0 1 14,18.5,1579958
69,1490,0 9 14,18.0,1579640
70,1459,0 9 6,18.5,1579224
71,1493,1 15 7,18.0,1579025
72,1487,0 14 8,18.0,1579005
73,1491,0 14 9,18.0,1579005
74,1499,4 11 8,18.0,1578696
75,1498,7 14 11,17.5,1578667
76,1498,0 4 11,18.5,1578653
77,1482,1 15 15,17.5,1578629
78,1496,6 13 13,17.5,1578615
79,1457,6 13 14,17.5,1578615
80,1497,3 10 10,18.0,1578429
81,1494,5 12 15,17.5,1578356
82,1494,2 9 12,18.0,1577954
83,1498,2 9 13,18.0,1577954
84,1495,3 5 15,18.0,1577706
85,1459,0 14 1,18.5,1577349
86,1492,1 8 14,18.0,1577272
87,1499,1 0 14,18.5,1577185
88,1495,2 14 7,18.0,1576914
89,1489,1 13 8,18.0,1576874
90,1493,1 13 9,18.0,1576874
91,1487,3 15 13,17.5,1576760
92,1490,3 15 14,17.5,1576760
93,1497,3 15 5,18.0,1576742
94,1487,0 12 10,18.0,1576625
95,1491,0 12 11,18.0,1576625
96,1484,2 14 15,17.5,1576518
97,1486,0 7 15,18.0,1576387
98,1495,0 7 7,18.5,1576370
99,1499,0 7 8,18.5,1576370
100,1457,8 13 11,17.5,1576362
101,1498,7 12 13,17.5,1576288
102,1460,1 3 11,18.5,1576039
103,1499,4 9 10,18.0,1576035
104,1496,6 11 15,17.5,1576008
105,1496,3 8 12,18.0,1575538
106,1458,3 8 13,18.0,1575538
107,1496,0 12 2,18.5,1575392
108,1459,0 12 3,18.5,1575392
109,1497,4 4 15,18.0,1575068
110,1498,0 2 13,18.5,1574902
111,1494,2 7 14,18.0,1574834
112,1497,3 13 7,18.0,1574735
113,1491,2 12 8,18.0,1574675
114,1495,2 12 9,18.0,1574675
115,1491,5 15 11,17.5,1574658
116,1495,5 15 12,17.5,1574658
117,1488,4 14 13,17.5,1574601
118,1492,4 14 14,17.5,1574601
119,1499,4 14 5,18.0,1574584
120,1489,1 11 10,18.0,1574405
121,1493,1 11 11,18.0,1574405
122,1486,3 13 15,17.5,1574340
123,1486,0 10 12,18.0,1573927
124,1490,0 10 13,18.0,1573927
125,1487,1 6 15,18.0,1573927
126,1497,1 6 7,18.5,1573910
127,1457,8 11 13,17.5,1573893
128,1498,7 10 15,17.5,1573591
129,1459,5 8 10,18.0,1573572
130,1495,0 5 9,18.5,1573190
131,1499,0 5 10,18.5,1573190
132,1498,1 11 2,18.5,1573173
133,1496,0 10 4,18.5,1573109
134,1459,0 10 5,18.5,1573109
135,1498,4 7 12,18.0,1573052
136,1487,0 15 7,18.0,1572658
137,1499,4 12 7,18.0,1572488
138,1493,6 14 11,17.5,1572452
139,1496,6 14 12,17.5,1572452
140,1493,3 11 8,18.0,1572406
141,1497,3 11 9,18.0,1572406
142,1490,5 13 13,17.5,1572375
143,1494,5 13 14,17.5,1572375
144,1499,5 3 15,18.0,1572358
145,1496,3 6 14,18.0,1572326
146,1495,7 15 9,17.5,1572322
147,1499,7 15 10,17.5,1572322
148,1476,0 15 15,17.5,1572263
149,1499,1 1 13,18.5,1572191
150,1456,12 15 14,17.0,1572177
151,1491,2 10 10,18.0,1572115
152,1495,2 10 11,18.0,1572115
153,1488,4 12 15,17.5,1572093
154,1488,1 9 12,18.0,1571617
155,1492,1 9 13,18.0,1571617
156,1489,2 5 15,18.0,1571395
157,1499,2 5 7,18.5,1571379
158,1499,8 9 15,17.5,1571106
159,1486,0 8 14,18.0,1570912
160,1459,2 10 2,18.5,1570885
161,1493,0 0 14,18.5,1570825
162,1497,0 0 15,18.5,1570825
163,1498,1 9 4,18.5,1570799
164,1497,1 4 9,18.5,1570635
165,1489,1 14 7,18.0,1570581
166,1459,0 15 0,18.5,1570581
167,1483,0 13 8,18.0,1570516
168,1487,0 13 9,18.0,1570516
169,1496,0 8 6,18.5,1570499
170,1458,5 6 12,18.0,1570496
171,1481,2 15 13,17.5,1570453
172,1484,2 15 14,17.5,1570453
173,1491,2 15 5,18.0,1570435
174,1495,2 15 6,18.0,1570435
175,1478,1 14 15,17.5,1570187
176,1494,7 13 11,17.5,1570180
177,1498,7 13 12,17.5,1570180
178,1492,6 12 13,17.5,1570082
179,1496,6 12 14,17.5,1570082
180,1497,8 14 9,17.5,1570071
181,1458,8 14 10,17.5,1570071
182,1495,4 10 8,18.0,1570069
183,1499,4 10 9,18.0,1570069
184,1490,5 11 15,17.5,1569778
185,1493,3 9 10,18.0,1569756
186,1496,3 9 11,18.0,1569756
187,1498,9 15 7,17.5,1569752
188,1497,4 5 14,18.0,1569746
189,1494,0 3 11,18.5,1569684
190,1498,0 3 12,18.5,1569684
191,1459,6 2 15,18.0,1569577
192,1490,2 8 12,18.0,1569236
193,1494,2 8 13,18.0,1569236
194,1496,0 13 1,18.5,1568868
195,1491,3 4 15,18.0,1568792
196,1488,1 7 14,18.0,1568510
197,1491,2 13 7,18.0,1568436
198,1459,2 8 4,18.5,1568419
199,1485,4 15 11,17.5,1568409
200,1489,4 15 12,17.5,1568409
201,1485,1 12 8,18.0,1568351
202,1489,1 12 9,18.0,1568351
203,1483,3 14 13,17.5,1568328
204,1486,3 14 14,17.5,1568328
205,1493,3 14 5,18.0,1568311
206,1497,3 14 6,18.0,1568311
207,1497,1 7 6,18.5,1568097
208,1483,0 11 10,18.0,1568056
209,1487,0 11 11,18.0,1568056
210,1480,2 13 15,17.5,1568042
211,1498,2 3 9,18.5,1568008
212,1495,4 15 3,18.0,1567973
213,1499,4 15 4,18.0,1567973
214,1496,8 12 11,17.5,1567841
215,1457,8 12 12,17.5,1567841
216,1498,9 13 9,17.5,1567753
217,1494,7 11 13,17.5,1567721
218,1498,7 11 14,17.5,1567721
219,1497,5 9 8,18.0,1567663
220,1481,0 6 15,18.0,1567580
221,1491,0 6 7,18.5,1567564
222,1495,0 6 8,18.5,1567564
223,1457,10 14 7,17.5,1567457
224,1492,6 10 15,17.5,1567395
225,1494,4 8 10,18.0,1567328
226,1498,4 8 11,18.0,1567328
227,1499,5 4 14,18.0,1567096
228,1496,1 2 11,18.5,1567033
229,1459,1 2 12,18.5,1567033
230,1492,0 11 2,18.5,1566830
231,1496,0 11 3,18.5,1566830
232,1492,3 7 12,18.0,1566785
233,1496,3 7 13,18.0,1566785
234,1498,1 12 1,18.5,1566705
235,1487,5 14 11,17.5,1566237
236,1491,5 14 12,17.5,1566237
237,1493,3 12 7,18.0,1566223
238,1484,4 13 13,17.5,1566136
239,1488,4 13 14,17.5,1566136
240,1489,6 15 9,17.5,1566131
241,1493,6 15 10,17.5,1566131
242,1493,4 3 15,18.0,1566118
243,1495,4 13 5,18.0,1566118
244,1499,4 13 6,18.0,1566118
245,1487,2 11 8,18.0,1566116
246,1491,2 11 9,18.0,1566116
247,1494,11 15 14,17.0,1566106
248,1498,11 15 15,17.0,1566106
249,1490,2 6 14,18.0,1566037
250,1493,0 1 13,18.5,1565851
251,1482,3 12 15,17.5,1565830
252,1497,5 14 3,18.0,1565801
253,1485,1 10 10,18.0,1565801
254,1489,1 10 11,18.0,1565801
255,1499,2 6 6,18.5,1565624
256,1498,9 11 11,17.5,1565435
257,1457,10 12 9,17.5,1565370
258,1460,3 2 9,18.5,1565310
259,1496,8 10 13,17.5,1565293
260,1457,8 10 14,17.5,1565293
261,1482,0 9 12,18.0,1565279
262,1486,0 9 13,18.0,1565279
263,1499,6 15 1,18.0,1565270
264,1498,6 8 8,18.0,1565189
265,1483,1 5 15,18.0,1565084
266,1493,1 5 7,18.5,1565068
267,1497,1 5 8,18.5,1565068
268,1494,7 9 15,17.5,1564945
269,1496,5 7 10,18.0,1564830
270,1458,5 7 11,18.0,1564830
271,1494,1 10 2,18.5,1564577
272,1498,1 10 3,18.5,1564577
273,1459,2 11 1,18.5,1564474
274,1492,0 9 4,18.5,1564465
