rank,cp,ivs,maxlevel,stat-product
1,1495,0 15 13,27.5,2153020
2,1472,0 15 14,27.5,2153020
3,1498,0 13 15,27.5,2152511
4,1499,1 13 13,27.5,2149579
5,1473,0 12 10,28.0,2147311
6,1473,0 8 13,28.0,2145832
7,1498,0 6 14,28.0,2144649
8,1492,0 14 13,27.5,2144086
9,1496,0 14 14,27.5,2144086
10,1494,0 12 15,27.5,2143505
11,1496,2 15 15,27.0,2142457
12,1498,1 14 12,27.5,2141024
13,1496,1 12 13,27.5,2140585
14,1473,1 12 14,27.5,2140585
15,1498,1 10 15,27.5,2139854
16,1498,3 15 13,27.0,2139205
17,1472,3 13 15,27.0,2138841
18,1496,0 15 7,28.0,2138732
19,1499,0 13 9,28.0,2138659
20,1497,0 11 10,28.0,2138289
21,1499,2 14 10,27.5,2137726
22,1499,0 9 12,28.0,2137623
23,1472,2 10 13,27.5,2136842
24,1497,0 7 13,28.0,2136662
25,1491,0 15 12,27.5,2135515
26,1495,0 5 14,28.0,2135405
27,1499,0 5 15,28.0,2135405
28,1473,1 13 7,28.0,2135315
29,1489,0 13 13,27.5,2135152
30,1493,0 13 14,27.5,2135152
31,1491,0 11 15,27.5,2134499
32,1493,2 14 15,27.0,2133567
33,1493,1 15 10,27.5,2132322
34,1497,1 15 11,27.5,2132322
35,1495,1 13 12,27.5,2132103
36,1474,0 12 4,28.5,2131894
37,1493,1 11 13,27.5,2131591
38,1497,1 11 14,27.5,2131591
39,1498,1 3 14,28.0,2131220
40,1495,1 9 15,27.5,2130787
41,1495,3 14 13,27.0,2130329
42,1499,3 14 14,27.0,2130329
43,1497,3 12 15,27.0,2129892
44,1493,0 14 7,28.0,2129858
45,1498,0 14 8,28.0,2129858
46,1496,0 12 9,28.0,2129710
47,1494,0 10 10,28.0,2129266
48,1498,0 10 11,28.0,2129266
49,1498,2 15 9,27.5,2128892
50,1496,2 13 10,27.5,2128819
51,1496,0 8 12,28.0,2128527
52,1499,2 11 12,27.5,2128451
53,1486,1 15 15,27.0,2128173
54,1499,0 2 11,28.5,2128130
55,1497,2 9 13,27.5,2127788
56,1494,0 6 13,28.0,2127492
57,1498,5 15 15,26.5,2127364
58,1473,4 14 12,27.0,2126860
59,1499,2 7 15,27.5,2126831
60,1488,0 14 12,27.5,2126654
61,1498,4 12 13,27.0,2126567
62,1497,1 12 7,28.0,2126380
63,1499,1 14 6,28.0,2126380
64,1486,0 12 13,27.5,2126219
65,1490,0 12 14,27.5,2126219
66,1492,0 4 14,28.0,2126160
67,1496,0 4 15,28.0,2126160
68,1473,1 10 9,28.0,2126082
69,1488,0 10 15,27.5,2125492
70,1498,1 8 10,28.0,2125487
71,1499,3 15 7,27.5,2125226
72,1473,3 11 10,27.5,2125078
73,1488,2 15 13,27.0,2125038
74,1492,2 15 14,27.0,2125038
75,1490,2 13 15,27.0,2124677
76,1473,1 6 12,28.0,2124593
77,1473,3 7 13,27.5,2123744
78,1499,6 15 13,26.5,2123717
79,1489,1 14 10,27.5,2123474
80,1494,1 14 11,27.5,2123474
81,1497,1 4 13,28.0,2123402
82,1492,1 12 12,27.5,2123182
83,1497,0 11 4,28.5,2122936
84,1499,0 13 3,28.5,2122861
