rank,cp,ivs,maxlevel,stat-product
1,1499,0 15 13,31.5,2210952
2,1500,0 15 11,32,2210044
3,1498,0 14 15,31.5,2208879
4,1500,0 14 13,32,2208071
5,1499,0 13 15,32,2205872
6,1496,0 15 12,31.5,2203557
7,1498,0 15 10,32,2202602
8,1497,1 15 15,31,2201818
9,1496,0 14 14,31.5,2201541
10,1497,0 14 12,32,2200686
11,1496,0 13 14,32,2198544
12,1500,1 15 9,31.5,2197296
13,1500,0 15 4,32.5,2197003
14,1500,0 11 13,32.5,2196544
15,1499,2 15 14,30.5,2195966
16,1500,2 15 12,31,2195670
17,1499,1 14 11,31.5,2195434
18,1500,0 14 6,32.5,2195396
19,1495,0 15 9,32,2195161
20,1494,1 15 14,31,2194503
21,1500,1 14 9,32,2194433
22,1499,0 10 15,32.5,2193961
23,1499,2 14 14,31,2193660
24,1499,0 13 8,32.5,2193559
25,1498,1 13 13,31.5,2193346
26,1494,0 14 11,32,2193301
27,1500,0 10 13,33,2192623
28,1500,1 13 11,32,2192445
29,1500,0 13 6,33,2191872
30,1498,0 12 10,32.5,2191493
31,1494,0 13 13,32,2191215
32,1498,1 12 15,31.5,2191033
33,1499,1 12 13,32,2190231
34,1499,0 9 15,33,2189909
35,1499,0 12 8,33,2189909
36,1497,1 15 8,31.5,2189848
37,1498,0 15 3,32.5,2189427
38,1498,0 11 12,32.5,2189198
39,1493,0 12 15,32,2188904
40,1498,1 15 6,32,2188698
41,1496,2 15 13,30.5,2188646
42,1498,2 15 11,31,2188302
43,1497,1 14 10,31.5,2188042
44,1497,0 14 5,32.5,2187877
45,1498,1 11 15,32,2187789
46,1493,0 15 8,32,2187720
47,1499,0 11 10,33,2187715
48,1498,0 15 1,33,2187484
49,1492,1 15 13,31,2187188
50,1498,1 14 8,32,2186994
51,1497,0 10 14,32.5,2186672
52,1495,2 14 15,30.5,2186594
53,1497,2 14 13,31,2186348
54,1496,0 13 7,32.5,2186098
55,1498,0 14 3,33,2186041
56,1496,1 13 12,31.5,2186011
57,1492,0 14 10,32,2185916
58,1486,0 15 15,31,2185863
59,1500,3 13 15,30.5,2185513
60,1498,0 10 12,33,2185290
61,1491,1 14 15,31,2185138
62,1497,1 13 10,32,2185063
63,1497,0 13 5,33,2184366
64,1496,2 13 15,31,2184171
65,1496,0 12 9,32.5,2184090
66,1491,0 13 12,32,2183887
67,1495,1 12 14,31.5,2183754
68,1500,2 15 5,31.5,2183209
69,1496,1 12 12,32,2182906
70,1497,0 9 14,33,2182634
71,1500,2 11 14,31.5,2182527
72,1497,0 12 7,33,2182461
73,1495,1 15 7,31.5,2182399
74,1499,3 15 10,30.5,2182274
75,1495,0 11 11,32.5,2181851
76,1495,0 15 2,32.5,2181851
77,1490,0 12 14,32,2181632
78,1500,2 14 7,31.5,2181561
79,1496,1 15 5,32,2181202
80,1500,1 14 2,32.5,2181127
81,1495,2 15 10,31,2180934
82,1500,1 10 11,32.5,2180607
83,1496,1 11 14,32,2180521
84,1499,3 14 12,30.5,2180375
85,1495,0 14 4,32.5,2180359
86,1496,0 11 9,33,2180324
87,1490,0 15 7,32,2180279
88,1499,4 15 13,30,2180034
89,1500,3 14 10,31,2179983
90,1489,1 15 12,31,2179873
91,1496,0 15 0,33,2179862
92,1500,0 10 6,33.5,2179727
93,1499,2 13 9,31.5,2179685
94,1495,1 14 7,32,2179555
95,1500,1 13 4,32.5,2179509
96,1500,0 7 13,33.5,2179256
97,1500,2 10 14,32,2179163
98,1494,3 15 15,30,2179052
99,1494,2 14 12,31,2179036
100,1483,0 15 14,31,2178601
101,1500,2 13 7,32,2178591
102,1489,0 14 9,32,2178531
103,1495,0 14 2,33,2178476
104,1498,3 13 14,30.5,2178253
105,1499,1 9 13,32.5,2178005
106,1499,4 14 15,30,2177990
107,1499,3 13 12,31,2177959
108,1495,0 10 11,33,2177957
109,1489,1 14 14,31,2177878
110,1495,1 13 9,32,2177682
111,1499,1 12 6,32.5,2177659
112,1498,2 12 11,31.5,2177582
113,1499,0 9 8,33.5,2177376
114,1494,2 13 14,31,2176915
115,1495,0 13 4,33,2176860
116,1500,2 12 9,32,2176589
117,1500,1 9 11,33,2176580
118,1489,0 13 11,32,2176558
119,1499,0 6 15,33.5,2176141
120,1499,0 12 1,33.5,2176141
121,1500,1 12 4,33,2175882
122,1499,3 12 14,31,2175710
123,1498,2 15 4,31.5,2175707
124,1494,1 12 11,32,2175580
125,1498,1 11 8,32.5,2175577
126,1494,0 9 13,33,2175358
127,1498,2 11 13,31.5,2175252
128,1500,0 9 6,34,2175190
129,1498,1 8 15,32.5,2175173
130,1494,0 12 6,33,2175012
131,1497,3 15 9,30.5,2174901
132,1499,0 8 10,33.5,2174789
133,1498,3 15 7,31,2174361
134,1488,0 12 13,32,2174360
135,1499,2 11 11,32,2174358
136,1499,2 15 2,32,2174358
137,1498,0 11 3,33.5,2174319
138,1500,0 6 13,34,2174303
139,1497,2 14 6,31.5,2174115
140,1499,1 11 6,33,2173904
141,1499,1 8 13,33,2173846
142,1493,1 15 4,32,2173707
143,1492,2 15 9,31,2173566
144,1498,1 14 1,32.5,2173554
145,1498,1 10 10,32.5,2173265
146,1493,1 11 13,32,2173252
147,1496,3 14 11,30.5,2173058
148,1493,0 11 8,33,2172933
149,1498,2 14 4,32,2172871
150,1487,0 15 6,32,2172838
151,1497,4 15 12,30,2172743
152,1499,0 8 8,34,2172707
153,1497,2 10 15,31.5,2172694
154,1498,3 14 9,31,2172618
155,1487,1 15 11,31,2172558
156,1493,0 8 15,33,2172529
157,1498,5 15 14,29.5,2172488
158,1497,2 13 8,31.5,2172296
159,1498,0 10 5,33.5,2172262
160,1493,1 14 6,32,2172117
161,1497,1 13 3,32.5,2171993
162,1498,0 7 12,33.5,2171968
163,1487,0 11 15,32,2171936
164,1498,2 10 13,32,2171899
165,1499,0 11 1,34,2171879
166,1491,3 15 14,30,2171812
167,1492,2 14 11,31,2171724
168,1498,1 10 8,33,2171694
169,1498,2 13 6,32,2171155
170,1487,0 14 8,32,2171146
171,1499,0 5 15,34,2171051
172,1495,3 13 13,30.5,2170992
173,1493,0 14 1,33,2170912
174,1498,1 7 15,33,2170880
175,1496,4 14 14,30,2170755
176,1497,1 9 12,32.5,2170721
177,1492,1 10 15,32,2170697
178,1497,3 13 11,31,2170650
179,1493,0 10 10,33,2170624
180,1486,1 14 13,31,2170619
181,1492,1 13 8,32,2170300
182,1496,2 12 10,31.5,2170250
183,1496,1 12 5,32.5,2170201
184,1498,1 13 1,33,2170066
185,1498,0 7 10,34,2169987
186,1497,0 9 7,33.5,2169970
187,1498,0 10 3,34,2169928
188,1500,4 12 13,30.5,2169680
189,1491,2 13 13,31,2169658
190,1492,0 13 3,33,2169353
191,1498,1 9 10,33,2169251
192,1486,0 13 10,32,2169230
193,1497,2 9 15,32,2169211
194,1497,2 12 8,32,2169211
195,1497,0 6 14,33.5,2168912
196,1495,3 12 15,30.5,2168702
197,1496,0 12 0,33.5,2168559
198,1485,1 13 15,31,2168458
199,1496,3 12 13,31,2168458
200,1497,1 12 3,33,2168379
201,1491,1 12 10,32,2168255
202,1495,2 15 3,31.5,2168204
203,1496,1 11 7,32.5,2168177
204,1500,4 15 6,30.5,2168161
205,1492,0 9 12,33,2168083
206,1495,2 11 12,31.5,2167977
207,1496,1 8 14,32.5,2167946
208,1498,0 9 5,34,2167740
209,1492,0 12 5,33,2167563
210,1494,3 15 8,30.5,2167529
211,1496,0 8 9,33.5,2167442
212,1490,2 12 15,31,2167370
213,1499,4 11 15,30.5,2167261
214,1500,3 14 3,31.5,2167259
215,1486,0 12 12,32,2167088
216,1496,2 11 10,32,2167037
217,1497,0 6 12,34,2167031
218,1496,3 15 6,31,2166940
219,1496,2 15 1,32,2166809
220,1496,0 11 2,33.5,2166795
221,1495,2 14 5,31.5,2166670
222,1497,1 8 12,33,2166576
223,1500,3 10 12,31.5,2166515
224,1499,4 14 8,30.5,2166473
225,1497,1 11 5,33,2166459
226,1491,1 15 3,32,2166211
227,1490,2 15 8,31,2166198
228,1500,2 7 14,32.5,2166187
229,1500,5 15 9,30,2166124
230,1495,3 11 15,31,2166040
231,1491,1 11 12,32,2165984
232,1495,1 14 0,32.5,2165981
233,1495,1 10 9,32.5,2165923
234,1500,3 13 5,31.5,2165599
235,1491,0 11 7,33,2165542
236,1494,4 15 11,30,2165452
237,1485,0 15 5,32,2165396
238,1496,2 14 3,32,2165379
239,1497,0 8 7,34,2165316
240,1491,0 8 14,33,2165311
241,1495,3 14 8,31,2165253
242,1496,5 15 13,29.5,2165246
243,1484,1 15 10,31,2165243
244,1500,2 13 0,32.5,2165022
245,1495,0 10 4,33.5,2164797
246,1485,0 11 14,32,2164720
247,1495,0 7 11,33.5,2164679
248,1490,1 14 5,32,2164678
249,1495,2 10 12,32,2164635
250,1489,3 15 13,30,2164573
251,1498,4 13 10,30.5,2164561
252,1494,1 13 2,32.5,2164477
253,1500,4 10 15,31,2164469
254,1500,2 9 9,32.5,2164440
255,1489,2 14 10,31,2164411
256,1490,4 15 15,29.5,2164379
257,1496,0 11 0,34,2164311
258,1496,1 10 7,33,2164307
259,1499,5 14 11,30,2164289
260,1500,4 13 8,31,2164072
261,1499,3 9 14,31.5,2163881
262,1496,0 5 14,34,2163838
263,1484,0 14 7,32,2163762
264,1495,2 13 5,32,2163720
265,1499,3 12 7,31.5,2163710
266,1496,1 7 14,33,2163668
267,1494,4 14 13,30,2163519
268,1483,2 15 15,30,2163487
269,1490,1 10 14,32,2163485
270,1500,1 9 4,33.5,2163428
271,1500,2 12 2,32.5,2163392
272,1484,1 14 12,31,2163359
273,1490,0 14 0,33,2163348
274,1494,3 13 10,31,2163342
275,1490,0 10 9,33,2163290
276,1495,5 14 15,29.5,2163216
277,1500,3 9 12,32,2163041
278,1489,1 13 7,32,2162918
279,1500,1 6 11,33.5,2162896
280,1496,0 7 9,34,2162656
281,1488,3 14 15,30,2162544
282,1500,3 12 5,32,2162523
283,1495,1 13 0,33,2162504
284,1500,0 4 11,34.5,2162477
285,1498,4 12 12,30.5,2162423
286,1496,0 10 2,34,2162419
287,1489,2 13 12,31,2162402
288,1498,5 13 13,30,2162230
289,1499,4 12 10,31,2162034
290,1495,2 9 14,32,2162004
291,1495,1 9 9,33,2161923
292,1484,0 13 9,32,2161901
293,1490,0 13 2,33,2161847
294,1495,2 12 7,32,2161832
295,1500,6 13 15,29.5,2161821
296,1499,2 8 11,32.5,2161819
297,1500,2 6 14,33,2161771
298,1498,3 11 9,31.5,2161591
299,1499,2 11 4,32.5,2161528
300,1500,2 12 0,33,2161419
301,1493,4 13 15,30,2161365
302,1483,1 13 14,31,2161253
303,1500,0 6 6,34.5,2161214
304,1494,3 12 12,31,2161205
305,1498,3 15 0,31.5,2161133
306,1499,1 8 6,33.5,2161060
307,1489,1 12 9,32,2160930
308,1495,1 12 2,33,2160876
309,1489,0 9 11,33,2160807
310,1497,4 15 5,30.5,2160736
311,1499,3 11 7,32,2160506
312,1500,2 8 9,33,2160306
313,1495,0 9 4,34,2160291
314,1499,3 8 14,32,2160276
315,1488,2 12 14,31,2160169
316,1489,0 12 4,33,2160115
317,1497,4 11 14,30.5,2160061
318,1498,4 15 3,31,2159996
319,1498,5 12 15,30,2159950
320,1483,0 12 11,32,2159815
321,1498,4 11 12,31,2159769
322,1498,3 14 2,31.5,2159760
323,1495,0 6 11,34,2159759
324,1499,1 5 13,33.5,2159758
325,1494,2 11 9,32,2159716
326,1500,2 11 2,33,2159662
327,1493,3 15 5,31,2159519
328,1498,2 10 6,32.5,2159432
329,1494,1 8 11,33,2159305
330,1494,2 15 0,32,2159259
331,1497,3 10 11,31.5,2159244
332,1497,4 14 7,30.5,2159104
333,1499,0 3 13,34.5,2159047
334,1494,1 11 4,33,2159015
335,1498,2 7 13,32.5,2158966
336,1493,3 11 14,31,2158844
337,1487,2 15 7,31,2158829
338,1500,1 8 4,34,2158789
