rank,cp,ivs,maxlevel,stat-product
1,1498,0 14 15,22.0,1756321
2,1499,0 15 14,22.0,1752957
3,1499,1 15 12,22.0,1747788
4,1494,0 13 15,22.0,1745990
5,1497,1 12 15,22.0,1744167
6,1495,0 14 14,22.0,1742706
7,1465,2 11 15,22.0,1742242
8,1497,1 13 14,22.0,1740947
9,1492,0 15 12,22.0,1739262
10,1495,0 15 13,22.0,1739262
11,1466,2 12 14,22.0,1739088
12,1495,1 14 12,22.0,1737567
13,1498,1 14 13,22.0,1737567
14,1467,0 11 10,22.5,1737167
15,1499,0 15 5,22.5,1736758
16,1497,2 13 12,22.0,1735772
17,1489,0 12 15,22.0,1735658
18,1467,0 7 15,22.5,1735611
19,1495,1 15 11,22.0,1734026
20,1466,3 12 12,22.0,1733878
21,1497,0 12 8,22.5,1733809
22,1492,1 11 15,22.0,1733785
23,1497,4 15 15,21.5,1733024
24,1498,0 8 13,22.5,1732826
25,1490,0 13 14,22.0,1732455
26,1498,2 14 11,22.0,1732295
27,1467,1 11 8,22.5,1731937
28,1495,2 10 15,22.0,1731809
29,1465,5 14 15,21.5,1731172
30,1467,1 7 13,22.5,1730703
31,1493,1 12 14,22.0,1730646
32,1498,0 13 7,22.5,1730287
33,1499,0 9 12,22.5,1729877
34,1498,3 9 15,22.0,1729733
35,1487,0 14 12,22.0,1729091
36,1491,0 14 13,22.0,1729091
37,1496,2 11 14,22.0,1728736
38,1495,2 15 9,22.0,1728655
39,1499,2 15 10,22.0,1728655
40,1497,5 15 13,21.5,1727644
41,1466,4 8 15,22.0,1727555
42,1490,1 13 12,22.0,1727346
43,1494,1 13 13,22.0,1727346
44,1498,3 14 9,22.0,1726889
45,1496,0 10 10,22.5,1726765
46,1499,0 10 11,22.5,1726765
47,1499,3 10 14,22.0,1726726
48,1495,0 14 5,22.5,1726601
49,1498,0 14 6,22.5,1726601
50,1465,6 14 13,21.5,1725759
51,1488,0 15 11,22.0,1725567
52,1493,2 12 12,22.0,1725501
53,1497,2 12 13,22.0,1725501
54,1485,0 11 15,22.0,1725327
55,1496,0 6 15,22.5,1724963
56,1498,1 13 5,22.5,1724859
57,1498,1 9 10,22.5,1724776
58,1490,3 15 15,21.5,1724692
59,1491,1 14 11,22.0,1723886
60,1496,3 11 12,22.0,1723557
61,1499,3 11 13,22.0,1723557
62,1493,0 11 8,22.5,1723489
63,1496,0 11 9,22.5,1723489
64,1488,1 10 15,22.0,1723403
65,1495,3 15 7,22.0,1723151
66,1499,3 15 8,22.0,1723151
67,1467,2 12 5,22.5,1723017
68,1493,4 14 15,21.5,1722889
69,1495,0 15 4,22.5,1722752
70,1498,1 5 15,22.5,1722719
71,1493,0 7 13,22.5,1722260
72,1497,0 7 14,22.5,1722260
73,1486,0 12 14,22.0,1722204
74,1497,6 15 11,21.5,1722133
75,1494,2 13 11,22.0,1722105
76,1495,1 10 8,22.5,1721566
77,1499,1 10 9,22.5,1721566
78,1498,4 10 12,22.0,1721513
79,1491,2 9 15,22.0,1721377
80,1498,4 14 7,22.0,1721349
81,1498,1 14 4,22.5,1721072
82,1496,5 13 15,21.5,1720989
83,1489,1 11 14,22.0,1720344
84,1488,1 15 9,22.0,1720264
85,1492,1 15 10,22.0,1720264
86,1497,3 12 11,22.0,1720225
87,1465,7 14 11,21.5,1720215
88,1496,1 6 13,22.5,1720085
89,1499,1 6 14,22.5,1720085
90,1493,0 12 7,22.5,1720049
91,1499,0 11 1,23.0,1719877
92,1499,0 2 12,23.0,1719793
93,1498,9 15 15,21.0,1719777
94,1467,0 7 6,23.0,1719625
95,1498,2 9 8,22.5,1719543
96,1466,5 13 7,22.0,1719451
97,1494,0 8 12,22.5,1719393
98,1490,4 15 13,21.5,1719378
99,1494,4 15 14,21.5,1719378
100,1493,3 8 15,22.0,1719250
101,1498,6 12 15,21.5,1718991
102,1483,0 13 12,22.0,1718920
103,1487,0 13 13,22.0,1718920
104,1491,2 14 9,22.0,1718546
105,1494,2 14 10,22.0,1718546
106,1491,2 10 14,22.0,1718385
107,1499,4 11 11,22.0,1718246
108,1496,1 11 7,22.5,1718192
109,1498,2 5 13,22.5,1717806
110,1464,10 14 15,21.0,1717747
111,1493,5 14 13,21.5,1717541
112,1496,5 14 14,21.5,1717541
113,1498,4 15 6,22.0,1717511
114,1467,0 3 11,23.0,1717365
115,1497,1 7 12,22.5,1717286
116,1486,1 12 12,22.0,1717125
117,1489,1 12 13,22.0,1717125
118,1495,1 15 2,22.5,1717122
119,1499,1 15 3,22.5,1717122
120,1496,4 7 15,22.0,1717022
121,1494,3 13 9,22.0,1716731
122,1497,3 13 10,22.0,1716731
123,1465,7 15 10,21.5,1716491
124,1490,0 13 5,22.5,1716445
125,1494,0 13 6,22.5,1716445
126,1491,0 9 10,22.5,1716363
127,1495,0 9 11,22.5,1716363
128,1483,2 15 15,21.5,1716360
129,1494,3 9 14,22.0,1716324
130,1499,2 10 7,22.5,1716234
131,1499,0 12 0,23.0,1716109
132,1495,6 13 13,21.5,1715607
133,1499,6 13 14,21.5,1715607
134,1484,0 14 11,22.0,1715476
135,1498,2 14 2,22.5,1715407
136,1489,2 11 12,22.0,1715231
137,1492,2 11 13,22.0,1715231
138,1499,2 6 12,22.5,1715076
139,1480,0 10 15,22.0,1714996
140,1488,2 15 7,22.0,1714826
141,1491,2 15 8,22.0,1714826
142,1496,4 12 9,22.0,1714817
143,1466,4 12 10,22.0,1714817
144,1497,0 4 9,23.0,1714769
145,1498,5 6 15,22.0,1714692
146,1493,1 12 5,22.5,1714652
147,1497,1 12 6,22.5,1714652
148,1486,3 14 15,21.5,1714606
149,1494,1 8 10,22.5,1714323
150,1498,1 8 11,22.5,1714323
151,1491,0 5 15,22.5,1714315
152,1497,4 8 14,22.0,1714163
153,1490,5 15 11,21.5,1713933
154,1493,5 15 12,21.5,1713933
155,1486,1 13 11,22.0,1713745
156,1498,7 12 13,21.5,1713577
157,1491,3 10 12,22.0,1713236
158,1495,3 10 13,22.0,1713236
159,1488,0 10 8,22.5,1713168
160,1492,0 10 9,22.5,1713168
161,1498,0 9 3,23.0,1713095
162,1490,3 14 7,22.0,1713074
163,1494,3 14 8,22.0,1713074
164,1483,1 9 15,22.0,1713021
165,1499,5 11 9,22.0,1712805
166,1496,2 11 5,22.5,1712760
167,1466,2 11 6,22.5,1712760
168,1488,4 13 15,21.5,1712755
169,1491,0 14 4,22.5,1712677
170,1467,1 3 9,23.0,1712405
171,1497,2 7 10,22.5,1712182
172,1467,2 7 11,22.5,1712182
173,1493,6 14 11,21.5,1712062
174,1496,6 14 12,21.5,1712062
175,1494,1 4 15,22.5,1712019
176,1498,0 5 8,23.0,1712006
177,1481,0 11 14,22.0,1711952
178,1489,2 12 11,22.0,1711915
179,1499,5 7 14,22.0,1711902
180,1481,0 15 9,22.0,1711872
181,1484,0 15 10,22.0,1711872
182,1498,5 15 4,22.0,1711738
183,1491,8 15 15,21.0,1711703
184,1488,0 6 13,22.5,1711694
185,1492,0 6 14,22.5,1711694
186,1494,2 15 0,22.5,1711354
187,1498,2 15 1,22.5,1711354
188,1493,4 13 7,22.0,1711224
189,1497,4 13 8,22.0,1711224
190,1491,1 9 8,22.5,1711195
191,1495,1 9 9,22.5,1711195
192,1494,4 9 12,22.0,1711142
193,1498,4 9 13,22.0,1711142
194,1483,3 15 13,21.5,1711112
195,1486,3 15 14,21.5,1711112
196,1497,0 0 14,23.0,1711085
197,1468,0 0 15,23.0,1711085
198,1468,1 8 3,23.0,1711059
199,1494,1 13 4,22.5,1710948
200,1486,2 8 15,22.0,1710944
201,1491,5 12 15,21.5,1710806
202,1499,3 10 5,22.5,1710769
203,1465,8 15 8,21.5,1710718
204,1483,1 14 9,22.0,1710204
205,1487,1 14 10,22.0,1710204
206,1495,7 13 11,21.5,1710096
207,1499,7 13 12,21.5,1710096
208,1484,1 10 14,22.0,1710043
209,1492,3 11 11,22.0,1709986
210,1499,3 6 10,22.5,1709938
211,1489,0 11 7,22.5,1709810
212,1493,9 14 15,21.0,1709720
213,1496,2 3 15,22.5,1709617
214,1497,3 14 0,22.5,1709605
215,1494,0 10 1,23.0,1709578
216,1498,0 10 2,23.0,1709578
217,1491,1 5 13,22.5,1709467
218,1495,1 5 14,22.5,1709467
219,1486,4 14 13,21.5,1709323
220,1489,4 14 14,21.5,1709323
221,1496,5 12 7,22.0,1709277
222,1466,5 12 8,22.0,1709277
223,1491,3 15 6,22.0,1709254
224,1494,2 8 8,22.5,1709121
225,1497,2 8 9,22.5,1709121
226,1497,2 12 4,22.5,1709121
227,1495,0 6 6,23.0,1709076
228,1499,0 6 7,23.0,1709076
229,1497,5 8 12,22.0,1708948
230,1466,5 8 13,22.0,1708948
231,1489,0 7 12,22.5,1708909
232,1494,0 1 12,23.0,1708908
233,1498,0 1 13,23.0,1708908
234,1489,3 7 15,22.0,1708767
235,1494,6 11 15,21.5,1708759
236,1478,0 12 12,22.0,1708749
237,1482,0 12 13,22.0,1708749
238,1487,0 15 2,22.5,1708745
239,1491,0 15 3,22.5,1708745
240,1486,2 13 9,22.0,1708437
241,1490,2 13 10,22.0,1708437
242,1493,6 15 10,21.5,1708356
243,1498,8 12 11,21.5,1708034
244,1487,2 9 14,22.0,1708033
245,1476,1 15 15,21.5,1708028
246,1495,4 10 11,22.0,1707957
247,1492,1 10 7,22.5,1707903
248,1467,4 13 0,22.5,1707759
249,1496,10 13 15,21.0,1707642
250,1497,1 9 1,23.0,1707609
251,1494,4 14 6,22.0,1707468
252,1488,5 13 13,21.5,1707438
253,1492,5 13 14,21.5,1707438
254,1499,6 11 7,22.0,1707232
255,1499,3 11 4,22.5,1707195
256,1494,2 4 13,22.5,1707136
257,1497,2 4 14,22.5,1707136
258,1499,3 2 15,22.5,1707112
259,1490,1 14 2,22.5,1707080
260,1494,1 14 3,22.5,1707080
261,1496,3 7 8,22.5,1706946
262,1467,3 7 9,22.5,1706946
263,1481,1 11 12,22.0,1706904
