rank,cp,ivs,maxlevel,stat-product
1,1525,0 15 15,25.0,1978416
2,1530,1 15 14,25.0,1974574
3,1527,1 13 15,25.0,1970706
4,1522,0 14 15,25.0,1968765
5,1528,0 10 13,25.5,1968749
6,1527,0 13 10,25.5,1967057
7,1527,1 14 14,25.0,1964942
8,1528,0 8 15,25.5,1964288
9,1528,0 11 12,25.5,1963135
10,1521,0 15 14,25.0,1962959
11,1528,2 11 15,25.0,1962769
12,1527,0 14 9,25.5,1961058
13,1523,1 12 15,25.0,1960998
14,1527,2 14 12,25.0,1960938
15,1529,1 8 13,25.5,1960594
16,1529,1 11 10,25.5,1959202
17,1518,0 13 15,25.0,1959114
18,1522,1 15 12,25.0,1959027
19,1526,1 15 13,25.0,1959027
20,1524,0 9 13,25.5,1958905
21,1528,0 9 14,25.5,1958905
22,1524,0 12 10,25.5,1957367
23,1528,0 12 11,25.5,1957367
24,1528,2 12 14,25.0,1957123
25,1528,1 14 7,25.5,1956881
26,1529,0 8 8,26.0,1956261
27,1530,1 6 15,25.5,1955953
28,1523,1 13 14,25.0,1955310
29,1529,1 9 12,25.5,1955102
30,1527,2 15 11,25.0,1954911
31,1522,0 15 7,25.5,1954906
32,1527,0 15 8,25.5,1954906
33,1529,3 9 15,25.0,1954603
34,1525,0 7 15,25.5,1954368
35,1527,4 15 14,24.5,1953689
36,1531,4 15 15,24.5,1953689
37,1518,0 14 14,25.0,1953384
38,1524,0 10 12,25.5,1953368
39,1528,1 12 9,25.5,1953322
40,1529,3 12 12,25.0,1953068
41,1524,2 10 15,25.0,1953004
42,1523,0 13 9,25.5,1951445
43,1524,2 13 12,25.0,1951325
44,1528,2 13 13,25.0,1951325
45,1519,1 11 15,25.0,1951291
46,1526,1 7 13,25.5,1950692
47,1530,1 7 14,25.5,1950692
48,1527,1 15 6,25.5,1950615
49,1528,3 15 9,25.0,1950612
50,1529,0 9 7,26.0,1950537
51,1519,1 14 12,25.0,1949470
52,1523,1 14 13,25.0,1949470
53,1514,0 12 15,25.0,1949463
54,1525,1 10 10,25.5,1949454
55,1529,1 10 11,25.5,1949454
56,1529,2 12 7,25.5,1949094
57,1529,3 10 14,25.0,1949078
58,1520,0 8 13,25.5,1949061
59,1524,0 8 14,25.5,1949061
60,1528,0 12 4,26.0,1948263
61,1520,0 11 10,25.5,1947677
62,1524,0 11 11,25.5,1947677
63,1513,0 15 12,25.0,1947503
64,1517,0 15 13,25.0,1947503
65,1524,2 11 14,25.0,1947435
66,1524,1 13 7,25.5,1947288
67,1528,1 13 8,25.5,1947288
68,1526,0 4 11,26.0,1947165
69,1529,3 13 11,25.0,1947159
70,1526,0 1 14,26.0,1947009
71,1525,0 7 8,26.0,1946381
72,1528,2 15 4,25.5,1946137
73,1526,1 5 15,25.5,1945973
74,1528,5 13 14,24.5,1945812
75,1519,1 12 14,25.0,1945678
76,1523,2 14 11,25.0,1945375
77,1519,0 14 7,25.5,1945370
78,1523,0 14 8,25.5,1945370
79,1530,2 10 9,25.5,1945359
80,1525,1 8 12,25.5,1945277
81,1526,0 15 1,26.0,1945048
82,1530,4 10 12,25.0,1944973
83,1526,3 8 15,25.0,1944781
84,1528,0 10 6,26.0,1944656
85,1521,0 6 15,25.5,1944447
86,1523,4 14 14,24.5,1944159
87,1527,4 14 15,24.5,1944159
88,1514,0 13 14,25.0,1943808
89,1525,1 11 9,25.5,1943653
90,1520,0 9 12,25.5,1943601
91,1518,1 15 11,25.0,1943479
92,1525,3 11 12,25.0,1943399
93,1529,3 11 13,25.0,1943399
94,1521,2 9 15,25.0,1943239
95,1529,2 13 6,25.5,1942947
96,1529,4 13 9,25.0,1942812
97,1518,3 15 14,24.5,1942396
98,1522,3 15 15,24.5,1942396
99,1527,2 5 13,25.5,1942246
100,1526,0 2 13,26.0,1942147
101,1527,0 13 3,26.0,1941990
102,1526,0 5 10,26.0,1941912
103,1519,0 12 9,25.5,1941832
104,1520,2 12 12,25.0,1941713
105,1524,2 12 13,25.0,1941713
106,1515,1 10 15,25.0,1941583
107,1526,2 8 10,25.5,1941313
108,1524,1 14 6,25.5,1941100
109,1524,3 14 9,25.0,1941097
110,1528,3 14 10,25.0,1941097
111,1530,4 8 14,25.0,1940805
112,1522,1 6 13,25.5,1940790
113,1526,1 6 14,25.5,1940790
114,1525,0 8 7,26.0,1940735
115,1529,1 10 4,26.0,1940387
116,1515,1 13 12,25.0,1939914
117,1519,1 13 13,25.0,1939914
118,1528,5 14 13,24.5,1939878
119,1510,0 11 15,25.0,1939812
120,1521,1 9 10,25.5,1939707
121,1525,1 9 11,25.5,1939707
122,1525,2 11 7,25.5,1939445
123,1529,2 11 8,25.5,1939445
124,1525,3 9 14,25.0,1939332
125,1519,2 15 9,25.0,1939272
126,1523,2 15 10,25.0,1939272
127,1517,0 7 13,25.5,1939218
128,1521,0 7 14,25.5,1939218
129,1530,4 11 11,25.0,1939185
130,1518,0 15 6,25.5,1939141
131,1524,0 11 4,26.0,1938618
132,1528,0 11 5,26.0,1938618
133,1527,1 2 11,26.0,1938494
134,1529,3 13 4,25.5,1938420
135,1523,4 15 13,24.5,1938184
136,1526,1 5 8,26.0,1938021
137,1510,0 14 12,25.0,1938003
138,1514,0 14 13,25.0,1938003
139,1516,0 10 10,25.5,1937987
