rank,cp,ivs,maxlevel,stat-product
1,1498,0 14 15,22.0,1966466
2,1498,0 15 14,22.0,1962179
3,1499,1 15 12,22.0,1958664
4,1498,1 12 15,22.0,1957299
5,1494,0 13 15,22.0,1956535
6,1499,1 13 14,22.0,1953132
7,1494,0 14 14,22.0,1952319
8,1466,2 13 12,22.0,1949574
9,1496,1 14 12,22.0,1948821
10,1499,1 14 13,22.0,1948821
11,1467,0 15 5,22.5,1948590
12,1491,0 15 12,22.0,1947960
13,1495,0 15 13,22.0,1947960
14,1499,2 10 15,22.0,1947913
15,1466,0 12 8,22.5,1947860
16,1494,1 11 15,22.0,1947312
17,1490,0 12 15,22.0,1946603
18,1498,0 9 11,22.5,1946252
19,1499,4 15 15,21.5,1945485
20,1466,2 14 11,22.0,1945168
21,1496,1 15 11,22.0,1944367
22,1499,2 11 14,22.0,1943867
23,1497,0 6 14,22.5,1943767
24,1467,0 6 15,22.5,1943767
25,1467,0 13 7,22.5,1943402
26,1495,1 12 14,22.0,1943217
27,1490,0 13 14,22.0,1942459
28,1499,0 10 10,22.5,1942160
29,1497,2 15 9,22.0,1940617
30,1466,3 11 12,22.0,1940269
31,1497,0 7 13,22.5,1940041
32,1496,2 12 12,22.0,1939678
33,1465,2 12 13,22.0,1939678
34,1492,1 13 12,22.0,1938978
35,1495,1 13 13,22.0,1938978
36,1497,0 14 5,22.5,1938798
37,1467,0 14 6,22.5,1938798
38,1467,1 10 8,22.5,1938577
39,1499,3 8 15,22.0,1938308
40,1487,0 14 12,22.0,1938172
41,1491,0 14 13,22.0,1938172
42,1496,0 11 8,22.5,1937921
43,1499,0 11 9,22.5,1937921
44,1495,2 9 15,22.0,1937872
45,1490,1 10 15,22.0,1937326
46,1498,3 15 7,22.0,1936710
47,1486,0 11 15,22.0,1936671
48,1499,1 7 11,22.5,1936666
49,1465,5 13 15,21.5,1936287
50,1495,0 8 11,22.5,1936168
51,1498,0 8 12,22.5,1936168
52,1496,4 14 15,21.5,1935709
53,1496,2 13 11,22.0,1935344
