rank,cp,ivs,maxlevel,stat-product
1,1509,0 15 14,38.0,1920138
2,1511,0 15 12,38.5,1920132
3,1511,0 11 14,39.0,1911609
4,1509,0 12 15,38.5,1910414
5,1510,0 13 14,38.5,1909130
6,1509,1 13 14,38.0,1907835
7,1511,1 13 12,38.5,1907830
8,1504,0 14 14,38.0,1907669
9,1508,0 14 15,38.0,1907669
10,1506,0 14 12,38.5,1907663
11,1511,0 14 13,38.5,1907663
12,1510,1 14 13,38.0,1906370
13,1507,1 14 15,37.5,1906273
14,1505,0 15 13,38.0,1906122
15,1502,0 15 15,37.5,1906025
16,1507,0 15 11,38.5,1906013
17,1509,0 15 9,39.0,1905699
18,1511,0 15 7,39.5,1905178
19,1508,1 15 14,37.5,1904726
20,1510,1 15 12,38.0,1904720
21,1509,2 15 12,37.5,1903242
22,1512,3 14 14,37.0,1903225
23,1507,2 15 14,37.0,1903144
24,1511,2 15 15,37.0,1903144
25,1510,3 15 15,36.5,1901374
26,1511,0 8 15,39.5,1900620
27,1506,0 10 14,39.0,1898865
28,1510,0 10 15,39.0,1898865
29,1508,0 10 12,39.5,1898760
30,1511,1 9 14,39.0,1898695
31,1504,0 11 15,38.5,1897762
32,1507,0 11 13,39.0,1897757
33,1509,1 10 15,38.5,1897678
34,1509,0 11 11,39.5,1897550
35,1500,0 11 9,40,1897143
36,1505,0 12 14,38.5,1896570
37,1510,1 11 14,38.5,1896570
38,1507,0 12 12,39.0,1896464
39,1509,0 12 10,39.5,1896155
40,1504,1 12 14,38.0,1895284
41,1508,1 12 15,38.0,1895284
42,1506,1 12 12,38.5,1895278
43,1511,1 12 13,38.5,1895278
44,1503,0 13 15,38.0,1895201
45,1509,2 11 14,38.0,1895201
46,1501,0 13 12,38.5,1895195
47,1506,0 13 13,38.5,1895195
48,1511,2 11 12,38.5,1895195
49,1508,0 13 11,39.0,1894986
50,1510,0 13 9,39.5,1894574
51,1505,1 13 13,38.0,1893910
52,1510,2 12 13,38.0,1893910
53,1502,1 13 15,37.5,1893813
54,1507,2 12 15,37.5,1893813
55,1507,1 13 11,38.5,1893802
56,1502,0 14 11,38.5,1893637
57,1509,1 13 9,39.0,1893489
58,1504,0 14 9,39.0,1893324
59,1508,0 14 10,39.0,1893324
60,1511,1 13 7,39.5,1892971
61,1506,0 14 7,39.5,1892806
62,1510,0 14 8,39.5,1892806
63,1508,2 13 14,37.5,1892440
64,1510,2 13 12,38.0,1892434
65,1503,1 14 14,37.5,1892358
66,1505,1 14 12,38.0,1892352
67,1508,1 14 10,38.5,1892140
68,1502,0 15 10,38.5,1891895
69,1510,1 14 8,39.0,1891723
70,1505,0 15 8,39.0,1891477
71,1504,2 14 12,37.5,1890884
72,1509,2 14 13,37.5,1890884
73,1509,3 13 12,37.5,1890884
74,1506,0 15 6,39.5,1890853
75,1502,2 14 14,37.0,1890786
76,1506,2 14 15,37.0,1890786
77,1507,3 13 14,37.0,1890786
78,1511,3 13 15,37.0,1890786
79,1511,2 14 11,38.0,1890774
80,1504,1 15 13,37.5,1890721
81,1501,1 15 15,37.0,1890623
82,1512,4 12 14,37.0,1890623
83,1506,1 15 11,38.0,1890611
84,1508,1 15 9,38.5,1890295
85,1497,0 15 4,40,1890023
86,1510,1 15 7,39.0,1889770
87,1507,3 14 13,37.0,1889231
88,1510,3 14 11,37.5,1889225
89,1502,2 15 13,37.0,1889150
90,1505,2 15 11,37.5,1889144
91,1505,3 14 15,36.5,1889028
92,1510,4 13 15,36.5,1888947
93,1507,2 15 9,38.0,1888930
94,1511,2 15 10,38.0,1888930
95,1509,2 15 7,38.5,1888506
96,1496,0 6 14,40,1888243
97,1500,0 6 15,40,1888243
98,1511,2 15 5,39.0,1887874
99,1506,0 7 15,39.5,1887690
100,1497,0 7 13,40,1887587
101,1508,3 15 12,37.0,1887493
102,1510,4 14 14,36.5,1887394
103,1505,3 15 14,36.5,1887394
104,1510,3 15 10,37.5,1887382
105,1510,1 6 15,39.5,1887259
106,1506,0 8 14,39.5,1886946
107,1498,0 8 12,40,1886744
108,1501,0 9 14,39.0,1886121
109,1505,0 9 15,39.0,1886121
110,1503,0 9 12,39.5,1886016
111,1507,0 9 13,39.5,1886016
112,1506,1 8 14,39.0,1885866
113,1510,1 8 15,39.0,1885866
114,1508,1 8 12,39.5,1885761
115,1499,0 9 11,40,1885714
116,1507,4 15 12,36.5,1885658
117,1511,4 15 13,36.5,1885658
118,1511,5 14 12,36.5,1885578
119,1504,4 15 14,36.0,1885452
120,1508,4 15 15,36.0,1885452
121,1510,2 7 14,39.0,1885441
122,1509,5 14 14,36.0,1885373
123,1502,0 10 13,39.0,1885105
124,1504,1 9 15,38.5,1884942
125,1506,1 9 13,39.0,1884936
126,1504,0 10 11,39.5,1884900
127,1509,1 9 11,39.5,1884731
128,1509,2 8 15,38.5,1884604
129,1511,2 8 13,39.0,1884599
130,1495,0 10 9,40,1884496
131,1499,0 10 10,40,1884496
132,1500,1 9 9,40,1884327
133,1505,1 10 14,38.5,1883926
134,1502,0 11 12,39.0,1883904
135,1507,1 10 12,39.0,1883821
136,1510,2 9 14,38.5,1883675
137,1509,5 15 13,36.0,1883638
138,1504,0 11 10,39.5,1883598
139,1509,1 10 10,39.5,1883514
140,1507,5 15 15,35.5,1883325
141,1511,6 14 15,35.5,1883167
142,1496,0 11 8,40,1883090
143,1500,1 10 8,40,1883007
144,1503,1 11 15,38.0,1882732
145,1501,0 12 13,38.5,1882727
146,1501,1 11 12,38.5,1882727
147,1506,1 11 13,38.5,1882727
148,1504,2 10 14,38.0,1882566
149,1508,2 10 15,38.0,1882566
150,1506,2 10 12,38.5,1882560
151,1511,2 10 13,38.5,1882560
152,1508,1 11 11,39.0,1882519
153,1503,0 12 11,39.0,1882519
154,1509,3 9 14,38.0,1882234
155,1511,3 9 12,38.5,1882228
156,1505,0 12 9,39.5,1882109
157,1510,1 11 9,39.5,1882109
158,1496,0 12 7,40,1881498
159,1512,6 15 14,35.5,1881435
160,1505,2 11 13,38.0,1881367
161,1502,1 12 11,38.5,1881342
162,1502,2 11 15,37.5,1881271
163,1507,2 11 11,38.5,1881260
164,1510,3 10 13,38.0,1881120
165,1504,1 12 9,39.0,1881032
166,1509,1 12 10,39.0,1881032
167,1507,3 10 15,37.5,1881024
168,1504,0 13 10,39.0,1880949
169,1509,2 11 9,39.0,1880949
170,1506,1 12 7,39.5,1880518
171,1511,1 12 8,39.5,1880518
172,1501,0 13 7,39.5,1880435
173,1505,0 13 8,39.5,1880435
174,1511,2 11 7,39.5,1880435
175,1503,2 12 14,37.5,1879990
176,1505,2 12 12,38.0,1879984
177,1508,3 11 14,37.5,1879826
178,1510,3 11 12,38.0,1879820
179,1503,1 13 10,38.5,1879773
180,1508,2 12 10,38.5,1879773
181,1497,0 13 6,40,1879718
182,1505,1 13 8,39.0,1879358
183,1510,2 12 8,39.0,1879358
184,1510,7 15 14,35.0,1879047
185,1507,1 13 6,39.5,1878738
186,1502,0 14 6,39.5,1878575
187,1504,2 13 13,37.5,1878525
188,1504,3 12 12,37.5,1878444
189,1509,3 12 13,37.5,1878444
190,1501,2 13 15,37.0,1878428
191,1506,2 13 11,38.0,1878416
192,1502,3 12 14,37.0,1878346
193,1506,3 12 15,37.0,1878346
194,1501,1 14 11,38.0,1878335
195,1511,3 12 11,38.0,1878335
196,1509,4 11 12,37.5,1878200
197,1507,4 11 14,37.0,1878103
198,1511,4 11 15,37.0,1878103
199,1508,2 13 9,38.5,1878101
200,1503,1 14 9,38.5,1878020
201,1498,1 13 4,40,1877914
202,1493,0 14 4,40,1877750
203,1497,0 14 5,40,1877750
204,1511,5 10 14,37.0,1877696
205,1510,2 13 7,39.0,1877580
206,1505,1 14 7,39.0,1877499
207,1502,3 13 13,37.0,1876883
208,1505,3 13 11,37.5,1876877
