rank,cp,ivs,maxlevel,stat-product
1,598,15 15 15,40,523812
2,594,15 15 13,40,518871
3,596,15 15 14,40,518871
4,595,15 14 15,40,518119
5,591,14 15 15,40,517721
6,591,15 15 12,40,513929
7,590,15 14 13,40,513231
8,593,15 14 14,40,513231
9,587,14 15 13,40,512837
10,589,14 15 14,40,512837
11,592,15 13 15,40,512425
12,588,14 14 15,40,512094
13,584,13 15 15,40,511631
14,589,15 15 11,40,508987
15,588,15 14 12,40,508343
16,585,14 15 12,40,507953
17,587,15 13 13,40,507591
18,589,15 13 14,40,507591
19,584,14 14 13,40,507263
20,586,14 14 14,40,507263
21,580,13 15 13,40,506804
22,582,13 15 14,40,506804
23,588,15 12 15,40,506731
24,585,14 13 15,40,506467
25,581,13 14 15,40,506069
26,577,12 15 15,40,505540
27,587,15 15 10,40,504046
28,586,15 14 11,40,503455
29,582,14 15 11,40,503069
30,585,15 13 12,40,502757
31,581,14 14 12,40,502432
32,578,13 15 12,40,501977
33,584,15 12 13,40,501951
34,586,15 12 14,40,501951
35,580,14 13 13,40,501689
36,583,14 13 14,40,501689
37,577,13 14 13,40,501295
38,579,13 14 14,40,501295
39,585,15 11 15,40,501038
40,581,14 12 15,40,500839
41,573,12 15 13,40,500771
42,575,12 15 14,40,500771
43,578,13 13 15,40,500508
44,574,12 14 15,40,500045
45,570,11 15 15,40,499449
46,582,15 15 8,40,499104
47,585,15 15 9,40,499104
48,584,15 14 10,40,498567
49,580,14 15 10,40,498185
50,583,15 13 11,40,497922
51,579,14 14 11,40,497601
52,582,15 12 12,40,497170
53,575,13 15 11,40,497150
54,578,14 13 12,40,496911
55,575,13 14 12,40,496521
56,581,15 11 13,40,496311
57,583,15 11 14,40,496311
58,577,14 12 13,40,496114
59,579,14 12 14,40,496114
60,571,12 15 12,40,496001
61,573,13 13 13,40,495786
62,576,13 13 14,40,495786
63,582,15 10 15,40,495344
64,570,12 14 13,40,495327
65,572,12 14 14,40,495327
66,578,14 11 15,40,495212
67,575,13 12 15,40,494947
68,566,11 15 13,40,494737
69,568,11 15 14,40,494737
70,571,12 13 15,40,494550
71,580,15 15 7,40,494163
72,567,11 14 15,40,494020
73,579,15 14 8,40,493679
74,581,15 14 9,40,493679
75,563,10 15 15,40,493358
76,576,14 15 8,40,493301
77,578,14 15 9,40,493301
78,580,15 13 10,40,493088
79,577,14 14 10,40,492770
80,579,15 12 11,40,492390
81,573,13 15 10,40,492324
82,576,14 13 11,40,492133
83,572,13 14 11,40,491747
84,578,15 11 12,40,491584
85,575,14 12 12,40,491389
86,569,12 15 11,40,491232
87,571,13 13 12,40,491065
88,577,15 10 13,40,490671
89,579,15 10 14,40,490671
90,568,12 14 12,40,490610
91,574,14 11 13,40,490540
92,576,14 11 14,40,490540
93,570,13 12 13,40,490278
94,572,13 12 14,40,490278
95,564,11 15 12,40,490025
96,567,12 13 13,40,489884
97,569,12 13 14,40,489884
98,578,15 9 15,40,489651
99,575,14 10 15,40,489584
100,571,13 11 15,40,489386
101,563,11 14 13,40,489360
102,565,11 14 14,40,489360
103,578,15 15 6,40,489221
104,568,12 12 15,40,489055
105,577,15 14 7,40,488791
106,559,10 15 13,40,488704
107,561,10 15 14,40,488704
108,564,11 13 15,40,488591
109,573,14 15 7,40,488416
110,576,15 13 8,40,488254
111,578,15 13 9,40,488254
112,560,10 14 15,40,487995
113,572,14 14 8,40,487939
114,575,14 14 9,40,487939
115,577,15 12 10,40,487610
116,569,13 15 8,40,487497
117,571,13 15 9,40,487497
118,574,14 13 10,40,487355
119,556,9 15 15,40,487267
120,570,13 14 10,40,486972
121,576,15 11 11,40,486858
122,573,14 12 11,40,486665
123,566,12 15 10,40,486463
124,569,13 13 11,40,486343
125,575,15 10 12,40,485998
126,566,12 14 11,40,485893
127,572,14 11 12,40,485868
128,568,13 12 12,40,485608
129,562,11 15 11,40,485314
130,565,12 13 12,40,485219
131,574,15 9 13,40,485031
132,576,15 9 14,40,485031
133,571,14 10 13,40,484966
134,573,14 10 14,40,484966
135,567,13 11 13,40,484769
136,569,13 11 14,40,484769
137,561,11 14 12,40,484699
138,564,12 12 13,40,484441
139,566,12 12 14,40,484441
140,576,15 15 5,40,484279
141,557,10 15 12,40,484049
142,560,11 13 13,40,483982
143,562,11 13 14,40,483982
144,575,15 8 15,40,483957
145,572,14 9 15,40,483957
146,575,15 14 6,40,483903
147,568,13 10 15,40,483825
148,565,12 11 15,40,483560
