rank,cp,ivs,maxlevel,stat-product
1,971,15 15 15,40,1194909
2,969,15 15 14,40,1188196
3,968,15 14 15,40,1186122
4,962,14 15 15,40,1182959
5,966,15 15 13,40,1181483
6,965,15 14 14,40,1179459
7,964,15 13 15,40,1177336
8,959,14 15 14,40,1176314
9,963,15 15 12,40,1174770
10,958,14 14 15,40,1174261
11,962,15 14 13,40,1172795
12,952,13 15 15,40,1171010
13,961,15 13 14,40,1170722
14,956,14 15 13,40,1169668
15,960,15 12 15,40,1168550
16,960,15 15 11,40,1168057
17,955,14 14 14,40,1167664
18,959,15 14 12,40,1166132
19,954,14 13 15,40,1165563
20,949,13 15 14,40,1164432
21,959,15 13 13,40,1164108
22,953,14 15 12,40,1163022
23,948,13 14 15,40,1162400
24,958,15 12 14,40,1161985
25,958,15 15 10,40,1161344
26,953,14 14 13,40,1161067
27,957,15 11 15,40,1159764
28,957,15 14 11,40,1159468
29,942,12 15 15,40,1159061
30,952,14 13 14,40,1159015
31,946,13 15 13,40,1157853
32,956,15 13 12,40,1157494
33,951,14 12 15,40,1156865
34,951,14 15 11,40,1156376
35,946,13 14 14,40,1155870
36,955,15 12 13,40,1155420
37,955,15 15 9,40,1154631
38,950,14 14 12,40,1154470
39,945,13 13 15,40,1153790
40,954,15 11 14,40,1153249
41,954,15 14 10,40,1152804
42,939,12 15 14,40,1152550
43,949,14 13 13,40,1152467
44,944,13 15 12,40,1151274
45,953,15 10 15,40,1150978
46,953,15 13 11,40,1150879
47,939,12 14 15,40,1150539
48,948,14 12 14,40,1150366
49,948,14 15 10,40,1149730
50,943,13 14 13,40,1149339
51,952,15 12 12,40,1148856
52,947,14 11 15,40,1148167
53,952,15 15 8,40,1147918
54,947,14 14 11,40,1147873
55,942,13 13 14,40,1147308
56,932,11 15 15,40,1147112
57,951,15 11 13,40,1146733
58,951,15 14 9,40,1146141
59,937,12 15 13,40,1146038
60,946,14 13 12,40,1145919
61,941,13 12 15,40,1145179
62,941,13 15 11,40,1144696
63,951,15 10 14,40,1144512
64,950,15 13 10,40,1144265
65,936,12 14 14,40,1144075
66,946,14 12 13,40,1143866
67,945,14 15 9,40,1143084
