rank,cp,ivs,maxlevel,stat-product
1,405,15 15 15,40,648937
2,404,15 14 15,40,647358
3,404,15 13 15,40,645779
4,403,15 12 15,40,644200
5,403,15 11 15,40,642621
6,402,15 10 15,40,641042
7,403,15 15 14,40,640723
8,402,15 9 15,40,639463
9,402,15 14 14,40,639164
10,401,15 8 15,40,637885
11,402,15 13 14,40,637605
12,401,15 7 15,40,636306
13,401,15 12 14,40,636046
14,400,15 6 15,40,634727
15,401,15 11 14,40,634487
16,400,15 5 15,40,633148
17,400,15 10 14,40,632928
18,401,15 15 13,40,632508
19,399,15 4 15,40,631569
20,400,15 9 14,40,631369
21,400,15 14 13,40,630969
22,399,15 3 15,40,629990
23,399,15 8 14,40,629810
24,400,15 13 13,40,629430
25,392,14 15 15,40,628658
26,398,15 2 15,40,628411
27,399,15 7 14,40,628251
28,399,15 12 13,40,627891
29,392,14 14 15,40,627128
30,398,15 1 15,40,626832
31,398,15 6 14,40,626692
32,399,15 11 13,40,626352
33,391,14 13 15,40,625599
34,397,15 0 15,40,625253
35,398,15 5 14,40,625133
36,398,15 10 13,40,624813
37,399,15 15 12,40,624294
38,391,14 12 15,40,624069
39,397,15 4 14,40,623574
40,398,15 9 13,40,623274
41,398,15 14 12,40,622775
42,390,14 11 15,40,622539
43,397,15 3 14,40,622015
44,397,15 8 13,40,621736
45,398,15 13 12,40,621256
46,390,14 10 15,40,621010
47,390,14 15 14,40,620700
48,396,15 2 14,40,620456
49,397,15 7 13,40,620197
50,397,15 12 12,40,619737
51,389,14 9 15,40,619480
52,390,14 14 14,40,619190
53,396,15 1 14,40,618897
54,396,15 6 13,40,618658
55,397,15 11 12,40,618218
56,389,14 8 15,40,617951
57,389,14 13 14,40,617680
58,395,15 0 14,40,617339
59,396,15 5 13,40,617119
60,396,15 10 12,40,616699
61,388,14 7 15,40,616421
62,389,14 12 14,40,616169
63,394,15 15 10,40,616079
64,396,15 15 11,40,616079
65,395,15 4 13,40,615580
66,396,15 9 12,40,615180
67,388,14 6 15,40,614891
68,388,14 11 14,40,614659
69,394,15 14 10,40,614580
70,396,15 14 11,40,614580
71,395,15 3 13,40,614041
72,395,15 8 12,40,613661
73,387,14 5 15,40,613362
74,388,14 10 14,40,613149
75,393,15 13 10,40,613081
76,396,15 13 11,40,613081
77,388,14 15 13,40,612742
78,394,15 2 13,40,612502
79,395,15 7 12,40,612142
80,387,14 4 15,40,611832
81,387,14 9 14,40,611639
82,393,15 12 10,40,611582
83,395,15 12 11,40,611582
84,388,14 14 13,40,611251
85,394,15 1 13,40,610963
86,394,15 6 12,40,610623
87,386,14 3 15,40,610303
88,387,14 8 14,40,610128
89,393,15 11 10,40,610083
90,395,15 11 11,40,610083
91,387,14 13 13,40,609761
92,393,15 0 13,40,609424
93,394,15 5 12,40,609104
94,386,14 2 15,40,608773
95,386,14 7 14,40,608618
96,392,15 10 10,40,608585
97,394,15 10 11,40,608585
98,379,13 15 15,40,608378
99,387,14 12 13,40,608270
100,392,15 15 9,40,607865
101,393,15 4 12,40,607585
102,385,14 1 15,40,607244
103,386,14 6 14,40,607108
104,392,15 9 10,40,607086
105,394,15 9 11,40,607086
106,379,13 14 15,40,606898
107,386,14 11 13,40,606779
108,392,15 14 9,40,606386
109,393,15 3 12,40,606066
110,385,14 0 15,40,605714
111,385,14 5 14,40,605598
112,391,15 8 10,40,605587
113,393,15 8 11,40,605587
114,378,13 13 15,40,605418
115,386,14 10 13,40,605288
116,391,15 13 9,40,604907
117,386,14 15 12,40,604785
118,392,15 2 12,40,604547
119,391,15 7 10,40,604088
120,385,14 4 14,40,604088
121,393,15 7 11,40,604088
122,378,13 12 15,40,603938
123,385,14 9 13,40,603797
124,391,15 12 9,40,603428
125,386,14 14 12,40,603313
126,392,15 1 12,40,603028
127,390,15 6 10,40,602589
128,392,15 6 11,40,602589
129,384,14 3 14,40,602577
130,378,13 11 15,40,602457
131,385,14 8 13,40,602306
132,390,15 11 9,40,601949
133,385,14 13 12,40,601842
134,391,15 0 12,40,601509
135,390,15 5 10,40,601090
136,392,15 5 11,40,601090
137,384,14 2 14,40,601067
138,377,13 10 15,40,600977
139,384,14 7 13,40,600815
140,377,13 15 14,40,600677
141,390,15 10 9,40,600470
142,385,14 12 12,40,600370
143,390,15 15 8,40,599651
144,389,15 4 10,40,599591
145,391,15 4 11,40,599591
146,383,14 1 14,40,599557
147,377,13 9 15,40,599497
148,384,14 6 13,40,599325
149,377,13 14 14,40,599216
150,389,15 9 9,40,598991
151,384,14 11 12,40,598899
152,390,15 14 8,40,598192
153,389,15 3 10,40,598092
154,391,15 3 11,40,598092
155,383,14 0 14,40,598047
156,376,13 8 15,40,598017
157,383,14 5 13,40,597834
158,377,13 13 14,40,597754
159,389,15 8 9,40,597512
160,384,14 10 12,40,597427
161,382,14 15 10,40,596827
162,384,14 15 11,40,596827
163,389,15 13 8,40,596733
164,388,15 2 10,40,596593
165,390,15 2 11,40,596593
166,376,13 7 15,40,596536
167,383,14 4 13,40,596343
168,376,13 12 14,40,596293
169,389,15 7 9,40,596033
170,383,14 9 12,40,595956
171,382,14 14 10,40,595375
172,384,14 14 11,40,595375
173,389,15 12 8,40,595274
174,388,15 1 10,40,595094
175,390,15 1 11,40,595094
176,375,13 6 15,40,595056
177,382,14 3 13,40,594852
178,376,13 11 14,40,594831
179,388,15 6 9,40,594554
180,383,14 8 12,40,594484
181,381,14 13 10,40,593923
182,383,14 13 11,40,593923
183,388,15 11 8,40,593815
184,387,15 0 10,40,593595
185,389,15 0 11,40,593595
186,375,13 5 15,40,593576
187,375,13 10 14,40,593370
188,382,14 2 13,40,593361
189,388,15 5 9,40,593075
190,382,14 7 12,40,593013
191,376,13 15 13,40,592976
192,381,14 12 10,40,592470
193,383,14 12 11,40,592470
194,388,15 10 8,40,592356
195,374,13 4 15,40,592096
196,375,13 9 14,40,591908
197,381,14 1 13,40,591870
198,387,15 4 9,40,591596
199,382,14 6 12,40,591541
200,375,13 14 13,40,591534
201,388,15 15 7,40,591436
202,380,14 11 10,40,591018
203,382,14 11 11,40,591018
204,387,15 9 8,40,590897
205,374,13 3 15,40,590616
206,374,13 8 14,40,590447
207,381,14 0 13,40,590379
208,387,15 3 9,40,590117
209,375,13 13 13,40,590091
210,381,14 5 12,40,590070
211,388,15 14 7,40,589997
212,380,14 10 10,40,589566
213,382,14 10 11,40,589566
214,387,15 8 8,40,589438
215,373,13 2 15,40,589135
216,374,13 7 14,40,588985
217,380,14 15 9,40,588869
218,374,13 12 13,40,588648
219,386,15 2 9,40,588638
220,381,14 4 12,40,588598
221,387,15 13 7,40,588558
222,379,14 9 10,40,588114
223,381,14 9 11,40,588114
224,367,12 15 15,40,588099
225,386,15 7 8,40,587979
226,373,13 1 15,40,587655
227,373,13 6 14,40,587524
228,380,14 14 9,40,587436
229,374,13 11 13,40,587205
230,386,15 1 9,40,587159
231,380,14 3 12,40,587127
232,387,15 12 7,40,587119
233,366,12 14 15,40,586668
234,379,14 8 10,40,586662
235,381,14 8 11,40,586662
236,386,15 6 8,40,586520
237,372,13 0 15,40,586175
238,373,13 5 14,40,586062
239,379,14 13 9,40,586004
240,373,13 10 13,40,585763
241,385,15 0 9,40,585680
242,386,15 11 7,40,585680
243,380,14 2 12,40,585655
244,374,13 15 12,40,585275
245,366,12 13 15,40,585237
246,378,14 7 10,40,585210
247,380,14 7 11,40,585210
248,385,15 5 8,40,585061
249,372,13 4 14,40,584601
250,379,14 12 9,40,584571
251,373,13 9 13,40,584320
252,386,15 10 7,40,584241
253,379,14 1 12,40,584184
254,373,13 14 12,40,583851
255,365,12 12 15,40,583806
256,378,14 6 10,40,583758
257,380,14 6 11,40,583758
258,385,15 4 8,40,583602
259,384,15 15 5,40,583222
260,386,15 15 6,40,583222
261,372,13 3 14,40,583139
262,378,14 11 9,40,583138
263,372,13 8 13,40,582877
264,385,15 9 7,40,582802
265,379,14 0 12,40,582712
266,373,13 13 12,40,582427
267,365,12 11 15,40,582376
268,377,14 5 10,40,582306
269,379,14 5 11,40,582306
270,385,15 3 8,40,582143
271,383,15 14 5,40,581803
272,386,15 14 6,40,581803
273,378,14 10 9,40,581705
274,371,13 2 14,40,581678
275,372,13 7 13,40,581434
276,385,15 8 7,40,581363
277,372,13 12 12,40,581003
278,364,12 10 15,40,580945
279,378,14 15 8,40,580912
280,377,14 4 10,40,580853
281,379,14 4 11,40,580853
282,384,15 2 8,40,580684
283,365,12 15 14,40,580655
284,383,15 13 5,40,580384
285,385,15 13 6,40,580384
286,377,14 9 9,40,580273
287,371,13 1 14,40,580216
288,371,13 6 13,40,579992
289,384,15 7 7,40,579924
290,372,13 11 12,40,579579
291,364,12 9 15,40,579514
292,378,14 14 8,40,579498
293,376,14 3 10,40,579401
294,378,14 3 11,40,579401
295,364,12 14 14,40,579242
296,384,15 1 8,40,579225
297,382,15 12 5,40,578965
298,385,15 12 6,40,578965
299,377,14 8 9,40,578840
300,370,13 0 14,40,578755
301,371,13 5 13,40,578549
302,384,15 6 7,40,578485
303,371,13 10 12,40,578155
304,377,14 13 8,40,578085
305,364,12 8 15,40,578083
306,376,14 2 10,40,577949
307,378,14 2 11,40,577949
308,364,12 13 14,40,577829
309,383,15 0 8,40,577766
310,370,13 15 10,40,577574
311,372,13 15 11,40,577574
312,382,15 11 5,40,577546
313,384,15 11 6,40,577546
314,376,14 7 9,40,577407
315,370,13 4 13,40,577106
316,383,15 5 7,40,577046
317,371,13 9 12,40,576731
318,377,14 12 8,40,576671
319,363,12 7 15,40,576652
320,376,14 1 10,40,576497
321,377,14 1 11,40,576497
322,364,12 12 14,40,576416
323,369,13 14 10,40,576169
324,371,13 14 11,40,576169
325,382,15 10 5,40,576127
326,384,15 10 6,40,576127
327,376,14 6 9,40,575974
328,370,13 3 13,40,575663
329,383,15 4 7,40,575607
330,370,13 8 12,40,575307
331,376,14 11 8,40,575258
332,363,12 6 15,40,575221
333,375,14 0 10,40,575045
334,377,14 0 11,40,575045
335,382,15 15 4,40,575007
336,363,12 11 14,40,575004
337,369,13 13 10,40,574764
338,371,13 13 11,40,574764
339,381,15 9 5,40,574708
340,383,15 9 6,40,574708
341,375,14 5 9,40,574541
342,370,13 2 13,40,574220
343,382,15 3 7,40,574168
344,370,13 7 12,40,573883
345,376,14 10 8,40,573844
346,362,12 5 15,40,573790
347,381,15 14 4,40,573608
348,363,12 10 14,40,573591
349,368,13 12 10,40,573359
350,370,13 12 11,40,573359
351,381,15 8 5,40,573289
352,383,15 8 6,40,573289
353,363,12 15 13,40,573211
354,375,14 4 9,40,573109
355,376,14 15 7,40,572954
356,369,13 1 13,40,572778
357,382,15 2 7,40,572729
358,370,13 6 12,40,572459
359,375,14 9 8,40,572431
360,362,12 4 15,40,572359
361,381,15 13 4,40,572209
362,362,12 9 14,40,572178
363,368,13 11 10,40,571953
364,370,13 11 11,40,571953
365,380,15 7 5,40,571870
366,382,15 7 6,40,571870
367,363,12 14 13,40,571816
368,374,14 3 9,40,571676
369,376,14 14 7,40,571560
370,369,13 0 13,40,571335
371,381,15 1 7,40,571290
372,369,13 5 12,40,571035
373,375,14 8 8,40,571018
374,361,12 3 15,40,570928
375,380,15 12 4,40,570810
376,362,12 8 14,40,570765
377,367,13 10 10,40,570548
378,369,13 10 11,40,570548
379,380,15 6 5,40,570451
380,382,15 6 6,40,570451
381,362,12 13 13,40,570421
382,374,14 2 9,40,570243
383,375,14 13 7,40,570166
384,368,13 15 9,40,569873
385,381,15 0 7,40,569851
386,369,13 4 12,40,569611
387,374,14 7 8,40,569604
388,361,12 2 15,40,569497
389,380,15 11 4,40,569411
390,361,12 7 14,40,569353
391,367,13 9 10,40,569143
392,369,13 9 11,40,569143
393,379,15 5 5,40,569031
394,381,15 5 6,40,569031
395,362,12 12 13,40,569026
396,374,14 1 9,40,568810
397,375,14 12 7,40,568772
398,367,13 14 9,40,568487
399,374,14 6 8,40,568191
400,368,13 3 12,40,568187
401,360,12 1 15,40,568067
402,379,15 10 4,40,568012
