rank,cp,ivs,maxlevel,stat-product
1,739,15 15 15,40,698204
2,736,15 15 14,40,693610
3,731,14 15 15,40,691151
4,735,15 14 15,40,690776
5,734,15 15 13,40,689017
6,729,14 15 14,40,686604
7,732,15 14 14,40,686232
8,731,15 15 12,40,684424
9,724,13 15 15,40,684099
10,727,14 14 15,40,683799
11,731,15 13 15,40,683348
12,726,14 15 13,40,682057
13,730,15 14 13,40,681687
14,729,15 15 11,40,679830
15,721,13 15 14,40,679598
16,725,14 14 14,40,679300
17,728,15 13 14,40,678853
18,724,14 15 12,40,677510
19,727,15 14 12,40,677142
20,716,12 15 15,40,677046
21,720,13 14 15,40,676821
22,723,14 13 15,40,676446
23,727,15 12 15,40,675921
24,726,15 15 10,40,675237
25,719,13 15 13,40,675097
26,722,14 14 13,40,674801
27,726,15 13 13,40,674357
28,721,14 15 11,40,672963
29,725,15 14 11,40,672598
30,714,12 15 14,40,672592
31,717,13 14 14,40,672368
32,721,14 13 14,40,671996
33,724,15 12 14,40,671474
34,724,15 15 9,40,670643
35,716,13 15 12,40,670597
36,720,14 14 12,40,670303
37,709,11 15 15,40,669994
38,723,15 13 12,40,669861
39,712,12 14 15,40,669844
40,716,13 13 15,40,669543
41,719,14 12 15,40,669093
42,723,15 11 15,40,668493
43,719,14 15 10,40,668416
44,711,12 15 13,40,668138
45,722,15 14 10,40,668053
46,715,13 14 13,40,667916
47,719,14 13 13,40,667545
48,722,15 12 13,40,667027
49,714,13 15 11,40,666096
50,721,15 15 8,40,666050
51,718,14 14 11,40,665804
52,706,11 15 14,40,665586
53,710,12 14 14,40,665437
54,721,15 13 11,40,665366
55,714,13 13 14,40,665139
56,717,14 12 14,40,664691
57,720,15 11 14,40,664095
58,717,14 15 9,40,663869
59,709,12 15 12,40,663683
60,720,15 14 9,40,663509
61,713,13 14 12,40,663463
62,716,14 13 12,40,663095
63,701,10 15 15,40,662941
64,705,11 14 15,40,662866
65,709,12 13 15,40,662641
66,720,15 12 12,40,662580
67,712,13 12 15,40,662266
68,715,14 11 15,40,661741
69,712,13 15 10,40,661595
70,719,15 15 7,40,661456
71,715,14 14 10,40,661305
72,704,11 15 13,40,661178
73,719,15 10 15,40,661065
