rank,cp,ivs,maxlevel,stat-product
1,895,15 15 15,40,762183
2,891,15 15 14,40,756538
3,888,14 15 15,40,756453
4,889,15 14 15,40,753321
5,888,15 15 13,40,750892
6,885,14 15 14,40,750849
7,881,13 15 15,40,750722
8,886,15 14 14,40,747741
9,883,14 14 15,40,747657
10,881,14 15 13,40,745246
11,885,15 15 12,40,745246
12,878,13 15 14,40,745161
13,874,12 15 15,40,744991
14,884,15 13 15,40,744458
15,883,15 14 13,40,742161
16,879,14 14 14,40,742119
17,876,13 14 15,40,741993
18,878,14 15 12,40,739643
19,875,13 15 13,40,739600
20,881,15 15 11,40,739600
21,871,12 15 14,40,739473
22,868,11 15 15,40,739261
23,881,15 13 14,40,738944
24,877,14 13 15,40,738861
25,876,14 14 13,40,736580
26,879,15 14 12,40,736580
27,873,13 14 14,40,736496
28,869,12 14 15,40,736329
29,879,15 12 15,40,735596
30,871,13 15 12,40,734039
31,875,14 15 11,40,734039
32,868,12 15 13,40,733954
33,878,15 15 10,40,733954
34,864,11 15 14,40,733785
35,861,10 15 15,40,733530
36,878,15 13 13,40,733429
37,874,14 13 14,40,733388
38,871,13 13 15,40,733263
39,873,14 14 12,40,731042
40,869,13 14 13,40,731000
41,876,15 14 11,40,731000
42,866,12 14 14,40,730874
43,863,11 14 15,40,730665
44,876,15 12 14,40,730147
45,872,14 12 15,40,730065
46,868,13 15 11,40,728478
47,865,12 15 12,40,728436
48,871,14 15 10,40,728436
49,861,11 15 13,40,728309
50,874,15 15 9,40,728309
51,858,10 15 14,40,728096
52,871,14 13 13,40,727915
53,874,15 13 12,40,727915
54,868,13 13 14,40,727832
55,854,9 15 15,40,727799
56,864,12 13 15,40,727666
57,873,15 11 15,40,726733
58,866,13 14 12,40,725504
59,869,14 14 11,40,725504
60,863,12 14 13,40,725420
61,873,15 14 10,40,725420
62,859,11 14 14,40,725252
63,856,10 14 15,40,725001
64,872,15 12 13,40,724698
65,869,14 12 14,40,724657
66,866,13 12 15,40,724534
67,861,12 15 11,40,722918
68,865,13 15 10,40,722918
69,858,11 15 12,40,722833
70,868,14 15 9,40,722833
71,855,10 15 13,40,722663
72,871,15 15 8,40,722663
73,868,14 13 12,40,722442
74,851,9 15 14,40,722408
75,864,13 13 13,40,722400
76,871,15 13 11,40,722400
77,861,12 13 14,40,722276
78,847,8 15 15,40,722069
79,857,11 13 15,40,722069
80,870,15 11 14,40,721350
81,867,14 11 15,40,721269
82,863,13 14 11,40,720008
83,860,12 14 12,40,719966
84,866,14 14 10,40,719966
85,856,11 14 13,40,719840
86,869,15 14 9,40,719840
87,853,10 14 14,40,719630
88,849,9 14 15,40,719336
89,866,14 12 13,40,719249
90,869,15 12 12,40,719249
91,862,13 12 14,40,719167
92,859,12 12 15,40,719003
93,868,15 10 15,40,717870
94,858,12 15 10,40,717399
95,855,11 15 11,40,717357
96,861,13 15 9,40,717357
97,851,10 15 12,40,717229
98,864,14 15 8,40,717229
99,848,9 15 13,40,717017
100,868,15 15 7,40,717017
101,861,13 13 12,40,716969
102,864,14 13 11,40,716969
103,858,12 13 13,40,716886
104,868,15 13 10,40,716886
105,844,8 15 14,40,716720
106,854,11 13 14,40,716720
107,851,10 13 15,40,716471
108,841,7 15 15,40,716338
109,867,15 11 13,40,715967
110,864,14 11 14,40,715926
111,860,13 11 15,40,715805
112,856,12 14 11,40,714511
113,860,13 14 10,40,714511
114,853,11 14 12,40,714428
115,863,14 14 9,40,714428
116,850,10 14 13,40,714260
117,866,15 14 8,40,714260
118,846,9 14 14,40,714008
119,862,14 12 12,40,713841
120,859,13 12 13,40,713800
121,866,15 12 11,40,713800
122,856,12 12 14,40,713677
123,843,8 14 15,40,713672
124,852,11 12 15,40,713472
125,865,15 10 14,40,712553
126,862,14 10 15,40,712473
127,851,11 15 10,40,711881
128,855,12 15 9,40,711881
129,848,10 15 11,40,711796
130,858,13 15 8,40,711796
131,845,9 15 12,40,711626
132,861,14 15 7,40,711626
133,858,13 13 11,40,711537
134,854,12 13 12,40,711496
135,861,14 13 10,40,711496
136,841,8 15 13,40,711371
137,851,11 13 13,40,711371
138,864,15 13 9,40,711371
139,864,15 15 6,40,711371
140,848,10 13 14,40,711164
141,838,7 15 14,40,711032
142,844,9 13 15,40,710874
143,834,6 15 15,40,710607
144,860,14 11 13,40,710583
145,864,15 11 12,40,710583
146,857,13 11 14,40,710502
147,854,12 11 15,40,710341
148,853,12 14 10,40,709057
149,850,11 14 11,40,709015
150,856,13 14 9,40,709015
151,863,15 9 15,40,709008
152,846,10 14 12,40,708889
153,859,14 14 8,40,708889
154,843,9 14 13,40,708680
155,863,15 14 7,40,708680
156,856,13 12 12,40,708433
157,859,14 12 11,40,708433
158,839,8 14 14,40,708386
159,853,12 12 13,40,708351
160,862,15 12 10,40,708351
161,849,11 12 14,40,708187
162,836,7 14 15,40,708008
163,846,10 12 15,40,707942
164,862,15 10 13,40,707235
165,858,14 10 14,40,707195
166,855,13 10 15,40,707075
167,848,11 15 9,40,706405
168,845,10 15 10,40,706362
169,851,12 15 8,40,706362
170,841,9 15 11,40,706235
171,855,13 15 7,40,706235
172,851,12 13 11,40,706105
173,855,13 13 10,40,706105
174,838,8 15 12,40,706023
175,848,11 13 12,40,706023
176,858,14 13 9,40,706023
177,858,14 15 6,40,706023
178,845,10 13 13,40,705857
179,861,15 13 8,40,705857
180,834,7 15 13,40,705725
181,861,15 15 5,40,705725
182,841,9 13 14,40,705608
183,831,6 15 14,40,705343
184,838,8 13 15,40,705276
185,857,14 11 12,40,705241
186,854,13 11 13,40,705200
187,860,15 11 11,40,705200
188,851,12 11 14,40,705079
189,827,5 15 15,40,704876
190,847,11 11 15,40,704876
191,860,15 9 14,40,703756
192,856,14 9 15,40,703677
193,846,11 14 10,40,703603
194,850,12 14 9,40,703603
195,843,10 14 11,40,703519
196,853,13 14 8,40,703519
197,840,9 14 12,40,703351
198,856,14 14 7,40,703351
199,836,8 14 13,40,703099
200,859,15 14 6,40,703099
201,853,13 12 11,40,703066
202,849,12 12 12,40,703025
203,856,14 12 10,40,703025
204,846,11 12 13,40,702902
205,859,15 12 9,40,702902
206,833,7 14 14,40,702764
207,843,10 12 14,40,702698
208,839,9 12 15,40,702411
209,829,6 14 15,40,702344
210,855,14 10 13,40,701918
211,858,15 10 12,40,701918
212,852,13 10 14,40,701838
213,849,12 10 15,40,701678
214,842,10 15 9,40,700929
215,845,11 15 8,40,700929
216,838,9 15 10,40,700844
217,848,12 15 7,40,700844
218,848,12 13 10,40,700715
219,835,8 15 11,40,700674
220,845,11 13 11,40,700674
221,851,13 13 9,40,700674
222,851,13 15 6,40,700674
223,841,10 13 12,40,700549
224,854,14 13 8,40,700549
225,831,7 15 12,40,700419
226,854,14 15 5,40,700419
227,838,9 13 13,40,700342
228,857,15 13 7,40,700342
229,857,15 8 15,40,700145
230,828,6 15 13,40,700080
231,857,15 15 4,40,700080
232,834,8 13 14,40,700052
233,851,13 11 12,40,699898
234,854,14 11 11,40,699898
235,847,12 11 13,40,699817
236,857,15 11 10,40,699817
237,831,7 13 15,40,699679
238,824,5 15 14,40,699655
